imap_uid,mid,header_flag,header_score,header_level,header_status,SA_flag,SA_score,AS_flag,AS_score
1,<BF345F63074F8040B58C00A186FCA57F1C65FB27A8@NALASEXMB04.na.qualcomm.com>,NO,-103.199,,"No, score=-103.199 tagged_above=-999 required=5 tests=[AWL=-0.600, BAYES_00=-2.599, USER_IN_WHITELIST=-100]",False,-1.9,False,0.49999999999999784
2,<C72C5914.314E1%basavaraj.patil@nokia.com>,NO,-6.599,,"No, score=-6.599 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, RCVD_IN_DNSWL_MED=-4]",False,1.2,False,0.006803068167124697
3,<C72C604C.314E9%basavaraj.patil@nokia.com>,NO,-6.599,,"No, score=-6.599 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, RCVD_IN_DNSWL_MED=-4]",False,1.2,False,0.07050355402831981
4,<BF345F63074F8040B58C00A186FCA57F1C65FB27C6@NALASEXMB04.na.qualcomm.com>,NO,-105.139,,"No, score=-105.139 tagged_above=-999 required=5 tests=[AWL=1.460, BAYES_00=-2.599, RCVD_IN_DNSWL_MED=-4, USER_IN_WHITELIST=-100]",False,-1.9,False,0.49999999999999784
5,<4B07094A.600@piuha.net>,NO,-2.5,,"No, score=-2.5 tagged_above=-999 required=5 tests=[AWL=0.099, BAYES_00=-2.599]",False,0.3,False,0.15960297761042466
6,<BF345F63074F8040B58C00A186FCA57F1C65FB27EA@NALASEXMB04.na.qualcomm.com>,NO,-103.272,,"No, score=-103.272 tagged_above=-999 required=5 tests=[AWL=-0.673, BAYES_00=-2.599, USER_IN_WHITELIST=-100]",False,-1.9,False,0.49999999999999784
7,<002a01ca6b42$31890f80$ad050505@Hui>,NO,0.923,,"No, score=0.923 tagged_above=-999 required=5 tests=[AWL=-1.300, BAYES_50=0.001, RELAY_IS_221=2.222]",False,-2.0,False,0.49999999999999784
8,<002b01ca6b43$5bd8dbc0$ad050505@Hui>,NO,0.273,,"No, score=0.273 tagged_above=-999 required=5 tests=[AWL=0.650, BAYES_00=-2.599, RELAY_IS_221=2.222]",False,-2.0,False,0.49999999999999784
9,<6E974D5685D748F68BB0416B08EECE44@sony300LT>,NO,-0.185,,"No, score=-0.185 tagged_above=-999 required=5 tests=[BAYES_40=-0.185]",False,4.8,False,0.49999999999999784
10,<OF361A2313.84E07DEC-ON48257678.00132936-48257678.0014525C@zte.com.cn>,NO,-99.238,,"No, score=-99.238 tagged_above=-999 required=5 tests=[BAYES_50=0.001, HTML_MESSAGE=0.001, RCVD_DOUBLE_IP_LOOSE=0.76, USER_IN_WHITELIST=-100]",False,0.3,False,0.01866662754535925
11,<4B0BB67E.8030104@piuha.net>,NO,-2.505,,"No, score=-2.505 tagged_above=-999 required=5 tests=[AWL=0.094, BAYES_00=-2.599]",False,0.3,False,0.49999999999999784
12,<4B0BCBA5.1040603@piuha.net>,NO,-2.514,,"No, score=-2.514 tagged_above=-999 required=5 tests=[AWL=0.085, BAYES_00=-2.599]",False,0.3,False,0.15960297761042466
13,<p06240810c733315c55c2@[192.168.1.15]>,NO,-1.521,,"No, score=-1.521 tagged_above=-999 required=5 tests=[AWL=-0.745, BAYES_05=-1.11, IP_NOT_FRIENDLY=0.334]",False,-2.0,False,0.49999999999999784
14,<20091126141438.CF97.F640DB63@jrc.co.jp>,NO,2.393,**,"No, score=2.393 tagged_above=-999 required=5 tests=[BAYES_05=-1.11, HELO_EQ_JP=1.244, HOST_EQ_JP=1.265, RELAY_IS_203=0.994]",False,-2.0,False,0.49999999999999784
15,<4B0E26AF.5090605@piuha.net>,NO,-2.522,,"No, score=-2.522 tagged_above=-999 required=5 tests=[AWL=0.077, BAYES_00=-2.599]",False,0.3,False,0.49999999999999784
16,<4B16D7BB.2070601@computer.org>,NO,-1.98,,"No, score=-1.98 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, RCVD_IN_SORBS_WEB=0.619]",False,0.3,False,0.007881266380010441
17,<C73C4B31.FD3%basavaraj.patil@nokia.com>,NO,-6.599,,"No, score=-6.599 tagged_above=-999 required=5 tests=[AWL=-0.000, BAYES_00=-2.599, HTML_MESSAGE=0.001, RCVD_IN_DNSWL_MED=-4]",False,1.2,False,0.03481168340193519
18,<899728.43639.qm@web111408.mail.gq1.yahoo.com>,NO,-2.042,,"No, score=-2.042 tagged_above=-999 required=5 tests=[AWL=0.223, BAYES_00=-2.599, IP_NOT_FRIENDLY=0.334]",False,1.0,False,0.49999999999999784
19,<D46F956A4F18FA439EB49488D11C0749106CA5BB@XCH64YKF.rim.net>,NO,-5.202,,"No, score=-5.202 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, HTML_MESSAGE=0.001, MIME_QP_LONG_LINE=1.396, RCVD_IN_DNSWL_MED=-4]",False,-2.0,False,0.49999999999999784
20,<4B170739.4080200@computer.org>,NO,-1.98,,"No, score=-1.98 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, RCVD_IN_SORBS_WEB=0.619]",False,0.3,False,0.49999999999999784
21,<A9FBEE21-402A-41BC-9F95-4AA6487239C5@cisco.com>,NO,-102.999,,"No, score=-102.999 tagged_above=-999 required=5 tests=[AWL=3.600, BAYES_00=-2.599, RCVD_IN_DNSWL_MED=-4, USER_IN_WHITELIST=-100]",False,-2.0,False,0.49999999999999784
