imap_uid,mid,header_flag,header_score,header_level,header_status,SA_flag,SA_score,AS_flag,AS_score
1,<942A76F6-17CE-41AB-99A9-ABE784EDBF41@tzi.org>,NO,-5.694,,"No, score=-5.694 tagged_above=-999 required=5 tests=[AWL=0.555, BAYES_00=-2.599, HELO_EQ_DE=0.35, RCVD_IN_DNSWL_MED=-4]",False,4.1,False,0.49999999999999784
2,<C304DB494AC0C04C87C6A6E2FF5603DB479B52B558@NDJSSCC01.ndc.nasa.gov>,NO,-6.44,,"No, score=-6.44 tagged_above=-999 required=5 tests=[AWL=0.159, BAYES_00=-2.599, RCVD_IN_DNSWL_MED=-4]",False,1.2,False,0.15960297761042466
3,<8A596C15-3A4F-46B8-B4D1-F453F2FCE8C0@tzi.org>,NO,-3.217,,"No, score=-3.217 tagged_above=-999 required=5 tests=[AWL=-3.032, BAYES_40=-0.185]",False,0.2,False,0.49999999999999784
4,<4AA4FDA1.9070602@sensinode.com>,NO,-2.292,,"No, score=-2.292 tagged_above=-999 required=5 tests=[AWL=-1.107, BAYES_40=-0.185, RCVD_IN_DNSWL_LOW=-1]",False,-2.0,False,0.49999999999999784
5,<AA6C7191-C471-466B-8EC6-EF1662F86D38@tzi.org>,NO,-5.994,,"No, score=-5.994 tagged_above=-999 required=5 tests=[AWL=0.255, BAYES_00=-2.599, HELO_EQ_DE=0.35, RCVD_IN_DNSWL_MED=-4]",False,4.1,False,0.49999999999999784
6,<003001ca2fce$1c65c300$55314900$@sturek>,NO,-1.15,,"No, score=-1.15 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, MSGID_MULTIPLE_AT=1.449]",False,3.8,False,0.49999999999999784
7,<DBCB1DD8-E33B-4ECF-A9D8-793FB3680EF9@tzi.org>,NO,-6.019,,"No, score=-6.019 tagged_above=-999 required=5 tests=[AWL=0.230, BAYES_00=-2.599, HELO_EQ_DE=0.35, RCVD_IN_DNSWL_MED=-4]",False,4.1,False,0.49999999999999784
8,<4AA8B8C4.9030407@telecomitalia.it>,NO,0.7,,"No, score=0.7 tagged_above=-999 required=5 tests=[AWL=-0.995, BAYES_40=-0.185, HELO_EQ_IT=0.635, HOST_EQ_IT=1.245]",False,0.2,False,0.03481168340193519
9,<334A0515-C45C-465D-90C5-421FCE20D74C@tzi.org>,NO,-5.87,,"No, score=-5.87 tagged_above=-999 required=5 tests=[AWL=0.379, BAYES_00=-2.599, HELO_EQ_DE=0.35, RCVD_IN_DNSWL_MED=-4]",False,0.2,False,0.49999999999999784
10,<4AA8EF8F.2010606@telecomitalia.it>,NO,-0.445,,"No, score=-0.445 tagged_above=-999 required=5 tests=[AWL=0.274, BAYES_00=-2.599, HELO_EQ_IT=0.635, HOST_EQ_IT=1.245]",False,0.2,False,0.03481168340193519
11,<7b191a110909111045o766663f6w65c0b409f6d9021d@mail.gmail.com>,NO,-2.598,,"No, score=-2.598 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, HTML_MESSAGE=0.001]",False,0.1,False,0.49999999999999784
12,<4AAE3F2B.8050004@net.in.tum.de>,NO,0.351,,"No, score=0.351 tagged_above=-999 required=5 tests=[BAYES_50=0.001, HELO_EQ_DE=0.35]",False,-0.8,False,0.49999999999999784
13,<4AAE5AFC.1030503@telecomitalia.it>,NO,0.469,,"No, score=0.469 tagged_above=-999 required=5 tests=[AWL=-0.671, BAYES_20=-0.74, HELO_EQ_IT=0.635, HOST_EQ_IT=1.245]",False,0.2,False,0.49999999999999784
14,<4AAEA334.2010908@sensinode.com>,NO,-3.599,,"No, score=-3.599 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, RCVD_IN_DNSWL_LOW=-1]",False,-2.0,False,0.49999999999999784
15,<D9BF98E0-72D4-49BA-9542-3264EE96F8E8@tzi.org>,NO,-6.03,,"No, score=-6.03 tagged_above=-999 required=5 tests=[AWL=0.219, BAYES_00=-2.599, HELO_EQ_DE=0.35, RCVD_IN_DNSWL_MED=-4]",False,4.1,False,0.49999999999999784
16,<334E7C18-7C0B-4BC3-ADE9-9D30FBA0F7D7@tzi.org>,NO,-6.114,,"No, score=-6.114 tagged_above=-999 required=5 tests=[AWL=0.135, BAYES_00=-2.599, HELO_EQ_DE=0.35, RCVD_IN_DNSWL_MED=-4]",False,4.1,False,0.49999999999999784
17,<20090924075930.GA16551@elstar.local>,NO,-1.376,,"No, score=-1.376 tagged_above=-999 required=5 tests=[AWL=-0.616, BAYES_05=-1.11, HELO_EQ_DE=0.35]",False,-1.0,False,0.15960297761042466
18,<4ABB2CAF.8040800@telecomitalia.it>,NO,0.896,,"No, score=0.896 tagged_above=-999 required=5 tests=[AWL=-0.985, BAYES_50=0.001, HELO_EQ_IT=0.635, HOST_EQ_IT=1.245]",False,0.2,False,0.04913725843951634
19,<4ABB2DA3.9010305@sensinode.com>,NO,-3.599,,"No, score=-3.599 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, RCVD_IN_DNSWL_LOW=-1]",False,-2.0,False,0.49999999999999784
20,<4ABB3BB1.5000403@telecomitalia.it>,NO,-0.359,,"No, score=-0.359 tagged_above=-999 required=5 tests=[AWL=0.360, BAYES_00=-2.599, HELO_EQ_IT=0.635, HOST_EQ_IT=1.245]",False,0.2,False,0.03481168340193519
21,<7f996c490909240443j4febd212m5e841c973138b04@mail.gmail.com>,NO,-2.599,,"No, score=-2.599 tagged_above=-999 required=5 tests=[BAYES_00=-2.599]",False,0.1,False,0.49999999999999784
22,<2C0DF719-FED0-4DF0-89C7-5630F57B2938@tzi.org>,NO,-6.118,,"No, score=-6.118 tagged_above=-999 required=5 tests=[AWL=0.131, BAYES_00=-2.599, HELO_EQ_DE=0.35, RCVD_IN_DNSWL_MED=-4]",False,4.1,False,0.49999999999999784
23,<006a01ca3d1a$35fc4650$a1f4d2f0$@sturek>,NO,-1.15,,"No, score=-1.15 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, MSGID_MULTIPLE_AT=1.449]",False,3.8,False,0.49999999999999784
