imap_uid,mid,header_flag,header_score,header_level,header_status,SA_flag,SA_score,AS_flag,AS_score
1,<9201171758.AA17782@TIS.COM>,,,,,False,-0.0,False,0.2726740729064461
2,<8dRnYU20M2Yt1P9ikz@thumper.bellcore.com>,,,,,False,0.8,True,0.9881120688563952
3,<9201180008.AA18322@KRAMDEN.ACF.NYU.EDU>,,,,,False,3.6,False,0.1887131397574603
4,<3067.695789346@dbc.mtview.ca.us>,,,,,False,-0.0,True,0.9910337986312925
5,<5555*harald.alvestrand@delab.sintef.no>,,,,,False,0.0,True,0.9999999996057637
6,<MdSi=aO0M2Yt1V4JFt@thumper.bellcore.com>,,,,,False,0.8,True,0.9808059841627104
7,<293.695923824@dbc.mtview.ca.us>,,,,,False,-0.0,False,0.7534407476406033
8,<9201201818.AA28753@Qualcomm.COM>,,,,,False,-0.0,False,1.5567382422265966e-11
9,<9201202138.AA28619@Mordor.Stanford.EDU>,,,,,False,1.2,False,5.5417525700010766e-05
10,<8dSpHFEB0KGWEP5HtS@holmes.parc.xerox.com>,,,,,False,0.0,False,0.6663411689693266
11,<01GFJPWF1N9GAXB1LU@HMCVAX.CLAREMONT.EDU>,,,,,False,0.8,False,0.49999999999999784
12,<9201210736.AA12653@sorak.kaist.ac.kr>,,,,,False,0.8,False,1.4625207673441211e-09
13,<MailManager.696019159.1367.mrc@Tomobiki-Cho.CAC.Washington.EDU>,,,,,False,-0.0,False,7.157382547560838e-10
14,<9201212040.AA08490@dkuug.dk>,,,,,False,-0.0,False,0.0038072664918131134
15,<01GFKX9WDSM6B9SIBS@HMCVAX.CLAREMONT.EDU>,,,,,False,0.8,False,0.49999999999999784
16,<9201212305.AA11734@dkuug.dk>,,,,,False,-0.0,False,3.3511832446406517e-06
17,<01GFL30NVXRWB9SIBS@HMCVAX.CLAREMONT.EDU>,,,,,False,0.8,False,5.579868141116146e-06
18,<01GFL5JEJBZWB9SIBS@HMCVAX.CLAREMONT.EDU>,,,,,False,0.8,False,5.012544560436009e-11
19,<9201220421.AA20380@sran8.sra.co.jp>,,,,,False,-0.0,False,2.922734020147763e-06
20,<5573*harald.alvestrand@delab.sintef.no>,,,,,False,0.0,True,0.9971704063609673
21,<9201221227.AA22388@itd.nrl.navy.mil>,,,,,False,-0.0,False,2.763587783344419e-10
22,<9201230420.AA02805@dkuug.dk>,,,,,False,-0.0,False,9.178500696182006e-06
23,<9201241704.AA06646@Mordor.Stanford.EDU>,,,,,False,1.2,False,3.4608149254055718e-15
24,<9201241812.AA07086@dkuug.dk>,,,,,False,-0.0,False,1.702335272272736e-14
25,<9201242033.AA28746@wilma.cs.utk.edu>,,,,,False,1.2,False,2.0505373671685567e-16
26,<9201242251.AA13256@dkuug.dk>,,,,,False,-0.0,False,1.7647605674207982e-14
27,<01GFPCDF1N5IBG1A2F@HMCVAX.CLAREMONT.EDU>,,,,,False,0.8,False,1.8491116567604484e-13
28,<9201250407.AA25070@sran8.sra.co.jp>,,,,,False,-0.0,False,6.017680011113751e-11
29,<9201250907.AA14565@nada.kth.se>,,,,,False,-0.0,False,8.385748702149572e-05
30,<27317.696325417@nma.com>,,,,,False,1.6,False,0.49999999999999784
31,<01GFS9OIJMJ0BG1ADC@HMCVAX.CLAREMONT.EDU>,,,,,False,0.8,False,0.0037948356363916628
32,<01GFS140A9K0BG1ADC@HMCVAX.CLAREMONT.EDU>,,,,,False,0.8,False,3.543936984737688e-13
33,<9201270126.AA27209@sran8.sra.co.jp>,,,,,False,-0.0,False,4.7027809546689114e-14
34,<9201271253.AA15615@dkuug.dk>,,,,,False,-0.0,False,1.6461792774758217e-14
35,<9201270759.AA27651@sran8.sra.co.jp>,,,,,False,-0.0,False,1.0428163369144886e-14
36,<EdV2eZy0M2Yt5gpZkI@thumper.bellcore.com>,,,,,False,0.8,True,0.9692469219664022
37,<kdV2Vra0M2YtBgpXso@thumper.bellcore.com>,,,,,False,0.8,False,0.19685111458116147
38,<0dV2U1e0M2YtBgpX9p@thumper.bellcore.com>,,,,,False,0.8,False,0.005486657838663135
39,<EdV2eZy0M2Yt5gpZkI@thumper.bellcore.com>,,,,,False,0.8,False,0.08222721225271191
40,<odV2Sge0M2YtJgpWEH@thumper.bellcore.com>,,,,,False,0.8,False,5.783979429941008e-05
41,<wdV6_Bu0M2YtRjRsNT@thumper.bellcore.com>,,,,,False,0.8,False,0.49999999999999784
42,<16973.696547252@dbc.mtview.ca.us>,,,,,False,-0.0,False,0.00011682419057182157
43,<9201272201.AA17823@Mordor.Stanford.EDU>,,,,,False,1.2,False,2.419401228793243e-15
44,<MdV9yQa0M2Yt5l5S0X@thumper.bellcore.com>,,,,,False,0.8,False,0.007155127991832874
45,<9201311146.AA02784@sran8.sra.co.jp>,,,,,False,0.0,False,0.49999999999999784
46,<9201311207.AA02900@sran8.sra.co.jp>,,,,,False,-0.0,False,1.3509930106461143e-05
47,<9201311132.aa15355@NRI.NRI.Reston.VA.US>,,,,,False,2.4,False,3.6133544419599785e-09
48,<9201311630.AA15013@dimacs.rutgers.edu>,,,,,False,2.4,False,3.6133544419599785e-09
49,<9201311754.AA05469@Mordor.Stanford.EDU>,,,,,False,1.2,False,6.655978243814444e-17
50,<9201311942.AA06045@Mordor.Stanford.EDU>,,,,,False,2.4,False,9.324960566459203e-11
51,<10545.696910164@dbc.mtview.ca.us>,,,,,False,-0.0,False,0.005927357962676769
52,<9202021640.AA15145@nlsarch.austin.ibm.com>,,,,,True,5.6,True,0.9998758847080944
53,<EdX1sRu0M2YtELdGAD@thumper.bellcore.com>,,,,,False,0.8,False,0.12991667453901984
54,<odXJr_O0M2YtBZWZ46@thumper.bellcore.com>,,,,,False,0.8,False,0.4300352965143056
55,<4dXNifm0M2YtNZWgRH@thumper.bellcore.com>,,,,,False,0.8,False,0.7810942197278011
56,<9202031621.aa17707@NRI.NRI.Reston.VA.US>,,,,,False,0.8,False,7.110742707741524e-05
57,<8dXOWx20M2YtFZWZZr@thumper.bellcore.com>,,,,,False,0.8,True,0.999979151129504
58,<9202032024.AA10027@dkuug.dk>,,,,,False,-0.0,False,0.47241510058011926
59,<199202032121.AA14955@tel4.tel.vtt.fi>,,,,,False,0.8,False,1.1005519019826199e-07
60,<9202032124.AA11547@voorn.cwi.nl>,,,,,False,-0.0,False,0.0038367225981811963
61,<9202032158.AA11979@dkuug.dk>,,,,,False,-0.0,False,5.194781213049268e-10
62,<UdXRwHMB0KGWJeZzdo@holmes.parc.xerox.com>,,,,,False,0.0,True,0.9785392487946536
63,<9202040002.AA17696@Mordor.Stanford.EDU>,,,,,False,1.2,False,6.302319675439561e-09
64,<9202040038.AA11629@cmsun.cmf.nrl.navy.mil>,,,,,False,0.8,True,0.9997445273353633
65,<020392.210157.dan@watson.ibm.com>,,,,,False,1.2,False,1.185810390051937e-06
66,<9202041312.AA14077@itd.nrl.navy.mil>,,,,,False,-0.0,False,0.49866507193675913
67,<6605.697272902@nma.com>,,,,,False,0.0,False,0.041715008257556044
68,<9202040756.AA04814@cs.kun.nl>,,,,,False,0.8,True,0.9253393441885268
69,<23004.05@erik.naggum.no>,,,,,False,-0.0,False,0.004233183049332119
70,<23004.03@erik.naggum.no>,,,,,False,-0.0,False,0.6983324240602876
71,<0dXe8Ta0M2YtBfGfMy@thumper.bellcore.com>,,,,,False,0.8,False,9.64448947309464e-06
72,<00920204135600/0004724133D41X4@mcimail.com>,,,,,False,0.0,False,0.00016602785418213956
73,<9202041653.AA20012@Mordor.Stanford.EDU>,,,,,False,1.2,False,5.415508697611529e-12
74,<kdXfefy0M2Yt1gAIxz@thumper.bellcore.com>,,,,,False,0.8,False,0.03119742191062677
75,<9202042106.AA16953@dkuug.dk>,,,,,False,-0.0,False,0.004773103221199697
76,<9202042211.AA18475@dkuug.dk>,,,,,False,-0.0,False,1.4085614592567031e-11
77,<9202050004.AA22221@dkuug.dk>,,,,,False,-0.0,False,0.5620490019036917
78,<MailManager.697250656.6544.mrc@Tomobiki-Cho.CAC.Washington.EDU>,,,,,False,-0.0,False,0.49999999999999784
79,<9202050858.AA17038@cs.kun.nl>,,,,,False,0.8,False,0.00041999103154815486
80,<YdXselIGG02=8jAAZA@athena.mit.edu>,,,,,False,0.0,False,2.759182437738227e-05
81,<7714.697348521@nma.com>,,,,,False,0.0,False,0.00020407398637474196
82,<9202051302.AA15044@itd.nrl.navy.mil>,,,,,False,-0.0,False,0.08481063209918853
83,<7805.697303208@dbc.mtview.ca.us>,,,,,False,-0.0,False,1.6766556482174684e-05
84,<9202051536.AA06264@dkuug.dk>,,,,,False,-0.0,False,0.2854074362882349
85,<9202051641.AA24273@Mordor.Stanford.EDU>,,,,,False,1.2,False,1.34880915379374e-08
