imap_uid,mid,header_flag,header_score,header_level,header_status,SA_flag,SA_score,AS_flag,AS_score
1,<OFBA9BD257.D2AE39E3-ON85256B88.006CE1BA@ftl.telematics.com>,,,,,False,-1.0,False,1.8957664966162548e-10
2,<OFB2ED278B.0AA26E7F-ON85256B8A.00517D1D@ftl.telematics.com>,,,,,False,-1.0,False,0.49999999999999784
3,<200204041201.HAA10607@ietf.org>,,,,,False,-2.0,False,0.49999999999999784
4,<200204041202.HAA10791@ietf.org>,,,,,False,-2.0,False,0.054200021945973835
5,<007901c1debb$607b79c0$8990a8c0@citr.com.au>,,,,,False,-0.8,False,0.49999999999999784
6,<HOEOKBICHKCHBFABNCHPIEPLCCAA.bob.ray@knology.net>,,,,,False,2.9,False,0.001299156153328721
7,<200204082221.PAA05569@dorothy.bmc.com>,,,,,False,-1.0,False,2.571600669539574e-10
8,<HOEOKBICHKCHBFABNCHPOEAACDAA.bob.ray@knology.net>,,,,,False,2.9,False,9.823552497594981e-11
9,<200204082249.PAA05813@dorothy.bmc.com>,,,,,False,-1.0,False,2.571600669539574e-10
10,<HOEOKBICHKCHBFABNCHPMEACCDAA.bob.ray@knology.net>,,,,,False,2.9,False,6.60182086642646e-11
11,<200204082335.QAA06019@dorothy.bmc.com>,,,,,False,-1.0,False,2.571600669539574e-10
12,<A451D5E6F15FD211BABC0008C7FAD7BC0D8E0FB2@nl0006exch003u.nl.lucent.com>,,,,,False,-1.0,False,1.1983967422579866e-07
13,<HOEOKBICHKCHBFABNCHPMEAJCDAA.bob.ray@knology.net>,,,,,False,2.9,False,4.2885645908776734e-10
14,<HOEOKBICHKCHBFABNCHPAEBHCDAA.bob.ray@knology.net>,,,,,False,3.8,False,1.6900113321252406e-07
15,<E0EC2F584976184F800722BDA884A9BB084165@dct1.commscraft.com>,,,,,False,0.3,False,5.608348741857357e-05
16,<E0EC2F584976184F800722BDA884A9BB089129@dct1.commscraft.com>,,,,,False,0.3,False,3.940803224531479e-08
17,<scbc35bb.056@mail.pel.dk>,,,,,False,0.7,False,4.4602727702607765e-06
18,<200204101213.IAA16259@ietf.org>,,,,,False,-2.0,False,0.49999999999999784
19,<OF03E4495E.81C939AD-ONC2256BA3.003D24D1@ecitele.com>,,,,,False,-1.0,False,0.49999999999999784
20,<OF6701A862.250F2741-ONC2256BA9.004D7BDC@ecitele.com>,,,,,False,-1.0,False,0.49999999999999784
21,<200204300105.SAA14312@dorothy.bmc.com>,,,,,False,-1.0,False,2.571600669539574e-10
22,<HOEOKBICHKCHBFABNCHPIEKFCDAA.bob.ray@knology.net>,,,,,False,0.3,False,4.442388011682654e-09
23,<200204302157.OAA17183@dorothy.bmc.com>,,,,,False,-1.0,False,6.274722725168981e-12
24,<200204302254.PAA17286@dorothy.bmc.com>,,,,,False,-1.0,False,2.571600669539574e-10
25,<200204302301.QAA17316@dorothy.bmc.com>,,,,,False,-1.0,False,2.571600669539574e-10
26,<200204302323.QAA17423@dorothy.bmc.com>,,,,,False,-1.0,False,3.798321211901393e-10
27,<3CCFF195.3E69FAD@alcatel.com>,,,,,False,-2.0,False,8.910283483791313e-06
28,<F107x8T02uCqeH5Gm7U00005cad@hotmail.com>,,,,,False,0.3,False,1.5342103022593635e-11
29,<200205011839.LAA20848@dorothy.bmc.com>,,,,,False,-1.0,False,1.6336434986013023e-10
30,<84582A71226438468E5A68C2752796BE02F0CB@plebe001.NOE.Nokia.com>,,,,,False,-2.0,False,2.124163405631152e-06
31,<HOEOKBICHKCHBFABNCHPMEKPCDAA.bob.ray@knology.net>,,,,,False,0.3,False,2.7858656854785014e-09
32,<200205021217.IAA17077@ietf.org>,,,,,False,-2.0,False,0.49999999999999784
33,<200205231128.HAA04456@ietf.org>,,,,,False,-2.0,False,0.49999999999999784
34,<20020529153815.67261.qmail@web20514.mail.yahoo.com>,,,,,False,0.3,False,0.49999999999999784
35,<637FAED82678D311AFAE0008C791D249030E75E2@lmyr227a.lm.ssc.siemens.com>,,,,,False,-0.0,False,0.03481168340193519
36,<F142Ao9wblpP3AjMZKr00005b61@hotmail.com>,,,,,False,0.3,False,2.819850287945859e-12
37,<20020612174646.12059.qmail@webmail2.knology.net>,,,,,False,-1.0,False,2.5552277519472106e-05
38,<F223vP7FOHdEDOCCukB00022aa4@hotmail.com>,,,,,False,0.3,False,2.0640397638422592e-13
