imap_uid,mid,header_flag,header_score,header_level,header_status,SA_flag,SA_score,AS_flag,AS_score
1,<20141117233840.31284.74197.idtracker@ietfa.amsl.com>,NO,-1.9,,"No, score=-1.9 tagged_above=-999 required=5 tests=[BAYES_00=-1.9] autolearn=ham",False,-2.0,False,0.49999999999999784
2,<CAL0qLwbPKKzUaXbbK2PKZFqhd+ZzuMmywHDGXgbDcDxwbTR31w@mail.gmail.com>,NO,-1.999,,"No, score=-1.999 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, DKIM_SIGNED=0.1, DKIM_VALID=-0.1, DKIM_VALID_AU=-0.1, FREEMAIL_FROM=0.001, HTML_MESSAGE=0.001, SPF_PASS=-0.001] autolearn=ham",False,-0.9,False,0.49999999999999784
3,<CAPRnXt=jRgS0Zv0M6xUdxVxypT+AWO42Cq6nCrnxNKB8rwvwzg@mail.gmail.com>,NO,-1.279,,"No, score=-1.279 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, DKIM_SIGNED=0.1, DKIM_VALID=-0.1, FM_FORGED_GMAIL=0.622, SPF_PASS=-0.001] autolearn=no",False,-0.6,False,0.03481168340193519
4,<CAPRnXtkg5GzLmPOWP=DrV8gTvgV+XDhOi=n3OZ86Yrhw+hOgJA@mail.gmail.com>,NO,0.621,,"No, score=0.621 tagged_above=-999 required=5 tests=[DKIM_SIGNED=0.1, DKIM_VALID=-0.1, FM_FORGED_GMAIL=0.622, SPF_PASS=-0.001] autolearn=no",False,-0.6,False,0.49999999999999784
5,<CAL0qLwad-UcKECA=m7Zqhw+VZ6wy=bFPVKs_ik+fqjPW7-U7cQ@mail.gmail.com>,NO,-1.999,,"No, score=-1.999 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, DKIM_SIGNED=0.1, DKIM_VALID=-0.1, DKIM_VALID_AU=-0.1, FREEMAIL_FROM=0.001, HTML_MESSAGE=0.001, SPF_PASS=-0.001] autolearn=ham",False,-0.9,False,0.49999999999999784
6,<CAPRnXt=m9=ALO=a6BuTM_jEFu1rJpec9NaWY4OYHVJmuWznNLQ@mail.gmail.com>,NO,-1.279,,"No, score=-1.279 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, DKIM_SIGNED=0.1, DKIM_VALID=-0.1, FM_FORGED_GMAIL=0.622, SPF_PASS=-0.001] autolearn=no",False,-0.6,False,0.5231955227565752
7,<CAPRnXtnBqSYnV0Dq24JXm-t3FNB5dWpb9UGng3yt_o_6V=7A4w@mail.gmail.com>,NO,-1.279,,"No, score=-1.279 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, DKIM_SIGNED=0.1, DKIM_VALID=-0.1, FM_FORGED_GMAIL=0.622, SPF_PASS=-0.001] autolearn=no",False,-0.6,False,0.49999999999999784
8,<54A41D6C.9010501@ninebynine.org>,NO,-4.2,,"No, score=-4.2 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, RCVD_IN_DNSWL_MED=-2.3] autolearn=ham",False,-2.0,False,0.49999999999999784
9,<CAL0qLwYAno_G-x8x_Qtzh1ncNijSXUNaGBKvXhmQaH3ANHAuTQ@mail.gmail.com>,NO,-1.999,,"No, score=-1.999 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, DKIM_SIGNED=0.1, DKIM_VALID=-0.1, DKIM_VALID_AU=-0.1, FREEMAIL_FROM=0.001, HTML_MESSAGE=0.001, SPF_PASS=-0.001] autolearn=ham",False,-0.9,False,0.49999999999999784
10,<CAL0qLwYrKS8ZBz2be2dvEXB_ChsBKyLXKcaq=wfUA_2K5Pxiog@mail.gmail.com>,NO,-1.999,,"No, score=-1.999 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, DKIM_SIGNED=0.1, DKIM_VALID=-0.1, DKIM_VALID_AU=-0.1, FREEMAIL_FROM=0.001, HTML_MESSAGE=0.001, SPF_PASS=-0.001] autolearn=ham",False,-0.9,False,0.49999999999999784
