imap_uid,mid,header_flag,header_score,header_level,header_status,SA_flag,SA_score,AS_flag,AS_score
1,<22A1E621-B23F-4B1A-AF95-2D5A941E38D6@mnot.net>,NO,-2.602,,"No, score=-2.602 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, RCVD_IN_DNSWL_LOW=-0.7, SPF_HELO_PASS=-0.001, SPF_PASS=-0.001] autolearn=ham autolearn_force=no",False,-2.0,False,0.49999999999999784
2,<147284174715.24812.10052171007018061951.idtracker@ietfa.amsl.com>,,,,,False,-2.0,False,0.49999999999999784
3,<EA8F6F9E-BD9C-4308-9B09-C823F2F820BF@isode.com>,NO,-2.549,,"No, score=-2.549 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, DKIM_SIGNED=0.1, DKIM_VALID=-0.1, DKIM_VALID_AU=-0.1, RP_MATCHES_RCVD=-0.548, SPF_PASS=-0.001] autolearn=ham autolearn_force=no",False,-1.9,False,0.03481168340193519
4,<3725ead4-fd66-fcda-e85d-dc55d1cb4287@dret.net>,NO,0.109,,"No, score=0.109 tagged_above=-999 required=5 tests=[DKIM_SIGNED=0.1, SPF_PASS=-0.001, T_DKIM_INVALID=0.01] autolearn=no autolearn_force=no",False,-1.9,False,0.49999999999999784
5,<D221DE91-9422-41F7-A113-C1CA0F5B16BF@fastmail.fm>,NO,-2.72,,"No, score=-2.72 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, DKIM_SIGNED=0.1, DKIM_VALID=-0.1, DKIM_VALID_AU=-0.1, FREEMAIL_FROM=0.001, RCVD_IN_DNSWL_LOW=-0.7, RCVD_IN_MSPIKE_H3=-0.01, RCVD_IN_MSPIKE_WL=-0.01, SPF_PASS=-0.001] autolearn=ham autolearn_force=no",False,-1.9,False,0.49999999999999784
6,<8760qb5c5o.fsf@hobgoblin.ariadne.com>,NO,-1.934,,"No, score=-1.934 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, HEADER_FROM_DIFFERENT_DOMAINS=0.001, RCVD_IN_DNSWL_LOW=-0.7, SPF_SOFTFAIL=0.665] autolearn=no autolearn_force=no",False,-0.8,False,0.49999999999999784
7,<CAOHm=4vrvTJyGQZU1MsKdeU0MAZ=dYjbziLPUPFGhC1Vdf7n9A@mail.gmail.com>,NO,-2.7,,"No, score=-2.7 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, DKIM_SIGNED=0.1, DKIM_VALID=-0.1, DKIM_VALID_AU=-0.1, HTML_MESSAGE=0.001, RCVD_IN_DNSWL_LOW=-0.7, SPF_PASS=-0.001] autolearn=ham autolearn_force=no",False,-0.9,False,0.49999999999999784
8,<cd950777-2aea-111c-7b4a-07c6b3a10d75@gmx.de>,NO,-1.494,,"No, score=-1.494 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, FREEMAIL_FROM=0.001, LOCALPART_IN_SUBJECT=1.107, RCVD_IN_DNSWL_LOW=-0.7, RCVD_IN_MSPIKE_H2=-0.001, SPF_PASS=-0.001] autolearn=ham autolearn_force=no",False,-2.0,False,0.49999999999999784
9,<CAC_shQe9V9Sw=J4B6afeB4oRzCzkYqeSqHdZws_bjD8trwmVmw@mail.gmail.com>,NO,-0.379,,"No, score=-0.379 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, DKIM_SIGNED=0.1, DKIM_VALID=-0.1, DKIM_VALID_AU=-0.1, EMPTY_MESSAGE=2.32, FREEMAIL_FROM=0.001, HTML_MESSAGE=0.001, RCVD_IN_DNSWL_LOW=-0.7, SPF_PASS=-0.001] autolearn=no autolearn_force=no",False,1.5,False,0.49999999999999784
10,<dc309518-affe-77b5-def3-5917ba3f0a2b@dret.net>,NO,-0.77,,"No, score=-0.77 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, DKIM_SIGNED=0.1, MISSING_HEADERS=1.021, SPF_PASS=-0.001, T_DKIM_INVALID=0.01] autolearn=no autolearn_force=no",False,-0.7,False,0.49999999999999784
