imap_uid,mid,header_flag,header_score,header_level,header_status,SA_flag,SA_score,AS_flag,AS_score
1,,,0.0 (/),,,False,-2.0,False,0.6152907348201759
2,<39C363776A4E8C4A94691D2BD9D1C9A1818A18@XCH-NW-7V2.nw.nos.boeing.com>,,0.0 (/),,,False,0.3,False,0.49999999999999784
3,<m2u0biqviv.wl%ryuji@sfc.wide.ad.jp>,,0.0 (/),,,False,-2.0,False,0.49999999999999784
4,<43E1E998.8070500@piuha.net>,,0.0 (/),,,False,-0.8,False,0.49999999999999784
5,,,0.0 (/),,,False,-2.0,False,0.6152907348201759
6,<43E210BF.5010707@piuha.net>,,0.0 (/),,,False,-0.8,False,0.07864247317713298
7,<43E2131D.2030402@piuha.net>,,0.0 (/),,,False,-0.8,False,0.49999999999999784
8,<43E220C8.4040009@unibas.ch>,,0.0 (/),,,False,-0.8,False,0.49999999999999784
9,<4D2F935F08D41A4C8866693F4F0D7C4F865A2B@lan-ex-01.panasonic.de>,,0.0 (/),,,False,-2.0,False,0.15960297761042466
10,<43E23DF9.8000804@unibas.ch>,,0.0 (/),,,False,-0.8,False,0.49999999999999784
11,<43E24493.2090409@iprg.nokia.com>,,0.0 (/),,,False,-1.2,False,0.49999999999999784
12,<C007B29E.D08F%rdroms@cisco.com>,,0.0 (/),,,False,-2.0,False,0.49999999999999784
13,<43E24C9C.7020506@iprg.nokia.com>,,0.0 (/),,,False,-1.2,False,0.49999999999999784
14,<39C363776A4E8C4A94691D2BD9D1C9A1818A1E@XCH-NW-7V2.nw.nos.boeing.com>,,0.0 (/),,,False,0.3,False,0.49999999999999784
15,<43E26C67.2000802@iprg.nokia.com>,,0.0 (/),,,False,-1.2,False,0.16528121032310528
16,<39C363776A4E8C4A94691D2BD9D1C9A1818A22@XCH-NW-7V2.nw.nos.boeing.com>,,0.0 (/),,,False,0.3,False,0.49999999999999784
17,,,0.0 (/),,,False,-2.0,False,0.6152907348201759
18,<4D2F935F08D41A4C8866693F4F0D7C4F865A78@lan-ex-01.panasonic.de>,,0.0 (/),,,False,-2.0,False,0.49999999999999784
19,<43E33057.1080607@dif.um.es>,,0.0 (/),,,False,-0.8,False,0.49999999999999784
20,,,0.0 (/),,,False,1.3,False,0.49999999999999784
21,,,0.0 (/),,,False,1.3,False,0.49999999999999784
22,<43E35F77.6060209@piuha.net>,,0.0 (/),,,False,-0.8,False,0.49999999999999784
23,<43E37F6B.6090606@iprg.nokia.com>,,0.0 (/),,,False,-1.2,False,0.49999999999999784
24,<01be01c628e3$98ebdf40$165cfa84@SEXTANT>,,0.0 (/),,,False,0.3,False,0.49999999999999784
25,<01bf01c628e5$0cc42200$165cfa84@SEXTANT>,,0.0 (/),,,False,0.3,False,0.49999999999999784
26,<43E39065.5040206@iprg.nokia.com>,,0.0 (/),,,False,-1.2,False,0.49999999999999784
27,<01c101c628e7$a1e7fe90$165cfa84@SEXTANT>,,0.0 (/),,,False,0.3,False,0.49999999999999784
28,<01c201c628e9$982ced50$165cfa84@SEXTANT>,,0.0 (/),,,False,0.3,False,0.15960297761042466
29,<D2AA47A6FB2C1A48AF0526440C0F245C0A0F9F13@monm207.nae.ds.army.mil>,,0.0 (/),,,False,-1.0,False,0.49999999999999784
30,<39C363776A4E8C4A94691D2BD9D1C9A1818A26@XCH-NW-7V2.nw.nos.boeing.com>,,0.0 (/),,,False,0.3,False,0.49999999999999784
31,<39C363776A4E8C4A94691D2BD9D1C9A1818A27@XCH-NW-7V2.nw.nos.boeing.com>,,0.0 (/),,,False,0.3,False,0.49999999999999784
