imap_uid,mid,header_flag,header_score,header_level,header_status,SA_flag,SA_score,AS_flag,AS_score
1,<AE5D0E4D-C9A8-4002-9C37-11144496EF31@gmail.com>,NO,-1.749,,"No, score=-1.749 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, DKIM_SIGNED=0.1, DKIM_VALID=-0.1, DKIM_VALID_AU=-0.1, FREEMAIL_ENVFROM_END_DIGIT=0.25, FREEMAIL_FROM=0.001, HTML_MESSAGE=0.001, SPF_PASS=-0.001] autolearn=no",False,-1.6,False,0.49999999999999784
2,<CAG4d1rfTewJat_BRcVU--jSwCGYRA0ViqGjEZ14Y5ko41HZN-A@mail.gmail.com>,NO,-101.999,,"No, score=-101.999 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, DKIM_SIGNED=0.1, DKIM_VALID=-0.1, DKIM_VALID_AU=-0.1, FREEMAIL_FROM=0.001, HTML_MESSAGE=0.001, SPF_PASS=-0.001, USER_IN_WHITELIST=-100] autolearn=ham",False,-0.9,False,0.49999999999999784
3,<CAGnRvuopih+uzwPNjBw_R39UJrTD=t0kW+uGjx7eZ1wTOu_E+Q@mail.gmail.com>,NO,-2,,"No, score=-2 tagged_above=-999 required=5 tests=[BAYES_00=-1.9,  DKIM_SIGNED=0.1, DKIM_VALID=-0.1, DKIM_VALID_AU=-0.1, FREEMAIL_FROM=0.001, SPF_PASS=-0.001] autolearn=ham",False,-0.9,False,0.49999999999999784
4,<2764EFB9-A025-44B3-939E-90309B0B9E6E@nominum.com>,NO,-1.91,,"No, score=-1.91 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, T_RP_MATCHES_RCVD=-0.01] autolearn=ham",True,5.5,False,0.49999999999999784
5,<871tfb3rv3.wl-jch@pps.univ-paris-diderot.fr>,NO,0.922,,"No, score=0.922 tagged_above=-999 required=5 tests=[BAYES_40=-0.001, HELO_EQ_FR=0.35, URG_BIZ=0.573] autolearn=no",False,-1.1,False,0.8037307242061429
6,<DC617F33-E172-49EA-81AC-73AB7275DA6E@nominum.com>,NO,-1.909,,"No, score=-1.909 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, HTML_MESSAGE=0.001, T_RP_MATCHES_RCVD=-0.01] autolearn=ham",True,5.5,False,0.49999999999999784
7,<87pp2t76wi.wl-jch@pps.univ-paris-diderot.fr>,NO,-1.55,,"No, score=-1.55 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, HELO_EQ_FR=0.35] autolearn=no",False,-2.0,False,0.49999999999999784
8,<87lhdh7619.wl-jch@pps.univ-paris-diderot.fr>,NO,0.349,,"No, score=0.349 tagged_above=-999 required=5 tests=[BAYES_20=-0.001, HELO_EQ_FR=0.35] autolearn=no",False,-2.0,False,0.49999999999999784
9,<030001d0d49a$879e6060$96db2120$@riw.us>,NO,-1.91,,"No, score=-1.91 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, T_RP_MATCHES_RCVD=-0.01] autolearn=ham",False,-2.0,False,0.49999999999999784
10,<038c01d0d49d$70d278a0$527769e0$@riw.us>,NO,-1.91,,"No, score=-1.91 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, T_RP_MATCHES_RCVD=-0.01] autolearn=ham",False,-2.0,False,0.49999999999999784
11,<87d1yt70fe.wl-jch@pps.univ-paris-diderot.fr>,NO,0.349,,"No, score=0.349 tagged_above=-999 required=5 tests=[BAYES_40=-0.001, HELO_EQ_FR=0.35] autolearn=no",False,-2.0,False,0.49999999999999784
12,<CAGnRvuokm5hV27OONoAu2UUtVJNfikbJgiN2HgbvNowFa2drZA@mail.gmail.com>,NO,-2,,"No, score=-2 tagged_above=-999 required=5 tests=[BAYES_00=-1.9,  DKIM_SIGNED=0.1, DKIM_VALID=-0.1, DKIM_VALID_AU=-0.1, FREEMAIL_FROM=0.001, SPF_PASS=-0.001] autolearn=ham",False,-0.9,False,0.49999999999999784
