imap_uid,mid,header_flag,header_score,header_level,header_status,SA_flag,SA_score,AS_flag,AS_score
1,<E1CBF4C7095A3D4CAAAEAD09FBB8E08C05A8C133@xmb-sjc-234.amer.cisco.com>,NO,-6.236,,"No, score=-6.236 tagged_above=-999 required=5 tests=[AWL=0.363, BAYES_00=-2.599, RCVD_IN_DNSWL_MED=-4]",False,1.4,False,0.49999999999999784
2,<20111101164833.792101F0C44@ietfa.amsl.com>,,,,,False,-0.8,False,0.006803068167124697
3,<EDC0A1AE77C57744B664A310A0B23AE2216570FC@FRMRSSXCHMBSC3.dc-m.alcatel-lucent.com>,NO,-106.154,,"No, score=-106.154 tagged_above=-999 required=5 tests=[AWL=0.095, BAYES_00=-2.599, HELO_EQ_FR=0.35, RCVD_IN_DNSWL_MED=-4, USER_IN_WHITELIST=-100]",False,1.2,False,0.03481168340193519
4,<E1CBF4C7095A3D4CAAAEAD09FBB8E08C05A8C647@xmb-sjc-234.amer.cisco.com>,NO,-6.254,,"No, score=-6.254 tagged_above=-999 required=5 tests=[AWL=0.345, BAYES_00=-2.599, RCVD_IN_DNSWL_MED=-4]",False,1.4,False,0.49999999999999784
5,<EDC0A1AE77C57744B664A310A0B23AE22186A393@FRMRSSXCHMBSC3.dc-m.alcatel-lucent.com>,NO,-105.867,,"No, score=-105.867 tagged_above=-999 required=5 tests=[AWL=-0.218, BAYES_00=-2.599, HELO_EQ_FR=0.35, J_CHICKENPOX_13=0.6, RCVD_IN_DNSWL_MED=-4, USER_IN_WHITELIST=-100]",False,1.2,False,0.49999999999999784
6,<4EB3BBFD.9010508@ericsson.com>,NO,-106.563,,"No, score=-106.563 tagged_above=-999 required=5 tests=[AWL=0.036, BAYES_00=-2.599, RCVD_IN_DNSWL_MED=-4, USER_IN_WHITELIST=-100]",False,0.2,False,0.49999999999999784
7,<EDC0A1AE77C57744B664A310A0B23AE22186A413@FRMRSSXCHMBSC3.dc-m.alcatel-lucent.com>,NO,-106.163,,"No, score=-106.163 tagged_above=-999 required=5 tests=[AWL=0.086, BAYES_00=-2.599, HELO_EQ_FR=0.35, RCVD_IN_DNSWL_MED=-4, USER_IN_WHITELIST=-100]",False,1.2,False,0.15960297761042466
8,<E1CBF4C7095A3D4CAAAEAD09FBB8E08C05C12E8A@xmb-sjc-234.amer.cisco.com>,NO,-6.259,,"No, score=-6.259 tagged_above=-999 required=5 tests=[AWL=0.340, BAYES_00=-2.599, RCVD_IN_DNSWL_MED=-4]",False,1.4,False,0.49999999999999784
9,<LUPI2R$CEF5B2AE21F53B2AFAEEFA1CDB876054@aruba.it>,NO,-0.719,,"No, score=-0.719 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, HELO_EQ_IT=0.635, HOST_EQ_IT=1.245]",False,0.3,False,0.49999999999999784
10,<4ec3163c.1258640a.3b77.ffffd444@mx.google.com>,NO,-3.599,,"No, score=-3.599 tagged_above=-999 required=5 tests=[AWL=-0.001, BAYES_00=-2.599, HTML_MESSAGE=0.001, RCVD_IN_DNSWL_LOW=-1]",False,-0.9,False,0.49999999999999784
11,<E1CBF4C7095A3D4CAAAEAD09FBB8E08C05CC2FD4@xmb-sjc-234.amer.cisco.com>,NO,-6.254,,"No, score=-6.254 tagged_above=-999 required=5 tests=[AWL=0.345, BAYES_00=-2.599, RCVD_IN_DNSWL_MED=-4]",False,1.4,False,0.49999999999999784
12,<EDC0A1AE77C57744B664A310A0B23AE221913AC4@FRMRSSXCHMBSC3.dc-m.alcatel-lucent.com>,NO,-106.175,,"No, score=-106.175 tagged_above=-999 required=5 tests=[AWL=0.074, BAYES_00=-2.599, HELO_EQ_FR=0.35, RCVD_IN_DNSWL_MED=-4, USER_IN_WHITELIST=-100]",False,1.2,False,0.03481168340193519
13,<4ECA2BB2.5080806@meetecho.com>,NO,0.581,,"No, score=0.581 tagged_above=-999 required=5 tests=[AWL=-1.300, BAYES_50=0.001, HELO_EQ_IT=0.635, HOST_EQ_IT=1.245]",False,1.2,False,0.49999999999999784
14,<EDC0A1AE77C57744B664A310A0B23AE221A0114D@FRMRSSXCHMBSC3.dc-m.alcatel-lucent.com>,NO,-105.847,,"No, score=-105.847 tagged_above=-999 required=5 tests=[AWL=0.402, BAYES_00=-2.599, HELO_EQ_FR=0.35, RCVD_IN_DNSWL_MED=-4, USER_IN_WHITELIST=-100]",False,1.2,False,0.15960297761042466
15,<C3759687E4991243A1A0BD44EAC823034C43C18519@BE235.mail.lan>,NO,-2.599,,"No, score=-2.599 tagged_above=-999 required=5 tests=[BAYES_00=-2.599]",False,-2.0,False,0.006803068167124697
