imap_uid,mid,header_flag,header_score,header_level,header_status,SA_flag,SA_score,AS_flag,AS_score
1,<199204042249.AA33657@home.ans.net>,,,,,False,-0.0,False,1.5023339080457595e-05
2,<9204061428.AA15311@rice.edu>,,,,,False,1.2,False,4.805913387927304e-11
3,<9204061619.AA10361@chestnut.Eng.Sun.COM>,,,,,False,0.8,False,2.499762685165349e-07
4,<199204061953.AA04510@valhalla.oar.net>,,,,,False,0.0,False,0.49999999999999784
5,<199204061956.AA04539@valhalla.oar.net>,,,,,False,1.7,False,0.6328552385253586
6,<9204062017.AA18526@monk.proteon.com>,,,,,False,-0.0,False,0.7213103339971368
7,<9204081757.AA08815@lager.cisco.com>,,,,,False,-0.0,False,0.00020021230169673093
8,<9204132103.AA26670@rice.edu>,,,,,False,1.2,False,2.367997220438754e-05
9,<9204132006.AA26091@rice.edu>,,,,,False,1.2,False,2.2943330386156903e-14
10,<9204141733.AA06279@netfs.dnd.ca>,,,,,False,0.8,False,0.1622709968535049
11,<9204141727.AA05313@rice.edu>,,,,,False,1.2,False,4.090696392297257e-09
12,<199204142043.AA09299@valhalla.oar.net>,,,,,False,0.0,False,0.6328552385253586
13,<9204200619.AA06541@lager.cisco.com>,,,,,False,-0.0,False,0.7481879005937712
14,<CMM.0.90.2.703731837.ldl@xyzzy.ans.net>,,,,,False,-0.0,False,3.09150916331461e-08
15,<9204201351.AA25968@rice.edu>,,,,,False,1.2,False,4.842250498499559e-05
16,<92Apr20.173620bst.105489@MrBill.CAnet.CA>,,,,,False,-0.0,False,0.49999999999999784
17,<92Apr22.042423bst.105489@MrBill.CAnet.CA>,,,,,False,1.1,False,0.49999999999999784
18,<9204211619.AA07067@rice.edu>,,,,,False,1.2,False,0.0009005455809107338
19,<9204221403.AA15346@rice.edu>,,,,,False,1.2,False,9.895798996455354e-11
20,<9204221944.AA22813@lager.cisco.com>,,,,,False,-0.0,False,0.00027395692391809747
21,<92Apr22.221527bst.105489@MrBill.CAnet.CA>,,,,,False,-0.0,False,0.00028438895364764377
22,<92Apr22.223222bst.105489@MrBill.CAnet.CA>,,,,,False,-0.0,False,3.8225945028590554e-07
23,<9204232104.AA29337@rice.edu>,,,,,False,-0.0,False,1.3613317772184101e-09
24,<CMM.0.90.2.704067204.sharad@xyzzy.ans.net>,,,,,False,-0.0,False,3.270363998917186e-06
25,<9204232257.AA18479@lager.cisco.com>,,,,,False,-0.0,False,0.007535199382389885
26,<9204241712.AA06069@rice.edu>,,,,,False,-0.0,False,5.6055528749802566e-05
27,<9204242232.AA19360@lager.cisco.com>,,,,,False,-0.0,False,0.6834905722943062
28,<9204251142.AA18756@kiddo.merit.edu>,,,,,False,-0.0,False,9.029563011285451e-08
29,<9204251523.AA16306@kingbee.watson.ibm.com>,,,,,False,-0.0,False,1.0866398758420115e-05
30,<9204271238.AA04327@mitchell.cit.cornell.edu>,,,,,False,0.8,False,0.0014747150598518094
31,<9204271606.AA23899@rice.edu>,,,,,False,-0.0,False,1.6327225284540584e-06
32,<9204271616.AA23991@rice.edu>,,,,,False,-0.0,False,4.337392381577719e-06
33,<9204271808.AA26925@lager.cisco.com>,,,,,False,-0.0,False,0.02044796926394526
34,<9204271815.AA27410@lager.cisco.com>,,,,,False,-0.0,False,0.0025404223756348384
35,<9204271842.AA15858@kiddo.merit.edu>,,,,,False,-0.0,False,8.230044308215695e-12
36,<9204271937.AA25885@rice.edu>,,,,,False,-0.0,False,7.917673933591594e-05
37,<9204272018.AA03948@lager.cisco.com>,,,,,False,-0.0,False,0.46252556397349803
38,<9204272159.AA27238@rice.edu>,,,,,False,-0.0,False,0.003001629906115929
39,<9204280111.AA18712@lager.cisco.com>,,,,,False,-0.0,False,0.42129319660773223
40,<9204281547.AA28067@lager.cisco.com>,,,,,False,-0.0,False,0.001299156153328721
41,<9204281534.AA02333@rice.edu>,,,,,False,-0.0,False,4.691573569925807e-05
42,<9204281634.AA03003@rice.edu>,,,,,False,-0.0,False,7.545817478184853e-07
43,<9204291655.AA11813@rice.edu>,,,,,False,-0.0,False,6.199297467656127e-11
44,<9204291752.AA12185@rice.edu>,,,,,False,-0.0,False,3.78744513947761e-12
45,<9205012012.AA04213@mitchell.cit.cornell.edu>,,,,,False,0.8,False,0.49999999999999784
46,<9205071958.AA09820@rice.edu>,,,,,False,1.2,False,7.404863659825077e-16
47,<9205141641.AA19358@acme.ucc.cuny.edu>,,,,,False,1.8,False,0.0016904101264989845
48,<9205221804.AA17857@atc.boeing.com>,,,,,False,-0.0,False,0.09617047142728222
49,<9205271801.AA15207@rice.edu>,,,,,False,1.2,False,1.7976591643079174e-10
50,<9206061855.AA19093@lager.cisco.com>,,,,,False,-0.0,False,0.008047841019482999
51,<9206141649.AA03112@rice.edu>,,,,,False,1.2,False,4.127411027599262e-12
52,<9206151658.AA09187@rice.edu>,,,,,False,1.2,False,1.4974923391542927e-14
53,<9206191513.AA12271@rice.edu>,,,,,False,1.2,False,5.991722680621757e-10
54,<9206191906.AA03590@goshawk.lanl.gov>,,,,,False,0.8,False,2.1890630113745115e-08
