imap_uid,mid,header_flag,header_score,header_level,header_status,SA_flag,SA_score,AS_flag,AS_score
1,<200102011004.FAA03120@optimus.ietf.org>,,,,,False,-2.0,False,4.040227332904538e-11
2,<2413FED0DFE6D111B3F90008C7FA61FB0B429812@nl0006exch002u.nl.lucent.com>,,,,,False,-1.0,False,1.030164773570157e-12
3,<802569F8.005BF989.00@notesmta.eur.3com.com>,,,,,False,-1.0,False,3.380068625201505e-08
4,<2413FED0DFE6D111B3F90008C7FA61FB0C4EF1F2@nl0006exch002u.nl.lucent.com>,,,,,False,-1.0,False,2.225617450076104e-09
5,<2413FED0DFE6D111B3F90008C7FA61FB0C5B0103@nl0006exch002u.nl.lucent.com>,,,,,False,-1.0,False,1.1407677629091512e-13
6,<59358A738F45D51186A30008C74CE250043D73@slc-exc1.ctron.com>,,,,,False,-1.0,False,8.45402353081249e-10
7,<3B02FD11.E538E563@rose.hp.com>,,,,,False,-1.0,False,1.947964668508187e-06
8,<200105152111.OAA13198@dorothy.bmc.com>,,,,,False,-1.0,False,1.3941824800996521e-12
9,<15F58915DF84D311AC7D0090279AA61444654C@itc-eml2.lannet.com>,,,,,False,-1.0,False,1.341488898396197e-09
10,<80256A65.004D91B3.00@notesmta.eur.3com.com>,,,,,False,-1.0,False,3.380068625201505e-08
11,<5.0.2.1.1.20010608095456.0360f280@mordor>,,,,,False,-1.0,False,0.008575933094942213
12,<200106271101.HAA25044@ietf.org>,,,,,False,-2.0,False,0.0023445600621737903
13,<200106271101.HAA24938@ietf.org>,,,,,False,-2.0,False,0.0023445600621737903
14,<5.0.2.1.1.20010707140202.02981920@134.141.172.15>,,,,,False,-1.0,False,1.8080912172840388e-05
15,<E15MYb7-0000LK-00@roam.psg.com>,,,,,False,-1.0,False,0.49999999999999784
16,<200107171716.NAA23758@ietf.org>,,,,,False,-2.0,False,0.49999999999999784
17,<200107200933.FAA04650@ietf.org>,,,,,False,-2.0,False,0.006192906056949586
18,<200108090005.CAA25826@henkell.ibr.cs.tu-bs.de>,,,,,False,-1.0,False,6.014271712539196e-10
19,<5.0.2.1.2.20010809021554.0260f6b0@mail.scruznet.com>,,,,,False,0.3,False,5.560499402391578e-09
20,<D77353F1D8FCD411AC3400105A640BB57104DD@es01-sjc.bmc.com>,,,,,False,-1.0,False,2.280517437676222e-13
21,<D77353F1D8FCD411AC3400105A640BB57104DE@es01-sjc.bmc.com>,,,,,False,-1.0,False,4.341089855488674e-07
22,<5.1.0.14.1.20010824155735.00a910c0@mordor.yagosys.com>,,,,,False,-1.0,False,1.7643222851870056e-06
23,<5.1.0.14.1.20010824161939.00a8b670@mordor.yagosys.com>,,,,,False,-1.0,False,1.3680807891802998e-08
24,<18609D34D984D31183780090279CF7E004BA8A1E@ITC-EML1>,,,,,False,-0.0,False,3.1409767903131584e-12
25,<18609D34D984D31183780090279CF7E004BA8A1F@ITC-EML1>,,,,,False,-0.0,False,1.1397734218940748e-14
26,<80256AB6.0039989D.00@notesmta.eur.3com.com>,,,,,False,-1.0,False,4.902281940670376e-07
27,<18609D34D984D31183780090279CF7E004BA8A4E@ITC-EML1>,,,,,False,-1.0,False,1.4203298292693465e-09
28,<D77353F1D8FCD411AC3400105A640BB57104F3@es01-sjc.bmc.com>,,,,,False,-1.0,False,4.84205828915427e-13
29,<D77353F1D8FCD411AC3400105A640BB57104FB@es01-sjc.bmc.com>,,,,,False,-1.0,False,5.904952435081715e-06
30,<80256AB7.0042DACB.00@notesmta.eur.3com.com>,,,,,False,-1.0,False,0.010340590719953142
31,<80256AB7.00433AB7.00@notesmta.eur.3com.com>,,,,,False,-1.0,False,9.310112776362784e-08
32,<5.1.0.14.1.20010829102415.00a1d140@mordor.yagosys.com>,,,,,False,-1.0,False,5.630815636171568e-05
33,<200108310636.XAA21244@mordor.yagosys.com>,,,,,False,-1.0,False,0.49999999999999784
34,<D77353F1D8FCD411AC3400105A640BB5710518@es01-sjc.bmc.com>,,,,,False,-1.0,False,2.297925967734815e-13
35,<5.1.0.14.1.20010831111222.00a354d0@mordor.yagosys.com>,,,,,False,-1.0,False,1.5506841384795474e-09
36,<D77353F1D8FCD411AC3400105A640BB571051A@es01-sjc.bmc.com>,,,,,False,-1.0,False,2.297925967734815e-13
37,<80256AE0.0047FF62.00@notesmta.eur.3com.com>,,,,,False,-1.0,False,0.0003963656439309555
38,<80256AE0.004A7C1A.00@notesmta.eur.3com.com>,,,,,False,-1.0,False,4.902281940670376e-07
39,<80256AE0.004AF9BB.00@notesmta.eur.3com.com>,,,,,False,-1.0,False,4.902281940670376e-07
40,<A37DCFC18E67944ABE602BC3EDA71646C3181C@worldwidepackets.com>,,,,,False,-1.0,False,0.00028430793255832524
41,<A37DCFC18E67944ABE602BC3EDA71646C3181D@worldwidepackets.com>,,,,,False,-1.0,False,0.00028430793255832524
42,<20011009200515.C1653@riverstonenet.com>,,,,,False,-1.0,False,1.3591882952120481e-05
43,<002d01c165f1$7d9e88f0$87885ac2@Alexr>,,,,,False,1.3,False,2.9357285740257566e-05
44,<80256B03.00799CEE.00@notesmta.eur.3com.com>,,,,,False,0.1,False,4.902281940670376e-07
45,<A37DCFC18E67944ABE602BC3EDA71646C31A2F@worldwidepackets.com>,,,,,False,-1.0,False,0.00149522355610746
46,<001d01c16cd9$34e37730$87885ac2@Alexr>,,,,,False,0.3,False,1.0152239668187814e-07
47,<002201c16d19$31cb1f90$87885ac2@Alexr>,,,,,False,0.3,False,3.1050694793779334e-09
48,<80256B04.005E30C9.00@notesmta.eur.3com.com>,,,,,False,-0.2,False,0.045613895995337286
49,<80256B05.000548BD.00@notesmta.eur.3com.com>,,,,,False,-1.0,False,7.156455303211889e-05
50,<A37DCFC18E67944ABE602BC3EDA71646C31A37@worldwidepackets.com>,,,,,False,-1.0,False,0.49999999999999784
51,<000d01c171cc$e7f0a760$87885ac2@Alexr>,,,,,False,0.3,False,0.0004831808543030388
52,<000401c17229$bd383e90$0100007f@corp.telseon.com>,,,,,False,2.6,False,1.4137130236433382e-07
53,<000501c17231$176a7020$0100007f@corp.telseon.com>,,,,,False,2.6,False,1.031285143485106e-09
54,<000401c17254$9ee80670$87885ac2@Alexr>,,,,,False,0.3,False,3.377107004573976e-08
55,<000501c17259$435982c0$87885ac2@Alexr>,,,,,False,0.3,False,1.0312181684301719e-09
56,<000c01c1726b$9c2f3090$87885ac2@Alexr>,,,,,False,0.3,False,5.420734249123352e-06
57,<000d01c1726d$449260d0$87885ac2@Alexr>,,,,,False,0.3,False,9.801427469682362e-12
58,<000c01c17260$179ce670$0100007f@corp.telseon.com>,,,,,False,2.6,False,2.2459531872277206e-08
59,<001101c17261$aac7cea0$0100007f@corp.telseon.com>,,,,,False,2.6,False,2.1927500593933172e-07
60,<59358A738F45D51186A30008C74CE25062A696@slc-exc1.ctron.com>,,,,,False,0.0,False,1.6617985453539744e-05
61,<003501c172a5$b43a3b50$87885ac2@Alexr>,,,,,False,0.3,False,5.750959137904355e-13
62,<200111271051.FAA17917@ietf.org>,,,,,False,-2.0,False,0.00657315351865349
63,<200111281052.FAA28024@ietf.org>,,,,,False,-2.0,False,0.004867545589221546
64,<80256B04.00037592.00@notesmta.eur.3com.com>,,,,,False,1.1,False,0.045613895995337286
65,<Pine.LNX.4.33.0111281035590.22597-100000@web110.iwl.com>,,,,,False,-1.0,False,1.3043584618711065e-12
66,<000c01c17b1a$6d84a420$87885ac2@Alexr>,,,,,False,0.3,False,7.57713855325287e-09
67,<80256B17.00587684.00@notesmta.eur.3com.com>,,,,,False,-1.0,False,0.001980410140731407
68,<80256B17.005CE9B7.00@notesmta.eur.3com.com>,,,,,False,-1.0,False,7.156455303211889e-05
69,<5.0.2.1.2.20011203111730.02403b30@mail4.bayarea.net>,,,,,False,-1.0,False,8.432409910786604e-08
70,<001401c17cb4$b511e190$87885ac2@Alexr>,,,,,False,0.3,False,8.141082655944082e-07
71,<80256B18.004A42F4.00@notesmta.eur.3com.com>,,,,,False,-1.0,False,9.310112776362784e-08
72,<42AB6BE23C29D511831E0002B32024881627E7@messenger.radlan.co.il>,,,,,False,-1.0,False,6.074100248600049e-15
73,<80256B18.006654B1.00@notesmta.eur.3com.com>,,,,,False,-1.0,False,3.380068625201505e-08
74,<A37DCFC18E67944ABE602BC3EDA71646C31A9B@worldwidepackets.com>,,,,,False,-1.0,False,0.00028430793255832524
75,<3C0D4555.5E185553@rose.hp.com>,,,,,False,-1.0,False,0.04149210969533274
76,<200112051628.fB5GSTA13581@haerke.ibr.cs.tu-bs.de>,,,,,False,-1.0,False,4.7516398649055206e-11
77,<F1549GQvnbEG10Gai4o0001342b@hotmail.com>,,,,,False,0.3,False,1.0445643893236029e-10
78,<20011210145652.F1379@riverstonenet.com>,,,,,False,-1.0,False,2.3386520948488338e-07
79,<F216AX6Irbh1VqQdoAx00014294@hotmail.com>,,,,,False,0.3,False,3.640522871195913e-13
80,<20011211152452.D951@riverstonenet.com>,,,,,False,-1.0,False,0.00024698759636400435
81,<20011212111159.B1364@riverstonenet.com>,,,,,False,-1.0,False,8.187125034706959e-08
82,<F175OylhgnFZS4HIv6E00000adb@hotmail.com>,,,,,False,0.3,False,0.001299156153328721
83,<F118Y0QUUBPcZi71mrv00000d58@hotmail.com>,,,,,False,0.3,False,3.204645026153445e-10
84,<20011212174834.R1364@riverstonenet.com>,,,,,False,-1.0,False,4.691573569925807e-05
85,<1F5C0728BA9CD51199E800508B9A1CBA014F59@amt-exc2.aprisma.com>,,,,,False,-1.0,False,3.1866354166435154e-11
86,<20011213151838.C1163@riverstonenet.com>,,,,,False,-1.0,False,1.6436139688753097e-07
87,<80256B22.000938AC.00@notesmta.eur.3com.com>,,,,,False,-1.0,False,9.310112776362784e-08
88,<2413FED0DFE6D111B3F90008C7FA61FB0E264323@nl0006exch002u.nl.lucent.com>,,,,,False,-1.0,False,8.992393756886264e-11
89,<80256B27.003CBBCB.00@notesmta.eur.3com.com>,,,,,False,-1.0,False,9.310112776362784e-08
90,<80256B27.0057F7F7.00@notesmta.eur.3com.com>,,,,,False,-1.0,False,1.3591882952120481e-05
91,<2413FED0DFE6D111B3F90008C7FA61FB0E264A0B@nl0006exch002u.nl.lucent.com>,,,,,False,-1.0,False,2.661549094525556e-10
92,<013201c2a865$2a6328a0$9787bc3e@tom3>,,,,,False,3.4,False,3.6994592281907454e-07
93,<000801c18d31$03b82c00$87885ac2@Alexr>,,,,,False,0.3,False,1.2717896309790017e-08
94,<80256B35.00461954.00@notesmta.eur.3com.com>,,,,,False,-1.0,False,4.902281940670376e-07
95,<001901c19397$3c3c3cd0$87885ac2@Alexr>,,,,,False,0.3,False,2.4202228079376824e-08
96,<80256B3C.003786F3.00@notesmta.eur.3com.com>,,,,,False,-1.0,False,1.3591882952120481e-05
97,<Pine.LNX.4.33.0201151729160.20797-100000@web110.iwl.com>,,,,,False,-1.0,False,1.8317181581108035e-08
98,<200202191200.HAA14754@ietf.org>,,,,,False,-2.0,False,0.004867545589221546
99,<20020219130329.G1223@riverstonenet.com>,,,,,False,-1.0,False,1.2578903096934983e-08
100,<00ac01c1b9be$f13e47c0$850f880a@slc252750>,,,,,False,3.8,False,1.0185935982206435e-09
101,<01ad01c1b9da$4399b340$87885ac2@Alexr>,,,,,False,0.3,False,4.1114557287903525e-10
102,<80256B6C.005FD2CD.00@notesmta.eur.3com.com>,,,,,False,-1.0,False,9.310112776362784e-08
103,<80256B6E.002C198D.00@notesmta.eur.3com.com>,,,,,False,-1.0,False,1.1706996817029733e-06
104,<009601c1c031$eeac6310$87885ac2@Alexr>,,,,,False,0.3,False,5.3549713636167865e-06
105,<80256B73.0035009D.00@notesmta.eur.3com.com>,,,,,False,-1.0,False,1.7384234465904213e-08
106,<5.1.0.14.0.20020306121142.02649600@odin>,,,,,False,-2.0,False,2.3379636918500242e-06
107,<A451D5E6F15FD211BABC0008C7FAD7BC0D43F8EF@nl0006exch003u.nl.lucent.com>,,,,,False,-1.0,False,2.7193056741573553e-09
108,<80256B87.00316ABD.00@notesmta.eur.3com.com>,,,,,False,-0.0,False,2.5813143291829896e-06
109,<D77353F1D8FCD411AC3400105A640BB57107DE@es01-sjc.bmc.com>,,,,,False,-1.0,False,1.9967200484919197e-12
110,<20020326071555.61498.qmail@web13402.mail.yahoo.com>,,,,,False,0.3,False,1.2362196286796967e-06
111,<001d01c1d4a3$531cd200$87885ac2@Alexr>,,,,,False,0.3,False,1.206785863517142e-06
112,<200203261219.HAA29575@ietf.org>,,,,,False,-2.0,False,0.00657315351865349
113,<003101c1d4ca$82eeb990$87885ac2@Alexr>,,,,,False,0.3,False,2.1596825909926816e-07
114,<59358A738F45D51186A30008C74CE250C90610@slc-exc1.ctron.com>,,,,,False,-1.0,False,8.77382786494688e-09
115,<80256B88.005C5D53.00@notesmta.eur.3com.com>,,,,,False,-1.0,False,2.5813143291829896e-06
116,<200203271208.HAA23206@ietf.org>,,,,,False,-2.0,False,0.004867545589221546
117,<20020328162423.R24747@riverstonenet.com>,,,,,False,-1.0,False,0.0009725176628102697
118,<001301c1d6be$7bd19e70$850f880a@kcn>,,,,,False,3.8,False,8.339699390299367e-09
119,<20020329120424.D4146@riverstonenet.com>,,,,,False,-1.0,False,4.7232858729553356e-07
120,<001b01c1d87f$451513e0$87885ac2@Alexr>,,,,,False,0.3,False,0.49999999999999784
121,<002201c1d882$4e961010$87885ac2@Alexr>,,,,,False,0.3,False,5.345707467829999e-07
122,<42AB6BE23C29D511831E0002B3202488C29FC5@messenger.radlan.co.il>,,,,,False,-1.0,False,2.9935832868876443e-16
123,<80256B90.002FC6F3.00@notesmta.eur.3com.com>,,,,,False,-1.0,False,4.902281940670376e-07
124,<20020403160609.F4479@riverstonenet.com>,,,,,False,-1.0,False,0.001980410140731407
125,<011501c1e054$9aa98480$850f880a@kcn>,,,,,False,3.8,False,1.6669639659428306e-07
126,<011d01c1e055$10fafa10$850f880a@kcn>,,,,,False,3.8,False,1.993556137337398e-08
127,<scb2e68c.069@st-johns.org>,,,,,False,-1.0,False,1.9600937591420811e-10
128,<A451D5E6F15FD211BABC0008C7FAD7BC0D9C4DBD@nl0006exch003u.nl.lucent.com>,,,,,False,-1.0,False,3.824473944202869e-12
129,<59358A738F45D51186A30008C74CE250DA0886@slc-exc1.ctron.com>,,,,,False,-1.0,False,0.001299156153328721
130,<A451D5E6F15FD211BABC0008C7FAD7BC0D9C4F0B@nl0006exch003u.nl.lucent.com>,,,,,False,-1.0,False,4.793148287877941e-11
131,<004901c1ea10$3e8c6850$850f880a@kcn>,,,,,False,3.8,False,1.4508770159833505e-06
132,<000301c1f128$8ab99ad0$87885ac2@Alexr>,,,,,False,0.3,False,5.174483548575798e-10
133,<80256BAC.0055E871.00@notesmta.eur.3com.com>,,,,,False,-1.0,False,4.902281940670376e-07
134,<80256BAE.0037CEE0.00@notesmta.eur.3com.com>,,,,,False,-1.0,False,4.902281940670376e-07
135,<Pine.LNX.4.10.10205031314540.17666-100000@shell4.bayarea.net>,,,,,False,-1.0,False,2.9601923317455582e-08
136,<80256BB3.00268E8C.00@notesmta.eur.3com.com>,,,,,False,-1.0,False,4.902281940670376e-07
137,<200205231129.HAA04730@ietf.org>,,,,,False,-2.0,False,0.002854541373459458
138,<003801c2026c$86d49f00$87885ac2@Alexr>,,,,,False,0.3,False,0.31853667704185223
139,<20020523111555.D1464@riverstonenet.com>,,,,,False,-1.0,False,4.1159768095015636e-07
140,<917063BAB0DDB043AF5FAA73C7A835D417302F@windlord.WWP.COM>,,,,,False,-1.0,False,0.15960297761042466
141,<005001c20485$cc2c4510$87885ac2@Alexr>,,,,,False,0.3,False,0.001299156153328721
142,<20020526064304.86416.qmail@web13108.mail.yahoo.com>,,,,,False,0.3,False,6.332062752519619e-07
143,<20020526221520.C2410@riverstonenet.com>,,,,,False,-1.0,False,1.0389554100989115e-05
144,<20020527061808.85590.qmail@web13103.mail.yahoo.com>,,,,,False,0.3,False,4.5779551022365145e-06
145,<200205311121.HAA11491@ietf.org>,,,,,False,-2.0,False,0.03836678334726021
146,<20020603135428.78968.qmail@web13105.mail.yahoo.com>,,,,,False,0.3,False,0.001793859055227005
147,<5.1.0.14.2.20020610114828.01afa1c0@mail.expressoweb.co.uk>,,,,,False,3.8,False,2.444829510287689e-06
148,<200206191127.HAA13390@ietf.org>,,,,,False,-2.0,False,0.004585509657190307
149,<80256BE4.00398533.00@notesmta.eur.3com.com>,,,,,False,-1.0,False,2.5813143291829896e-06
150,<C87E5A01714C7840B92CDED9E79329CA51F659@leopard.seabridge.co.il>,,,,,False,-0.2,False,5.149165743824899e-06
151,<C87E5A01714C7840B92CDED9E79329CA51F65A@leopard.seabridge.co.il>,,,,,False,-0.2,False,3.722192569681384e-08
152,<80256BF0.0052F430.00@notesmta.eur.3com.com>,,,,,False,-1.0,False,0.001980410140731407
153,<20020709004403.GJ31154@riverstonenet.com>,,,,,False,-1.0,False,0.49999999999999784
154,<80256BF4.003977F2.00@notesmta.eur.3com.com>,,,,,False,-1.0,False,4.902281940670376e-07
155,<A451D5E6F15FD211BABC0008C7FAD7BC0E72F9D0@nl0006exch003u.nl.lucent.com>,,,,,False,-1.0,False,2.7193056741573553e-09
156,<AAB4B3D3CF0F454F98272CBE187FDE2F017B72C1@IS0004AVEXU1.global.avaya.com>,,,,,False,1.5,False,6.258440070591978e-08
157,<80256C00.0047EBFF.00@notesmta.eur.3com.com>,,,,,False,-1.0,False,9.310112776362784e-08
158,<80256C07.0032EB70.00@notesmta.eur.3com.com>,,,,,False,-1.0,False,9.310112776362784e-08
159,<OF1931F178.606C829F-ON65256C07.002F923E@lntinfotech.com>,,,,,False,-2.0,False,7.543005354449343e-09
160,<80256C0E.002BD3FA.00@notesmta.eur.3com.com>,,,,,False,-1.0,False,2.5813143291829896e-06
161,<80256C0E.002C8935.00@notesmta.eur.3com.com>,,,,,False,-1.0,False,4.902281940670376e-07
162,<80256C0E.0042F958.00@notesmta.eur.3com.com>,,,,,False,-1.0,False,4.892536115824833e-06
163,<20020807170747.GA1897@riverstonenet.com>,,,,,False,-1.0,False,7.156455303211889e-05
164,<20020807175617.GB1897@riverstonenet.com>,,,,,False,-1.0,False,0.001980410140731407
165,<20020807225052.GI1897@riverstonenet.com>,,,,,False,-1.0,False,1.025701480745129e-05
166,<200209241152.HAA23187@ietf.org>,,,,,False,-2.0,False,0.49999999999999784
167,<59358A738F45D51186A30008C74CE250C90822@slc-exc1.ctron.com>,,,,,False,-1.0,False,0.49999999999999784
