imap_uid,mid,header_flag,header_score,header_level,header_status,SA_flag,SA_score,AS_flag,AS_score
1,<2413FED0DFE6D111B3F90008C7FA61FB0B429812@nl0006exch002u.nl.lucent.com>,,,,,False,-1.0,False,1.030164773570157e-12
2,<802569F8.005BF989.00@notesmta.eur.3com.com>,,,,,False,-1.0,False,3.380068625201505e-08
3,<2413FED0DFE6D111B3F90008C7FA61FB0C4EF1F2@nl0006exch002u.nl.lucent.com>,,,,,False,-1.0,False,2.225617450076104e-09
4,<2413FED0DFE6D111B3F90008C7FA61FB0C5B0103@nl0006exch002u.nl.lucent.com>,,,,,False,-1.0,False,1.1407677629091512e-13
5,<59358A738F45D51186A30008C74CE250043D73@slc-exc1.ctron.com>,,,,,False,-1.0,False,8.45402353081249e-10
6,<200105152111.OAA13198@dorothy.bmc.com>,,,,,False,-1.0,False,1.3941824800996521e-12
7,<3B02FD11.E538E563@rose.hp.com>,,,,,False,-1.0,False,1.947964668508187e-06
8,<15F58915DF84D311AC7D0090279AA61444654C@itc-eml2.lannet.com>,,,,,False,-1.0,False,1.341488898396197e-09
9,<80256A65.004D91B3.00@notesmta.eur.3com.com>,,,,,False,-1.0,False,3.380068625201505e-08
10,<5.0.2.1.1.20010608095456.0360f280@mordor>,,,,,False,-1.0,False,0.008575933094942213
11,<200106271101.HAA25044@ietf.org>,,,,,False,-2.0,False,0.0023445600621737903
12,<200106271101.HAA24938@ietf.org>,,,,,False,-2.0,False,0.0023445600621737903
13,<5.0.2.1.1.20010707140202.02981920@134.141.172.15>,,,,,False,-1.0,False,1.8080912172840388e-05
14,<200107171716.NAA23758@ietf.org>,,,,,False,-2.0,False,0.49999999999999784
15,<E15MYb7-0000LK-00@roam.psg.com>,,,,,False,-1.0,False,0.49999999999999784
16,<200107200933.FAA04650@ietf.org>,,,,,False,-2.0,False,0.006192906056949586
17,<200108090005.CAA25826@henkell.ibr.cs.tu-bs.de>,,,,,False,-1.0,False,6.014271712539196e-10
18,<5.0.2.1.2.20010809021554.0260f6b0@mail.scruznet.com>,,,,,False,0.3,False,5.560499402391578e-09
19,<D77353F1D8FCD411AC3400105A640BB57104DD@es01-sjc.bmc.com>,,,,,False,-1.0,False,2.280517437676222e-13
20,<D77353F1D8FCD411AC3400105A640BB57104DE@es01-sjc.bmc.com>,,,,,False,-1.0,False,4.341089855488674e-07
21,<5.1.0.14.1.20010824155735.00a910c0@mordor.yagosys.com>,,,,,False,-1.0,False,1.7643222851870056e-06
