imap_uid,mid,header_flag,header_score,header_level,header_status,SA_flag,SA_score,AS_flag,AS_score
1,<20160204070103.30705.25424.idtracker@ietfa.amsl.com>,,,,,False,-2.0,False,0.49999999999999784
2,<20160204070328.31659.34964.idtracker@ietfa.amsl.com>,,,,,False,-2.0,False,0.49999999999999784
3,<alpine.OSX.2.11.1602042200280.74409@ary.lan>,NO,-3.136,,"No, score=-3.136 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, DKIM_SIGNED=0.1, DKIM_VALID=-0.1, DKIM_VALID_AU=-0.1, GB_I_LETTER=-2, HELO_MISMATCH_COM=0.553, HOST_MISMATCH_NET=0.311, KHOP_DYNAMIC=0.001, SPF_PASS=-0.001] autolearn=ham",False,4.0,False,0.49999999999999784
4,<2016042510132151839657@cnnic.cn>,NO,0.743,,"No, score=0.743 tagged_above=-999 required=5 tests=[BAYES_20=-0.001, HTML_MESSAGE=0.001, MIME_BASE64_TEXT=1.741, RCVD_IN_DNSWL_NONE=-0.0001, RP_MATCHES_RCVD=-0.996, SPF_HELO_PASS=-0.001, SPF_PASS=-0.001] autolearn=ham autolearn_force=no",False,1.2,False,0.15960297761042466
5,<20160425035826.40429.qmail@ary.lan>,NO,-1.901,,"No, score=-1.901 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, RCVD_IN_DNSWL_NONE=-0.0001, SPF_PASS=-0.001] autolearn=ham autolearn_force=no",False,0.3,False,0.49999999999999784
6,<20160523143953208004110@cnnic.cn>,NO,-3.327,,"No, score=-3.327 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, HTML_MESSAGE=0.001, RCVD_IN_DNSWL_NONE=-0.0001, RP_MATCHES_RCVD=-1.426, SPF_HELO_PASS=-0.001, SPF_PASS=-0.001] autolearn=ham autolearn_force=no",False,1.2,False,0.49999999999999784
7,<20160617113550585171231@cnnic.cn>,NO,-0.627,,"No, score=-0.627 tagged_above=-999 required=5 tests=[BAYES_50=0.8, HTML_MESSAGE=0.001, RCVD_IN_DNSWL_NONE=-0.0001, RP_MATCHES_RCVD=-1.426, SPF_HELO_PASS=-0.001, SPF_PASS=-0.001] autolearn=ham autolearn_force=no",False,1.2,False,0.15960297761042466
8,<20160701110543839274359@cnnic.cn>,NO,-3.327,,"No, score=-3.327 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, HTML_MESSAGE=0.001, RCVD_IN_DNSWL_NONE=-0.0001, RP_MATCHES_RCVD=-1.426, SPF_HELO_PASS=-0.001, SPF_PASS=-0.001] autolearn=ham autolearn_force=no",False,1.2,False,0.49999999999999784
9,<2016070518081619454724@cnnic.cn>,NO,-3.327,,"No, score=-3.327 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, HTML_MESSAGE=0.001, RCVD_IN_DNSWL_NONE=-0.0001, RP_MATCHES_RCVD=-1.426, SPF_HELO_PASS=-0.001, SPF_PASS=-0.001] autolearn=ham autolearn_force=no",False,1.2,False,0.49999999999999784
10,<20160712105042663750113@cnnic.cn>,NO,-3.188,,"No, score=-3.188 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, HTML_MESSAGE=0.001, RCVD_IN_DNSWL_NONE=-0.0001, RP_MATCHES_RCVD=-1.287, SPF_HELO_PASS=-0.001, SPF_PASS=-0.001] autolearn=ham autolearn_force=no",False,3.6,False,0.1240281332202095
11,<0000ee3211b6$5511bb69$83f19ac5$@frobbit.se>,NO,4.513,****,"No, score=4.513 tagged_above=-999 required=5 tests=[BAYES_50=0.8, HTML_MESSAGE=0.001, RCVD_IN_BL_SPAMCOP_NET=1.347, SPF_SOFTFAIL=0.665, URIBL_BLACK=1.7] autolearn=no autolearn_force=no",False,0.3,False,0.002126472942276694
12,<5C595954-2DC9-4684-A8D0-9EE0B0DCBF37@cnnic.cn>,NO,-2.036,,"No, score=-2.036 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, HTML_MESSAGE=0.001, MPART_ALT_DIFF_COUNT=1.112, RCVD_IN_DNSWL_NONE=-0.0001, RP_MATCHES_RCVD=-1.247, SPF_HELO_PASS=-0.001, SPF_PASS=-0.001] autolearn=no autolearn_force=no",False,1.5,False,0.010502887815873057
13,<2016081216403182986834@cnnic.cn>,NO,-3.148,,"No, score=-3.148 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, HTML_MESSAGE=0.001, RCVD_IN_DNSWL_NONE=-0.0001, RP_MATCHES_RCVD=-1.247, SPF_HELO_PASS=-0.001, SPF_PASS=-0.001] autolearn=ham autolearn_force=no",False,3.7,False,0.23658846480743118
14,<2016081216580612989340@cnnic.cn>,NO,-3.148,,"No, score=-3.148 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, HTML_MESSAGE=0.001, RCVD_IN_DNSWL_NONE=-0.0001, RP_MATCHES_RCVD=-1.247, SPF_HELO_PASS=-0.001, SPF_PASS=-0.001] autolearn=ham autolearn_force=no",False,1.2,False,0.49999999999999784
15,<20160824141039866719127@cnnic.cn>,NO,-2.449,,"No, score=-2.449 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, HTML_MESSAGE=0.001, RCVD_IN_DNSWL_NONE=-0.0001, RP_MATCHES_RCVD=-0.548, SPF_HELO_PASS=-0.001, SPF_PASS=-0.001] autolearn=ham autolearn_force=no",False,1.2,False,0.49999999999999784
16,<147577810294.23856.5007946233639108453.idtracker@ietfa.amsl.com>,,,,,False,-2.0,False,0.03481168340193519
17,<147586119948.8991.646853357790191403.idtracker@ietfa.amsl.com>,,,,,False,-2.0,False,0.03481168340193519
