imap_uid,mid,header_flag,header_score,header_level,header_status,SA_flag,SA_score,AS_flag,AS_score
1,<20150324210056.7043.46809.idtracker@ietfa.amsl.com>,NO,-1.9,,"No, score=-1.9 tagged_above=-999 required=5 tests=[BAYES_00=-1.9] autolearn=ham",False,-2.0,False,0.49999999999999784
2,<D4055D93-6FE3-475B-A782-6DAAEDD21CE8@mnot.net>,NO,0.098,,"No, score=0.098 tagged_above=-999 required=5 tests=[BAYES_50=0.8, RCVD_IN_DNSWL_LOW=-0.7, SPF_HELO_PASS=-0.001, SPF_PASS=-0.001] autolearn=ham",False,-2.0,False,0.49999999999999784
3,<5518D429.8070503@gmail.com>,NO,-2,,"No, score=-2 tagged_above=-999 required=5 tests=[BAYES_00=-1.9,  DKIM_SIGNED=0.1, DKIM_VALID=-0.1, DKIM_VALID_AU=-0.1, FREEMAIL_FROM=0.001, SPF_PASS=-0.001] autolearn=ham",False,-1.9,False,0.49999999999999784
4,<CAOdDvNrMUOKtDRR5=_iVkuR8ZOeoQExwt4M7yq+0c8BxjcktEg@mail.gmail.com>,NO,-1.277,,"No, score=-1.277 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, FM_FORGED_GMAIL=0.622, HTML_MESSAGE=0.001] autolearn=no",False,-1.0,False,0.49999999999999784
5,<CAHw9_iLcXOvwmtp+JUxDDVabp6hGEuj2dnP3Nw5NF0OS=ttFsg@mail.gmail.com>,NO,-1.377,,"No, score=-1.377 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, FM_FORGED_GMAIL=0.622, J_CHICKENPOX_51=0.6, LOTS_OF_MONEY=0.001, RCVD_IN_DNSWL_LOW=-0.7] autolearn=no",False,-1.0,False,0.49999999999999784
6,<4DEB8792-8B2F-448B-8E0E-64301481C2D5@gmail.com>,NO,-0.101,,"No, score=-0.101 tagged_above=-999 required=5 tests=[BAYES_40=-0.001, DKIM_SIGNED=0.1, DKIM_VALID=-0.1, DKIM_VALID_AU=-0.1, FREEMAIL_FROM=0.001, SPF_PASS=-0.001] autolearn=ham",False,-1.9,False,0.49999999999999784
7,<CABkgnnWmZDQUVdFcM6vC+qK8Nz_QFRWArL_PrcfkAw=th+Xhhw@mail.gmail.com>,NO,-1.399,,"No, score=-1.399 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, DKIM_SIGNED=0.1, DKIM_VALID=-0.1, DKIM_VALID_AU=-0.1, FREEMAIL_FROM=0.001, J_CHICKENPOX_51=0.6, LOTS_OF_MONEY=0.001, SPF_PASS=-0.001] autolearn=no",False,-0.9,False,0.49999999999999784
8,<CABkgnnVTcShe6V8q7kbFr+yfAXx3hSxevzMyfJMDeefCduNfkg@mail.gmail.com>,NO,-2,,"No, score=-2 tagged_above=-999 required=5 tests=[BAYES_00=-1.9,  DKIM_SIGNED=0.1, DKIM_VALID=-0.1, DKIM_VALID_AU=-0.1, FREEMAIL_FROM=0.001, SPF_PASS=-0.001] autolearn=ham",False,-0.9,False,0.49999999999999784
9,<950AE346-B9B9-4B64-8D88-97E9203E4E1A@cisco.com>,NO,-14.211,,"No, score=-14.211 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, DKIM_SIGNED=0.1, DKIM_VALID=-0.1, DKIM_VALID_AU=-0.1, MIME_8BIT_HEADER=0.3, RCVD_IN_DNSWL_HI=-5, SPF_PASS=-0.001, T_RP_MATCHES_RCVD=-0.01, USER_IN_DEF_DKIM_WL=-7.5] autolearn=ham",False,-1.9,False,0.49999999999999784
10,<CAHw9_iKAZCSMD+nLtEk1JivVFq+c4NNOvgxMzkpuc8MJeB-MKQ@mail.gmail.com>,NO,0.023,,"No, score=0.023 tagged_above=-999 required=5 tests=[BAYES_05=-0.5, FM_FORGED_GMAIL=0.622, J_CHICKENPOX_81=0.6, NORMAL_HTTP_TO_IP=0.001, RCVD_IN_DNSWL_LOW=-0.7] autolearn=no",False,-1.0,False,0.49999999999999784
11,<CABkgnnXnM8C5s2eSQUz8XC9OtRDqY_fq1-0fJ3FatgLc5jzNLA@mail.gmail.com>,NO,-2,,"No, score=-2 tagged_above=-999 required=5 tests=[BAYES_00=-1.9,  DKIM_SIGNED=0.1, DKIM_VALID=-0.1, DKIM_VALID_AU=-0.1, FREEMAIL_FROM=0.001, SPF_PASS=-0.001] autolearn=ham",False,-0.9,False,0.49999999999999784
12,<551A13D8.5040402@gmail.com>,NO,-2,,"No, score=-2 tagged_above=-999 required=5 tests=[BAYES_00=-1.9,  DKIM_SIGNED=0.1, DKIM_VALID=-0.1, DKIM_VALID_AU=-0.1, FREEMAIL_FROM=0.001, SPF_PASS=-0.001] autolearn=ham",False,-1.9,False,0.49999999999999784
13,,NO,-1.91,,"No, score=-1.91 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, T_RP_MATCHES_RCVD=-0.01] autolearn=ham",False,-2.0,False,0.49999999999999784
14,<CAHw9_iKE6Js2=FTCQXefUbSkxzYO6u0EMbg2DA5sBQYfGMG-Ag@mail.gmail.com>,NO,-1.978,,"No, score=-1.978 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, FM_FORGED_GMAIL=0.622, RCVD_IN_DNSWL_LOW=-0.7] autolearn=ham",False,-1.0,False,0.49999999999999784
15,<CADo9JyWGCD8R-Vbq3VFCC32woEoSu68BWGHWby61YvhtS6A+vg@mail.gmail.com>,NO,-1.388,,"No, score=-1.388 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, DKIM_SIGNED=0.1, DKIM_VALID=-0.1, DKIM_VALID_AU=-0.1, FM_FORGED_GMAIL=0.622, HTML_MESSAGE=0.001, SPF_PASS=-0.001, T_RP_MATCHES_RCVD=-0.01] autolearn=no",False,-0.9,False,0.49999999999999784
16,<CAHw9_iLAT9eAtk_+fO_JoTokB==fxbfaWR9z=JyH9-TgYPhU-w@mail.gmail.com>,NO,-1.978,,"No, score=-1.978 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, FM_FORGED_GMAIL=0.622, RCVD_IN_DNSWL_LOW=-0.7] autolearn=ham",False,-1.0,False,0.49999999999999784
17,<CAHw9_iLGqiXLoPHwDsjFs7QKz_My5CKP6_GbXojpoWsSXVqXUg@mail.gmail.com>,NO,-1.978,,"No, score=-1.978 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, FM_FORGED_GMAIL=0.622, RCVD_IN_DNSWL_LOW=-0.7] autolearn=ham",False,-1.0,False,0.15960297761042466
18,,NO,-1.91,,"No, score=-1.91 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, T_RP_MATCHES_RCVD=-0.01] autolearn=ham",False,-2.0,False,0.49999999999999784
19,<CALaySJJWvgivW=8heRxVTF3chkVwKM6K7QKb95hCbR0dML6y1Q@mail.gmail.com>,NO,-1.278,,"No, score=-1.278 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, DKIM_SIGNED=0.1, DKIM_VALID=-0.1, FM_FORGED_GMAIL=0.622, FREEMAIL_FROM=0.001, SPF_PASS=-0.001] autolearn=no",False,-0.6,False,0.49999999999999784
