imap_uid,mid,header_flag,header_score,header_level,header_status,SA_flag,SA_score,AS_flag,AS_score
1,<20151029014342.27610.14795.idtracker@ietfa.amsl.com>,,,,,False,-2.0,False,0.49999999999999784
2,<20151029234103.10432.26722.idtracker@ietfa.amsl.com>,,,,,False,-2.0,False,0.49999999999999784
3,<5606B89B-FCF0-4C75-BAB8-FB1E212F8D82@dericed.com>,NO,1.58,*,"No, score=1.58 tagged_above=-999 required=5 tests=[BAYES_50=0.8, HTML_MESSAGE=0.001, SPF_NEUTRAL=0.779] autolearn=no",False,-2.0,False,0.49999999999999784
4,<602BE739-954E-4457-A589-06C3AA9A716C@nostrum.com>,NO,-2.485,,"No, score=-2.485 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, RP_MATCHES_RCVD=-0.585] autolearn=ham",False,-2.0,False,0.49999999999999784
5,<20151120160121.5039.80164.idtracker@ietfa.amsl.com>,,,,,False,-2.0,False,0.49999999999999784
6,<5EDBE9D2-3E2F-4865-ACF9-497706E0CA07@dericed.com>,NO,1.58,*,"No, score=1.58 tagged_above=-999 required=5 tests=[BAYES_50=0.8, HTML_MESSAGE=0.001, SPF_NEUTRAL=0.779] autolearn=no",False,-2.0,False,0.49999999999999784
7,<20151201160101.GZ2936@bunkus.org>,NO,0.688,,"No, score=0.688 tagged_above=-999 required=5 tests=[BAYES_50=0.8, DKIM_SIGNED=0.1, DKIM_VALID=-0.1, DKIM_VALID_AU=-0.1, SPF_HELO_PASS=-0.001, SPF_PASS=-0.001, T_RP_MATCHES_RCVD=-0.01] autolearn=ham",False,-0.9,False,0.49999999999999784
8,<D99E7E07-C087-4D97-A36B-9F59C8C0FBE4@dericed.com>,NO,1.58,*,"No, score=1.58 tagged_above=-999 required=5 tests=[BAYES_50=0.8, HTML_MESSAGE=0.001, SPF_NEUTRAL=0.779] autolearn=no",False,-2.0,False,0.49999999999999784
9,<565F46D9.90801@nostrum.com>,NO,-1.909,,"No, score=-1.909 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, HTML_MESSAGE=0.001, T_RP_MATCHES_RCVD=-0.01] autolearn=ham",False,0.3,False,0.49999999999999784
10,<565F4C10.9040705@xiph.org>,NO,-5.313,,"No, score=-5.313 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, HELO_MISMATCH_ORG=0.611, HOST_MISMATCH_COM=0.311, RCVD_IN_DNSWL_HI=-5, SPF_SOFTFAIL=0.665] autolearn=ham",False,-2.0,False,0.49999999999999784
11,<565F4EB5.4000504@nostrum.com>,NO,-1.91,,"No, score=-1.91 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, T_RP_MATCHES_RCVD=-0.01] autolearn=ham",False,-2.0,False,0.49999999999999784
12,<AE5B0635-E61D-4306-BE3F-4675B08F8F71@dericed.com>,NO,-1.121,,"No, score=-1.121 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, SPF_NEUTRAL=0.779] autolearn=no",False,-2.0,False,0.49999999999999784
13,<565FC9A9.1050604@xiph.org>,NO,-5.313,,"No, score=-5.313 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, HELO_MISMATCH_ORG=0.611, HOST_MISMATCH_COM=0.311, RCVD_IN_DNSWL_HI=-5, SPF_SOFTFAIL=0.665] autolearn=ham",False,-2.0,False,0.49999999999999784
14,<C42E295D-B8AC-4D3A-AF43-3300875BBDAF@dericed.com>,NO,0.778,,"No, score=0.778 tagged_above=-999 required=5 tests=[BAYES_40=-0.001, SPF_NEUTRAL=0.779] autolearn=no",False,-2.0,False,0.49999999999999784
15,<CA++QPaKqCdbqh+q8GBh4khtSmYCK+khNA5wwE8yUHAP2ehA83Q@mail.gmail.com>,NO,-0.999,,"No, score=-0.999 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, DKIM_SIGNED=0.1, DKIM_VALID=-0.1, DKIM_VALID_AU=-0.1, FREEMAIL_FROM=0.001, FREEMAIL_REPLYTO=1, HTML_MESSAGE=0.001, SPF_PASS=-0.001] autolearn=no",False,-0.9,False,0.49999999999999784
16,<7B3D0399-D9DF-4800-A9B5-7CC6A3180232@dericed.com>,NO,-1.12,,"No, score=-1.12 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, HTML_MESSAGE=0.001, SPF_NEUTRAL=0.779] autolearn=no",False,-2.0,False,0.49999999999999784
17,<20151205083846.GA23795@bunkus.org>,NO,-0.612,,"No, score=-0.612 tagged_above=-999 required=5 tests=[BAYES_05=-0.5, DKIM_SIGNED=0.1, DKIM_VALID=-0.1, DKIM_VALID_AU=-0.1, SPF_HELO_PASS=-0.001, SPF_PASS=-0.001, T_RP_MATCHES_RCVD=-0.01] autolearn=ham",False,-0.9,False,0.49999999999999784
18,<CAHUoETKY1qY6Y+ZinLDPQ09yfVtCpnpLgP8+GK3NE0-h0kn2iA@mail.gmail.com>,NO,-1.128,,"No, score=-1.128 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, DKIM_SIGNED=0.1, DKIM_VALID=-0.1, DKIM_VALID_AU=-0.1, FM_FORGED_GMAIL=0.622, HTML_MESSAGE=0.001, HTML_OBFUSCATE_05_10=0.26, SPF_PASS=-0.001, T_RP_MATCHES_RCVD=-0.01] autolearn=no",False,-0.9,False,0.49999999999999784
19,<FFFD66F4-B7D7-4731-990F-3D5302026269@dericed.com>,NO,-1.12,,"No, score=-1.12 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, HTML_MESSAGE=0.001, SPF_NEUTRAL=0.779] autolearn=no",False,-2.0,False,0.49999999999999784
20,<CAHUoETJ1CN0Vz3ytZYJXKzfBQthVKnrX7U4-3da=-QQw1i+rsw@mail.gmail.com>,NO,-1.388,,"No, score=-1.388 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, DKIM_SIGNED=0.1, DKIM_VALID=-0.1, DKIM_VALID_AU=-0.1, FM_FORGED_GMAIL=0.622, HTML_MESSAGE=0.001, SPF_PASS=-0.001, T_RP_MATCHES_RCVD=-0.01] autolearn=no",False,-0.9,False,0.49999999999999784
21,<AF216242-B043-4D3E-AC71-EC01A23D1B34@dericed.com>,NO,1.58,*,"No, score=1.58 tagged_above=-999 required=5 tests=[BAYES_50=0.8, HTML_MESSAGE=0.001, SPF_NEUTRAL=0.779] autolearn=no",False,-2.0,False,0.49999999999999784
