imap_uid,mid,header_flag,header_score,header_level,header_status,SA_flag,SA_score,AS_flag,AS_score
1,<tsl4ph0vz30.fsf@mit.edu>,,0.1 (/),,,False,-0.8,False,0.10351018406551646
2,<873awk3ull.fsf@mocca.josefsson.org>,,0.0 (/),,"No, score=-0.0 required=4.0 tests=SPF_PASS autolearn=disabled  version=3.1.1",False,-0.7,False,0.49999999999999784
3,<60E8559BF5690B813666CABD@sirius.fac.cs.cmu.edu>,,0.0 (/),,,False,-1.8,False,0.49999999999999784
4,<20071009203406.GL24532@Sun.COM>,,-1.0 (-),,,False,-0.8,False,0.49999999999999784
5,<20071009203731.GM24532@Sun.COM>,,-1.0 (-),,,False,-0.8,False,0.49999999999999784
6,<87tzp02eqn.fsf@mocca.josefsson.org>,,0.0 (/),,"No, score=-0.0 required=4.0 tests=SPF_PASS autolearn=disabled  version=3.1.1",False,-0.7,False,0.49999999999999784
7,<tslk5pwugzz.fsf@mit.edu>,,0.1 (/),,,False,-0.8,False,0.15960297761042466
8,<20071009212516.GP24532@Sun.COM>,,-1.0 (-),,,False,-0.8,False,0.49999999999999784
9,<73A1D8BFF0B322B71283BF6B@sirius.fac.cs.cmu.edu>,,0.0 (/),,,False,-1.8,False,0.49999999999999784
10,<tslbqb7vlq6.fsf@mit.edu>,,0.0 (/),,,False,-0.8,False,0.49999999999999784
11,<3274808827.15922136@smtp.srv.cs.cmu.edu>,,0.0 (/),,,False,-1.8,False,0.49999999999999784
12,<tsl7ilvrujd.fsf@mit.edu>,,0.0 (/),,,False,-0.8,False,0.15960297761042466
13,<20071010143650.GT24532@Sun.COM>,,-1.0 (-),,,False,-0.8,False,0.49999999999999784
14,<tslmyurnhmv.fsf@mit.edu>,,0.0 (/),,,False,-0.8,False,0.49999999999999784
15,<Pine.LNX.4.33L.0710101102530.5381-100000@minbar.fac.cs.cmu.edu>,,0.0 (/),,,False,-1.8,False,2.3745309629359318e-06
