imap_uid,mid,header_flag,header_score,header_level,header_status,SA_flag,SA_score,AS_flag,AS_score
1,<9203061552.AA08786@suzzy.cs.utk.edu>,,,,,False,-0.0,False,5.659685682977763e-20
2,<9203130246.AA21379@nms.netman>,,,,,False,-0.0,False,0.00041273472705029095
3,<9203131415.AA06198@cardinals.ctron>,,,,,False,2.5,False,0.7442578002922589
4,<9203140903.AA05559@case.cs.utk.edu>,,,,,False,-0.0,False,7.852742830745429e-16
5,<9203301722.AA26613@gateway.bnr.ca>,,,,,False,1.6,False,0.019503969210001117
6,<9204010538.AA01287@lannet.com>,,,,,False,-0.0,True,0.9995790384496323
7,<9204011146.AA08737@dowtyns.dk>,,,,,False,0.8,True,0.9977351511284154
8,<9204012301.AA04297@suzzy.cs.utk.edu>,,,,,False,-0.0,False,1.715712748240786e-16
9,<9204131249.AA01848@king.ctron>,,,,,False,-0.0,False,2.0857970167770174e-06
10,<9204120212.AA01697@xap.xyplex.com>,,,,,False,0.8,False,0.001527928906336497
11,<9204120235.AA02471@xap.xyplex.com>,,,,,False,0.8,False,1.8441679329814405e-05
12,<9204120308.AA03762@xap.xyplex.com>,,,,,False,0.8,False,2.694213690711866e-07
13,<9206101318.AA06566@signet.com>,,,,,False,-0.0,True,0.9999816193615417
14,<9206171310.AA24897@signet.com>,,,,,False,-0.0,True,0.9999990994716158
15,<9206180708.AA24694@nms.netman>,,,,,False,-0.0,False,0.7521884316461035
16,<9207102123.AA03239@seymour1.cs.utk.edu>,,,,,False,-0.0,False,1.3485482730499779e-17
17,<9207102310.AA06534@cardinals.ctron>,,,,,False,-0.0,False,0.0018229961024713197
18,<9207161448.AA17648@us1rmc.bb.dec.com>,,,,,False,0.8,False,5.532119004880273e-07
19,<9207190145.AA03131@nms.netman>,,,,,False,-0.0,False,0.0003777554443085352
20,<9207191301.AA02532@moon.lannet.com>,,,,,False,4.2,False,0.7655714388040138
21,<9207201216.AA02837@us1rmc.bb.dec.com>,,,,,False,0.8,True,0.9494861281710121
22,<9207201944.AA12101@us1rmc.bb.dec.com>,,,,,False,0.8,False,0.0015741238620627723
23,<9207201708.AA03184@moon.lannet.com>,,,,,False,4.2,False,0.05217834606854035
24,<9207202228.AA15873@us1rmc.bb.dec.com>,,,,,False,0.8,True,0.9998802576138162
25,<9207210626.AA02539@nms.netman>,,,,,False,-0.0,False,0.2723567547125427
26,<9207210646.AA02568@nms.netman>,,,,,False,-0.0,False,0.02211877488870471
27,<9207211406.AA27411@cardinals.ctron>,,,,,False,-0.0,False,0.006445122800733269
28,<9207211521.AA25267@us1rmc.bb.dec.com>,,,,,False,0.8,False,1.579009849499585e-05
29,<9207211302.AA24571@moon.lannet.com>,,,,,False,4.2,True,0.9732224702482039
30,<9207222247.AA01512@cardinals.ctron>,,,,,False,-0.0,False,0.0006414782534899942
31,<9207230657.AA09969@FibHaifa.com>,,,,,False,-0.0,True,0.9998442677695897
32,<9208061258.AA10436@cardinals.ctron>,,,,,False,-0.0,False,1.48731467216191e-05
33,<9208071319.AA04823@roanoke.fibercom.com>,,,,,False,-0.0,False,0.006254449397964573
34,<9208071926.AA15137@cardinals.ctron>,,,,,False,-0.0,True,0.9882342242727615
35,<01GNCBN8RDSW91W73J@utkvx.utk.edu>,,,,,False,0.8,False,2.437356849656174e-08
36,<9208101238.AA13663@us1rmc.bb.dec.com>,,,,,False,0.8,False,0.030872738532477243
37,<9208101818.AA20674@cardinals.ctron>,,,,,False,-0.0,False,0.844883594833047
38,<9208101917.AA03682@maui.coral.com>,,,,,False,-0.0,False,2.3113585292328753e-05
39,<9208110940.AA08265@lannet.com>,,,,,False,2.4,True,0.9983565467415648
40,<9208111759.AA24394@cardinals.ctron>,,,,,False,-0.0,True,0.9999876954592071
41,<9208111823.AA24693@cardinals.ctron>,,,,,False,0.0,True,0.9992046490888687
42,<9208120649.AA27841@moon.lannet.com>,,,,,False,2.4,True,0.9999953034397835
43,<0095EFD88D6B94A0.21E004CB@davidsys.com>,,,,,False,-0.0,False,0.700273081760841
44,<9208121510.AA05430@FibHaifa.com>,,,,,False,2.4,True,0.9999999999828347
45,<9208130516.AA00303@moon.lannet.com>,,,,,False,2.4,True,0.9999999779118355
46,<9208171828.AA23596@sony.dowtyns.dk>,,,,,False,0.8,True,0.9998780014624147
47,<9208172140.AA11832@yeti.ctron>,,,,,False,-0.0,False,0.06997073826126694
48,<199208172320.AA00358@rainier.NSD.3Com.COM>,,,,,False,-0.0,False,0.8169110019340247
49,<9208180902.AA00804@sony.dowtyns.dk>,,,,,False,0.8,False,6.08676495626017e-11
50,<9208181541.AA19449@ultra.com>,,,,,False,-0.0,False,3.31147480051345e-07
51,<9208181824.AA12142@yeti.ctron>,,,,,False,-0.0,False,0.02590999704545015
52,<9208181805.AA18286@sony.dowtyns.dk>,,,,,False,0.8,False,8.240374477096043e-11
53,<9208181921.AA12174@yeti.ctron>,,,,,False,-0.0,False,0.463830277511772
54,<9208190522.AA06015@moon.lannet.com>,,,,,False,2.4,True,0.9988227446350858
55,<9208201342.AA04626@synnet.com>,,,,,False,0.0,False,1.2771107854805613e-05
56,<9208201548.AA13332@yeti.ctron>,,,,,False,-0.0,True,0.9920049242111847
57,<9208210844.AA16804@nms.netman>,,,,,False,-0.0,False,0.49999999999999784
58,<9208211722.AA13842@yeti.ctron>,,,,,False,0.0,True,0.995306848150959
59,<9208231127.AA00320@moon.lannet.com>,,,,,False,2.4,False,0.7583052604099941
60,<9208231900.AA21896@nms.netman>,,,,,False,-0.0,False,0.17663416793455256
61,<9208231927.AA21980@nms.netman>,,,,,False,-0.0,True,0.9979862005144772
62,<9208241706.AA15335@yeti.ctron>,,,,,False,0.0,True,0.9997837509315627
