imap_uid,mid,header_flag,header_score,header_level,header_status,SA_flag,SA_score,AS_flag,AS_score
1,<FA96E4B8-EECB-4CEB-BCE5-D99D2E2B4F7F@nostrum.com>,NO,-2.6,,"No, score=-2.6 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, SPF_PASS=-0.001]",False,-2.0,False,0.22737794128918348
2,<E1L3Znk-0000ea-4L@merlot.tools.ietf.org>,NO,-106.599,,"No, score=-106.599 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, RCVD_IN_DNSWL_MED=-4, USER_IN_WHITELIST=-100]",False,-1.0,False,0.49999999999999784
3,<39938694-B107-4D9E-AA95-59F306C32D02@estacado.net>,NO,-2.598,,"No, score=-2.598 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, HTML_MESSAGE=0.001]",False,-2.0,False,0.016182055177790217
4,<1696498986EFEC4D9153717DA325CB72028BA89F@vaebe104.NOE.Nokia.com>,NO,-6.46,,"No, score=-6.46 tagged_above=-999 required=5 tests=[AWL=0.139,  BAYES_00=-2.599, RCVD_IN_DNSWL_MED=-4]",False,-1.8,False,0.49999999999999784
5,<E1LUKLd-0003it-4L@merlot.tools.ietf.org>,NO,-106.466,,"No, score=-106.466 tagged_above=-999 required=5 tests=[AWL=0.133, BAYES_00=-2.599, RCVD_IN_DNSWL_MED=-4, USER_IN_WHITELIST=-100]",False,-1.0,False,0.49999999999999784
6,<498885B5.4000304@amsl.com>,NO,-100.495,,"No, score=-100.495 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, FH_RELAY_NODNS=1.451, HELO_MISMATCH_COM=0.553, RDNS_NONE=0.1, USER_IN_WHITELIST=-100]",False,0.4,False,0.49999999999999784
7,<E1LXkuq-00021I-4O@merlot.tools.ietf.org>,NO,-106.599,,"No, score=-106.599 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, RCVD_IN_DNSWL_MED=-4, USER_IN_WHITELIST=-100]",False,-1.0,False,0.49999999999999784
8,<E1LZlwC-00084F-4q@merlot.tools.ietf.org>,NO,-106.599,,"No, score=-106.599 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, RCVD_IN_DNSWL_MED=-4, USER_IN_WHITELIST=-100]",False,-1.0,False,0.49999999999999784
9,<499C55BC.1060200@amsl.com>,NO,-99.845,,"No, score=-99.845 tagged_above=-999 required=5 tests=[AWL=0.650, BAYES_00=-2.599, FH_RELAY_NODNS=1.451, HELO_MISMATCH_COM=0.553, RDNS_NONE=0.1, USER_IN_WHITELIST=-100]",False,0.5,False,0.49999999999999784
10,<E1LeFBT-00062S-3s@merlot.tools.ietf.org>,NO,-106.599,,"No, score=-106.599 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, RCVD_IN_DNSWL_MED=-4, USER_IN_WHITELIST=-100]",False,-1.0,False,0.49999999999999784
11,<49AC49CD.2000004@amsl.com>,NO,-100.042,,"No, score=-100.042 tagged_above=-999 required=5 tests=[AWL=0.453, BAYES_00=-2.599, FH_RELAY_NODNS=1.451, HELO_MISMATCH_COM=0.553, RDNS_NONE=0.1, USER_IN_WHITELIST=-100]",False,0.5,False,0.49999999999999784
12,<49AC4B6C.1020503@levkowetz.com>,NO,-102.599,,"No, score=-102.599 tagged_above=-999 required=5 tests=[AWL=0.000, BAYES_00=-2.599, USER_IN_WHITELIST=-100]",False,-2.0,False,0.49999999999999784
13,<E1Lf0yP-0004zL-4Z@merlot.tools.ietf.org>,NO,-106.599,,"No, score=-106.599 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, RCVD_IN_DNSWL_MED=-4, USER_IN_WHITELIST=-100]",False,-1.0,False,0.49999999999999784
14,<E1Ll8uj-0003KP-47@merlot.tools.ietf.org>,NO,-106.599,,"No, score=-106.599 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, RCVD_IN_DNSWL_MED=-4, USER_IN_WHITELIST=-100]",False,-1.0,False,0.49999999999999784
15,<9594826D-39C9-46BF-8F64-A7C184E3AE0B@nostrum.com>,NO,-2.6,,"No, score=-2.6 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, SPF_PASS=-0.001]",False,-2.0,False,0.22737794128918348
16,<E1LlAm6-0003Fh-4R@merlot.tools.ietf.org>,NO,-106.599,,"No, score=-106.599 tagged_above=-999 required=5 tests=[AWL=0.000, BAYES_00=-2.599, RCVD_IN_DNSWL_MED=-4, USER_IN_WHITELIST=-100]",False,-1.0,False,0.49999999999999784
17,<E1LlBG3-0004Ot-3k@merlot.tools.ietf.org>,NO,-106.599,,"No, score=-106.599 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, RCVD_IN_DNSWL_MED=-4, USER_IN_WHITELIST=-100]",False,-1.0,False,0.49999999999999784
18,<E1LlCO1-0000ib-3w@merlot.tools.ietf.org>,NO,-106.599,,"No, score=-106.599 tagged_above=-999 required=5 tests=[AWL=0.000, BAYES_00=-2.599, RCVD_IN_DNSWL_MED=-4, USER_IN_WHITELIST=-100]",False,-1.0,False,0.49999999999999784
19,<49C59DE7.9070109@amsl.com>,NO,-100.193,,"No, score=-100.193 tagged_above=-999 required=5 tests=[AWL=0.302, BAYES_00=-2.599, FH_RELAY_NODNS=1.451, HELO_MISMATCH_COM=0.553, RDNS_NONE=0.1, USER_IN_WHITELIST=-100]",False,0.5,False,0.49999999999999784
20,<49C59EBF.2050202@amsl.com>,NO,-100.236,,"No, score=-100.236 tagged_above=-999 required=5 tests=[AWL=0.259, BAYES_00=-2.599, FH_RELAY_NODNS=1.451, HELO_MISMATCH_COM=0.553, RDNS_NONE=0.1, USER_IN_WHITELIST=-100]",False,0.5,False,0.49999999999999784
21,<E2BFE2BD-BFE5-4821-9CD1-5C4706E4EDC0@nttv6.net>,NO,-2.599,,"No, score=-2.599 tagged_above=-999 required=5 tests=[BAYES_00=-2.599]",False,-2.0,False,0.22737794128918348
22,<49C80AC7.8090109@levkowetz.com>,NO,-102.576,,"No, score=-102.576 tagged_above=-999 required=5 tests=[AWL=0.023, BAYES_00=-2.599, USER_IN_WHITELIST=-100]",False,-2.0,False,0.49999999999999784
23,<E1LmHLh-0007JP-55@merlot.tools.ietf.org>,NO,-106.599,,"No, score=-106.599 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, RCVD_IN_DNSWL_MED=-4, USER_IN_WHITELIST=-100]",False,-1.0,False,0.49999999999999784
