imap_uid,mid,header_flag,header_score,header_level,header_status,SA_flag,SA_score,AS_flag,AS_score
1,<20150326163435.4802.70028.idtracker@ietfa.amsl.com>,NO,-1.9,,"No, score=-1.9 tagged_above=-999 required=5 tests=[BAYES_00=-1.9] autolearn=ham",False,-2.0,False,0.49999999999999784
2,<BL2PR03MB4334B0F0DC3E7494EA9F3E0F5080@BL2PR03MB433.namprd03.prod.outlook.com>,NO,-1.901,,"No, score=-1.901 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, HTML_MESSAGE=0.001, RCVD_IN_DNSWL_NONE=-0.0001, SPF_HELO_PASS=-0.001, SPF_PASS=-0.001] autolearn=ham",False,0.3,False,0.49999999999999784
3,<9c9c8392-99f6-48b1-a816-895636df1fab@alibaba-inc.com>,NO,-1.999,,"No, score=-1.999 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, DKIM_SIGNED=0.1, DKIM_VALID=-0.1, DKIM_VALID_AU=-0.1, HTML_MESSAGE=0.001, MIME_QP_LONG_LINE=0.001, SPF_PASS=-0.001] autolearn=ham",False,0.0,False,0.03481168340193519
4,<E9304CF8-010E-4D43-8537-BFB61234F35D@vpnc.org>,NO,-1.347,,"No, score=-1.347 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, HELO_MISMATCH_COM=0.553] autolearn=no",False,-2.0,False,0.49999999999999784
5,<2C3480A6-98F4-4C97-AAAF-7EFFCED57369@vpnc.org>,NO,-1.347,,"No, score=-1.347 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, HELO_MISMATCH_COM=0.553] autolearn=no",False,-2.0,False,0.49999999999999784
6,<BLUPR03MB4371CF16480E2340BE4E8FFF5090@BLUPR03MB437.namprd03.prod.outlook.com>,NO,-1.902,,"No, score=-1.902 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, SPF_HELO_PASS=-0.001, SPF_PASS=-0.001] autolearn=ham",False,3.8,False,0.49999999999999784
7,<5515A144.5060403@tzi.org>,NO,-1.55,,"No, score=-1.55 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, HELO_EQ_DE=0.35] autolearn=no",False,-2.0,False,0.49999999999999784
8,<BLUPR03MB437187A8194BEC8E764E101F5090@BLUPR03MB437.namprd03.prod.outlook.com>,NO,-1.902,,"No, score=-1.902 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, RCVD_IN_DNSWL_NONE=-0.0001, SPF_HELO_PASS=-0.001, SPF_PASS=-0.001] autolearn=ham",True,5.9,False,0.49999999999999784
9,<5515D7BC.5060408@tzi.org>,NO,-1.55,,"No, score=-1.55 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, HELO_EQ_DE=0.35] autolearn=no",False,-2.0,False,0.49999999999999784
10,<BY2PR03MB4427BB45B2C867BACD663E7F5090@BY2PR03MB442.namprd03.prod.outlook.com>,NO,-1.901,,"No, score=-1.901 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, HTML_MESSAGE=0.001, RCVD_IN_DNSWL_NONE=-0.0001, SPF_HELO_PASS=-0.001, SPF_PASS=-0.001] autolearn=ham",True,5.3,False,0.49999999999999784
