imap_uid,mid,header_flag,header_score,header_level,header_status,SA_flag,SA_score,AS_flag,AS_score
1,<20061227214652.GA8370@sources.org>,,0.1 (/),,,False,-1.0,False,0.07864247317713298
2,<20070106210304.GA14966@sources.org>,,0.1 (/),,,False,-1.0,False,0.49999999999999784
3,<20070106223320.GA21496@sources.org>,,0.1 (/),,,False,-1.0,False,0.00488507794476641
4,<20070106224542.GA31019@sources.org>,,0.1 (/),,,False,-1.0,False,0.10867223960203015
5,<719B62BF-0E67-4B26-B507-CABB47042B11@cisco.com>,,0.0 (/),,,False,-1.9,False,0.22737794128918348
6,<45A09E59.2050205@petit-huguenin.org>,,0.0 (/),,,False,-2.0,False,0.07864247317713298
7,<20070107163045.GA13618@sources.org>,,0.1 (/),,,False,-1.0,False,0.49999999999999784
8,<45A129E9.50905@gmx.de>,,0.0 (/),,,False,-2.0,False,0.49999999999999784
9,<20070107205255.GA14621@sources.org>,,0.1 (/),,,False,-1.0,False,0.49999999999999784
10,<20070107205841.GB14621@sources.org>,,0.1 (/),,,False,-1.0,False,0.49999999999999784
11,<20070107210218.GC14621@sources.org>,,0.1 (/),,,False,-1.0,False,0.03481168340193519
12,<45A20F62.9060306@gmx.de>,,0.0 (/),,,False,-2.0,False,0.49999999999999784
13,<45A20FBA.4070701@gmx.de>,,0.0 (/),,,False,-2.0,False,0.49999999999999784
14,<20070108135758.GA14406@nic.fr>,,0.0 (/),,,False,-1.0,False,0.07864247317713298
15,<20070108150010.GR12419@finch-staff-1.thus.net>,,0.0 (/),,,False,-1.0,False,0.49999999999999784
16,<20070108160637.GA32426@nic.fr>,,0.0 (/),,,False,-1.0,False,0.49999999999999784
17,<20070108161009.GU12419@finch-staff-1.thus.net>,,0.0 (/),,,False,-1.0,False,0.49999999999999784
18,<20070108162900.GA66689@finch-staff-1.thus.net>,,0.0 (/),,,False,-1.0,False,0.49999999999999784
19,<20070108164305.GB66689@finch-staff-1.thus.net>,,0.0 (/),,,False,-1.0,False,0.49999999999999784
20,<44272BFE-3AD2-43E4-9F1F-DF37B7B890C7@cisco.com>,,0.0 (/),,,False,-1.9,False,0.49999999999999784
21,<20070108204618.GA29407@sources.org>,,0.1 (/),,,False,-1.0,False,0.49999999999999784
22,<20070108210405.GC29407@sources.org>,,0.1 (/),,,False,-1.0,False,0.49999999999999784
23,<20070108235723.GA17340@finch-staff-1.thus.net>,,0.0 (/),,,False,-1.0,False,0.49999999999999784
24,<20070109000704.GB17340@finch-staff-1.thus.net>,,0.0 (/),,,False,-1.0,False,0.49999999999999784
25,<45A34BC6.3050407@gmx.de>,,0.0 (/),,,False,-2.0,False,0.49999999999999784
26,<20070109081753.GA1875@nic.fr>,,0.0 (/),,,False,-1.0,False,0.49999999999999784
27,<20070109082402.GA4968@nic.fr>,,0.0 (/),,,False,-1.0,False,0.49999999999999784
28,<45A35A28.1080901@gmx.de>,,0.0 (/),,,False,-2.0,False,0.49999999999999784
29,<45A3C888.26F3@xyzzy.claranet.de>,,0.0 (/),,,False,-0.2,False,0.49999999999999784
30,<45A3DFCD.5070703@gmx.de>,,0.0 (/),,,False,-2.0,False,0.49999999999999784
31,<20070109220532.GA28340@sources.org>,,0.1 (/),,,False,-1.0,False,0.49999999999999784
32,<20070109221042.GC28340@sources.org>,,0.1 (/),,,False,-1.0,False,0.21720709331328636
33,<20070109220856.GB28340@sources.org>,,0.1 (/),,,False,-1.0,False,0.49999999999999784
34,<20070109221430.GD28340@sources.org>,,0.1 (/),,,False,-1.0,False,0.21720709331328636
35,<20070110055950.GA5608@finch-staff-1.thus.net>,,0.0 (/),,,False,-1.0,False,0.49999999999999784
36,<20070110083134.GA24390@nic.fr>,,0.0 (/),,,False,-1.0,False,0.49999999999999784
37,<20070110083434.GB24390@nic.fr>,,0.0 (/),,,False,-1.0,False,0.49999999999999784
38,<20070110101510.GA29148@finch-staff-1.thus.net>,,0.0 (/),,,False,-1.0,False,0.49999999999999784
39,<20070110102247.GC29148@finch-staff-1.thus.net>,,0.0 (/),,,False,-1.0,False,0.49999999999999784
40,<20070110104637.GA32555@finch-staff-1.thus.net>,,0.0 (/),,,False,-1.0,False,0.49999999999999784
41,<20070110104810.GB32555@finch-staff-1.thus.net>,,0.0 (/),,,False,-1.0,False,0.21720709331328636
42,<45A5110B.4253@xyzzy.claranet.de>,,0.0 (/),,,False,-0.2,False,0.49999999999999784
43,<45A512E8.25CC@xyzzy.claranet.de>,,0.0 (/),,,False,-0.2,False,0.49999999999999784
44,<45A514D6.7030000@gmx.de>,,0.0 (/),,,False,-2.0,False,0.49999999999999784
45,<20070110162827.GB82678@finch-staff-1.thus.net>,,0.0 (/),,,False,-1.0,False,0.21720709331328636
46,<20070110162458.GA82678@finch-staff-1.thus.net>,,0.0 (/),,,False,-1.0,False,0.49999999999999784
47,<20070110163637.GA6966@nic.fr>,,0.0 (/),,,False,-1.0,False,0.49999999999999784
48,<45A51A01.3010107@gmx.de>,,0.0 (/),,,False,-2.0,False,0.49999999999999784
49,<20070110164420.GD82678@finch-staff-1.thus.net>,,0.0 (/),,,False,-1.0,False,0.21720709331328636
50,<20070110203056.GA614@preston.sources.org>,,0.1 (/),,,False,-1.0,False,0.49999999999999784
51,<45A555F1.3286@xyzzy.claranet.de>,,0.0 (/),,,False,-0.2,False,0.49999999999999784
52,<45A55B08.72DE@xyzzy.claranet.de>,,0.0 (/),,,False,-0.2,False,0.49999999999999784
53,<8C89C287-CBAF-402B-A0CE-91FE3A240ABD@osafoundation.org>,,0.0 (/),,,False,3.2,False,0.49999999999999784
54,<45A55C70.283F@xyzzy.claranet.de>,,0.2 (/),,,False,-0.2,False,0.49999999999999784
55,<45A55E1E.2080801@gmx.de>,,0.0 (/),,,False,-2.0,False,0.49999999999999784
56,<45A560A3.1080108@gmx.de>,,0.0 (/),,,False,-2.0,False,0.49999999999999784
57,<45A560D6.457E@xyzzy.claranet.de>,,0.0 (/),,,False,-0.2,False,0.49999999999999784
58,<45A56235.58F6@xyzzy.claranet.de>,,0.0 (/),,,False,-0.2,False,0.49999999999999784
59,<45A5666F.490C@xyzzy.claranet.de>,,0.0 (/),,,False,-0.2,False,0.49999999999999784
60,<45A56A51.2874@xyzzy.claranet.de>,,0.0 (/),,,False,-0.2,False,0.07864247317713298
61,<45A5F92A.2090301@gmx.de>,,0.0 (/),,,False,-2.0,False,0.49999999999999784
62,<45A62D3D.619C@xyzzy.claranet.de>,,0.0 (/),,,False,-0.2,False,0.49999999999999784
63,<45A63D1E.8020402@gmx.de>,,0.0 (/),,,False,-2.0,False,0.49999999999999784
64,<20070111145057.GE24072@finch-staff-1.thus.net>,,0.0 (/),,,False,-1.0,False,0.07148931722629788
65,<20070111150319.GG24072@finch-staff-1.thus.net>,,0.0 (/),,,False,-1.0,False,0.49999999999999784
66,<45A65484.4020008@gmx.de>,,0.0 (/),,,False,-2.0,False,0.49999999999999784
67,<20070111151232.GH24072@finch-staff-1.thus.net>,,0.0 (/),,,False,-1.0,False,0.21720709331328636
68,<20070111160952.GA24904@nic.fr>,,0.0 (/),,,False,-1.0,False,0.49999999999999784
69,<20070111162723.GL24072@finch-staff-1.thus.net>,,0.0 (/),,,False,-1.0,False,0.21720709331328636
70,<45A69776.2653@xyzzy.claranet.de>,,1.6 (+),,,False,-0.2,False,0.49999999999999784
71,<20070112073817.GB44116@finch-staff-1.thus.net>,,0.0 (/),,,False,-1.0,False,0.006528876709584385
72,<45B2F66D.402F@xyzzy.claranet.de>,,1.8 (+),,,False,2.3,False,0.49999999999999784
73,<45B2FF2C.51E9@xyzzy.claranet.de>,,1.6 (+),,,False,-0.2,False,0.49999999999999784
74,<20070205202703.GB1731@sources.org>,,0.1 (/),,,False,-1.0,False,0.49999999999999784
75,<45C845B5.7050201@gmx.net>,,0.0 (/),,,False,-2.0,False,0.49999999999999784
76,<20070206212438.GA23042@sources.org>,,0.1 (/),,,False,-1.0,False,0.49999999999999784
77,<45CA3AA8.3000609@gmx.net>,,0.0 (/),,,False,-1.0,False,0.49999999999999784
78,<71C245A9-A53C-4E44-B944-55381FBFA8E7@cisco.com>,,0.2 (/),,,False,-0.8,False,0.49999999999999784
79,<45CB76C9.5E@xyzzy.claranet.de>,,0.0 (/),,,False,-0.2,False,0.49999999999999784
80,<20070208204527.GA13732@sources.org>,,0.1 (/),,,False,-1.0,False,0.49999999999999784
81,<DF0756AA-496C-4057-89AA-079308CFCC1C@cisco.com>,,0.0 (/),,,False,-1.9,False,0.49999999999999784
82,<20070222145213.GA3622@nic.fr>,,0.0 (/),,,False,-1.0,False,0.49999999999999784
83,<20070314220733.GA28426@sources.org>,,0.1 (/),,,False,0.2,False,0.49999999999999784
84,<20070315112001.GA26679@nic.fr>,,0.0 (/),,,False,0.2,False,0.49999999999999784
85,<45F967B4.32C1@xyzzy.claranet.de>,,0.0 (/),,,False,0.0,False,0.49999999999999784
86,<20070315213151.GA22770@sources.org>,,0.1 (/),,,False,-0.8,False,0.49999999999999784
87,<20070316204531.GA11734@sources.org>,,0.1 (/),,,False,-0.8,False,0.49999999999999784
88,<FD18AE2B-0EC6-4E99-BCBC-821ED9307900@cisco.com>,,0.0 (/),,,False,-1.6,False,0.22737794128918348
89,<45FBD2BF.212C@xyzzy.claranet.de>,,0.0 (/),,,False,0.0,False,0.49999999999999784
90,<20070318080114.GA3694@laperouse.bortzmeyer.org>,,0.1 (/),,,False,-0.8,False,0.07864247317713298
91,<20070318081325.GC3694@laperouse.bortzmeyer.org>,,0.1 (/),,,False,-0.8,False,0.10080995254463002
92,<39A1C89E-CD8F-4997-9AE7-0CB69F531478@cisco.com>,,0.0 (/),,,False,-1.6,False,0.49999999999999784
93,<20070318185738.GA2941@laperouse.bortzmeyer.org>,,0.1 (/),,,False,-0.8,False,0.2854074362882349
94,<45FD9748.1D8E@xyzzy.claranet.de>,,0.0 (/),,,False,0.0,False,0.10531958704326877
95,<20070318200101.GA4669@laperouse.bortzmeyer.org>,,0.1 (/),,,False,-0.8,False,0.018318342778539446
96,<20070320220736.GA1463@laperouse.bortzmeyer.org>,,0.7 (/),,,False,-0.8,False,0.49999999999999784
97,<etp4jq$kmp$1@sea.gmane.org>,,0.0 (/),,,False,1.6,False,0.49999999999999784
98,<20070321093142.GA1658@laperouse.bortzmeyer.org>,,0.1 (/),,,False,-0.8,False,0.49999999999999784
99,<19120.1174472875@sandelman.ottawa.on.ca>,,0.1 (/),,,False,-1.8,False,0.49999999999999784
