imap_uid,mid,header_flag,header_score,header_level,header_status,SA_flag,SA_score,AS_flag,AS_score
1,<20040203092025.D75022@shell-ng.nominum.com>,,,,"No, hits=0.0 required=5.0 tests=none autolearn=no version=2.60",False,-2.0,False,0.7189408625521978
2,<401FDD6E.7070502@hxr.us>,,,,"No, hits=0.0 required=5.0 tests=none autolearn=no version=2.60",False,-2.0,False,0.7189408625521978
3,<20040203094248.O75022@shell-ng.nominum.com>,,,,"No, hits=0.0 required=5.0 tests=none autolearn=no version=2.60",False,-2.0,False,0.7189408625521978
4,<401FE0BA.1010803@hxr.us>,,,,"No, hits=0.0 required=5.0 tests=none autolearn=no version=2.60",False,-2.0,False,0.7189408625521978
5,<OF94B20E28.CFB94511-ONC1256E3D.0033AB24-C1256E3D.00345234@notes.denic.de>,,,,"No, hits=0.0 required=5.0 tests=none autolearn=no version=2.60",False,-2.0,False,0.7189408625521978
6,<200402171530.KAA04492@ietf.org>,,,,"No, hits=0.3 required=5.0 tests=AWL, NO_REAL_NAME autolearn=no  version=2.60",False,-2.0,False,0.7189408625521978
7,<200402171530.KAA04507@ietf.org>,,,,"No, hits=0.3 required=5.0 tests=AWL, NO_REAL_NAME autolearn=no  version=2.60",False,-2.0,False,0.7189408625521978
8,<200402171531.KAA04583@ietf.org>,,,,"No, hits=0.3 required=5.0 tests=NO_REAL_NAME autolearn=no  version=2.60",False,-2.0,False,0.7189408625521978
9,<200402171530.KAA04520@ietf.org>,,,,"No, hits=0.3 required=5.0 tests=AWL, NO_REAL_NAME autolearn=no  version=2.60",False,-2.0,False,0.7189408625521978
10,<20040218085807.J86038@shell-ng.nominum.com>,,,,"No, hits=0.0 required=5.0 tests=none autolearn=no version=2.60",False,-2.0,False,0.7189408625521978
11,<Pine.GSO.4.44.0402181212530.13426-100000@ops.arin.net>,,,,"No, hits=0.0 required=5.0 tests=none autolearn=no version=2.60",False,-1.0,False,0.3586533121209989
12,<20040218091928.C86038@shell-ng.nominum.com>,,,,"No, hits=0.0 required=5.0 tests=none autolearn=no version=2.60",False,-2.0,False,0.7189408625521978
13,<20040220170810.GB30772@x47.ripe.net>,,,,"No, hits=0.0 required=5.0 tests=none autolearn=no version=2.60",False,-1.0,False,0.7189408625521978
14,<20040223142340.E82277@shell-ng.nominum.com>,,,,"No, hits=0.0 required=5.0 tests=none autolearn=no version=2.60",False,-2.0,False,0.7189408625521978
15,<20040316111206.H32023@shell-ng.nominum.com>,,,,"No, hits=0.0 required=5.0 tests=none autolearn=no version=2.60",False,-2.0,False,0.7189408625521978
16,<20040318080801.I29888@shell-ng.nominum.com>,,,,"No, hits=0.0 required=5.0 tests=none autolearn=no version=2.60",False,-2.0,False,0.7189408625521978
17,<20040318081738.T29888@shell-ng.nominum.com>,,,,"No, hits=0.0 required=5.0 tests=none autolearn=no version=2.60",False,-2.0,False,0.7189408625521978
18,<0B9DD0F1-7900-11D8-84D5-000A95B3BA44@hxr.us>,,,,"No, hits=0.0 required=5.0 tests=AWL autolearn=no version=2.60",False,-2.0,False,0.8035799187328447
19,<405A5D74.8060405@thinkingcat.com>,,,,"No, hits=0.0 required=5.0 tests=none autolearn=no version=2.60",False,-2.0,False,0.7189408625521978
20,<20040319160637.T72812@shell-ng.nominum.com>,,,,"No, hits=0.0 required=5.0 tests=none autolearn=no version=2.60",False,-2.0,False,0.7189408625521978
21,<20040326102350.G66144@shell-ng.nominum.com>,,,,"No, hits=0.0 required=5.0 tests=AWL autolearn=no version=2.60",False,-2.0,False,0.7189408625521978
22,<200404011609.19464.davidb@verisignlabs.com>,,,,"No, hits=0.0 required=5.0 tests=none autolearn=no version=2.60",False,-2.0,False,0.7189408625521978
23,<D46BE350-84B9-11D8-8290-000A95B3BA44@hxr.us>,,,,"No, hits=0.0 required=5.0 tests=AWL autolearn=no version=2.60",False,-2.0,False,0.7189408625521978
24,<200404021723.10613.davidb@verisignlabs.com>,,,,"No, hits=0.0 required=5.0 tests=none autolearn=no version=2.60",False,-2.0,False,0.7189408625521978
25,<F183BC2E-858A-11D8-A7E0-000A95B3BA44@hxr.us>,,,,"No, hits=0.0 required=5.0 tests=AWL autolearn=no version=2.60",False,-2.0,False,0.7189408625521978
