imap_uid,mid,header_flag,header_score,header_level,header_status,SA_flag,SA_score,AS_flag,AS_score
1,<9212081524.A02553@ccrelay.fibermux.com>,,,,,False,2.0,False,0.03853758158559637
2,<9212141902.AA23547@ftp.com>,,,,,False,-0.0,False,5.2017748393107364e-09
3,<9212142021.AA26415@ftp.com>,,,,,False,-0.0,False,7.942536983695673e-07
4,<9212160935.AA10663@dxcern.cern.ch>,,,,,False,0.8,False,0.19993953644506962
5,<9212161521.AA22366@ftp.com>,,,,,False,-0.0,False,4.139774246685806e-07
6,<9212161549.AA23413@ftp.com>,,,,,False,-0.0,False,7.072471635844295e-08
7,<9212161716.AA27268@ftp.com>,,,,,False,1.2,False,4.357734297073975e-07
8,<9212170811.AA15064@dxcern.cern.ch>,,,,,False,0.8,False,4.47531824024291e-08
9,<92Dec17.003738pst.10782@skylark.parc.xerox.com>,,,,,False,-0.0,False,0.07704763843658105
10,<9212170908.AA03081@dxcern.cern.ch>,,,,,False,0.8,False,2.1608312550544973e-07
11,<9212171635.AA02003@ftp.com>,,,,,False,-0.0,False,4.1359496174673814e-07
12,<9212180811.AA15375@lager.cisco.com>,,,,,False,-0.0,False,0.0021694669565162686
13,<9212181417.AA04363@ftp.com>,,,,,False,-0.0,True,0.9960416668281494
14,<9212181504.AA05847@mailee.bellcore.com>,,,,,False,-0.0,False,0.809920439398234
15,<9212181803.AA11139@mitchell.cit.cornell.edu>,,,,,False,-0.0,False,0.00023295851833166016
16,<9212182207.AA12140@lager.cisco.com>,,,,,False,-0.0,False,0.0018828437079353637
17,<9212211624.AA28202@ftp.com>,,,,,False,1.2,False,4.691573569925807e-05
18,<9212211639.AA28989@ftp.com>,,,,,False,1.2,False,4.691573569925807e-05
19,<9212211642.AA29199@ftp.com>,,,,,False,1.2,False,4.691573569925807e-05
20,<9212211649.AA29439@ftp.com>,,,,,False,1.2,False,4.691573569925807e-05
21,<9212211651.AA29579@ftp.com>,,,,,False,-0.0,False,0.0007433240771318306
22,<9212211753.AA11804@mitchell.cit.cornell.edu>,,,,,False,-0.0,False,0.001299156153328721
23,<9212212113.AA14255@ginger.lcs.mit.edu>,,,,,False,0.8,False,1.9461252031631118e-08
24,<9212220010.AA12522@skidrow.ljo.dec.com>,,,,,False,0.8,False,0.5760332245562666
25,<9212221448.AA12968@mitchell.cit.cornell.edu>,,,,,False,1.3,False,3.8586535024603044e-05
26,<9212222033.AA17719@ginger.lcs.mit.edu>,,,,,False,0.8,False,7.3787583214535416e-06
27,<9212222113.AA17929@ginger.lcs.mit.edu>,,,,,False,0.8,False,7.57389585118287e-09
28,<9212222157.AA25604@Mordor.Stanford.EDU>,,,,,False,-0.0,False,2.744567179114087e-07
29,<9212231506.AA19718@ginger.lcs.mit.edu>,,,,,False,0.8,False,0.00677727823628005
30,<9212231523.AA15754@Mordor.Stanford.EDU>,,,,,False,-0.0,False,8.04468262372724e-06
31,<9212231538.AA19933@ginger.lcs.mit.edu>,,,,,False,0.8,False,1.882627483200351e-05
32,<9212231616.AA02803@ftp.com>,,,,,False,1.2,False,9.338250863091817e-08
33,<859.bill.simpson@um.cc.umich.edu>,,,,,False,0.8,False,9.98990714190683e-10
34,<9212231958.AA16376@skidrow.ljo.dec.com>,,,,,False,0.8,False,2.7478452867444822e-05
35,<9212241746.AA16412@Mordor.Stanford.EDU>,,,,,False,-0.0,False,3.1779875926144356e-08
36,<9212281540.AA22926@ftp.com>,,,,,False,-0.0,False,1.7170359720463808e-05
37,<9212281540.AA22929@ftp.com>,,,,,False,-0.0,False,6.860783097589529e-05
38,<9212281540.AA22921@ftp.com>,,,,,False,-0.0,False,0.0003038374315904622
39,<9212281550.AA20985@ps73.ako.dec.com>,,,,,False,0.8,True,0.9997526527029058
40,<9212281602.AA21489@skidrow.ljo.dec.com>,,,,,False,0.8,True,0.9804581456452267
41,<9212281609.AA21540@skidrow.ljo.dec.com>,,,,,False,0.8,True,0.9972820360615725
42,<9212281610.AA23630@ftp.com>,,,,,False,-0.0,False,0.0009664775629095437
43,<9212281636.AA00908@ginger.lcs.mit.edu>,,,,,False,0.8,False,3.5975297896287585e-07
44,<9212281704.AA24897@ftp.com>,,,,,False,1.2,False,6.368391100928796e-06
45,<9212281817.AA14356@chiya.bellcore.com>,,,,,False,0.8,True,0.9998869269812674
46,<9301260040.AA24057@atc.boeing.com>,,,,,False,-0.0,False,1.231814834794151e-09
47,<9301260337.AA09987@saffron.acc.com>,,,,,False,-0.0,True,0.9971965857638339
48,<199301260812.AA28677@lager.cisco.com>,,,,,False,-0.0,False,0.22296418680007565
49,<9037.bill.simpson@um.cc.umich.edu>,,,,,False,1.9,False,0.49999999999999784
50,<9301262044.AA06793@fenway.andr.UB.com>,,,,,False,-0.0,True,0.9809823708182429
51,<9301262139.AA18242@ftp.com>,,,,,False,1.2,False,0.020150618485805426
52,<9301271540.AA07688@fenway.andr.UB.com>,,,,,False,-0.0,False,2.069608126699245e-05
53,<9301271723.AA09563@ps73.ako.dec.com>,,,,,False,0.8,True,0.991367862599025
54,<9301272335.AA29487@ginger.lcs.mit.edu>,,,,,False,0.8,False,5.513968992026833e-10
55,<9301280717.AA22645@dxcern.cern.ch>,,,,,False,0.8,False,4.7100322948769455e-07
56,<9301281453.AA27338@Mordor.Stanford.EDU>,,,,,False,-0.0,False,1.193347129915123e-12
57,<9301281530.AA22549@spirit.clearpoint.com>,,,,,False,0.8,False,4.938248999896094e-06
58,<9301281641.AA01510@dxcern.cern.ch>,,,,,False,0.8,False,4.234246252720801e-08
59,<9301281719.AA00804@mitchell.cit.cornell.edu>,,,,,False,-0.0,False,0.49999999999999784
60,<9050.bill.simpson@um.cc.umich.edu>,,,,,False,0.8,False,2.9410831527315507e-10
61,<9301282257.AA07497@ftp.com>,,,,,False,-0.0,False,2.2034504233224452e-07
62,<9301291537.AA25545@ginger.lcs.mit.edu>,,,,,False,0.8,False,7.0941306158765045e-12
63,<9302082313.AA20359@atc.boeing.com>,,,,,False,-0.0,False,1.0259127685361766e-05
64,<9302090025.AA25513@chiya.bellcore.com>,,,,,False,0.8,False,0.002439255302782358
65,<9302112208.AA25562@bigriver.Eng.Sun.COM>,,,,,False,0.8,False,0.001299156153328721
66,<9303031430.AA00581@ps73.ako.dec.com>,,,,,False,0.8,True,0.9676219971197445
