imap_uid,mid,header_flag,header_score,header_level,header_status,SA_flag,SA_score,AS_flag,AS_score
1,<20101021192644.23D313A681F@core3.amsl.com>,,,,,False,-0.8,False,0.49999999999999784
2,<p06240800c8ecfbb84168@[10.20.30.249]>,NO,-101.429,,"No, score=-101.429 tagged_above=-999 required=5 tests=[AWL=0.617, BAYES_00=-2.599, HELO_MISMATCH_COM=0.553, USER_IN_WHITELIST=-100]",False,-2.0,False,0.49999999999999784
3,<p0624088ac8f4ef10b46d@[10.20.30.249]>,NO,-100.313,,"No, score=-100.313 tagged_above=-999 required=5 tests=[AWL=-0.867, BAYES_50=0.001, HELO_MISMATCH_COM=0.553, USER_IN_WHITELIST=-100]",False,-2.0,False,0.49999999999999784
4,<6.2.5.6.2.20101102074555.099f1830@resistor.net>,NO,-102.372,,"No, score=-102.372 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, SARE_SUB_OBFU_Q1=0.227, USER_IN_WHITELIST=-100]",False,-1.5,False,0.49999999999999784
5,<p06240894c8f5dde043db@[10.20.30.150]>,NO,-99.983,,"No, score=-99.983 tagged_above=-999 required=5 tests=[AWL=-0.764, BAYES_50=0.001, HELO_MISMATCH_COM=0.553, SARE_SUB_OBFU_Q1=0.227, USER_IN_WHITELIST=-100]",False,-2.0,False,0.49999999999999784
6,<E4EE6733-D741-4F31-9B4F-40B0212B3DC8@cisco.com>,NO,-110.372,,"No, score=-110.372 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, RCVD_IN_DNSWL_HI=-8, SARE_SUB_OBFU_Q1=0.227, USER_IN_WHITELIST=-100]",False,-2.0,False,0.49999999999999784
7,<4CD03AFC.7040001@levkowetz.com>,NO,-102.373,,"No, score=-102.373 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, NO_RELAYS=-0.001, SARE_SUB_OBFU_Q1=0.227, USER_IN_WHITELIST=-100]",False,-2.0,False,0.49999999999999784
8,<1515.198.180.150.230.1288715769.squirrel@mail.smetech.net>,NO,-102.486,,"No, score=-102.486 tagged_above=-999 required=5 tests=[AWL=-0.114, BAYES_00=-2.599, SARE_SUB_OBFU_Q1=0.227, USER_IN_WHITELIST=-100]",False,-2.0,False,0.49999999999999784
9,<4CD04005.90800@gmail.com>,NO,-2.372,,"No, score=-2.372 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, SARE_SUB_OBFU_Q1=0.227]",False,-0.9,False,0.6324316896990511
10,<4CD042F6.9020302@gmail.com>,NO,-2.372,,"No, score=-2.372 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, SARE_SUB_OBFU_Q1=0.227]",False,-0.9,False,0.49999999999999784
11,<p0624089ac8f5f383565e@[10.20.30.150]>,NO,-99.943,,"No, score=-99.943 tagged_above=-999 required=5 tests=[AWL=-0.497, BAYES_50=0.001, HELO_MISMATCH_COM=0.553, USER_IN_WHITELIST=-100]",False,-2.0,False,0.49999999999999784
12,<p0624089bc8f5f4748ec1@[10.20.30.150]>,NO,-99.747,,"No, score=-99.747 tagged_above=-999 required=5 tests=[AWL=-0.528, BAYES_50=0.001, HELO_MISMATCH_COM=0.553, SARE_SUB_OBFU_Q1=0.227, USER_IN_WHITELIST=-100]",False,-2.0,False,0.49999999999999784
13,<p0624089cc8f5f637f893@[10.20.30.150]>,NO,-100.972,,"No, score=-100.972 tagged_above=-999 required=5 tests=[AWL=0.847, BAYES_00=-2.599, HELO_MISMATCH_COM=0.553, SARE_SUB_OBFU_Q1=0.227, USER_IN_WHITELIST=-100]",False,-2.0,False,0.49999999999999784
14,<p0624089dc8f5f6f7256e@[10.20.30.150]>,NO,-100.447,,"No, score=-100.447 tagged_above=-999 required=5 tests=[AWL=0.111, BAYES_05=-1.11, HELO_MISMATCH_COM=0.553, USER_IN_WHITELIST=-100]",False,-2.0,False,0.49999999999999784
15,<4CD04769.6090203@gmail.com>,NO,-1.726,,"No, score=-1.726 tagged_above=-999 required=5 tests=[AWL=-0.646, BAYES_00=-2.599, MISSING_HEADERS=1.292, SARE_SUB_OBFU_Q1=0.227]",False,0.3,False,0.49999999999999784
16,<p0624089ec8f5f7774360@[10.20.30.150]>,NO,-100.274,,"No, score=-100.274 tagged_above=-999 required=5 tests=[AWL=-0.087, BAYES_20=-0.74, HELO_MISMATCH_COM=0.553, USER_IN_WHITELIST=-100]",False,-2.0,False,0.49999999999999784
17,<p0624089fc8f5f8e398a5@[10.20.30.150]>,NO,-99.781,,"No, score=-99.781 tagged_above=-999 required=5 tests=[AWL=-0.562, BAYES_50=0.001, HELO_MISMATCH_COM=0.553, SARE_SUB_OBFU_Q1=0.227, USER_IN_WHITELIST=-100]",False,-2.0,False,0.49999999999999784
18,<p062408a1c8f5f99fc4c6@[10.20.30.150]>,NO,-99.73,,"No, score=-99.73 tagged_above=-999 required=5 tests=[AWL=-0.511, BAYES_50=0.001, HELO_MISMATCH_COM=0.553, SARE_SUB_OBFU_Q1=0.227, USER_IN_WHITELIST=-100]",False,-2.0,False,0.49999999999999784
19,<01391DC2-A8FF-4321-A4D8-6FC9EA8578E9@cisco.com>,NO,-110.542,,"No, score=-110.542 tagged_above=-999 required=5 tests=[AWL=0.057, BAYES_00=-2.599, RCVD_IN_DNSWL_HI=-8, USER_IN_WHITELIST=-100]",False,-2.0,False,0.49999999999999784
20,<6.2.5.6.2.20101102110842.0a10f7c0@resistor.net>,NO,-102.372,,"No, score=-102.372 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, SARE_SUB_OBFU_Q1=0.227, USER_IN_WHITELIST=-100]",False,-1.5,False,0.49999999999999784
21,<4CD10F30.1050705@gmail.com>,NO,-101.952,,"No, score=-101.952 tagged_above=-999 required=5 tests=[AWL=0.420, BAYES_00=-2.599, SARE_SUB_OBFU_Q1=0.227, USER_IN_WHITELIST=-100]",False,-0.9,False,0.49999999999999784
22,<4CD138DD.4070701@levkowetz.com>,NO,-102.373,,"No, score=-102.373 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, NO_RELAYS=-0.001, SARE_SUB_OBFU_Q1=0.227, USER_IN_WHITELIST=-100]",False,-2.0,False,0.49999999999999784
23,<4CD139A0.2070609@levkowetz.com>,NO,-102.373,,"No, score=-102.373 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, NO_RELAYS=-0.001, SARE_SUB_OBFU_Q1=0.227, USER_IN_WHITELIST=-100]",False,-2.0,False,0.49999999999999784
24,<p06240801c8f719f687b0@[10.20.30.249]>,NO,-99.66,,"No, score=-99.66 tagged_above=-999 required=5 tests=[AWL=-0.441, BAYES_50=0.001, HELO_MISMATCH_COM=0.553, SARE_SUB_OBFU_Q1=0.227, USER_IN_WHITELIST=-100]",False,-2.0,False,0.49999999999999784
25,<4CD16D0C.8070206@gmail.com>,NO,-102.036,,"No, score=-102.036 tagged_above=-999 required=5 tests=[AWL=0.336, BAYES_00=-2.599, SARE_SUB_OBFU_Q1=0.227, USER_IN_WHITELIST=-100]",False,-0.9,False,0.49999999999999784
