imap_uid,mid,header_flag,header_score,header_level,header_status,SA_flag,SA_score,AS_flag,AS_score
1,<433C368A.7010003@pollere.com>,,0.1 (/),,,False,3.8,False,0.49999999999999784
2,<433C4DB5.5020703@pollere.com>,,0.1 (/),,,False,3.8,False,0.34529067587569834
3,<43464A00.2020909@tm.uka.de>,,0.0 (/),,No,False,-2.0,False,0.49999999999999784
4,<434668DA.3010302@tm.uka.de>,,0.0 (/),,No,False,-2.0,False,0.42069953925179354
5,<4346A7E0.7050809@pollere.com>,,0.1 (/),,,False,3.8,False,0.34529067587569834
6,<4346B8ED.9000803@pollere.com>,,0.1 (/),,,False,3.8,False,0.49999999999999784
7,<43501A4A.8080605@pollere.com>,,0.1 (/),,,False,3.8,False,0.34529067587569834
8,<4.3.2.7.2.20051015143501.0298bf08@email.cisco.com>,,0.0 (/),,,False,-2.0,False,0.34529067587569834
9,,,0.0 (/),,,False,0.3,False,0.49999999999999784
10,<ECDC9C7BC7809340842C0E7FCF48C39363D2BD@MCHP7IEA.ww002.siemens.net>,,0.0 (/),,,False,0.3,False,0.49999999999999784
11,<4.3.2.7.2.20051016221545.031ef368@email.cisco.com>,,0.0 (/),,,False,-2.0,False,0.21761670056793572
12,<43531BD6.3000509@pollere.com>,,0.1 (/),,,False,3.8,False,0.34529067587569834
13,,,0.0 (/),,,False,0.3,False,0.49999999999999784
14,<4.3.2.7.2.20051017012833.0319c7f8@email.cisco.com>,,0.0 (/),,,False,-2.0,False,0.27693683532699287
15,<4353DC22.80900@pollere.com>,,0.1 (/),,,False,3.8,False,0.34529067587569834
16,<4.3.2.7.2.20051017125441.03470a20@email.cisco.com>,,0.0 (/),,,False,-2.0,False,0.21761670056793572
17,<20051017181726.AAED352400F@newdev.harvard.edu>,,0.0 (/),,,False,-1.0,False,0.34529067587569834
18,<4358D229.8050808@docomolab-euro.com>,,0.0 (/),,,False,-2.0,False,0.27693683532699287
19,<43590931.5080809@francetelecom.com>,,0.6 (/),,,False,-2.0,False,0.49999999999999784
20,<435D630E.9010701@pollere.com>,,0.1 (/),,,False,3.8,False,0.34529067587569834
21,<435D64E1.4000605@pollere.com>,,0.1 (/),,,False,3.8,False,0.42069953925179354
22,<435F5B3D.40706@francetelecom.com>,,0.0 (/),,,False,-2.0,False,0.27693683532699287
23,<435F5CCC.2090205@francetelecom.com>,,0.0 (/),,,False,-2.0,False,0.49999999999999784
24,<435FB01A.1080306@pollere.com>,,0.1 (/),,,False,3.8,False,0.34529067587569834
25,<4360BBE9.3070207@docomolab-euro.com>,,0.0 (/),,,False,-2.0,False,0.42069953925179354
26,<4360BBFB.80907@docomolab-euro.com>,,0.0 (/),,,False,-2.0,False,0.27693683532699287
27,<4360BC0A.40302@docomolab-euro.com>,,0.0 (/),,,False,-2.0,False,0.49999999999999784
28,<43610BEA.6010409@pollere.com>,,0.1 (/),,,False,3.8,False,0.49999999999999784
29,<43610C88.7030801@pollere.com>,,0.1 (/),,,False,3.8,False,0.34529067587569834
