imap_uid,mid,header_flag,header_score,header_level,header_status,SA_flag,SA_score,AS_flag,AS_score
1,<150152740335.6338.932762548199402111.idtracker@ietfa.amsl.com>,,,,,False,-2.0,False,0.49999999999999784
2,<150723464456.6039.6252907645760023576.idtracker@ietfa.amsl.com>,,,,,False,-2.0,False,0.15960297761042466
3,<01de01d34365$5adac140$109043c0$@gmail.com>,NO,-0.949,,"No, score=-0.949 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, DKIM_SIGNED=0.1, DKIM_VALID=-0.1, DKIM_VALID_AU=-0.1, FREEMAIL_ENVFROM_END_DIGIT=0.25, FREEMAIL_FROM=0.001, RCVD_IN_DNSWL_LOW=-0.7, RCVD_IN_SORBS_WEB=1.5, SPF_PASS=-0.001, URIBL_BLOCKED=0.001] autolearn=no autolearn_force=no",False,-1.6,False,0.49999999999999784
4,<AM5PR0701MB2836B4F425B644AE22F34596E0420@AM5PR0701MB2836.eurprd07.prod.outlook.com>,NO,-4.7,,"No, score=-4.7 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, DKIM_SIGNED=0.1, DKIM_VALID=-0.1, HTML_MESSAGE=0.001, RCVD_IN_DNSWL_NONE=-0.0001, RCVD_IN_MSPIKE_H2=-2.8, SPF_PASS=-0.001] autolearn=ham autolearn_force=no",False,0.4,False,0.49999999999999784
5,<01c4765312d3d9745255ca017a223758@zeta2.ch>,NO,0.793,,"No, score=0.793 tagged_above=-999 required=5 tests=[BAYES_40=-0.001, HTML_MESSAGE=0.001, RDNS_NONE=0.793] autolearn=no autolearn_force=no",False,0.3,False,0.49999999999999784
6,<00b801d348e2$a15027f0$e3f077d0$@gmail.com>,NO,-0.551,,"No, score=-0.551 tagged_above=-999 required=5 tests=[BAYES_20=-0.001, DKIM_SIGNED=0.1, DKIM_VALID=-0.1, DKIM_VALID_AU=-0.1, FREEMAIL_ENVFROM_END_DIGIT=0.25, FREEMAIL_FROM=0.001, RCVD_IN_DNSWL_LOW=-0.7, SPF_PASS=-0.001] autolearn=ham autolearn_force=no",False,-1.6,False,0.49999999999999784
7,<1FEE3F8F5CCDE64C9A8E8F4AD27C19EE2BC3A551@NKGEML515-MBX.china.huawei.com>,NO,-4.22,,"No, score=-4.22 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, HTML_MESSAGE=0.001, RCVD_IN_DNSWL_MED=-2.3, RCVD_IN_MSPIKE_H3=-0.01, RCVD_IN_MSPIKE_WL=-0.01, SPF_PASS=-0.001] autolearn=ham autolearn_force=no",False,-2.0,False,0.49999999999999784
8,<bafb12f11d4a4872a8d9fada209de6ef@XCH-ALN-001.cisco.com>,NO,-14.52,,"No, score=-14.52 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, DKIM_SIGNED=0.1, DKIM_VALID=-0.1, DKIM_VALID_AU=-0.1, HTML_MESSAGE=0.001, RCVD_IN_DNSWL_HI=-5, RCVD_IN_MSPIKE_H3=-0.01, RCVD_IN_MSPIKE_WL=-0.01, SPF_PASS=-0.001, USER_IN_DEF_DKIM_WL=-7.5] autolearn=ham autolearn_force=no",False,1.4,False,0.49999999999999784
9,<150854546031.20809.7996372877208336471.idtracker@ietfa.amsl.com>,,,,,False,-2.0,False,0.49999999999999784
10,<36DA99EE-400F-471D-B125-46007088EB88@arrcus.com>,NO,-1.92,,"No, score=-1.92 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, DKIM_SIGNED=0.1, DKIM_VALID=-0.1, HTML_MESSAGE=0.001, RCVD_IN_DNSWL_NONE=-0.0001, RCVD_IN_MSPIKE_H4=-0.01, RCVD_IN_MSPIKE_WL=-0.01, SPF_PASS=-0.001] autolearn=ham autolearn_force=no",False,0.4,False,0.49999999999999784
