imap_uid,mid,header_flag,header_score,header_level,header_status,SA_flag,SA_score,AS_flag,AS_score
1,<45027120302991/281549@CINE88>,,,,,False,1.5,True,0.9984541214694904
2,<9204021845.AA02539@tcpjon.ogo.dec.com>,,,,,False,0.8,False,1.6835375680008193e-07
3,<9204151535.AA03670@inet-gw-1.pa.dec.com>,,,,,False,0.8,False,5.22942494638194e-09
4,<9206091408.AA03006@tcpjon.ogo.dec.com>,,,,,False,0.8,False,7.014302462761099e-10
5,<9206111444.aa18956@ietf.NRI.Reston.VA.US>,,,,,False,-0.2,False,4.991901413923544e-13
6,<9206121608.AA11815@uncng.com>,,,,,False,0.8,False,6.272214390539356e-07
7,<9208102257.AA19615@tci.bell-atl.com>,,,,,False,0.8,False,0.014808464439165097
8,<9208111411.AA10123@sonny.proteon.com>,,,,,False,0.0,False,0.03481168340193519
9,<9208111602.AA04233@opal.acc.com>,,,,,False,0.8,False,0.0025489832783168447
10,<9208112116.AA21376@tci.bell-atl.com>,,,,,False,0.8,False,4.559214894034459e-05
11,<9208141455.AA26816@tci.bell-atl.com>,,,,,False,0.8,True,0.9999335138477704
12,<9208191805.AA03033@tcpjon.ogo.dec.com>,,,,,False,0.8,False,0.03481168340193519
13,<9208192125.AA13392@opal.acc.com>,,,,,False,0.8,False,0.6170382565572003
14,<9208201309.AA04813@tcpjon.ogo.dec.com>,,,,,False,0.8,False,1.3801972396483545e-05
15,<9208211530.AA10603@tci.bell-atl.com>,,,,,False,0.8,False,0.011569780991819075
16,<9208211658.AA10762@tci.bell-atl.com>,,,,,False,0.8,False,0.2414621846992833
17,<9208211736.AA17463@opal.acc.com>,,,,,False,0.8,False,0.010298863844999787
18,<9208211753.AA18433@sonny.proteon.com>,,,,,False,-0.0,True,0.9771651661380902
19,<9208211802.AA00971@tcpjon.ogo.dec.com>,,,,,False,0.8,True,0.9439268891790856
20,<9208211817.AA01032@tcpjon.ogo.dec.com>,,,,,False,0.8,False,2.5961146888105944e-07
21,<9208211847.AA10963@tci.bell-atl.com>,,,,,False,0.8,False,0.05332141349512136
22,<9208211838.AA17487@opal.acc.com>,,,,,False,0.8,False,0.8221142448517067
23,<9208211823.AA10898@tci.bell-atl.com>,,,,,False,0.8,False,0.00413166140265618
24,<9208211900.AA11001@tci.bell-atl.com>,,,,,False,0.8,False,0.01565411929024951
25,<9208211823.AA17476@opal.acc.com>,,,,,False,0.8,False,0.01288623388345965
26,<9208211847.AA01145@tcpjon.ogo.dec.com>,,,,,False,0.8,False,0.03920534586843737
27,<9208211933.AA11141@tci.bell-atl.com>,,,,,False,0.8,True,0.9522976087606122
28,<9208211920.AA17527@opal.acc.com>,,,,,False,0.8,False,0.0030790794926537496
29,<9208211956.AA17542@opal.acc.com>,,,,,False,0.8,False,0.0004963940993918062
30,<9208212049.AA19502@sonny.proteon.com>,,,,,False,-0.0,True,0.9531221437133104
31,<9208212055.AA19507@sonny.proteon.com>,,,,,False,0.0,False,0.6156177142299347
32,<9208212234.AA10245@lager.cisco.com>,,,,,False,-0.0,False,3.0472570864569406e-07
33,<9208212354.AA17632@opal.acc.com>,,,,,False,0.8,False,0.00040674881427558973
34,<9208241341.AA15515@tci.bell-atl.com>,,,,,False,0.8,True,0.9748181096372183
35,<9208251409.AA03460@tcpjon.ogo.dec.com>,,,,,False,0.8,True,0.9987771091235781
36,<9208251419.AA03503@tcpjon.ogo.dec.com>,,,,,False,0.8,False,0.0031536111960528473
37,<9208251537.AA15198@Shiva.COM>,,,,,False,-0.0,False,0.2738291477375797
38,<9208251559.AA03821@tcpjon.ogo.dec.com>,,,,,False,0.8,False,0.5540400508203909
39,<9208251656.AA29590@immer.synoptics.com>,,,,,False,-0.0,False,0.8552923033460454
40,<9208252041.AA04122@tcpjon.ogo.dec.com>,,,,,False,0.8,False,0.17797540440491388
41,<9208252138.AA04339@tcpjon.ogo.dec.com>,,,,,False,0.8,False,0.005138461344263111
42,<9208252130.AA08821@sonny.proteon.com>,,,,,False,-0.0,False,0.49363577500223976
43,<9208261244.AA05085@tcpjon.ogo.dec.com>,,,,,False,0.8,False,0.00048677316302374345
44,<9208261415.AA13962@nsl.pa.dec.com>,,,,,False,0.8,False,0.49999999999999784
45,<9208271609.AA15196@sonny.proteon.com>,,,,,False,-0.0,False,0.0955022757492709
46,<9208271841.AA05254@xap.xyplex.com>,,,,,False,0.8,False,0.0846615000393785
47,<9208281355.AA10320@tcpjon.ogo.dec.com>,,,,,False,0.8,False,0.49999999999999784
48,<9208281456.AA18909@sonny.proteon.com>,,,,,False,-0.0,False,0.7983613251106423
49,<9208281607.AA12928@xap.xyplex.com>,,,,,False,0.8,False,0.25115198827217805
50,<9208281520.AA10702@tcpjon.ogo.dec.com>,,,,,False,0.8,False,0.0228960675173506
51,<9208281550.AA09465@opal.acc.com>,,,,,False,0.8,False,0.00036716761724108886
52,<9208281620.AA10842@tcpjon.ogo.dec.com>,,,,,False,0.8,True,0.9344285580724304
53,<9208281701.AA09555@opal.acc.com>,,,,,False,0.8,False,1.1146971614445363e-06
54,<9208281831.AA17580@xap.xyplex.com>,,,,,False,0.8,False,0.110036228701106
55,<9208281758.AA11058@tcpjon.ogo.dec.com>,,,,,False,0.8,False,0.07211410108814753
56,<9208281750.AA11023@tcpjon.ogo.dec.com>,,,,,False,0.8,False,0.003739529722069121
57,<9208281755.AA24147@tci.bell-atl.com>,,,,,False,0.8,False,0.004759325227710666
58,<9208281838.AA24207@tci.bell-atl.com>,,,,,False,0.8,False,0.6142489341939221
59,<9208281817.AA11359@nsl.pa.dec.com>,,,,,False,0.8,False,0.1223199446215512
60,<9208281910.AA12043@nsl.pa.dec.com>,,,,,False,0.8,False,0.15960297761042466
61,<9208282116.AA11490@tcpjon.ogo.dec.com>,,,,,False,0.8,True,0.9994477530184939
62,<9208282146.AA09641@opal.acc.com>,,,,,False,0.8,False,8.691066017920615e-05
63,<9208282155.AA24524@tci.bell-atl.com>,,,,,False,0.8,False,0.6067886753908285
64,<9208290124.AA11921@tcpjon.ogo.dec.com>,,,,,False,0.8,False,0.013965821695998663
65,<9209151510.AA02321@tcpjon.ogo.dec.com>,,,,,False,0.8,False,0.042560449972674
66,<9210172221.AA22219@tcpjon.ogo.dec.com>,,,,,False,0.8,False,0.011078392759793197
67,<9211061830.AA03303@tcpjon.ogo.dec.com>,,,,,False,0.8,False,0.49999999999999784
68,<9211102329.AA24314@xap.xyplex.com>,,,,,False,0.8,False,0.0015161317345768629
69,<9212021736.AA29253@opal.acc.com>,,,,,False,0.8,False,0.00026664110538549143
70,<9212031644.AA05845@lager.cisco.com>,,,,,False,-0.0,False,1.382434114179806e-08
71,<9212031825.AA06920@opal.acc.com>,,,,,False,0.8,False,6.39156965006124e-09
72,<9212080651.AA13510@FibHaifa.com>,,,,,False,0.0,False,0.8200965110125693
73,<9212151416.AA03810@tcpjon.lkg.dec.com>,,,,,False,0.8,False,0.001395179545182772
74,<9303081914.AA00550@atlantis.coral.com>,,,,,False,0.0,False,0.8535230541102541
75,<9304151545.aa15453@IETF.CNRI.Reston.VA.US>,,,,,False,-1.0,False,2.841687475472498e-13
76,<9304161130.AA08682@atlantis.coral.com>,,,,,False,0.0,False,0.01854690898197578
77,<9304161511.AA01476@ironside.proteon.com>,,,,,False,-0.0,False,0.13309397758666414
78,<9304161828.AA24076@xap.xyplex.com>,,,,,False,0.8,False,0.028410846752471283
79,<9304171641.AA01700@tcpjon.lkg.dec.com>,,,,,False,0.8,False,0.49999999999999784
80,<9304271547.AA03176@tcpjon.lkg.dec.com>,,,,,False,0.8,False,0.49999999999999784
81,<9305181328.AA06929@tcpjon.tay.dec.com>,,,,,False,0.8,False,1.479459587643558e-07
82,<9306151904.AA03435@tcpjon.tay.dec.com>,,,,,False,0.8,False,0.19024160638554455
83,<9306171313.AA07282@tcpjon.tay.dec.com>,,,,,False,0.8,False,1.1841040604680224e-07
84,<9306221139.aa08583@IETF.CNRI.Reston.VA.US>,,,,,False,-1.0,False,0.022116140981415348
85,<9306251354.AA05338@tcpjon.tay.dec.com>,,,,,False,0.8,False,3.234377532507022e-05
86,<9306280855.aa22717@IETF.CNRI.Reston.VA.US>,,,,,False,-1.0,False,0.045571202378144875
87,<9307111626.AA09889@tcpjon.tay.dec.com>,,,,,False,0.8,False,0.00426054201347249
88,<01H3A5TDRQWW000AK7@RCSSOB>,,,,,False,3.8,False,7.944697287436595e-10
89,<9310071533.AA24565@tcpjon.tay.dec.com>,,,,,False,0.8,False,4.468322858327397e-07
90,<9310081121.aa05417@IETF.CNRI.Reston.VA.US>,,,,,False,-1.0,False,0.030578416077344062
91,<9310141842.AA11062@tcpjon.tay.dec.com>,,,,,False,0.8,False,1.152088458654228e-10
92,<9310261218.AA10169@tcpjon.tay.dec.com>,,,,,False,0.8,False,7.949097614884053e-09
93,<9310271140.aa08681@IETF.CNRI.Reston.VA.US>,,,,,False,-1.0,False,0.0027760352640945674
94,<9310281443.aa12714@IETF.CNRI.Reston.VA.US>,,,,,False,-1.0,False,0.00082297818975471
95,<9310291335.AA18429@tcpjon.tay.dec.com>,,,,,False,0.8,False,7.490864074284205e-05
96,<9311150914.aa01947@IETF.CNRI.Reston.VA.US>,,,,,False,-1.0,False,2.8605936436724543e-15
97,<9312021727.aa15998@IETF.CNRI.Reston.VA.US>,,,,,False,-1.0,False,4.142632958580751e-15
