imap_uid,mid,header_flag,header_score,header_level,header_status,SA_flag,SA_score,AS_flag,AS_score
1,<72CC502C2C615C42B081A9E5FC057D0540FB79@SJEXCHMB09.corp.ad.broadcom.com>,NO,-4.21,,"No, score=-4.21 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, RCVD_IN_DNSWL_MED=-2.3, T_RP_MATCHES_RCVD=-0.01] autolearn=ham",False,-2.0,False,0.006803068167124697
2,<72CC502C2C615C42B081A9E5FC057D05424FC6@SJEXCHMB09.corp.ad.broadcom.com>,NO,-4.21,,"No, score=-4.21 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, RCVD_IN_DNSWL_MED=-2.3, T_RP_MATCHES_RCVD=-0.01] autolearn=ham",False,-2.0,False,0.006803068167124697
3,<56782A19.70305@alcatel-lucent.com>,NO,-5.012,,"No, score=-5.012 tagged_above=-999 required=5 tests=[BAYES_40=-0.001, RCVD_IN_DNSWL_HI=-5, SPF_PASS=-0.001, T_RP_MATCHES_RCVD=-0.01] autolearn=ham",False,2.3,False,0.15960297761042466
4,<72CC502C2C615C42B081A9E5FC057D0542902A@SJEXCHMB09.corp.ad.broadcom.com>,NO,-4.21,,"No, score=-4.21 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, RCVD_IN_DNSWL_MED=-2.3, T_RP_MATCHES_RCVD=-0.01] autolearn=ham",False,0.0,False,0.006803068167124697
5,<7347100B5761DC41A166AC17F22DF1122196E294@eusaamb103.ericsson.se>,NO,-104.2,,"No, score=-104.2 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, RCVD_IN_DNSWL_MED=-2.3, USER_IN_WHITELIST=-100] autolearn=ham",False,3.3,False,0.006803068167124697
6,<72CC502C2C615C42B081A9E5FC057D054296C6@SJEXCHMB09.corp.ad.broadcom.com>,NO,-0.909,,"No, score=-0.909 tagged_above=-999 required=5 tests=[BAYES_50=0.8, HTML_MESSAGE=0.001, J_CHICKENPOX_62=0.6, RCVD_IN_DNSWL_MED=-2.3, T_RP_MATCHES_RCVD=-0.01] autolearn=ham",False,-2.0,False,0.49999999999999784
7,<72CC502C2C615C42B081A9E5FC057D05429720@SJEXCHMB09.corp.ad.broadcom.com>,NO,-6.21,,"No, score=-6.21 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, GB_I_INVITATION=-2, RCVD_IN_DNSWL_MED=-2.3, T_RP_MATCHES_RCVD=-0.01] autolearn=ham",False,-2.0,False,0.03481168340193519
8,<72CC502C2C615C42B081A9E5FC057D0542976E@SJEXCHMB09.corp.ad.broadcom.com>,NO,-3.781,,"No, score=-3.781 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, HTML_MESSAGE=0.001, MIME_HTML_MOSTLY=0.428, RCVD_IN_DNSWL_MED=-2.3, T_RP_MATCHES_RCVD=-0.01] autolearn=ham",False,0.3,False,0.03481168340193519
9,<72CC502C2C615C42B081A9E5FC057D05439203@SJEXCHMB09.corp.ad.broadcom.com>,NO,-4.21,,"No, score=-4.21 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, RCVD_IN_DNSWL_MED=-2.3, T_RP_MATCHES_RCVD=-0.01] autolearn=ham",False,-2.0,False,0.006803068167124697
10,<72CC502C2C615C42B081A9E5FC057D0543FDEB@SJEXCHMB09.corp.ad.broadcom.com>,NO,-4.201,,"No, score=-4.201 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, RCVD_IN_DNSWL_MED=-2.3, RP_MATCHES_RCVD=-0.001] autolearn=ham",False,-2.0,False,0.49999999999999784
11,<7347100B5761DC41A166AC17F22DF1122197C036@eusaamb103.ericsson.se>,NO,-104.201,,"No, score=-104.201 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, RCVD_IN_DNSWL_MED=-2.3, SPF_PASS=-0.001, USER_IN_WHITELIST=-100] autolearn=ham",False,1.2,False,0.49999999999999784
12,<72CC502C2C615C42B081A9E5FC057D05440832@SJEXCHMB09.corp.ad.broadcom.com>,NO,-4.201,,"No, score=-4.201 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, RCVD_IN_DNSWL_MED=-2.3, RP_MATCHES_RCVD=-0.001] autolearn=ham",False,-2.0,False,0.006803068167124697
13,<72CC502C2C615C42B081A9E5FC057D05440E7E@SJEXCHMB09.corp.ad.broadcom.com>,NO,-4.201,,"No, score=-4.201 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, RCVD_IN_DNSWL_MED=-2.3, RP_MATCHES_RCVD=-0.001] autolearn=ham",False,-2.0,False,0.006803068167124697
14,<EB9B93801780FD4CA165E0FBCB3C3E672B4A5813@SJEXCHMB09.corp.ad.broadcom.com>,NO,-4.201,,"No, score=-4.201 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, RCVD_IN_DNSWL_MED=-2.3, RP_MATCHES_RCVD=-0.001] autolearn=ham",False,-2.0,False,0.49999999999999784
15,<7347100B5761DC41A166AC17F22DF1122197C8C7@eusaamb103.ericsson.se>,NO,-104.201,,"No, score=-104.201 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, RCVD_IN_DNSWL_MED=-2.3, SPF_PASS=-0.001, USER_IN_WHITELIST=-100] autolearn=ham",False,1.2,False,0.49999999999999784
16,<72CC502C2C615C42B081A9E5FC057D0544140B@SJEXCHMB09.corp.ad.broadcom.com>,NO,-4.201,,"No, score=-4.201 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, RCVD_IN_DNSWL_MED=-2.3, RP_MATCHES_RCVD=-0.001] autolearn=ham",False,-2.0,False,0.03481168340193519
