imap_uid,mid,header_flag,header_score,header_level,header_status,SA_flag,SA_score,AS_flag,AS_score
1,<F9DE1DB7-6F15-4AE0-8AF4-162973F5681E@piuha.net>,NO,-101.845,,"No, score=-101.845 tagged_above=-999 required=5 tests=[AWL=-0.735, BAYES_05=-1.11, USER_IN_WHITELIST=-100]",False,-0.8,False,0.43549719355797617
2,<40AFC5D09A1926489ECFED9D7633D98A19C4C6@ESESSMB307.ericsson.se>,NO,-6.249,,"No, score=-6.249 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, HELO_EQ_SE=0.35, RCVD_IN_DNSWL_MED=-4]",False,0.3,False,0.0052565379246925035
3,<5820528c-25df-43ff-8833-acdd58a92b01@email.android.com>,NO,-0.719,,"No, score=-0.719 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, HELO_EQ_IT=0.635, HOST_EQ_IT=1.245]",False,-0.9,False,0.02707155029970639
4,<51F3E9DE.9080208@nostrum.com>,NO,-2.6,,"No, score=-2.6 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, SPF_PASS=-0.001]",False,-2.0,False,0.49999999999999784
5,<alpine.OSX.2.02.1307311555140.3075@mac-allocchio3.local>,NO,-0.708,,"No, score=-0.708 tagged_above=-999 required=5 tests=[AWL=0.011, BAYES_00=-2.599, HELO_EQ_IT=0.635, HOST_EQ_IT=1.245]",False,-0.9,False,0.43549719355797617
6,<51F92182.8000001@gondrom.org>,NO,-96.45,,"No, score=-96.45 tagged_above=-999 required=5 tests=[AWL=-1.088, BAYES_00=-2.599, FH_HELO_EQ_D_D_D_D=1.597, FH_HOST_EQ_D_D_D_D=0.765, FM_DDDD_TIMES_2=1.999, HELO_DYNAMIC_IPADDR=2.426, HELO_EQ_DE=0.35, RDNS_DYNAMIC=0.1, USER_IN_WHITELIST=-100]",False,-1.9,False,0.49999999999999784
7,<49D7777F-B5EE-404B-8887-89D72525F821@gmail.com>,NO,-2.6,,"No, score=-2.6 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, NO_RELAYS=-0.001]",False,-1.9,False,0.49999999999999784
8,<20130808164803.2998.58641.idtracker@ietfa.amsl.com>,NO,-102.386,,"No, score=-102.386 tagged_above=-999 required=5 tests=[AWL=0.214, BAYES_00=-2.599, NO_RELAYS=-0.001, USER_IN_WHITELIST=-100]",False,-2.0,False,0.49999999999999784
9,<B3CC43F0-E85D-47FA-8EB4-504C27E52026@gmail.com>,NO,-1.621,,"No, score=-1.621 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, SARE_RECV_IP_211216=0.978]",False,-1.9,False,0.49999999999999784
10,<alpine.OSX.2.02.1309120914330.38099@vpnclnt01.dir.garr.it>,NO,-0.719,,"No, score=-0.719 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, HELO_EQ_IT=0.635, HOST_EQ_IT=1.245]",False,-0.9,False,0.49999999999999784
11,<21041.34883.981111.36029@fireball.kivinen.iki.fi>,NO,-102.521,,"No, score=-102.521 tagged_above=-999 required=5 tests=[AWL=0.078, BAYES_00=-2.599, USER_IN_WHITELIST=-100]",False,-1.0,False,0.49999999999999784
12,<21041.35269.334658.570981@fireball.kivinen.iki.fi>,NO,-102.56,,"No, score=-102.56 tagged_above=-999 required=5 tests=[AWL=0.039, BAYES_00=-2.599, USER_IN_WHITELIST=-100]",False,-1.0,False,0.49999999999999784
13,<6EE9F6D3-3813-4188-9A30-6ECF70112D70@gmail.com>,NO,-2.599,,"No, score=-2.599 tagged_above=-999 required=5 tests=[BAYES_00=-2.599]",False,-1.9,False,0.49999999999999784
14,<B24FD39E-F7D6-426A-966F-6AC6F4176F85@gmail.com>,NO,-2.599,,"No, score=-2.599 tagged_above=-999 required=5 tests=[BAYES_00=-2.599]",False,-1.9,False,0.49999999999999784
15,<5231B0DE.1030906@nostrum.com>,NO,-2.6,,"No, score=-2.6 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, SPF_PASS=-0.001]",False,-2.0,False,0.49999999999999784
16,<alpine.OSX.2.02.1309121555310.38099@vpnclnt01.dir.garr.it>,NO,-0.595,,"No, score=-0.595 tagged_above=-999 required=5 tests=[AWL=0.124, BAYES_00=-2.599, HELO_EQ_IT=0.635, HOST_EQ_IT=1.245]",False,-0.9,False,0.49999999999999784
17,<alpine.OSX.2.02.1309121601590.38099@vpnclnt01.dir.garr.it>,NO,-0.613,,"No, score=-0.613 tagged_above=-999 required=5 tests=[AWL=0.106, BAYES_00=-2.599, HELO_EQ_IT=0.635, HOST_EQ_IT=1.245]",False,-0.9,False,0.43549719355797617
18,<21041.54830.827912.655499@fireball.kivinen.iki.fi>,NO,-102.58,,"No, score=-102.58 tagged_above=-999 required=5 tests=[AWL=0.020, BAYES_00=-2.599, USER_IN_WHITELIST=-100]",False,-1.0,False,0.49999999999999784
19,<CAC4RtVDz9M_ESCubW65yLXc-Z+=7eCdAVHGzrJ41MX65WsaHjg@mail.gmail.com>,NO,-101.538,,"No, score=-101.538 tagged_above=-999 required=5 tests=[AWL=0.441, BAYES_00=-2.599, FM_FORGED_GMAIL=0.622, NO_RELAYS=-0.001, USER_IN_WHITELIST=-100]",False,-0.6,False,0.49999999999999784
20,<ADEE7142-6EFE-42BF-AD88-FB248505FFE8@gmail.com>,NO,-2.599,,"No, score=-2.599 tagged_above=-999 required=5 tests=[BAYES_00=-2.599]",False,-1.9,False,0.49999999999999784
21,<alpine.OSX.2.02.1309130838460.39235@vpnclnt01.dir.garr.it>,NO,-0.626,,"No, score=-0.626 tagged_above=-999 required=5 tests=[AWL=0.093, BAYES_00=-2.599, HELO_EQ_IT=0.635, HOST_EQ_IT=1.245]",False,-0.9,False,0.49999999999999784
22,<2845723087023D4CB5114223779FA9C8AAC21429@njfpsrvexg8.research.att.com>,NO,-106.766,,"No, score=-106.766 tagged_above=-999 required=5 tests=[AWL=-0.166, BAYES_00=-2.599, RCVD_IN_DNSWL_MED=-4, USER_IN_WHITELIST=-100]",False,-2.0,False,0.49999999999999784
23,<52371F87.3030204@cisco.com>,NO,-10.239,,"No, score=-10.239 tagged_above=-999 required=5 tests=[AWL=-0.240, BAYES_00=-2.599, J_CHICKENPOX_73=0.6, RCVD_IN_DNSWL_HI=-8]",False,-1.9,False,0.49999999999999784
24,<67832B1175062E48926BF3CB27C49B240D2ABBB5@xmb-aln-x12.cisco.com>,NO,-9.394,,"No, score=-9.394 tagged_above=-999 required=5 tests=[AWL=0.605, BAYES_00=-2.599, J_CHICKENPOX_73=0.6, RCVD_IN_DNSWL_HI=-8]",False,-1.9,False,0.49999999999999784
25,<67832B1175062E48926BF3CB27C49B240D2AC589@xmb-aln-x12.cisco.com>,NO,-9.999,,"No, score=-9.999 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, J_CHICKENPOX_73=0.6, RCVD_IN_DNSWL_HI=-8]",False,-1.9,False,0.49999999999999784
26,<005201cec77e$4425fcb0$cc71f610$@olddog.co.uk>,NO,-2.555,,"No, score=-2.555 tagged_above=-999 required=5 tests=[AWL=0.044, BAYES_00=-2.599]",False,-2.0,False,0.49999999999999784
27,<21087.52189.350593.388397@fireball.kivinen.iki.fi>,NO,-102.554,,"No, score=-102.554 tagged_above=-999 required=5 tests=[AWL=0.045, BAYES_00=-2.599, USER_IN_WHITELIST=-100]",False,-1.0,False,0.49999999999999784
28,<783C04DA-97F8-43FD-BBA4-936FDCBAF037@gmail.com>,NO,-2.599,,"No, score=-2.599 tagged_above=-999 required=5 tests=[BAYES_00=-2.599]",False,-1.9,False,0.49999999999999784
29,<5269A2E5.2090806@nostrum.com>,NO,-2.6,,"No, score=-2.6 tagged_above=-999 required=5 tests=[AWL=0.000, BAYES_00=-2.599, SPF_PASS=-0.001]",False,-2.0,False,0.49999999999999784
30,<6FC85BE2-9075-4B81-9D61-68A035AB27CA@gmail.com>,NO,-1.767,,"No, score=-1.767 tagged_above=-999 required=5 tests=[AWL=0.833, BAYES_00=-2.599]",False,-1.9,False,0.49999999999999784
31,<526ECA24.6030908@nostrum.com>,NO,-2.6,,"No, score=-2.6 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, SPF_PASS=-0.001]",False,-2.0,False,0.49999999999999784
32,<F93CEA63-1D06-4416-9126-88063879701D@gmail.com>,NO,-2.599,,"No, score=-2.599 tagged_above=-999 required=5 tests=[BAYES_00=-2.599]",False,-1.9,False,0.49999999999999784
33,<A9FFED71-7CA4-492A-A924-C83F68A8EEE8@piuha.net>,NO,-102.586,,"No, score=-102.586 tagged_above=-999 required=5 tests=[AWL=0.013, BAYES_00=-2.599, USER_IN_WHITELIST=-100]",False,-0.7,False,0.43549719355797617
34,<c9e174cc57144511919a2e7a8460a6e4@BY2PR03MB269.namprd03.prod.outlook.com>,NO,-103.599,,"No, score=-103.599 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, RCVD_IN_DNSWL_LOW=-1, USER_IN_WHITELIST=-100]",False,0.3,False,0.43549719355797617
35,<5283F45D.7020507@nostrum.com>,NO,-2.6,,"No, score=-2.6 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, SPF_PASS=-0.001]",False,-2.0,False,0.49999999999999784
36,<483b69b1415f46b29719ebd85ee81437@BY2PR03MB269.namprd03.prod.outlook.com>,NO,-103.599,,"No, score=-103.599 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, RCVD_IN_DNSWL_LOW=-1, USER_IN_WHITELIST=-100]",False,0.3,False,0.43549719355797617
37,<9D549D7B-2934-4D8D-8A10-453DD74978F9@nominum.com>,NO,-106.584,,"No, score=-106.584 tagged_above=-999 required=5 tests=[AWL=0.015, BAYES_00=-2.599, RCVD_IN_DNSWL_MED=-4, USER_IN_WHITELIST=-100]",False,0.9,False,0.43549719355797617
38,<52842E76.6010007@cisco.com>,NO,-10.498,,"No, score=-10.498 tagged_above=-999 required=5 tests=[AWL=0.101, BAYES_00=-2.599, RCVD_IN_DNSWL_HI=-8]",False,-1.9,False,0.49999999999999784
39,<16F5011B-A87C-4BE3-8AA4-F47C13E830F6@cisco.com>,NO,-114.776,,"No, score=-114.776 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, BODY_URI_ONLY=0.25, DKIM_SIGNED=0.1, DKIM_VALID=-0.1, DKIM_VALID_AU=-0.1, RCVD_IN_DNSWL_HI=-5, RP_MATCHES_RCVD=-0.525, SPF_PASS=-0.001, USER_IN_DEF_DKIM_WL=-7.5, USER_IN_WHITELIST=-100] autolearn=ham",False,-1.9,False,0.49999999999999784
40,<21134.1987.918612.52011@fireball.kivinen.iki.fi>,NO,-2.426,,"No, score=-2.426 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, RP_MATCHES_RCVD=-0.525, SPF_PASS=-0.001] autolearn=ham",False,-1.0,False,0.49999999999999784
41,<7CEA2D2B-E583-480A-839C-5F6A959E4B30@cisco.com>,NO,-110.026,,"No, score=-110.026 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, DKIM_SIGNED=0.1, DKIM_VALID=-0.1, DKIM_VALID_AU=-0.1, RP_MATCHES_RCVD=-0.525, SPF_PASS=-0.001, USER_IN_DEF_DKIM_WL=-7.5, USER_IN_WHITELIST=-100] autolearn=ham",False,-1.9,False,0.49999999999999784
42,<4C757637-63E8-4497-A58E-DD66A2827175@gmail.com>,NO,-2,,"No, score=-2 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, DKIM_SIGNED=0.1, DKIM_VALID=-0.1, DKIM_VALID_AU=-0.1, FREEMAIL_FROM=0.001, SPF_PASS=-0.001] autolearn=ham",False,-1.9,False,0.49999999999999784
