imap_uid,mid,header_flag,header_score,header_level,header_status,SA_flag,SA_score,AS_flag,AS_score
1,<47FEFADE-F3B4-4C9B-B7A3-06051FCE57A5@cisco.com>,NO,-106.591,,"No, score=-106.591 tagged_above=-999 required=5 tests=[AWL=0.008, BAYES_00=-2.599, RCVD_IN_DNSWL_MED=-4, USER_IN_WHITELIST=-100]",False,-1.9,False,0.49999999999999784
2,<20090414200002.40DAE3A6DE3@core3.amsl.com>,,,,,False,-0.8,False,0.03481168340193519
3,<99E6B2E8-FCA0-4444-B31C-8F4BF41FE684@softarmor.com>,NO,-2.554,,"No, score=-2.554 tagged_above=-999 required=5 tests=[AWL=0.045, BAYES_00=-2.599]",False,-2.0,False,0.49999999999999784
4,<D646F5E7-A64E-4F71-AC46-8063D7036FF1@softarmor.com>,NO,-2.557,,"No, score=-2.557 tagged_above=-999 required=5 tests=[AWL=0.042, BAYES_00=-2.599]",False,-2.0,False,0.49999999999999784
5,<CA9998CD4A020D418654FCDEF4E707DF0B1681D3@esealmw113.eemea.ericsson.se>,NO,-5.804,,"No, score=-5.804 tagged_above=-999 required=5 tests=[AWL=0.445, BAYES_00=-2.599, HELO_EQ_SE=0.35, RCVD_IN_DNSWL_MED=-4]",False,1.2,False,0.15960297761042466
6,<0a4f01c9c42f$e0ce1900$c5f0200a@cisco.com>,NO,-6.385,,"No, score=-6.385 tagged_above=-999 required=5 tests=[AWL=0.214, BAYES_00=-2.599, RCVD_IN_DNSWL_MED=-4]",False,-1.9,False,0.49999999999999784
7,<1ECE0EB50388174790F9694F77522CCF1D9F4103@zrc2hxm0.corp.nortel.com>,NO,-6.464,,"No, score=-6.464 tagged_above=-999 required=5 tests=[AWL=0.135, BAYES_00=-2.599, RCVD_IN_DNSWL_MED=-4]",False,-0.6,False,0.15960297761042466
8,<618e24240904240158w246e5739mf02f188dcf11622e@mail.gmail.com>,NO,-2.266,,"No, score=-2.266 tagged_above=-999 required=5 tests=[AWL=0.033, BAYES_00=-2.599, MIME_8BIT_HEADER=0.3]",False,0.1,False,0.49999999999999784
9,<28B7C3AA2A7ABA4A841F11217ABE78D67590B7AB@FRMRSSXCHMBSB3.dc-m.alcatel-lucent.com>,NO,-5.801,,"No, score=-5.801 tagged_above=-999 required=5 tests=[AWL=0.148, BAYES_00=-2.599, HELO_EQ_FR=0.35, MIME_8BIT_HEADER=0.3, RCVD_IN_DNSWL_MED=-4]",False,3.3,False,0.49999999999999784
10,,NO,-2.319,,"No, score=-2.319 tagged_above=-999 required=5 tests=[AWL=-0.020, BAYES_00=-2.599, MIME_8BIT_HEADER=0.3]",False,3.8,False,0.49999999999999784
