imap_uid,mid,header_flag,header_score,header_level,header_status,SA_flag,SA_score,AS_flag,AS_score
1,<2EBB8025B6D1BA41B567DB32C1D8DB8490B911@NAEX06.na.qualcomm.com>,,0.0 (/),,,False,0.3,False,0.15960297761042466
2,<6.2.5.6.2.20060530173708.04038ab8@qualcomm.com>,,0.0 (/),,,False,-2.0,False,0.03624164767921282
3,<2EBB8025B6D1BA41B567DB32C1D8DB8490B925@NAEX06.na.qualcomm.com>,,0.0 (/),,,False,1.0,False,0.15960297761042466
4,<2EBB8025B6D1BA41B567DB32C1D8DB8490B8F6@NAEX06.na.qualcomm.com>,,-2.6 (--),,,False,0.3,False,0.15960297761042466
5,<2EBB8025B6D1BA41B567DB32C1D8DB8490BB44@NAEX06.na.qualcomm.com>,,0.0 (/),,,False,0.3,False,0.49999999999999784
6,<2EBB8025B6D1BA41B567DB32C1D8DB8490BDB4@NAEX06.na.qualcomm.com>,,0.0 (/),,,False,0.3,False,0.49999999999999784
7,<102A51607473A4449F0D3E2EF6FFCAD6391263@orsmsx416.amr.corp.intel.com>,,0.0 (/),,,False,-2.0,False,0.49999999999999784
8,<2EBB8025B6D1BA41B567DB32C1D8DB8490C033@NAEX06.na.qualcomm.com>,,-2.6 (--),,,False,0.3,False,0.49999999999999784
9,<2EBB8025B6D1BA41B567DB32C1D8DB84A1DD5D@NAEX06.na.qualcomm.com>,,0.0 (/),,,False,0.3,False,0.49999999999999784
10,<2EBB8025B6D1BA41B567DB32C1D8DB84A1DD5F@NAEX06.na.qualcomm.com>,,0.0 (/),,,False,0.3,False,0.49999999999999784
11,<1327412245.98041.YahooMailNeo@web95904.mail.in.yahoo.com>,NO,3.601,***,"No, score=3.601 tagged_above=-999 required=5 tests=[BAYES_95=3, HTML_MESSAGE=0.001, J_CHICKENPOX_74=0.6]",False,2.6,False,0.49999999999999784
