imap_uid,mid,header_flag,header_score,header_level,header_status,SA_flag,SA_score,AS_flag,AS_score
2,<20140418015537.2560.40788.ARCHIVE@ietfa.amsl.com>,,4.9 (++++),,,True,22.0,False,9.803242497963455e-09
3,<20140418015537.2560.51238.ARCHIVE@ietfa.amsl.com>,,3.5 (+++),,,True,21.1,False,5.143447383747269e-12
7,<20140418015537.2560.33110.ARCHIVE@ietfa.amsl.com>,,4.1 (++++),,,True,22.1,False,2.1736592920385557e-07
8,<20140418015538.2560.96967.ARCHIVE@ietfa.amsl.com>,,3.1 (+++),,,True,15.2,False,4.083261042238316e-06
9,<20140418015538.2560.12785.ARCHIVE@ietfa.amsl.com>,,4.7 (++++),,,True,17.8,False,9.809518788851439e-07
10,<20140418015538.2560.39744.ARCHIVE@ietfa.amsl.com>,,3.0 (+++),,,True,10.4,False,2.109363086241621e-06
11,<20140418015538.2560.18752.ARCHIVE@ietfa.amsl.com>,,2.2 (++),,,True,8.3,False,2.0645059002475448e-05
12,<20140418015538.2560.85427.ARCHIVE@ietfa.amsl.com>,,2.4 (++),,,True,11.4,False,2.868903484380362e-06
13,<20140418015538.2560.2369.ARCHIVE@ietfa.amsl.com>,,3.3 (+++),,,False,3.9,False,5.301307379567844e-09
14,<20140418015539.2560.67992.ARCHIVE@ietfa.amsl.com>,,3.8 (+++),,,True,10.4,False,1.4135636450004327e-08
15,<20140418015539.2560.83147.ARCHIVE@ietfa.amsl.com>,,3.5 (+++),,,True,12.1,False,6.027921619204154e-09
16,<20140418015539.2560.53623.ARCHIVE@ietfa.amsl.com>,,0.1 (/),,,True,7.2,False,3.2765918918453912e-09
17,<20140418015539.2560.60437.ARCHIVE@ietfa.amsl.com>,,4.9 (++++),,,True,14.9,False,0.04331894161570761
19,<20140418015540.2560.61736.ARCHIVE@ietfa.amsl.com>,,4.1 (++++),,,True,6.1,False,1.5561954009015997e-07
26,<20140418015540.2560.78870.ARCHIVE@ietfa.amsl.com>,,3.0 (+++),,,True,6.8,False,2.549180775653687e-05
27,<20140418015540.2560.89795.ARCHIVE@ietfa.amsl.com>,,3.8 (+++),,,True,6.4,False,4.210125109182676e-08
28,<20140418015541.2560.67974.ARCHIVE@ietfa.amsl.com>,,3.2 (+++),,,False,3.9,False,1.4914686414268684e-08
29,<20140418015541.2560.3517.ARCHIVE@ietfa.amsl.com>,,3.4 (+++),,,True,11.3,False,1.9957926336854864e-05
38,<20140418015542.2560.93678.ARCHIVE@ietfa.amsl.com>,,2.1 (++),,,False,4.7,False,2.9748948095510325e-10
39,<20140418015542.2560.28577.ARCHIVE@ietfa.amsl.com>,,2.1 (++),,,True,9.1,False,3.2728477754355556e-05
40,<20140418015542.2560.90700.ARCHIVE@ietfa.amsl.com>,,3.1 (+++),,,False,3.7,False,0.08162639633193605
41,<20140418015542.2560.83010.ARCHIVE@ietfa.amsl.com>,,3.0 (+++),,,True,5.3,False,5.058003843165115e-07
42,<20140418015543.2560.44966.ARCHIVE@ietfa.amsl.com>,,0.5 (/),,,False,1.5,False,1.523533773711725e-08
45,<20140418015543.2560.1252.ARCHIVE@ietfa.amsl.com>,,3.5 (+++),,,False,4.9,False,3.67136375362407e-14
50,<20140418015543.2560.15099.ARCHIVE@ietfa.amsl.com>,,0.0 (/),,,False,2.5,False,1.3708056301907541e-11
54,<20140418015543.2560.16430.ARCHIVE@ietfa.amsl.com>,,3.4 (+++),,,False,2.5,False,2.3719519138091774e-09
61,<20140418015543.2560.55475.ARCHIVE@ietfa.amsl.com>,,1.7 (+),,,True,7.3,False,1.193005187426186e-07
63,<20140418015543.2560.29175.ARCHIVE@ietfa.amsl.com>,,0.1 (/),,,False,3.8,False,1.0403491155748707e-07
67,<20140418015544.2560.13248.ARCHIVE@ietfa.amsl.com>,,1.6 (+),,,False,3.8,False,2.3239980477902176e-12
68,<20140418015544.2560.3396.ARCHIVE@ietfa.amsl.com>,,4.0 (++++),,,True,6.6,False,1.509435286507141e-08
69,<20140418015544.2560.39654.ARCHIVE@ietfa.amsl.com>,,3.4 (+++),,,False,2.7,False,2.5989167845013944e-05
70,<20140418015544.2560.80043.ARCHIVE@ietfa.amsl.com>,,0.0 (/),,,False,3.8,False,1.5151047947508096e-09
72,<20140418015545.2560.66127.ARCHIVE@ietfa.amsl.com>,,2.1 (++),,,False,1.5,False,7.250950618262952e-12
83,<20140418015545.2560.71149.ARCHIVE@ietfa.amsl.com>,,0.0 (/),,,False,4.9,False,6.502931739257464e-11
84,<20140418015545.2560.79922.ARCHIVE@ietfa.amsl.com>,,3.7 (+++),,,False,3.8,False,8.69977566564785e-09
92,<20140418015545.2560.86308.ARCHIVE@ietfa.amsl.com>,,0.0 (/),,,False,2.5,False,1.0092860234861197e-06
95,<20140418015545.2560.26604.ARCHIVE@ietfa.amsl.com>,,2.1 (++),,,True,6.2,False,4.0966296101403976e-05
99,<20140418015545.2560.95791.ARCHIVE@ietfa.amsl.com>,,2.1 (++),,,False,2.5,False,5.3268282238665266e-09
108,<20140418015545.2560.41426.ARCHIVE@ietfa.amsl.com>,,2.5 (++),,,True,8.3,False,2.563216779819435e-10
112,<20140418015546.2560.17193.ARCHIVE@ietfa.amsl.com>,,2.1 (++),,,False,4.9,False,2.649347410621574e-07
119,<20140418015546.2560.12951.ARCHIVE@ietfa.amsl.com>,,2.8 (++),,,False,4.0,False,3.80921212985364e-08
129,<20140418015546.2560.40627.ARCHIVE@ietfa.amsl.com>,,3.1 (+++),,,True,6.6,False,2.966759475526226e-11
132,<20140418015546.2560.30509.ARCHIVE@ietfa.amsl.com>,,1.1 (+),,,False,1.5,False,8.0856372925813e-07
135,<20140418015546.2560.61150.ARCHIVE@ietfa.amsl.com>,,1.5 (+),,,False,2.5,False,3.710292557930089e-06
139,<20140418015547.2560.80142.ARCHIVE@ietfa.amsl.com>,,4.6 (++++),,,False,2.5,False,6.633625969094014e-06
144,<20140418015547.2560.34578.ARCHIVE@ietfa.amsl.com>,,2.0 (++),,,False,2.5,True,0.9870372878598392
