imap_uid,mid,header_flag,header_score,header_level,header_status,SA_flag,SA_score,AS_flag,AS_score
1,<68EEE551-FA87-4D40-88D7-E0B448461699@netapp.com>,NO,-9.369,,"No, score=-9.369 tagged_above=-999 required=5 tests=[AWL=-0.989, BAYES_00=-2.599, RCVD_IN_DNSWL_HI=-8, TVD_SPACE_RATIO=2.219]",False,-2.0,False,0.03481168340193519
2,<6.2.5.6.2.20130428091705.0cbc0b60@elandnews.com>,NO,-102.468,,"No, score=-102.468 tagged_above=-999 required=5 tests=[AWL=0.131, BAYES_00=-2.599, USER_IN_WHITELIST=-100]",False,-1.9,False,0.16528121032310528
3,<517D755D.8050902@nomountain.net>,NO,-2.599,,"No, score=-2.599 tagged_above=-999 required=5 tests=[BAYES_00=-2.599]",False,-1.9,False,0.49999999999999784
4,<517D7C75.4090806@cs.tcd.ie>,NO,-101.299,,"No, score=-101.299 tagged_above=-999 required=5 tests=[AWL=1.300, BAYES_00=-2.599, USER_IN_WHITELIST=-100]",False,-2.0,False,0.49999999999999784
5,<6.2.5.6.2.20130428125325.0cbaad98@elandnews.com>,NO,-102.482,,"No, score=-102.482 tagged_above=-999 required=5 tests=[AWL=0.117, BAYES_00=-2.599, USER_IN_WHITELIST=-100]",False,-1.9,False,0.03624164767921282
6,<6.2.5.6.2.20130428151412.0cbaa210@elandnews.com>,NO,-102.494,,"No, score=-102.494 tagged_above=-999 required=5 tests=[AWL=0.105, BAYES_00=-2.599, USER_IN_WHITELIST=-100]",False,-1.9,False,0.16528121032310528
7,<517DA985.5050105@cs.tcd.ie>,NO,-101.732,,"No, score=-101.732 tagged_above=-999 required=5 tests=[AWL=0.867, BAYES_00=-2.599, USER_IN_WHITELIST=-100]",False,-2.0,False,0.49999999999999784
8,<CAKe6YvPUS5sZOMLLzC1KSzsMh3VHqt3wj8mweWDCO7sxYjGd6A@mail.gmail.com>,NO,0.001,,"No, score=0.001 tagged_above=-999 required=5 tests=[HTML_MESSAGE=0.001]",False,1.5,False,0.49999999999999784
9,<CAKe6YvNgjmONFJf0DpJ8S8kn40aDhZwd26D81U+kFVQmPeZoCA@mail.gmail.com>,NO,0,,"No, score=0 tagged_above=-999 required=5 tests=[HTML_MESSAGE=0.001, NO_RELAYS=-0.001]",False,-0.9,False,0.49999999999999784
10,<517DCA88.6030603@gmail.com>,NO,-0.001,,"No, score=-0.001 tagged_above=-999 required=5 tests=[NO_RELAYS=-0.001]",False,-1.9,False,0.49999999999999784
11,<517DD1A5.30102@nomountain.net>,NO,0,,"No, score=0 tagged_above=-999 required=5 tests=[none]",False,-1.9,False,0.49999999999999784
12,<517DD24F.1070104@gmail.com>,NO,-0.001,,"No, score=-0.001 tagged_above=-999 required=5 tests=[NO_RELAYS=-0.001]",False,-1.9,False,0.49999999999999784
13,<CAOmxzdwj1uM9aHuPEtJ1p=WCd02CSYVvL_P8pKG61Qid8W984A@mail.gmail.com>,NO,-0.4,,"No, score=-0.4 tagged_above=-999 required=5 tests=[J_CHICKENPOX_47=0.6, RCVD_IN_DNSWL_LOW=-1]",False,-0.9,False,0.49999999999999784
14,<517DD43C.7070600@cs.tcd.ie>,NO,-100,,"No, score=-100 tagged_above=-999 required=5 tests=[USER_IN_WHITELIST=-100]",False,-2.0,False,0.49999999999999784
15,<517DD9E5.6090900@nomountain.net>,NO,0,,"No, score=0 tagged_above=-999 required=5 tests=[none]",False,-1.9,False,0.49999999999999784
16,<CAOmxzdxxW08OBVCZRvx5A59f_ti33+_evHXVyQ+pHd-+tWq=og@mail.gmail.com>,NO,-0.001,,"No, score=-0.001 tagged_above=-999 required=5 tests=[NO_RELAYS=-0.001]",False,-0.9,False,0.49999999999999784
17,<6.2.5.6.2.20130428214904.0bf76b90@elandnews.com>,NO,-102.599,,"No, score=-102.599 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, USER_IN_WHITELIST=-100]",False,-1.9,False,0.16528121032310528
18,<6.2.5.6.2.20130428225212.0ca2bae8@elandnews.com>,NO,-102.599,,"No, score=-102.599 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, USER_IN_WHITELIST=-100]",False,-1.9,False,0.49999999999999784
19,<6.2.5.6.2.20130428234454.06a3c160@elandnews.com>,NO,-102.599,,"No, score=-102.599 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, USER_IN_WHITELIST=-100]",False,-1.9,False,0.03624164767921282
20,<517E7464.3040500@gmail.com>,NO,-1.3,,"No, score=-1.3 tagged_above=-999 required=5 tests=[AWL=1.300, BAYES_00=-2.599, NO_RELAYS=-0.001]",False,-1.9,False,0.49999999999999784
21,<CAOmxzdzQmOMeemuMR9jr9qYYaWbwHOppUbHhW89TefciB6HuLQ@mail.gmail.com>,NO,-1.3,,"No, score=-1.3 tagged_above=-999 required=5 tests=[AWL=1.300, BAYES_00=-2.599, NO_RELAYS=-0.001]",False,-0.9,False,0.49999999999999784
22,<CAKe6YvNcVy15FBWxOe6c4tOBM-FgL3zco56qT2h_O1v5jdVaEA@mail.gmail.com>,NO,-1.299,,"No, score=-1.299 tagged_above=-999 required=5 tests=[AWL=1.299, BAYES_00=-2.599, HTML_MESSAGE=0.001]",False,1.5,False,0.49999999999999784
23,<6.2.5.6.2.20130430013918.0c5368e8@elandnews.com>,NO,-102.536,,"No, score=-102.536 tagged_above=-999 required=5 tests=[AWL=0.063, BAYES_00=-2.599, USER_IN_WHITELIST=-100]",False,-1.9,False,0.49999999999999784
24,<A9F64458-DD4D-40EF-BE19-8EA22C2CBA04@tzi.org>,NO,-106.211,,"No, score=-106.211 tagged_above=-999 required=5 tests=[AWL=0.038, BAYES_00=-2.599, HELO_EQ_DE=0.35, RCVD_IN_DNSWL_MED=-4, USER_IN_WHITELIST=-100]",False,-2.0,False,0.49999999999999784
25,<CAKe6YvMpnGikWxt2YawScD5qB5OLsxoP1xD5JTdmU-Hp+1K65A@mail.gmail.com>,NO,-2.448,,"No, score=-2.448 tagged_above=-999 required=5 tests=[AWL=1.150, BAYES_00=-2.599, HTML_MESSAGE=0.001, RCVD_IN_DNSWL_LOW=-1]",False,-0.9,False,0.49999999999999784
26,<9DBFF457-5A19-4A87-BF27-4F6BF1AFEA45@tzi.org>,NO,-106.217,,"No, score=-106.217 tagged_above=-999 required=5 tests=[AWL=0.032, BAYES_00=-2.599, HELO_EQ_DE=0.35, RCVD_IN_DNSWL_MED=-4, USER_IN_WHITELIST=-100]",False,-2.0,False,0.49999999999999784
27,<6.2.5.6.2.20130430105641.0a7ec008@elandnews.com>,NO,-102.545,,"No, score=-102.545 tagged_above=-999 required=5 tests=[AWL=0.054, BAYES_00=-2.599, USER_IN_WHITELIST=-100]",False,-1.9,False,0.49999999999999784
28,<6.2.5.6.2.20130430110232.0a7ebec0@elandnews.com>,NO,-102.549,,"No, score=-102.549 tagged_above=-999 required=5 tests=[AWL=0.050, BAYES_00=-2.599, USER_IN_WHITELIST=-100]",False,-1.9,False,0.49999999999999784
29,<2126288892-1367360868-cardhu_decombobulator_blackberry.rim.net-710645610-@b25.c3.bise6.blackberry>,NO,-1.073,,"No, score=-1.073 tagged_above=-999 required=5 tests=[AWL=-0.227, BAYES_00=-2.599, MIME_BASE64_TEXT=1.753]",False,0.1,False,0.49999999999999784
30,<6.2.5.6.2.20130430154123.0d6be5c0@elandnews.com>,NO,-102.599,,"No, score=-102.599 tagged_above=-999 required=5 tests=[AWL=-0.000, BAYES_00=-2.599, USER_IN_WHITELIST=-100]",False,-1.9,False,0.49999999999999784
31,<518255DB.9090004@si6networks.com>,NO,-2.484,,"No, score=-2.484 tagged_above=-999 required=5 tests=[AWL=0.115, BAYES_00=-2.599]",False,-2.0,False,0.49999999999999784
32,<518271E6.5000805@internettraffic.com>,NO,-2.599,,"No, score=-2.599 tagged_above=-999 required=5 tests=[BAYES_00=-2.599]",False,-2.0,False,0.49999999999999784
33,<518274EA.9040904@si6networks.com>,NO,-2.513,,"No, score=-2.513 tagged_above=-999 required=5 tests=[AWL=0.086, BAYES_00=-2.599]",False,-2.0,False,0.49999999999999784
34,<518276D0.1050805@internettraffic.com>,NO,-2.599,,"No, score=-2.599 tagged_above=-999 required=5 tests=[BAYES_00=-2.599]",False,-2.0,False,0.49999999999999784
35,<1A1C38C6-1516-4B47-8982-F8CB9612A58D@hopcount.ca>,NO,-102.6,,"No, score=-102.6 tagged_above=-999 required=5 tests=[AWL=-0.000, BAYES_00=-2.599, USER_IN_WHITELIST=-100]",False,-1.9,False,0.49999999999999784
36,<51829BB9.8060406@nomountain.net>,NO,-1.3,,"No, score=-1.3 tagged_above=-999 required=5 tests=[AWL=1.300, BAYES_00=-2.599]",False,-1.9,False,0.49999999999999784
37,<43E9B243-E910-43B5-AABC-8A1A0C91023B@ula.ve>,NO,0.182,,"No, score=0.182 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, HELO_EQ_IT=0.635, HOST_EQ_IT=1.245, HTML_MESSAGE=0.001, J_CHICKENPOX_47=0.6, MIME_8BIT_HEADER=0.3]",False,-2.0,False,0.49999999999999784
38,<CAOmxzdyBiwCyF_d6OHtWWeZd53CMoATjUdg+4YW8imkaN06Yqw@mail.gmail.com>,NO,-2.699,,"No, score=-2.699 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, J_CHICKENPOX_47=0.6, MIME_8BIT_HEADER=0.3, RCVD_IN_DNSWL_LOW=-1]",False,-0.9,False,0.49999999999999784
