imap_uid,mid,header_flag,header_score,header_level,header_status,SA_flag,SA_score,AS_flag,AS_score
1,<9010041319.AA25589@decpa.pa.dec.com>,,,,,False,0.8,False,6.768460113983199e-09
2,<9010041555.AA00896@tahiti.sysengr.PacBell.COM>,,,,,False,-0.0,False,0.0004779459814945832
3,<9010042043.AA30877@buitb>,,,,,False,2.4,False,0.021407740036682065
4,<9010051820.AA15519@wellfleet.com>,,,,,False,-0.0,False,7.443627743213496e-08
5,<9010051943.AA04748@tahiti.sysengr.PacBell.COM>,,,,,False,-0.0,False,0.22116404582690108
6,<9010051641.aa12574@NRI.NRI.Reston.VA.US>,,,,,False,-0.0,False,0.30743680169959464
7,<9010052048.AA08978@buitb>,,,,,False,2.4,False,2.1757097861365402e-08
8,<9010052040.AA16117@wellfleet.com>,,,,,False,-0.0,False,1.7566990161833646e-08
9,<9010052219.AA15296@funet.fi>,,,,,False,-0.0,False,1.4576421755779676e-14
10,<gb3Fzca00WCoR=s2tg@andrew.cmu.edu>,,,,,False,0.0,False,2.6091425326691303e-16
11,<9010081553.AA14669@decpa.pa.dec.com>,,,,,False,0.8,False,0.012999013343340214
12,<9010101451.aa07891@NRI.NRI.Reston.VA.US>,,,,,False,1.4,False,0.49999999999999784
13,<9010151555.AA06566@funet.fi>,,,,,False,-0.0,False,2.0767988182781757e-15
14,<9010171431.AA05402@meritec.UUCP>,,,,,False,3.2,False,7.699069338328563e-10
15,<9010312047.AA13384@voltaire.UUCP>,,,,,False,0.8,False,3.158432793032095e-09
16,<9011141608.AA26651@sonny.proteon.com>,,,,,False,-0.0,False,0.1427541168331165
17,<9011141214.aa07526@NRI.NRI.Reston.VA.US>,,,,,False,0.0,False,2.759215063962777e-07
18,<9011141641.AA01843@buitb>,,,,,False,2.4,False,1.1407764023145613e-08
19,<9011141652.AA01824@buitb>,,,,,False,2.4,False,0.008049444479276564
20,<1253*christ@rus.uni-stuttgart.dbp.de>,,,,,False,0.0,False,0.657135527615307
21,<9011151016.aa05348@NRI.NRI.Reston.VA.US>,,,,,False,0.8,False,5.503925609834235e-10
22,<9011150644.AA27644@funet.fi>,,,,,False,-0.0,False,5.12613088523534e-13
23,<9011151328.AA00160@europa.InterLan.Com>,,,,,False,-0.0,True,0.9999637390948358
24,<9011151022.aa05492@NRI.NRI.Reston.VA.US>,,,,,False,0.8,False,1.5708274439785553e-05
25,<9011151036.aa05864@NRI.NRI.Reston.VA.US>,,,,,False,0.8,False,8.941705942178593e-05
26,<9011151617.AA00251@petunia.network.com>,,,,,False,0.8,True,0.9994482891217251
27,<9011151134.aa07414@NRI.NRI.Reston.VA.US>,,,,,False,0.8,False,2.67733666110295e-06
28,<9011151747.AA23584@gibbs.sfsu.edu>,,,,,False,-0.0,False,9.888863938696766e-15
29,<9011152142.AA19518@inria.inria.fr>,,,,,False,0.8,False,4.0679603918112353e-10
30,<9011152149.AA19904@inria.inria.fr>,,,,,False,0.8,False,9.426344065636116e-05
31,<9011152246.AA00540@petunia.network.com>,,,,,False,0.8,False,0.5234255437348629
32,<9011160147.AA13073@emerald.acc.com>,,,,,False,-0.0,False,1.0857693433659275e-06
33,<YbEqV1600iU4I2QklA@andrew.cmu.edu>,,,,,False,0.0,False,1.1658420814803127e-11
34,<9011161500.AA00203@petunia.network.com>,,,,,False,0.8,False,0.023288906501870512
35,<9011161440.AA00185@petunia.network.com>,,,,,False,0.8,True,0.9982322562679398
36,<9011160936.aa04546@NRI.NRI.Reston.VA.US>,,,,,False,0.0,False,4.326984862414443e-08
37,<9011161458.AA06513@buitb>,,,,,False,2.4,False,9.979548613668054e-08
38,<9011161636.AA08464@inria.inria.fr>,,,,,False,0.8,False,1.513191041720625e-06
39,<9011161149.aa06853@NRI.NRI.Reston.VA.US>,,,,,False,0.0,False,2.894601985196147e-07
40,<9011161705.AA09876@inria.inria.fr>,,,,,False,0.8,False,0.0011514702823680909
41,<EbF1mmK00iU402mXxp@andrew.cmu.edu>,,,,,False,0.0,False,0.15960297761042466
42,<9011161714.AA10244@inria.inria.fr>,,,,,False,0.8,False,9.76050236576329e-05
43,<9011161724.AA13266@emerald.acc.com>,,,,,False,-0.0,False,0.0009568848176468005
44,<9011161706.AA13400@adapt.net.com>,,,,,False,0.8,False,0.6789621416960137
45,<9011161600.aa03127@NRI.NRI.Reston.VA.US>,,,,,False,0.0,True,0.9540628747394182
46,<90/11/16,,,,,False,3.4,False,2.026079825005455e-14
47,<9011162137.AA05287@idis.lis.pitt.edu>,,,,,False,3.2,False,1.251501204668815e-05
48,<9011162230.AA28737@hpfcla.fc.hp.com>,,,,,False,0.8,False,0.3761386645115811
49,<90/11/16,,,,,False,3.4,False,2.1954207964379687e-16
50,<12638529065.24.LYNCH@A.ISI.EDU>,,,,,False,0.8,False,4.3643478342612637e-13
51,<9011170359.AA09823@decpa.pa.dec.com>,,,,,False,0.8,False,0.0020360107009916003
52,<9011170827.AA25480@funet.fi>,,,,,False,-0.0,False,3.9478201320363404e-08
53,<9011170835.AA25528@funet.fi>,,,,,False,-0.0,False,1.365578005076243e-09
54,<9011172218.AA03839@buckeye.ESD.3Com.COM>,,,,,False,-0.0,False,4.691573569925807e-05
55,<9011181528.AA07767@netman>,,,,,False,2.6,True,0.9724567811305155
56,<9011181747.aa16256@NRI.NRI.Reston.VA.US>,,,,,False,0.0,True,0.9999732574479427
57,<9011190211.AA05337@idis.lis.pitt.edu>,,,,,False,3.2,False,0.0001542746032530058
58,<9011190847.aa23186@NRI.NRI.Reston.VA.US>,,,,,False,0.0,True,0.9999974520563735
59,<9011191023.aa25110@NRI.NRI.Reston.VA.US>,,,,,False,2.0,False,0.00014332308501457155
