imap_uid,mid,header_flag,header_score,header_level,header_status,SA_flag,SA_score,AS_flag,AS_score
1,<6.2.1.2.2.20050609152413.078e8ac0@mail.binhost.com>,,0.2 (/),,,False,3.8,False,0.49999999999999784
2,<p06210245bece4ebbbea1@[10.20.30.249]>,,0.0 (/),,,False,-2.0,False,0.34529067587569834
3,<p06210210bed50746f518@[10.20.30.249]>,,0.0 (/),,,False,-2.0,False,0.34529067587569834
4,<20050614224156.A506B830E6@smtp2.pacifier.net>,,0.0 (/),,,False,0.3,False,0.5406893032241556
5,<20050615222511.59392.qmail@cr.yp.to>,,0.0 (/),,,False,-1.0,False,0.49999999999999784
6,<20050616023114.637028A02D@laser.networkresonance.com>,,0.0 (/),,,False,-0.2,False,0.34529067587569834
7,<p06210235bed696f3425c@[10.20.30.249]>,,0.0 (/),,,False,-2.0,False,0.49999999999999784
8,<6.2.1.2.2.20050616093927.0660b700@mail.binhost.com>,,0.2 (/),,,False,3.8,False,0.49999999999999784
9,<20050616145551.E50948A02D@laser.networkresonance.com>,,0.0 (/),,,False,-0.2,False,0.34529067587569834
10,<6.2.1.2.2.20050616104551.064bca50@mail.binhost.com>,,0.2 (/),,,False,3.8,False,0.07049216318160013
11,<p0621023fbed74d90d4fd@[10.20.30.249]>,,0.0 (/),,,False,-2.0,False,0.42069953925179354
12,<7A3E1242FA9989439AD1F9B2D71C287F042741AD@sottmxs05.entrust.com>,,0.5 (/),,,False,-1.0,False,0.27693683532699287
13,<6.2.1.2.2.20050616160909.0719a5b0@mail.binhost.com>,,1.1 (+),,,False,3.8,False,0.49999999999999784
14,<6.2.1.2.2.20050617114209.0640e0d0@mail.binhost.com>,,0.2 (/),,,False,3.8,False,0.27693683532699287
15,<200506171624.j5HGOplk017024@localhost.localdomain>,,0.0 (/),,,False,-1.0,False,0.09104101603020599
16,<6.2.1.2.2.20050617122707.049bba10@mail.binhost.com>,,0.2 (/),,,False,3.8,False,0.27693683532699287
17,<20050617191830.6B39C32735@smtp2.pacifier.net>,,0.0 (/),,,False,0.3,False,0.49999999999999784
18,<6.2.1.2.2.20050620094732.05d64ba0@mail.binhost.com>,,0.2 (/),,,False,3.8,False,0.20247421785297587
19,<Pine.GSO.4.44_heb2.09.0506210223230.24981-100000@ee.technion.ac.il>,,0.0 (/),,,False,-1.0,False,0.34529067587569834
20,<20050621071519.4129874AF2@smtp1.pacifier.net>,,0.0 (/),,,False,0.3,False,0.42069953925179354
21,<6.2.1.2.2.20050621091559.04d12960@mail.binhost.com>,,0.2 (/),,,False,3.8,False,0.07049216318160013
