imap_uid,mid,header_flag,header_score,header_level,header_status,SA_flag,SA_score,AS_flag,AS_score
1,<4C07F279.60503@stpeter.im>,NO,-0.679,,"No, score=-0.679 tagged_above=-999 required=5 tests=[AWL=-0.680, BAYES_50=0.001]",False,-2.0,False,0.49999999999999784
2,<3D3C75174CB95F42AD6BCC56E5555B4502AF72B5@FIESEXC015.nsn-intra.net>,NO,0.976,,"No, score=0.976 tagged_above=-999 required=5 tests=[AWL=0.975, BAYES_50=0.001]",False,-2.0,False,0.15960297761042466
3,<3D3C75174CB95F42AD6BCC56E5555B4502AF72B4@FIESEXC015.nsn-intra.net>,NO,0.164,,"No, score=0.164 tagged_above=-999 required=5 tests=[AWL=0.163, BAYES_50=0.001]",False,-2.0,False,0.49999999999999784
4,<004c01cb0745$05d90e40$118b2ac0$@net>,NO,0.335,,"No, score=0.335 tagged_above=-999 required=5 tests=[BAYES_50=0.001, IP_NOT_FRIENDLY=0.334]",False,-1.9,False,0.15960297761042466
5,<4C0EA1A5.8050107@stpeter.im>,NO,-2.149,,"No, score=-2.149 tagged_above=-999 required=5 tests=[AWL=0.450, BAYES_00=-2.599]",False,-2.0,False,0.49999999999999784
6,<3D3C75174CB95F42AD6BCC56E5555B4502AF72C3@FIESEXC015.nsn-intra.net>,NO,-1.169,,"No, score=-1.169 tagged_above=-999 required=5 tests=[AWL=1.430, BAYES_00=-2.599]",False,-2.0,False,0.15960297761042466
7,<4C0ECF88.3010406@KingsMountain.com>,NO,0.335,,"No, score=0.335 tagged_above=-999 required=5 tests=[BAYES_50=0.001, IP_NOT_FRIENDLY=0.334]",False,-1.9,False,0.49999999999999784
8,<4C0ED358.4070002@KingsMountain.com>,NO,0.335,,"No, score=0.335 tagged_above=-999 required=5 tests=[BAYES_50=0.001, IP_NOT_FRIENDLY=0.334]",False,-1.9,False,0.49999999999999784
9,<4C0ED45D.9090006@KingsMountain.com>,NO,0.335,,"No, score=0.335 tagged_above=-999 required=5 tests=[AWL=-0.000, BAYES_50=0.001, IP_NOT_FRIENDLY=0.334]",False,-1.9,False,0.49999999999999784
10,<4C0EE905.30907@stpeter.im>,NO,0.001,,"No, score=0.001 tagged_above=-999 required=5 tests=[BAYES_50=0.001]",False,-2.0,False,0.15960297761042466
