imap_uid,mid,header_flag,header_score,header_level,header_status,SA_flag,SA_score,AS_flag,AS_score
1,<20080507.174828.06621709.yoshfuji@linux-ipv6.org>,NO,2.09,**,"No, score=2.09 tagged_above=-999 required=5 tests=[BAYES_05=-1.11, CHARSET_FARAWAY_HEADER=3.2]",False,-1.8,False,0.49999999999999784
2,<20080507.174854.02316048.yoshfuji@linux-ipv6.org>,NO,1.345,*,"No, score=1.345 tagged_above=-999 required=5 tests=[AWL=0.744,  BAYES_00=-2.599, CHARSET_FARAWAY_HEADER=3.2]",False,-1.8,False,0.49999999999999784
3,<20080507.174858.122658786.yoshfuji@linux-ipv6.org>,NO,0.973,,"No, score=0.973 tagged_above=-999 required=5 tests=[AWL=0.372,  BAYES_00=-2.599, CHARSET_FARAWAY_HEADER=3.2]",False,-1.8,False,0.49999999999999784
4,<20080507.174905.94448213.yoshfuji@linux-ipv6.org>,NO,0.849,,"No, score=0.849 tagged_above=-999 required=5 tests=[AWL=0.248,  BAYES_00=-2.599, CHARSET_FARAWAY_HEADER=3.2]",False,-1.8,False,0.49999999999999784
5,<Pine.SOL.4.64.0805071244080.17745@kekkonen.cs.hut.fi>,NO,-6.599,,"No, score=-6.599 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, RCVD_IN_DNSWL_MED=-4]",False,2.5,False,0.49999999999999784
6,<482ABABB.9040602@cs.helsinki.fi>,NO,-2.599,,"No, score=-2.599 tagged_above=-999 required=5 tests=[BAYES_00=-2.599]",False,-0.7,False,0.49999999999999784
7,<482ADB0C.2000903@ericsson.com>,NO,-6.035,,"No, score=-6.035 tagged_above=-999 required=5 tests=[AWL=0.214,  BAYES_00=-2.599, HELO_EQ_SE=0.35, RCVD_IN_DNSWL_MED=-4]",False,1.7,False,0.49999999999999784
8,<48314505.1030103@piuha.net>,NO,-1.299,,"No, score=-1.299 tagged_above=-999 required=5 tests=[AWL=1.300,  BAYES_00=-2.599]",False,1.7,False,0.49999999999999784
9,<825209.7182.qm@web27907.mail.ukl.yahoo.com>,NO,0.002,,"No, score=0.002 tagged_above=-999 required=5 tests=[BAYES_50=0.001, HTML_MESSAGE=0.001]",False,2.8,False,0.669270692071739
10,<Pine.SOL.4.64.0805261656500.8729@kekkonen.cs.hut.fi>,NO,-6.599,,"No, score=-6.599 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, RCVD_IN_DNSWL_MED=-4]",False,0.2,False,0.49999999999999784
11,<20080619180701.E16A6B89ED@smtp2.enst.fr>,NO,-2.149,,"No, score=-2.149 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, HELO_EQ_FR=0.35, RDNS_DYNAMIC=0.1]",False,0.5,False,0.49999999999999784
12,<70D060BF-596B-425E-A904-F345FCA1D2D2@nomadiclab.com>,NO,-2.599,,"No, score=-2.599 tagged_above=-999 required=5 tests=[BAYES_00=-2.599]",False,-1.8,False,0.49999999999999784
13,<20080620163827.3E380B89D0@smtp2.enst.fr>,NO,-2.148,,"No, score=-2.148 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, HELO_EQ_FR=0.35, HTML_MESSAGE=0.001, RDNS_DYNAMIC=0.1]",False,0.5,False,0.49999999999999784
