imap_uid,mid,header_flag,header_score,header_level,header_status,SA_flag,SA_score,AS_flag,AS_score
1,<Pine.LNX.4.58.0406211027340.5502@bat.clueby4.org>,,,,,False,1.2,False,0.17326038284150833
2,<Pine.GSO.4.58.0407081351510.14240@kekkonen.cs.hut.fi>,,,,,False,1.2,False,0.7189408625521978
3,<6938661A6EDA8A4EA8D1419BCE46F24C04060755@xch-nw-27.nw.nos.boeing.com>,,,,,False,1.2,False,0.07048822942785392
4,<Pine.GSO.4.58.0407081019560.14240@kekkonen.cs.hut.fi>,,,,,False,1.2,False,0.7189408625521978
5,<6938661A6EDA8A4EA8D1419BCE46F24C04060785@xch-nw-27.nw.nos.boeing.com>,,,,,False,1.2,True,0.9999918635314168
6,<6938661A6EDA8A4EA8D1419BCE46F24C0406078B@xch-nw-27.nw.nos.boeing.com>,,,,,False,1.2,True,0.9909603282941414
7,<Pine.GSO.4.58.0407202220000.20815@kekkonen.cs.hut.fi>,,,,,False,1.2,True,0.99999434870176
8,<Pine.GSO.4.58.0407210953001.11690@kekkonen.cs.hut.fi>,,,,,False,1.2,True,0.9999450443086562
9,<4100B573.8020009@netlab.nec.de>,,,,,False,1.2,True,0.9994647888467727
10,<6938661A6EDA8A4EA8D1419BCE46F24C045222BE@xch-nw-27.nw.nos.boeing.com>,,,,,False,1.2,False,0.8768605453230697
11,<410677E8.2080501@netlab.nec.de>,,,,,False,1.2,True,0.9999673547164429
12,<252BC96C-DFBF-11D8-9324-000393CE1E8C@nomadiclab.com>,,,,,False,1.2,True,0.9999802112845275
13,<6740FA5E-DFBB-11D8-9324-000393CE1E8C@nomadiclab.com>,,,,,False,1.2,False,0.043560477323657185
14,<983B8B50-DFB9-11D8-9324-000393CE1E8C@nomadiclab.com>,,,,,False,1.2,True,0.9999913095363533
15,<6938661A6EDA8A4EA8D1419BCE46F24C040607A7@xch-nw-27.nw.nos.boeing.com>,,,,,False,1.2,True,0.9846320892343855
16,<Pine.GSO.4.58.0407282144270.22138@kekkonen.cs.hut.fi>,,,,,False,1.2,True,0.9999873063620027
17,<6938661A6EDA8A4EA8D1419BCE46F24C040607AB@xch-nw-27.nw.nos.boeing.com>,,,,,False,1.2,True,0.9999091011108481
18,<6938661A6EDA8A4EA8D1419BCE46F24C040607A5@xch-nw-27.nw.nos.boeing.com>,,,,,False,1.2,True,0.9981369219879269
19,<41A08031-E165-11D8-9324-000393CE1E8C@nomadiclab.com>,,,,,False,1.2,True,0.9997100283088396
20,<B15DFBB0-E164-11D8-9324-000393CE1E8C@nomadiclab.com>,,,,,False,1.2,True,0.9918908245809047
21,<Pine.GSO.4.58.0407291610260.14996@kekkonen.cs.hut.fi>,,,,,False,1.2,True,0.9999999908385652
22,<6938661A6EDA8A4EA8D1419BCE46F24C040607D2@xch-nw-27.nw.nos.boeing.com>,,,,,False,1.2,False,0.7689810950099248
23,<6938661A6EDA8A4EA8D1419BCE46F24C040607CB@xch-nw-27.nw.nos.boeing.com>,,,,,False,1.2,True,0.9999883348353686
24,<5A2476DE-E693-11D8-8C46-000393CE1E8C@nomadiclab.com>,,,,,False,1.2,True,0.999617204634008
25,<6938661A6EDA8A4EA8D1419BCE46F24C0452238A@xch-nw-27.nw.nos.boeing.com>,,,,,False,1.2,True,0.9978194395573309
26,<6938661A6EDA8A4EA8D1419BCE46F24C045223EE@xch-nw-27.nw.nos.boeing.com>,,,,,False,1.2,False,0.47672167677445126
27,<E1Bwu5f-0007PB-00@alva.home>,,,,,False,1.2,False,0.8428416986620535
28,<E1BwiUq-00079b-00@alva.home>,,,,,False,1.2,True,0.9995110132334347
29,<E1BwrbV-0007LC-00@alva.home>,,,,,False,1.2,True,0.9999923751159986
30,<Pine.GSO.4.58.0408161501130.1778@kekkonen.cs.hut.fi>,,,,,False,1.2,True,0.9999624096781041
31,<41211AD3.6080306@netlab.nec.de>,,,,,False,1.2,True,0.9998860185184979
32,<4121869B.10806@isi.edu>,,,,,False,1.2,False,0.005487529624402485
33,<Pine.GSO.4.58.0408172316230.3199@kekkonen.cs.hut.fi>,,,,,False,1.2,True,0.9994303762072141
34,<41218639.8060303@isi.edu>,,,,,False,1.2,True,0.9960918508720681
35,<41218763.60307@isi.edu>,,,,,False,1.2,True,0.9963597150973956
36,<469BC1CB99DA5BE2AC85D5FB@[192.168.1.248]>,,,,,False,2.0,True,0.9998919438384191
37,<6938661A6EDA8A4EA8D1419BCE46F24C04060809@xch-nw-27.nw.nos.boeing.com>,,,,,False,1.2,False,0.005063519180189068
38,<41237FB6.6080403@isi.edu>,,,,,False,1.2,False,0.010302139716142413
39,<Pine.GSO.4.58.0408200959460.3500@kekkonen.cs.hut.fi>,,,,,False,1.2,True,0.9478478006650214
40,<6938661A6EDA8A4EA8D1419BCE46F24C0406080C@xch-nw-27.nw.nos.boeing.com>,,,,,False,1.2,False,0.00022486825087473315
41,<Pine.GSO.4.58.0408212331520.9740@kekkonen.cs.hut.fi>,,,,,False,1.2,False,0.22055589682852433
42,<41260CBB.90200@isi.edu>,,,,,False,1.2,True,0.9988828727286243
43,<41252460.5040509@isi.edu>,,,,,False,1.2,True,0.9594229324527302
44,<A4DD7898-F513-11D8-BD49-00306571BE62@nomadiclab.com>,,,,,False,1.2,False,0.7908824066944576
45,<5114.1093491767@www11.gmx.net>,,,,,False,1.2,True,0.9999999353041227
46,<4136A02D.7090800@piuha.net>,,,,,False,1.2,False,3.98185121896809e-08
47,<41363B40.5080207@netlab.nec.de>,,,,,False,1.2,True,0.9994638811771887
48,<58B69D8C-FCAB-11D8-BFE0-000D9331AFB0@nomadiclab.com>,,,,,False,1.2,False,0.001419825892649682
49,<20040902065015.A5D257308@honor.icsalabs.com>,,,,,False,1.2,False,0.8996330888659592
50,<41802906-FDA3-11D8-B9B7-000D9331AFB0@nomadiclab.com>,,,,,False,1.2,True,0.9999999932666601
51,<413E88DD.8050601@piuha.net>,,,,,False,1.2,True,0.9572967083242199
52,<CE029F44-00D9-11D9-AC79-000D9331AFB0@nomadiclab.com>,,,,,False,1.2,False,6.659456229225758e-06
53,<E1C4hgw-0002VS-00@alva.home>,,,,,False,1.2,False,3.3146107889419266e-05
54,<20040908002504.9CDA3730C@honor.icsalabs.com>,,,,,False,1.2,True,0.9999999993455831
55,<584752A2-00D5-11D9-AC79-000D9331AFB0@nomadiclab.com>,,,,,False,1.2,False,8.639829435037095e-07
56,<E1C4ix4-0002Zm-00@alva.home>,,,,,False,1.2,False,0.02542100707996567
57,<016101c494ff$252e5020$536115ac@dcml.docomolabsusa.com>,,,,,False,4.9,True,0.9994573601804383
58,<DE980ADD-00EA-11D9-BC14-000D9331AFB0@nomadiclab.com>,,,,,False,1.2,False,0.0005543671949638291
59,<014701c494fe$c99f4980$536115ac@dcml.docomolabsusa.com>,,,,,False,4.9,False,0.8222278632552884
60,<Pine.GSO.4.58.0409071920160.21212@kekkonen.cs.hut.fi>,,,,,False,1.2,True,0.9983299294084728
61,<Pine.GSO.4.58.0409131644330.19003@kekkonen.cs.hut.fi>,,,,,False,1.2,False,0.006824046053027554
62,<30A31D1D-057E-11D9-A8F6-000D9331AFB0@nomadiclab.com>,,,,,False,1.2,False,0.0065691833670400365
63,<Pine.GSO.4.58.0409141138280.16422@kekkonen.cs.hut.fi>,,,,,False,1.2,True,0.999999998038733
64,<15193.1095149466@www65.gmx.net>,,,,,False,1.2,True,0.9999997663122462
65,<414830DA.205@netlab.nec.de>,,,,,False,1.2,True,0.980129883786094
66,<AB9A7C96-07A2-11D9-8BA1-000D9331AFB0@nomadiclab.com>,,,,,False,1.2,False,7.430104124097515e-07
67,<BC6D457B-07DF-11D9-8BA1-000D9331AFB0@nomadiclab.com>,,,,,False,1.2,True,0.9924844662672377
68,<AC206470-080C-11D9-94B4-000D9331AFB0@nomadiclab.com>,,,,,False,1.2,True,0.9942957773847815
69,<Pine.GSO.4.58.0409222020400.24293@kekkonen.cs.hut.fi>,,,,,False,1.2,True,0.9999999998803164
70,<4146496B0000A454@ims6a.cp.tin.it>,,,,,False,1.2,True,0.9999919368545349
71,<Pine.OSF.4.61.0409222029480.142465@kosh.hut.fi>,,,,,False,1.2,True,0.9999999882498983
72,<4146496B0000B71E@ims6a.cp.tin.it>,,,,,False,1.2,True,0.9999813915301768
73,<Pine.GSO.4.58.0409231736440.27916@kekkonen.cs.hut.fi>,,,,,False,1.2,True,0.9732286646959689
74,<4152C093.4030900@cs.helsinki.fi>,,,,,False,2.3,True,0.9999664185061011
75,<6938661A6EDA8A4EA8D1419BCE46F24C0406085F@xch-nw-27.nw.nos.boeing.com>,,,,,False,1.2,True,0.9999993801873012
76,<6938661A6EDA8A4EA8D1419BCE46F24C045225DA@xch-nw-27.nw.nos.boeing.com>,,,,,False,1.2,False,0.000541163565668851
77,<20040927151453.5E11272E0@honor.icsalabs.com>,,,,,False,1.2,True,0.9999995501475227
78,<BC14AF05-12E5-11D9-A1D1-000D9331AFB0@nomadiclab.com>,,,,,False,1.2,False,0.2103740331320637
79,<6938661A6EDA8A4EA8D1419BCE46F24C040608AB@xch-nw-27.nw.nos.boeing.com>,,,,,False,1.2,False,1.3579000619344375e-05
80,<19187.1098238142@www44.gmx.net>,,,,,False,1.2,False,0.4062081214941981
81,<Pine.GSO.4.58.0410201033250.26816@kekkonen.cs.hut.fi>,,,,,False,1.2,True,0.9999983336667204
82,<3D05F7E8-225D-11D9-8E4E-000D9331AFB0@nomadiclab.com>,,,,,False,1.2,True,0.9882806268343362
83,<19722.1098256690@www19.gmx.net>,,,,,False,1.2,True,0.9997002971957758
84,<417767BC.5090201@netlab.nec.de>,,,,,False,1.2,False,0.6268097064741528
85,<6938661A6EDA8A4EA8D1419BCE46F24C045227CE@xch-nw-27.nw.nos.boeing.com>,,,,,False,1.2,True,0.9999998747215744
86,<9479.1098687833@www42.gmx.net>,,,,,False,1.2,True,0.9999993694611037
87,<Pine.OSF.4.61.0410261202210.264164@kosh.hut.fi>,,,,,False,1.2,True,0.999999999648254
88,<22655.1098770064@www18.gmx.net>,,,,,False,1.2,True,0.9999999885483695
89,<32514.1099029713@www31.gmx.net>,,,,,False,1.2,False,0.0028284073391004238
90,<4181F3A3.2080701@piuha.net>,,,,,False,1.2,False,0.10860520844357091
91,<6938661A6EDA8A4EA8D1419BCE46F24C04522838@xch-nw-27.nw.nos.boeing.com>,,,,,False,1.2,True,0.9878814937027527
92,<5C75A7CC-2BFF-11D9-B982-000D9331AFB0@nomadiclab.com>,,,,,False,1.2,True,0.9999999976620819
93,<15227.1099305245@www35.gmx.net>,,,,,False,1.2,True,0.9999315483569906
94,<6938661A6EDA8A4EA8D1419BCE46F24C05F74807@xch-nw-27.nw.nos.boeing.com>,,,,,False,1.2,False,0.3827762769725857
95,<D4F4EAE0-31CD-11D9-8179-000D93ACD0FE@it.uc3m.es>,,,,,False,1.2,True,0.9998551554658895
96,<75A0514C-31C5-11D9-8179-000D93ACD0FE@it>,,,,,False,1.2,True,0.9960678946740027
97,<7A86C881-31EA-11D9-A88A-000D9331AFB0@nomadiclab.com>,,,,,False,1.2,False,0.08287035343847395
98,<6938661A6EDA8A4EA8D1419BCE46F24C05F745F6@xch-nw-27.nw.nos.boeing.com>,,,,,False,1.2,False,0.001388085878538596
99,<6938661A6EDA8A4EA8D1419BCE46F24C05F747D4@xch-nw-27.nw.nos.boeing.com>,,,,,False,1.2,True,0.9999999981567056
100,<41901F67.9050003@zurich.ibm.com>,,,,,False,1.2,True,0.9999867433984109
101,<3CF661B1787ABF41A869BE20108F8D6D09585E@esebe056.ntc.nokia.com>,,,,,False,1.2,False,0.4768516343861835
102,<6938661A6EDA8A4EA8D1419BCE46F24C061401AD@xch-nw-27.nw.nos.boeing.com>,,,,,False,1.2,True,0.9991562665427153
103,<4198D443.1060501@piuha.net>,,,,,False,1.2,True,0.9883771140836933
104,<415EB47C-36FB-11D9-A88A-000D9331AFB0@nomadiclab.com>,,,,,False,1.2,False,0.7189408625521978
105,<6938661A6EDA8A4EA8D1419BCE46F24C06140594@xch-nw-27.nw.nos.boeing.com>,,,,,False,1.2,True,0.9999359976003879
106,<0d4101c4ccd6$cd5824b0$ef01a996@gmp>,,,,,False,4.9,True,0.9999989336388592
107,<6.1.2.0.2.20041117115610.046ae238@localhost>,,,,,False,1.2,True,0.9999895211126589
