imap_uid,mid,header_flag,header_score,header_level,header_status,SA_flag,SA_score,AS_flag,AS_score
1,<7790C113-4C71-4A59-BA2A-EF2F4B1D0F2C@varonferraz.com>,NO,-0.022,,"No, score=-0.022 tagged_above=-10 required=6.6 tests=[BAYES_40=-0.001, HTML_MESSAGE=0.001, RCVD_IN_MSPIKE_H4=-0.01, RCVD_IN_MSPIKE_WL=-0.01, SPF_HELO_PASS=-0.001, SPF_PASS=-0.001] autolearn=ham autolearn_force=no",False,1.3,False,0.8774236641194986
2,<BF4D71141EE5EB4BAF77E4406388D34B07688FF7@A19MAIL.aricle19.org>,NO,-1.9,-,"No, score=-1.9 required=5.0 tests=BAYES_00 autolearn=disabled version=3.3.2",False,0.3,True,0.9404171559557384
3,<544E247E.8060209@acm.org>,NO,1.5,+,"No, score=1.5 required=5.0 tests=BAYES_50, HTML_MESSAGE, SPF_SOFTFAIL autolearn=disabled version=3.3.2",False,0.3,True,0.9999506353182318
4,<20141027104821.GA3752@romanesco.puscii.taz>,NO,-2.5,--,"No, score=-2.5 required=5.0 tests=BAYES_00, RP_MATCHES_RCVD, SPF_FAIL, TVD_SPACE_RATIO autolearn=disabled version=3.3.2",False,0.7,True,0.9999785494040181
5,<5454CF44.2070401@lucasteixeira.com>,NO,0.0,/,"No, score=0.0 required=5.0 tests=BAYES_40, TVD_SPACE_RATIO autolearn=disabled version=3.3.2",False,-2.0,True,0.9999990716060178
6,<CAGK4d0_8h8raDnXj26JqpqsMJyitAKqu1gJdvmmpw3vH=EV30g@mail.gmail.com>,NO,1.4,+,"No, score=1.4 required=5.0 tests=BAYES_50, DKIM_SIGNED, DKIM_VALID, DKIM_VALID_AU, FREEMAIL_FROM, HTML_MESSAGE, SPF_SOFTFAIL autolearn=disabled version=3.3.2",False,0.1,True,0.9999824687062941
7,<545F3629.3090704@nielstenoever.net>,,-2.9,--,"No, score=-2.9 required=5.0 tests=ALL_TRUSTED, BAYES_00 autolearn=disabled version=3.3.2",False,-1.0,True,0.999998526055719
8,<545F37E5.6020702@nielstenoever.net>,,-2.9,--,"No, score=-2.9 required=5.0 tests=ALL_TRUSTED, BAYES_00 autolearn=disabled version=3.3.1",False,-1.0,True,0.999998526055719
9,<BF4D71141EE5EB4BAF77E4406388D34B3871A39C@A19MAIL.aricle19.org>,,0.2,/,"No, score=0.2 required=5.0 tests=BAYES_50, RP_MATCHES_RCVD autolearn=disabled version=3.3.2",False,3.8,False,0.6519281826503424
10,<20141114053508.GA25277@laperouse.bortzmeyer.org>,,0.8,/,"No, score=0.8 required=5.0 tests=BAYES_50 autolearn=disabled version=3.3.2",False,-1.0,False,0.49999999999999784
11,<BF4D71141EE5EB4BAF77E4406388D34B38724F9A@A19MAIL.aricle19.org>,,0.8,/,"No, score=0.8 required=5.0 tests=BAYES_50, T_RP_MATCHES_RCVD autolearn=disabled version=3.3.2",False,3.8,False,0.49999999999999784
12,<54BE7578.3010503@varonferraz.com>,,-0.2,/,"No, score=-0.2 required=5.0 tests=ALL_TRUSTED, BAYES_50, HTML_MESSAGE autolearn=disabled version=3.3.1",False,-1.0,False,0.49999999999999784
13,<CAD499eJcrnRvYV6o=RyNwooUDjv1KPGGDopBzwwgNujrD4e0CQ@mail.gmail.com>,,-0.1,/,"No, score=-0.1 required=5.0 tests=BAYES_50, DKIM_SIGNED, DKIM_VALID, DKIM_VALID_AU, FREEMAIL_FROM, HTML_MESSAGE, RCVD_IN_DNSWL_LOW, SPF_PASS autolearn=disabled version=3.3.2",False,-0.9,False,0.7300905471096433
14,<54BE80B8.2070602@cs.tcd.ie>,,0.8,/,"No, score=0.8 required=5.0 tests=BAYES_50, RCVD_IN_DNSWL_NONE,  T_RP_MATCHES_RCVD autolearn=disabled version=3.3.2",False,-2.0,True,0.9927667786021561
15,<54BE8E9B.2090207@apc.org>,,-1.5,-,"No, score=-1.5 required=5.0 tests=BAYES_50, HTML_MESSAGE, RCVD_IN_DNSWL_MED, T_RP_MATCHES_RCVD autolearn=disabled version=3.3.2",False,-2.0,False,0.49999999999999784
16,<54BEB2F1.4050406@varonferraz.com>,,-0.2,/,"No, score=-0.2 required=5.0 tests=ALL_TRUSTED, BAYES_50, HTML_MESSAGE autolearn=disabled version=3.3.2",False,-1.0,False,0.49999999999999784
17,<54C128AA.4030708@article19.org>,,-0.2,/,"No, score=-0.2 required=5.0 tests=ALL_TRUSTED, BAYES_50 autolearn=disabled version=3.3.1",False,-1.0,False,0.49999999999999784
18,<54C24AE3.1010508@acm.org>,,1.5,+,"No, score=1.5 required=5.0 tests=BAYES_50, HTML_MESSAGE, RCVD_IN_DNSWL_NONE, SPF_SOFTFAIL autolearn=disabled version=3.3.2",False,-2.0,False,0.49999999999999784
19,<9B2D62E6-8B59-4CBC-8F55-8BC2F6B6E5A8@netapp.com>,,-4.3,----,"No, score=-4.3 required=5.0 tests=BAYES_50, RCVD_IN_DNSWL_HI, SPF_PASS, T_RP_MATCHES_RCVD autolearn=disabled version=3.3.2",False,-2.0,False,0.49999999999999784
20,<54C2537A.2010803@acm.org>,,1.5,+,"No, score=1.5 required=5.0 tests=BAYES_50, HTML_MESSAGE, RCVD_IN_DNSWL_NONE, SPF_SOFTFAIL autolearn=disabled version=3.3.2",False,-2.0,False,0.49999999999999784
21,<B3D1B1CA-F994-4093-8F0C-AC21C32CB654@netapp.com>,,-4.3,----,"No, score=-4.3 required=5.0 tests=BAYES_50, HTML_MESSAGE, RCVD_IN_DNSWL_HI, SPF_PASS, T_RP_MATCHES_RCVD autolearn=disabled version=3.3.2",False,-2.0,False,0.49999999999999784
