imap_uid,mid,header_flag,header_score,header_level,header_status,SA_flag,SA_score,AS_flag,AS_score
1,<200509300505.j8U55fC1024465@smtp1.server.rpi.edu>,,,,"No, hits=-1.3 tagged_above=-50.0 required=4.0 tests=AWL, BAYES_00, FORGED_RCVD_HELO, NO_REAL_NAME",False,-0.1,False,0.49999999999999784
2,<Pine.LNX.4.63.0509292351320.7695@perf.cac.washington.edu>,,,,"No, hits=-1.7 tagged_above=-50.0 required=4.0 tests=AWL, BAYES_00",False,-3.3,False,0.669270692071739
3,<Pine.LNX.4.63.0509292357540.5264@perf.cac.washington.edu>,,,,"No, hits=-1.7 tagged_above=-50.0 required=4.0 tests=AWL, BAYES_00",False,-0.3,False,0.669270692071739
4,<1349278588-1128078320-cardhu_blackberry.rim.net-19240-@engine10-cell05>,,,,"No, hits=-1.7 tagged_above=-50.0 required=4.0 tests=BAYES_00",False,-1.8,False,0.49999999999999784
5,<86fyrmr0e3.fsf@raman.networkresonance.com>,,,,"No, hits=-1.7 tagged_above=-50.0 required=4.0 tests=AWL, BAYES_00",False,0.2,False,0.49999999999999784
6,<8E017D07811076A41D3358C5@ninevah.cyrusoft.com>,,,,"No, hits=-1.7 tagged_above=-50.0 required=4.0 tests=BAYES_00",False,-2.0,False,0.49999999999999784
7,<433D6B6A.9040605@osafoundation.org>,,,,"No, hits=-1.7 tagged_above=-50.0 required=4.0 tests=AWL, BAYES_00",False,3.2,False,0.49999999999999784
8,<20050930165929.02BF08A02D@laser.networkresonance.com>,,,,"No, hits=-1.7 tagged_above=-50.0 required=4.0 tests=AWL, BAYES_00",False,0.2,False,0.49999999999999784
9,<20050930180952.GB4514@markbaker.ca>,,,,"No, hits=-1.7 tagged_above=-50.0 required=4.0 tests=BAYES_00",False,-1.0,False,0.5476769105405007
10,<86br2aqv8n.fsf@raman.networkresonance.com>,,,,"No, hits=-1.7 tagged_above=-50.0 required=4.0 tests=AWL, BAYES_00",False,0.2,False,0.49999999999999784
11,<20050930184136.GC4514@markbaker.ca>,,,,"No, hits=-1.5 tagged_above=-50.0 required=4.0 tests=AWL, BAYES_00, FORGED_RCVD_HELO",False,-1.0,False,0.49999999999999784
12,<867jcyqt63.fsf@raman.networkresonance.com>,,,,"No, hits=-1.7 tagged_above=-50.0 required=4.0 tests=AWL, BAYES_00",False,0.2,False,0.49999999999999784
13,<433D91D7.8030204@secure-endpoints.com>,,,,"No, hits=-1.7 tagged_above=-50.0 required=4.0 tests=BAYES_00",False,4.1,False,0.49999999999999784
14,<863bnmqr83.fsf@raman.networkresonance.com>,,,,"No, hits=-1.7 tagged_above=-50.0 required=4.0 tests=AWL, BAYES_00",False,0.2,False,0.49999999999999784
15,<433D982C.6090705@secure-endpoints.com>,,,,"No, hits=-1.7 tagged_above=-50.0 required=4.0 tests=BAYES_00",False,4.1,False,0.49999999999999784
16,<43404EB9.3050708@osafoundation.org>,,,,"No, hits=-1.7 tagged_above=-50.0 required=4.0 tests=BAYES_00",False,-0.7,False,0.690232255130321
17,<Pine.LNX.4.63.0511041356570.782@perf.cac.washington.edu>,,,,"No, hits=-0.7 tagged_above=-50.0 required=4.0 tests=AWL",False,-0.3,False,0.669270692071739
18,<1bf6708fa02fc3184983bae65b16e813@osafoundation.org>,,,,"No, hits=-0.1 tagged_above=-50.0 required=4.0 tests=AWL",False,0.5,False,0.49999999999999784
19,<436BE570.60802@secure-endpoints.com>,,,,"No, hits=0.0 tagged_above=-50.0 required=4.0 tests=",False,4.1,False,0.49999999999999784
20,<OF0750854B.F26E0DEE-ON852570AF.007F3830-852570AF.007F3B03@egenconsulting.com>,,,,"No, hits=-0.1 tagged_above=-50.0 required=4.0 tests=AWL, HTML_40_50, HTML_MESSAGE, NO_REAL_NAME",False,-0.1,False,0.7189408625521978
21,<1131197268.4910.5.camel@scott.skrb.org>,,,,"No, hits=0.3 tagged_above=-50.0 required=4.0 tests=FORGED_RCVD_HELO",False,-2.0,False,0.49999999999999784
22,<3e5a814b1fdc04e2d050077794d05d93@osafoundation.org>,,,,"No, hits=0.0 tagged_above=-50.0 required=4.0 tests=",False,0.5,False,0.49999999999999784
23,<Pine.LNX.4.63.0511070225180.7828@perf.cac.washington.edu>,,,,"No, hits=-0.6 tagged_above=-50.0 required=4.0 tests=AWL",False,-0.3,False,0.669270692071739
24,<Pine.LNX.4.63.0511071014230.9315@perf.cac.washington.edu>,,,,"No, hits=-0.6 tagged_above=-50.0 required=4.0 tests=AWL",False,-0.3,False,0.669270692071739
25,<200511080124.jA81OFHW021706@defang10.net.ohio-state.edu>,,,,"No, hits=0.0 tagged_above=-50.0 required=4.0 tests=",False,-0.0,False,0.49999999999999784
26,<1131416521.4426.4.camel@localhost.localdomain>,,,,"No, hits=0.3 tagged_above=-50.0 required=4.0 tests=FORGED_RCVD_HELO",False,-2.0,False,0.49999999999999784
27,<4370139A.50503@secure-endpoints.com>,,,,"No, hits=0.0 tagged_above=-50.0 required=4.0 tests=",False,3.7,False,0.49999999999999784
28,<200511080300.jA830lfp023340@defang9.net.ohio-state.edu>,,,,"No, hits=0.0 tagged_above=-50.0 required=4.0 tests=",False,-0.0,False,0.49999999999999784
29,<43726788.9070004@it.su.se>,,,,"No, hits=0.0 tagged_above=-50.0 required=4.0 tests=",False,3.5,False,0.49999999999999784
30,<Pine.LNX.4.63.0511091344250.16872@perf.cac.washington.edu>,,,,"No, hits=-0.5 tagged_above=-50.0 required=4.0 tests=AWL",False,-3.3,False,0.669270692071739
31,<4373EFC6.4090306@it.su.se>,,,,"No, hits=0.0 tagged_above=-50.0 required=4.0 tests=",False,3.5,False,0.49999999999999784
32,<20051111190346.GN29056@binky.Central.Sun.COM>,,,,"No, hits=0.0 tagged_above=-50.0 required=4.0 tests=",False,-0.6,False,0.49999999999999784
33,<20051114010910.036EFB82B@delta.rtfm.com>,,,,"No, hits=-0.6 tagged_above=-50.0 required=4.0 tests=AWL, FORGED_RCVD_HELO",False,-0.8,False,0.49999999999999784
34,<43788F37.8010809@rediris.es>,,,,"No, hits=0.0 tagged_above=-50.0 required=4.0 tests=",False,0.2,False,0.49999999999999784
35,<43789D59.9070201@secure-endpoints.com>,,,,"No, hits=-0.8 tagged_above=-50.0 required=4.0 tests=AWL",False,4.1,False,0.49999999999999784
36,<Pine.LNX.4.63.0511140752540.5471@perf.cac.washington.edu>,,,,"No, hits=-0.5 tagged_above=-50.0 required=4.0 tests=AWL",False,-0.3,False,0.669270692071739
37,<20051114172750.CE7C422243C@laser.networkresonance.com>,,,,"No, hits=-0.7 tagged_above=-50.0 required=4.0 tests=AWL",False,0.2,False,0.49999999999999784
38,<200511141738.jAEHcgl3030938@defang20.it.ohio-state.edu>,,,,"No, hits=0.0 tagged_above=-50.0 required=4.0 tests=",False,0.3,False,0.49999999999999784
39,<4378E305.7020509@it.su.se>,,,,"No, hits=0.0 tagged_above=-50.0 required=4.0 tests=",False,0.3,False,0.49999999999999784
40,<DEB3EA234A3AEA0CCB08D74F@ninevah.local>,,,,"No, hits=0.0 tagged_above=-50.0 required=4.0 tests=AWL",False,-2.0,False,0.49999999999999784
41,<437904E3.1010403@it.su.se>,,,,"No, hits=0.0 tagged_above=-50.0 required=4.0 tests=",False,0.3,False,0.49999999999999784
42,<4379132F.5000803@secure-endpoints.com>,,,,"No, hits=-0.6 tagged_above=-50.0 required=4.0 tests=AWL",False,4.1,False,0.49999999999999784
43,<20051114224841.GL7275@binky.Central.Sun.COM>,,,,"No, hits=0.0 tagged_above=-50.0 required=4.0 tests=",False,-0.6,False,0.49999999999999784
44,<20051114225514.GM20237@binky.Central.Sun.COM>,,,,"No, hits=0.0 tagged_above=-50.0 required=4.0 tests=",False,-0.6,False,0.49999999999999784
45,<4379A061.20702@it.su.se>,,,,"No, hits=0.0 tagged_above=-50.0 required=4.0 tests=",False,-0.1,False,0.49999999999999784
46,<437A1703.1000108@secure-endpoints.com>,,,,"No, hits=-0.4 tagged_above=-50.0 required=4.0 tests=AWL",False,4.1,False,0.49999999999999784
47,<20051115171937.GW7275@binky.Central.Sun.COM>,,,,"No, hits=0.0 tagged_above=-50.0 required=4.0 tests=",False,-0.6,False,0.49999999999999784
48,<437A333F.6010704@it.su.se>,,,,"No, hits=0.0 tagged_above=-50.0 required=4.0 tests=",False,0.3,False,0.49999999999999784
49,<437A3466.1070302@it.su.se>,,,,"No, hits=0.0 tagged_above=-50.0 required=4.0 tests=",False,0.3,False,0.49999999999999784
50,<bb906fe7ad352c5be351ffa34a5c4cb9@osafoundation.org>,,,,"No, hits=-0.3 tagged_above=-50.0 required=4.0 tests=AWL",False,-0.4,False,0.49999999999999784
51,<20051115202806.GH7275@binky.Central.Sun.COM>,,,,"No, hits=0.0 tagged_above=-50.0 required=4.0 tests=",False,-0.6,False,0.49999999999999784
52,<437A4703.2050109@it.su.se>,,,,"No, hits=0.0 tagged_above=-50.0 required=4.0 tests=",False,0.3,False,0.49999999999999784
53,<20051115204124.GJ7275@binky.Central.Sun.COM>,,,,"No, hits=0.0 tagged_above=-50.0 required=4.0 tests=",False,-0.6,False,0.49999999999999784
54,<1132087332.4453.33.camel@sukothai.pingtel.com>,,,,"No, hits=0.5 tagged_above=-50.0 required=4.0 tests=AWL, FORGED_RCVD_HELO",False,-2.0,False,0.49999999999999784
55,<200511152101.jAFL1JPg003337@defang19.it.ohio-state.edu>,,,,"No, hits=0.0 tagged_above=-50.0 required=4.0 tests=",False,0.3,False,0.49999999999999784
56,<11a5e9288e7143f34ae357e07f6abe9f@gbiv.com>,,,,"No, hits=-0.5 tagged_above=-50.0 required=4.0 tests=AWL",False,-2.0,False,0.49999999999999784
57,<20051116062644.GD7275@binky.Central.Sun.COM>,,,,"No, hits=0.0 tagged_above=-50.0 required=4.0 tests=",False,-0.6,False,0.49999999999999784
58,<1132147031.4433.10.camel@scott.skrb.org>,,,,"No, hits=0.4 tagged_above=-50.0 required=4.0 tests=AWL, FORGED_RCVD_HELO",False,-2.0,False,0.49999999999999784
59,<F1AB2ACF14876A4283DFAC4C997CB43A2349@ws-security.ws-star.tld>,,,,"No, hits=0.6 tagged_above=-50.0 required=4.0 tests=HTML_20_30, HTML_MESSAGE",False,-0.1,False,0.49999999999999784
60,<437B431B.2030007@it.su.se>,,,,"No, hits=0.0 tagged_above=-50.0 required=4.0 tests=",False,0.3,False,0.49999999999999784
61,<F1AB2ACF14876A4283DFAC4C997CB43A234A@ws-security.ws-star.tld>,,,,"No, hits=0.6 tagged_above=-50.0 required=4.0 tests=HTML_20_30, HTML_MESSAGE",False,-0.1,False,0.49999999999999784
62,<437B517C.6000102@it.su.se>,,,,"No, hits=0.0 tagged_above=-50.0 required=4.0 tests=AWL, UPPERCASE_25_50",False,0.3,False,0.49999999999999784
63,<437B56BB.2070501@secure-endpoints.com>,,,,"No, hits=-0.1 tagged_above=-50.0 required=4.0 tests=AWL, HTML_30_40, HTML_MESSAGE, HTML_TITLE_EMPTY",False,4.1,False,0.49999999999999784
64,<54F668A6965EC7EECC66DA57@ninevah.local>,,,,"No, hits=0.0 tagged_above=-50.0 required=4.0 tests=AWL",False,-2.0,False,0.49999999999999784
65,<20051116160312.GI7275@binky.Central.Sun.COM>,,,,"No, hits=0.0 tagged_above=-50.0 required=4.0 tests=",False,-0.6,False,0.49999999999999784
66,<20051116160908.GJ7275@binky.Central.Sun.COM>,,,,"No, hits=0.0 tagged_above=-50.0 required=4.0 tests=",False,-0.6,False,0.49999999999999784
67,<8273b6bc2a411e810fef5a9fbcef956e@gbiv.com>,,,,"No, hits=-0.5 tagged_above=-50.0 required=4.0 tests=AWL",False,-2.0,False,0.49999999999999784
68,<20051117232306.GL7275@binky.Central.Sun.COM>,,,,"No, hits=0.0 tagged_above=-50.0 required=4.0 tests=",False,-0.6,False,0.49999999999999784
69,<9485e4f01922e569d9f92db04edae970@gbiv.com>,,,,"No, hits=-0.5 tagged_above=-50.0 required=4.0 tests=AWL",False,-2.0,False,0.49999999999999784
70,<3f1451f50511171827t2a17e53epc37c32cc2779a0da@mail.gmail.com>,,,,"No, hits=0.1 tagged_above=-50.0 required=4.0 tests=RCVD_BY_IP",False,0.1,False,0.49999999999999784
71,<437D849B.2040204@secure-endpoints.com>,,,,"No, hits=-0.2 tagged_above=-50.0 required=4.0 tests=AWL",False,4.1,False,0.49999999999999784
