imap_uid,mid,header_flag,header_score,header_level,header_status,SA_flag,SA_score,AS_flag,AS_score
1,<331b93fa0709260753y756226d1pd1364f725383a2a6@mail.gmail.com>,,0.0 (/),,,False,0.4,False,0.49999999999999784
2,<331b93fa0709262225y132903baydfa8ee7bc3babfd8@mail.gmail.com>,,0.0 (/),,,False,0.4,False,0.49999999999999784
3,<3F18E76823C95E4795181D74BAC7664F05248C51@esebe102.NOE.Nokia.com>,,0.0 (/),,,False,-1.8,False,0.49999999999999784
4,<18a603a60709280417x75a7e937y55254def4491496a@mail.gmail.com>,,0.0 (/),,,False,0.4,False,0.669270692071739
5,<18a603a60710030913q366402ecu7563ba8de474d39c@mail.gmail.com>,,0.0 (/),,,False,0.4,False,0.49999999999999784
6,<18a603a60710080223h49adff40o15e939c3cbac215c@mail.gmail.com>,,0.0 (/),,,False,0.4,False,0.49999999999999784
7,<18a603a60710180116r48a8e452nd86d9228d58869f1@mail.gmail.com>,,0.0 (/),,,False,0.4,False,0.49999999999999784
8,<18a603a60710260508h281a126bjda7179c2b896448b@mail.gmail.com>,,0.0 (/),,,False,0.4,False,0.8037307242061429
9,<47220ECD.9020204@gmail.com>,,0.0 (/),,,False,1.5,False,0.49999999999999784
10,<18a603a60710290322n151e0650hd9f405957f67c169@mail.gmail.com>,,0.0 (/),,,False,0.4,False,0.49999999999999784
11,<18a603a60710301109w17a1de6k3d5984cb08a6cc0b@mail.gmail.com>,,0.0 (/),,,False,0.4,False,0.49999999999999784
12,<4B3FE0E0367A2F4EB75EE82BC0B21EFCE23A41@NAEX15.na.qualcomm.com>,,0.0 (/),,,False,-1.8,False,0.49999999999999784
13,<18a603a60710301226r42c3c89bs6d406eaec4d9ad39@mail.gmail.com>,,0.0 (/),,,False,0.4,False,0.49999999999999784
14,<4B3FE0E0367A2F4EB75EE82BC0B21EFCE23A5E@NAEX15.na.qualcomm.com>,,0.0 (/),,,False,-1.8,False,0.49999999999999784
15,<18a603a60710310940p7c7226edjbc9022906796bf81@mail.gmail.com>,,0.0 (/),,,False,0.4,False,0.49999999999999784
16,<4B3FE0E0367A2F4EB75EE82BC0B21EFCE23BB8@NAEX15.na.qualcomm.com>,,0.0 (/),,,False,-1.8,False,0.49999999999999784
17,<18a603a60712140649x7c733670ia90b8b775fdddf21@mail.gmail.com>,,0.0 (/),,,False,0.4,False,0.49999999999999784
18,<18a603a60801080643h7b62d1e9xb9ed717e486bba35@mail.gmail.com>,,0.0 (/),,,False,0.4,False,0.8037307242061429
19,<18a603a60801080653v1ced8eefka2d8a30c5846e5be@mail.gmail.com>,,0.0 (/),,,False,0.4,False,0.8037307242061429
20,<18a603a60801090436x19cc4b09je2fc8a2c77d62ee5@mail.gmail.com>,,0.0 (/),,,False,0.4,False,0.49999999999999784
21,<18a603a60803201049g3885dd57uef46dc2d2466a053@mail.gmail.com>,NO,-100.645,,"No, score=-100.645 tagged_above=-999 required=5 tests=[AWL=-0.208, BAYES_00=-2.599, FH_RELAY_NODNS=1.451, HELO_MISMATCH_ORG=0.611, RDNS_NONE=0.1, USER_IN_WHITELIST=-100]",False,0.4,False,0.49999999999999784
22,<18a603a60803210144w62e84ecdtf0bbfa94e3298949@mail.gmail.com>,NO,-100.661,,"No, score=-100.661 tagged_above=-999 required=5 tests=[AWL=-0.224, BAYES_00=-2.599, FH_RELAY_NODNS=1.451, HELO_MISMATCH_ORG=0.611, RDNS_NONE=0.1, USER_IN_WHITELIST=-100]",False,0.4,False,0.49999999999999784
23,<18a603a60803231238g6f1bed2elc49bb5d7f1428a03@mail.gmail.com>,NO,-100.876,,"No, score=-100.876 tagged_above=-999 required=5 tests=[AWL=-0.439, BAYES_00=-2.599, FH_RELAY_NODNS=1.451, HELO_MISMATCH_ORG=0.611, RDNS_NONE=0.1, USER_IN_WHITELIST=-100]",False,0.4,False,0.49999999999999784
24,<18a603a60812261010p3f1256d8scd266555e5620704@mail.gmail.com>,NO,-1.11,,"No, score=-1.11 tagged_above=-999 required=5 tests=[BAYES_05=-1.11]",False,0.4,False,0.49999999999999784
25,<AANLkTimDb5TH+yYPbLqhaO2iOiwu-R4VPsaJop8wz72_@mail.gmail.com>,NO,-4.598,,"No, score=-4.598 tagged_above=-999 required=5 tests=[AWL=1.000, BAYES_00=-2.599, GB_I_INVITATION=-2, HTML_MESSAGE=0.001, RCVD_IN_DNSWL_LOW=-1]",False,0.1,False,0.8037307242061429
