imap_uid,mid,header_flag,header_score,header_level,header_status,SA_flag,SA_score,AS_flag,AS_score
1,<00b201cca2b4$eb818a10$c2849e30$@amsl.com>,NO,-2.598,,"No, score=-2.598 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, HTML_MESSAGE=0.001]",False,-2.0,False,0.03481168340193519
2,<4EC0F876.8090300@KingsMountain.com>,NO,-100.273,,"No, score=-100.273 tagged_above=-999 required=5 tests=[AWL=0.222, BAYES_00=-2.599, FH_RELAY_NODNS=1.451, HELO_MISMATCH_COM=0.553, RDNS_NONE=0.1, USER_IN_WHITELIST=-100]",False,-1.9,False,0.49999999999999784
3,<9B57C850BB53634CACEC56EF4853FF653B494C6F@TK5EX14MBXW603.wingroup.windeploy.ntdev.microsoft.com>,NO,-105.331,,"No, score=-105.331 tagged_above=-999 required=5 tests=[AWL=1.268, BAYES_00=-2.599, RCVD_IN_DNSWL_MED=-4, USER_IN_WHITELIST=-100]",False,2.3,False,0.49999999999999784
4,<1AB321E1-95E0-4836-9608-53C9D94E06D3@viagenie.ca>,NO,-102.598,,"No, score=-102.598 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, HTML_MESSAGE=0.001, USER_IN_WHITELIST=-100]",False,-2.0,False,0.49999999999999784
5,<9B6E2A610D4368549C5A4E98@PST.JCK.COM>,NO,-1.249,,"No, score=-1.249 tagged_above=-999 required=5 tests=[AWL=-1.250, BAYES_50=0.001]",False,0.3,False,0.49999999999999784
6,<6BE45A5D16245553F661236A@PST.JCK.COM>,NO,-1.249,,"No, score=-1.249 tagged_above=-999 required=5 tests=[AWL=-1.250, BAYES_50=0.001]",False,0.3,False,0.49999999999999784
7,<9B57C850BB53634CACEC56EF4853FF653B57A68B@TK5EX14MBXW605.wingroup.windeploy.ntdev.microsoft.com>,NO,-103.808,,"No, score=-103.808 tagged_above=-999 required=5 tests=[AWL=-0.209, BAYES_00=-2.599, RCVD_IN_DNSWL_LOW=-1, USER_IN_WHITELIST=-100]",False,0.3,False,0.49999999999999784
8,<9DF332E5-A4CD-45FF-BCE2-20317FDC1A36@viagenie.ca>,NO,-102.58,,"No, score=-102.58 tagged_above=-999 required=5 tests=[AWL=0.019, BAYES_00=-2.599, USER_IN_WHITELIST=-100]",False,-2.0,False,0.49999999999999784
9,<9B57C850BB53634CACEC56EF4853FF653B5BD938@TK5EX14MBXW605.wingroup.windeploy.ntdev.microsoft.com>,NO,-102.633,,"No, score=-102.633 tagged_above=-999 required=5 tests=[AWL=-1.634, BAYES_50=0.001, RCVD_IN_DNSWL_LOW=-1, USER_IN_WHITELIST=-100]",False,0.3,False,0.49999999999999784
10,<F4DD4CE1B4C6F63A59F50834@PST.JCK.COM>,NO,-2.112,,"No, score=-2.112 tagged_above=-999 required=5 tests=[AWL=0.487, BAYES_00=-2.599]",False,0.3,False,0.49999999999999784
11,<9B57C850BB53634CACEC56EF4853FF653B5BDACC@TK5EX14MBXW605.wingroup.windeploy.ntdev.microsoft.com>,NO,-103.902,,"No, score=-103.902 tagged_above=-999 required=5 tests=[AWL=-0.303, BAYES_00=-2.599, RCVD_IN_DNSWL_LOW=-1, USER_IN_WHITELIST=-100]",False,0.3,False,0.49999999999999784
12,<2EF6588B-0895-4281-B7D3-4C642094F9DB@icann.org>,NO,-4.749,,"No, score=-4.749 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, RCVD_IN_DNSWL_MED=-2.3, RP_MATCHES_RCVD=-0.548, SPF_PASS=-0.001] autolearn=ham autolearn_force=no",False,0.3,False,0.03481168340193519
13,<AB42EABE1991E314F03E691A@JcK-HP8200>,NO,-2.448,,"No, score=-2.448 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, RP_MATCHES_RCVD=-0.548] autolearn=ham autolearn_force=no",False,0.3,False,0.49999999999999784
14,<1729074415.1024472.1486584503027@mail.yahoo.com>,NO,-4.487,,"No, score=-4.487 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, DKIM_SIGNED=0.1, DKIM_VALID=-0.1, RCVD_IN_DNSWL_LOW=-0.7, RCVD_IN_MSPIKE_H2=-1.887] autolearn=ham autolearn_force=no",False,-0.9,False,0.49999999999999784
15,<149091310031.8888.12342689953884838799.idtracker@ietfa.amsl.com>,,,,,False,-2.0,False,0.49999999999999784
