imap_uid,mid,header_flag,header_score,header_level,header_status,SA_flag,SA_score,AS_flag,AS_score
1,<20140924202105.26209.81935.idtracker@ietfa.amsl.com>,NO,-1.9,,"No, score=-1.9 tagged_above=-999 required=5 tests=[BAYES_00=-1.9] autolearn=ham",False,-2.0,False,0.49999999999999784
2,<4A95BA014132FF49AE685FAB4B9F17F645E0A862@dfweml701-chm>,NO,-4.986,,"No, score=-4.986 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, HTML_MESSAGE=0.001, RCVD_IN_DNSWL_MED=-2.3, RP_MATCHES_RCVD=-0.786, SPF_PASS=-0.001] autolearn=unavailable",False,-2.0,False,0.49999999999999784
3,<A65E21691881E64DBF058A66E53068ED4C7CA03B@IMCMBX01.MITRE.ORG>,NO,-2.685,,"No, score=-2.685 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, HTML_MESSAGE=0.001, RP_MATCHES_RCVD=-0.786] autolearn=unavailable",False,-2.0,False,0.49999999999999784
4,<814D0BFB77D95844A01CA29B44CBF8A7A44288@lhreml513-mbb.china.huawei.com>,NO,-4.987,,"No, score=-4.987 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, RCVD_IN_DNSWL_MED=-2.3, RP_MATCHES_RCVD=-0.786, SPF_PASS=-0.001] autolearn=ham",False,0.0,False,0.03481168340193519
5,<4A95BA014132FF49AE685FAB4B9F17F645E0A8DB@dfweml701-chm>,NO,-4.986,,"No, score=-4.986 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, HTML_MESSAGE=0.001, RCVD_IN_DNSWL_MED=-2.3, RP_MATCHES_RCVD=-0.786, SPF_PASS=-0.001] autolearn=unavailable",False,-2.0,False,0.49999999999999784
6,<A65E21691881E64DBF058A66E53068ED4C7CA0BB@IMCMBX01.MITRE.ORG>,NO,-2.685,,"No, score=-2.685 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, HTML_MESSAGE=0.001, RP_MATCHES_RCVD=-0.786] autolearn=ham",False,-2.0,False,0.49999999999999784
7,<4A95BA014132FF49AE685FAB4B9F17F645E0AA97@dfweml701-chm>,NO,-4.986,,"No, score=-4.986 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, HTML_MESSAGE=0.001, RCVD_IN_DNSWL_MED=-2.3, RP_MATCHES_RCVD=-0.786, SPF_PASS=-0.001] autolearn=unavailable",False,-2.0,False,0.49999999999999784
8,<4A95BA014132FF49AE685FAB4B9F17F645E0AB72@dfweml701-chm>,NO,-4.987,,"No, score=-4.987 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, RCVD_IN_DNSWL_MED=-2.3, RP_MATCHES_RCVD=-0.786, SPF_PASS=-0.001] autolearn=ham",False,-2.0,False,0.49999999999999784
9,<4A95BA014132FF49AE685FAB4B9F17F645E0ABAF@dfweml701-chm>,NO,-4.987,,"No, score=-4.987 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, RCVD_IN_DNSWL_MED=-2.3, RP_MATCHES_RCVD=-0.786, SPF_PASS=-0.001] autolearn=unavailable",False,0.0,False,0.49999999999999784
10,<C7634EB63EFD984A978DFB46EA5174F2C1523BA493@HQ1-EXCH01.corp.brocade.com>,NO,-1.9,,"No, score=-1.9 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, HTML_MESSAGE=0.001, SPF_PASS=-0.001] autolearn=ham",False,-2.0,False,0.669270692071739
