imap_uid,mid,header_flag,header_score,header_level,header_status,SA_flag,SA_score,AS_flag,AS_score
1,<EBA8A5D01BFAEE29217B04F9@wdyn-50-139.arc.nasa.gov>,NO,-102.299,,"No, score=-102.299 tagged_above=-999 required=5 tests=[AWL=0.300, BAYES_00=-2.599, USER_IN_WHITELIST=-100]",False,-2.0,False,0.49999999999999784
2,<4DDEC551.9040503@stpeter.im>,NO,-102.608,,"No, score=-102.608 tagged_above=-999 required=5 tests=[AWL=-0.009, BAYES_00=-2.599, USER_IN_WHITELIST=-100]",False,-2.0,False,0.49999999999999784
3,<4DDEF49C.8080108@oracle.com>,NO,-7.598,,"No, score=-7.598 tagged_above=-999 required=5 tests=[AWL=-1.000, BAYES_00=-2.599, HTML_MESSAGE=0.001, RCVD_IN_DNSWL_MED=-4]",False,-2.0,False,0.49999999999999784
4,<BANLkTinm2dfq7drFL=SGn8QQsYbktQsmOg@mail.gmail.com>,NO,-5.976,,"No, score=-5.976 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, FM_FORGED_GMAIL=0.622, HTML_MESSAGE=0.001, RCVD_IN_DNSWL_MED=-4]",False,-1.0,False,0.49999999999999784
5,<715DF9985D2BFC1C75434F9B@wdyn-50-139.arc.nasa.gov>,NO,-100.602,,"No, score=-100.602 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, HTML_MESSAGE=0.001, J_CHICKENPOX_36=0.6, MIME_QP_LONG_LINE=1.396, USER_IN_WHITELIST=-100]",False,-2.0,False,0.03481168340193519
6,<2190AA29EC5D1A553E0BA1D6@wdyn-50-139.arc.nasa.gov>,NO,-100.947,,"No, score=-100.947 tagged_above=-999 required=5 tests=[AWL=-0.345, BAYES_00=-2.599, HTML_MESSAGE=0.001, J_CHICKENPOX_36=0.6, MIME_QP_LONG_LINE=1.396, USER_IN_WHITELIST=-100]",False,-2.0,False,0.15960297761042466
7,<4DE65DBC.3040809@oracle.com>,NO,-7.098,,"No, score=-7.098 tagged_above=-999 required=5 tests=[AWL=-0.499, BAYES_00=-2.599, RCVD_IN_DNSWL_MED=-4]",False,-2.0,False,0.49999999999999784
8,<DF48A9BCC50D6AB8E132172F@caldav.corp.apple.com>,NO,-102.674,,"No, score=-102.674 tagged_above=-999 required=5 tests=[AWL=-0.074, BAYES_00=-2.599, USER_IN_WHITELIST=-100]",False,-2.0,False,0.49999999999999784
9,<201204091225.01447.thomas@koch.ro>,NO,2.696,**,"No, score=2.696 tagged_above=-999 required=5 tests=[BAYES_50=0.001, HELO_EQ_RO=1.235, HELO_IS_SMALL6=0.556, HOST_EQ_RO=0.904]",False,-2.0,False,0.49999999999999784
10,<CAExNOYdT3okjv0i=rBVoi_qRAT29k4V642yn83fhav=yaubTEg@mail.gmail.com>,NO,-2.976,,"No, score=-2.976 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, FM_FORGED_GMAIL=0.622, HTML_MESSAGE=0.001, RCVD_IN_DNSWL_LOW=-1]",False,-0.6,False,0.49999999999999784
11,<B72A49DB-D74F-429D-A8D1-78705D366091@bobobeach.com>,NO,-1.399,,"No, score=-1.399 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, J_CHICKENPOX_36=0.6, J_CHICKENPOX_37=0.6]",False,0.5,False,0.49999999999999784
12,<4F96ADBB.30904@gmail.com>,NO,-2.999,,"No, score=-2.999 tagged_above=-999 required=5 tests=[AWL=-0.600, BAYES_00=-2.599, J_CHICKENPOX_36=0.6, J_CHICKENPOX_37=0.6, RCVD_IN_DNSWL_LOW=-1]",False,-0.9,False,0.49999999999999784
13,<51D49CBC.2050206@stpeter.im>,NO,-102.521,,"No, score=-102.521 tagged_above=-999 required=5 tests=[AWL=0.078, BAYES_00=-2.599, USER_IN_WHITELIST=-100]",False,-1.3,False,0.49999999999999784
14,<51D58A0E.3010604@oracle.com>,NO,-6.598,,"No, score=-6.598 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, HTML_MESSAGE=0.001, RCVD_IN_DNSWL_MED=-4]",False,-2.0,False,0.16528121032310528
15,<51DB3F2A.4020609@stpeter.im>,NO,-102.543,,"No, score=-102.543 tagged_above=-999 required=5 tests=[AWL=0.056, BAYES_00=-2.599, USER_IN_WHITELIST=-100]",False,-1.3,False,0.49999999999999784
