imap_uid,mid,header_flag,header_score,header_level,header_status,SA_flag,SA_score,AS_flag,AS_score
1,<5991801693.20031209162550@psg.com>,,,,,False,0.5,False,0.00747371667236491
2,<20031216014335.12C943F746@Mail.MAP-NE.com>,,,,"No, hits=0.0 required=5.0 tests=none autolearn=no version=2.60",False,-1.0,False,0.16605644023286953
3,<339049717.1071514486@localhost>,,,,"No, hits=0.0 required=5.0 tests=AWL autolearn=no version=2.60",False,-2.0,False,0.49999999999999784
4,<20031216021612.E3B0A3F746@Mail.MAP-NE.com>,,,,"No, hits=0.0 required=5.0 tests=none autolearn=no version=2.60",False,-1.0,False,0.03813740723243072
5,<7D5D48D2CAA3D84C813F5B154F43B155032D949F@nl0006exch001u.nl.lucent.com>,,,,"No, hits=0.0 required=5.0 tests=none autolearn=no version=2.60",False,-1.0,False,0.010673682937986421
6,<016a01c3c3d2$8b773620$0400a8c0@DFNJGL21>,,,,"No, hits=0.0 required=5.0 tests=none autolearn=no version=2.60",False,2.9,False,0.6328552385253586
7,<20031216152911.299412db.moore@cs.utk.edu>,,,,"No, hits=0.0 required=5.0 tests=none autolearn=no version=2.60",False,-1.0,False,0.49999999999999784
8,<27100647563.20031216143431@psg.com>,,,,"No, hits=0.3 required=5.0 tests=RCVD_NUMERIC_HELO autolearn=no  version=2.60",False,0.5,False,0.03813740723243072
9,<153101100604.20031216144204@psg.com>,,,,"No, hits=0.3 required=5.0 tests=RCVD_NUMERIC_HELO autolearn=no  version=2.60",False,0.5,False,0.03813740723243072
10,<80102041748.20031216145746@psg.com>,,,,"No, hits=0.3 required=5.0 tests=RCVD_NUMERIC_HELO autolearn=no  version=2.60",False,0.5,False,0.16605644023286953
11,<78635541-301F-11D8-97F7-000393DB5366@cs.utk.edu>,,,,"No, hits=0.0 required=5.0 tests=none autolearn=no version=2.60",False,-0.8,False,0.49999999999999784
12,<8B5C8BAB-3023-11D8-B7AE-000A95E35274@cisco.com>,,,,"No, hits=0.0 required=5.0 tests=none autolearn=no version=2.60",False,-2.0,False,0.49999999999999784
13,<026f01c3c497$cf935170$0400a8c0@DFNJGL21>,,,,"No, hits=0.0 required=5.0 tests=none autolearn=no version=2.60",False,2.9,False,0.03813740723243072
14,<3FE05F15.8040701@alcatel.be>,,,,"No, hits=0.3 required=5.0 tests=NO_REAL_NAME autolearn=no  version=2.60",False,-1.0,False,0.49999999999999784
15,<20031217144222.3D567A7994@newdev.harvard.edu>,,,,"No, hits=0.0 required=5.0 tests=none autolearn=no version=2.60",False,-1.0,False,0.49999999999999784
16,<Pine.BSF.4.53.0312170910500.3995@measurement-factory.com>,,,,"No, hits=0.0 required=5.0 tests=none autolearn=no version=2.60",False,-1.0,False,0.11529928627752146
17,<Pine.BSF.4.53.0312171111390.3995@measurement-factory.com>,,,,"No, hits=0.0 required=5.0 tests=none autolearn=no version=2.60",False,-1.0,False,0.00747371667236491
18,<5.1.0.14.0.20031217140123.019a1208@localhost>,,,,"No, hits=0.0 required=5.0 tests=none autolearn=no version=2.60",False,-1.0,False,0.16605644023286953
19,<Pine.BSF.4.53.0312171305450.13687@measurement-factory.com>,,,,"No, hits=0.0 required=5.0 tests=none autolearn=no version=2.60",False,-1.0,False,0.03813740723243072
