imap_uid,mid,header_flag,header_score,header_level,header_status,SA_flag,SA_score,AS_flag,AS_score
1,<p05101015b86118f07d83@[165.227.249.20]>,,,,,False,-0.4,False,5.846816046479266e-15
2,<4.1.20020108155905.011e3ee0@localhost>,,,,,False,-1.0,False,8.82696897293815e-08
3,<5.1.0.14.2.20020108143926.0312e988@127.0.0.1>,,,,,False,2.3,False,1.7643222851870056e-06
4,<200201082302.g08N2Bj00565@newdev.harvard.edu>,,,,,False,-1.0,False,1.2636212398956163e-10
5,<200201082303.g08N3dP00570@newdev.harvard.edu>,,,,,False,-1.0,False,7.28979213146367e-11
6,<4.1.20020108174103.01584890@localhost>,,,,,False,-1.0,False,1.1795050569976824e-10
7,<CFEOLCPJFFOBEBDBGKLOKECHCEAA.capthal@attglobal.net>,,,,,False,-0.6,False,3.552952261686142e-09
8,<20020109024520.33082.qmail@web20807.mail.yahoo.com>,,,,,False,0.3,False,3.369170316283899e-09
9,<741.1010576256@cs.ucl.ac.uk>,,,,,False,-1.0,False,0.03481168340193519
10,<Pine.GSO.4.40.0201100533070.1992-100000@clifden.donelan.com>,,,,,False,-1.0,False,1.6639576872855017e-07
11,<20020110174052.24317.qmail@web20805.mail.yahoo.com>,,,,,False,0.3,False,1.2324429472747863e-06
12,<5.0.0.25.2.20020110125941.030f5610@po2.genuity.com>,,,,,False,2.9,False,0.03624164767921282
13,<Pine.GSO.4.40.0201120810190.7213-100000@clifden.donelan.com>,,,,,False,-1.0,False,7.862272691632837e-08
14,<4.3.2.7.2.20020112105346.036693b8@mira-sjcm-2.cisco.com>,,,,,False,0.3,False,0.00025751194682167676
15,<200201122010.g0CKAX602667@newdev.harvard.edu>,,,,,False,-1.0,False,1.3936841989055017e-12
16,<4.3.2.7.2.20020112123528.03646428@mira-sjcm-2.cisco.com>,,,,,False,0.3,False,1.567838139110707e-08
17,<200201122042.g0CKg4002757@newdev.harvard.edu>,,,,,False,-1.0,False,6.02249449112994e-11
18,<4.3.2.7.2.20020112124019.034045f8@mira-sjcm-2.cisco.com>,,,,,False,0.3,False,1.2470707304688752e-09
19,<Pine.GSO.4.40.0201121609420.7466-100000@clifden.donelan.com>,,,,,False,-1.0,False,6.9257755817398894e-09
20,<Pine.GSO.4.40.0201121621590.7478-100000@clifden.donelan.com>,,,,,False,-1.0,False,1.6424254130607047e-09
21,<20020112235542.47415.qmail@web20806.mail.yahoo.com>,,,,,False,0.3,False,1.1944590304833718e-08
22,<Pine.GSO.4.40.0201131345520.14920-100000@clifden.donelan.com>,,,,,False,-1.0,False,0.001299156153328721
23,<1352.1010963609@cs.ucl.ac.uk>,,,,,False,-1.0,False,0.004402304269146109
24,<4.3.2.7.2.20020114170050.03f7bcb0@mira-sjcm-2.cisco.com>,,,,,False,-2.0,False,3.3506959823005523e-07
25,<200201141741.g0EHfEE06624@newdev.harvard.edu>,,,,,False,-1.0,False,1.773806134876691e-11
26,<JCEDJKEOMFIGAADFIIFJIECOCIAA.aurel@ee.columbia.edu>,,,,,False,-1.0,False,4.925314115295569e-14
27,<20020122153426.24308.qmail@web20807.mail.yahoo.com>,,,,,False,0.3,False,6.852955384223312e-07
