imap_uid,mid,header_flag,header_score,header_level,header_status,SA_flag,SA_score,AS_flag,AS_score
1,<563AC0EE.2080709@gmail.com>,NO,-4.982,,"No, score=-4.982 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, DKIM_ADSP_CUSTOM_MED=0.001, FREEMAIL_FROM=0.001, HELO_EQ_FR=0.35, HTML_MESSAGE=0.001, NML_ADSP_CUSTOM_MED=0.9, RCVD_IN_DNSWL_HI=-5, SPF_SOFTFAIL=0.665] autolearn=ham",False,2.5,False,0.49999999999999784
2,<D26109B6.11B839%jason_livingood@cable.comcast.com>,NO,0.226,,"No, score=0.226 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, HELO_EQ_MODEMCABLE=0.768, HOST_EQ_MODEMCABLE=1.368, HTML_MESSAGE=0.001, SPF_PASS=-0.001, T_RP_MATCHES_RCVD=-0.01] autolearn=no",False,0.3,False,0.49999999999999784
3,<D2989D61.11FC06%jason_livingood@cable.comcast.com>,NO,1.665,*,"No, score=1.665 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, FH_RELAY_NODNS=1.451, HELO_EQ_MODEMCABLE=0.768, HELO_MISMATCH_COM=0.553, HTML_MESSAGE=0.001, RDNS_NONE=0.793, SPF_PASS=-0.001] autolearn=no",False,0.3,False,0.001299156153328721
4,<4A95BA014132FF49AE685FAB4B9F17F657DB3CAE@dfweml701-chm>,NO,-4.21,,"No, score=-4.21 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, HTML_MESSAGE=0.001, RCVD_IN_DNSWL_MED=-2.3, SPF_PASS=-0.001, T_RP_MATCHES_RCVD=-0.01] autolearn=ham",False,-2.0,False,0.49999999999999784
5,<56BC5751.2050906@gmail.com>,NO,-4.983,,"No, score=-4.983 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, DKIM_ADSP_CUSTOM_MED=0.001, FREEMAIL_FROM=0.001, HELO_EQ_FR=0.35, NML_ADSP_CUSTOM_MED=0.9, RCVD_IN_DNSWL_HI=-5, SPF_SOFTFAIL=0.665] autolearn=ham",False,-1.0,False,0.49999999999999784
6,<96645955-D9FF-4B77-AC13-B189BB8348AB@cable.comcast.com>,NO,-3.187,,"No, score=-3.187 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, HTML_MESSAGE=0.001, RP_MATCHES_RCVD=-1.287, SPF_PASS=-0.001] autolearn=ham autolearn_force=no",False,0.3,False,0.15960297761042466
7,<F92E2ED0-1835-4F30-924B-8D67AC36CF21@cable.comcast.com>,NO,-3.187,,"No, score=-3.187 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, HTML_MESSAGE=0.001, RP_MATCHES_RCVD=-1.287, SPF_PASS=-0.001] autolearn=ham autolearn_force=no",False,0.3,False,0.03481168340193519
8,<4A95BA014132FF49AE685FAB4B9F17F657EFF772@dfweml501-mbb>,NO,-5.507,,"No, score=-5.507 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, HTML_MESSAGE=0.001, RCVD_IN_DNSWL_MED=-2.3, RCVD_IN_MSPIKE_H3=-0.01, RCVD_IN_MSPIKE_WL=-0.01, RP_MATCHES_RCVD=-1.287, SPF_PASS=-0.001] autolearn=ham autolearn_force=no",False,-2.0,False,0.49999999999999784
9,<F94C1D0F-67C6-498E-88BF-7090EE3F5281@cable.comcast.com>,NO,-3.187,,"No, score=-3.187 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, HTML_MESSAGE=0.001, RP_MATCHES_RCVD=-1.287, SPF_PASS=-0.001] autolearn=ham autolearn_force=no",False,0.3,False,0.49999999999999784
10,<320001B7-9DBF-42D4-8BBE-5AA40F87D0D2@cable.comcast.com>,NO,-3.187,,"No, score=-3.187 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, HTML_MESSAGE=0.001, RP_MATCHES_RCVD=-1.287, SPF_PASS=-0.001] autolearn=ham autolearn_force=no",False,0.3,False,0.006803068167124697
11,<7E87548F-500F-4B2D-813C-6EEFF81CE88D@cable.comcast.com>,NO,-1.9,,"No, score=-1.9 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, HTML_MESSAGE=0.001, RP_MATCHES_RCVD=-0.001, SPF_PASS=-0.001, URIBL_BLOCKED=0.001] autolearn=ham autolearn_force=no",False,0.3,False,0.31464528589851487
12,<96E6591B-5016-45FF-B957-764FCB6D8AA0@cable.comcast.com>,NO,1.005,*,"No, score=1.005 tagged_above=-999 required=5 tests=[BAYES_05=-0.5, HTML_MESSAGE=0.001, RP_MATCHES_RCVD=-0.001, SPF_PASS=-0.001, SUBJ_ALL_CAPS=1.506] autolearn=no autolearn_force=no",False,0.3,False,0.15960297761042466
