imap_uid,mid,header_flag,header_score,header_level,header_status,SA_flag,SA_score,AS_flag,AS_score
1,<9e8bc9821002031323t8f4bddcqbec9b76cda722806@mail.gmail.com>,NO,-2.598,,"No, score=-2.598 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, HTML_MESSAGE=0.001]",False,0.1,False,0.49999999999999784
2,<4B69ECBC.8090300@dcrocker.net>,NO,-6.599,,"No, score=-6.599 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, RCVD_IN_DNSWL_MED=-4]",False,-2.0,False,0.49999999999999784
3,<4B69F54D.408@stpeter.im>,NO,-2.717,,"No, score=-2.717 tagged_above=-999 required=5 tests=[AWL=-0.118, BAYES_00=-2.599]",False,-2.0,False,0.49999999999999784
4,<6BD28535-9D27-4A16-98CC-30ECD76EB12C@cs.ucla.edu>,NO,-2.599,,"No, score=-2.599 tagged_above=-999 required=5 tests=[AWL=0.000, BAYES_00=-2.599]",False,-2.0,False,0.49999999999999784
5,<4B6A1FDC.8080209@dcrocker.net>,NO,-6.599,,"No, score=-6.599 tagged_above=-999 required=5 tests=[AWL=0.000, BAYES_00=-2.599, RCVD_IN_DNSWL_MED=-4]",False,-2.0,False,0.49999999999999784
6,<4B6A5123.6010304@stpeter.im>,NO,-2.631,,"No, score=-2.631 tagged_above=-999 required=5 tests=[AWL=-0.032, BAYES_00=-2.599]",False,-2.0,False,0.49999999999999784
7,<4B6A56E3.4010801@dcrocker.net>,NO,-6.599,,"No, score=-6.599 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, RCVD_IN_DNSWL_MED=-4]",False,-2.0,False,0.49999999999999784
8,<67F17703-EAFC-425B-BBFE-79ED2ED212AC@mnot.net>,NO,-4.146,,"No, score=-4.146 tagged_above=-999 required=5 tests=[AWL=-1.547, BAYES_00=-2.599]",False,-2.0,False,0.49999999999999784
9,<E1D6463C-74FA-45F4-929B-DEC71F086CC2@istaff.org>,NO,-1.799,,"No, score=-1.799 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, HTML_MESSAGE=0.001, SARE_SUB_RAND_LETTRS4=0.799]",False,0.3,False,0.003114016519124001
10,<4B6D15F3.6040707@dcrocker.net>,NO,-6.569,,"No, score=-6.569 tagged_above=-999 required=5 tests=[AWL=0.030, BAYES_00=-2.599, RCVD_IN_DNSWL_MED=-4]",False,-2.0,False,0.49999999999999784
11,<4B6DB3B1.9080806@dcrocker.net>,NO,-6.571,,"No, score=-6.571 tagged_above=-999 required=5 tests=[AWL=0.028, BAYES_00=-2.599, RCVD_IN_DNSWL_MED=-4]",False,-2.0,False,0.49999999999999784
12,<4B6DDE83.2040909@dcrocker.net>,NO,-6.569,,"No, score=-6.569 tagged_above=-999 required=5 tests=[AWL=0.030, BAYES_00=-2.599, RCVD_IN_DNSWL_MED=-4]",False,-2.0,False,0.49999999999999784
13,<DE01B0C2-2C15-4D48-A8ED-9F7A9EF593EF@beckman.org>,NO,-0.691,,"No, score=-0.691 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, RCVD_ILLEGAL_IP=1.908]",False,-15.5,False,0.49999999999999784
14,<4B6DF4F0.7050607@dcrocker.net>,NO,-6.572,,"No, score=-6.572 tagged_above=-999 required=5 tests=[AWL=0.027, BAYES_00=-2.599, RCVD_IN_DNSWL_MED=-4]",False,-2.0,False,0.49999999999999784
15,<4B6EFFB1.2080206@dcrocker.net>,NO,-6.574,,"No, score=-6.574 tagged_above=-999 required=5 tests=[AWL=0.025, BAYES_00=-2.599, RCVD_IN_DNSWL_MED=-4]",False,-2.0,False,0.49999999999999784
16,<064301caa99f$fb5f6e30$0600a8c0@china.huawei.com>,NO,-2.599,,"No, score=-2.599 tagged_above=-999 required=5 tests=[BAYES_00=-2.599]",False,4.5,False,0.03481168340193519
17,<4B718B7B.6000401@dcrocker.net>,NO,-6.58,,"No, score=-6.58 tagged_above=-999 required=5 tests=[AWL=0.019, BAYES_00=-2.599, RCVD_IN_DNSWL_MED=-4]",False,-2.0,False,0.49999999999999784
18,<067401caa9b6$813ab210$0600a8c0@china.huawei.com>,NO,-2.599,,"No, score=-2.599 tagged_above=-999 required=5 tests=[BAYES_00=-2.599]",False,4.5,False,0.08153361687929318
19,<BLU137-DS4FD3AA173C43E69670B9A93500@phx.gbl>,NO,-2.041,,"No, score=-2.041 tagged_above=-999 required=5 tests=[AWL=0.558, BAYES_00=-2.599]",False,1.5,False,0.15960297761042466
20,<3FAF699B-2810-4B9E-B210-68C6C4C276FA@mnot.net>,NO,-3.985,,"No, score=-3.985 tagged_above=-999 required=5 tests=[AWL=-1.386, BAYES_00=-2.599]",False,-2.0,False,0.49999999999999784
21,<EDC652A26FB23C4EB6384A4584434A0401F0E0A1@307622ANEX5.global.avaya.com>,NO,-2.525,,"No, score=-2.525 tagged_above=-999 required=5 tests=[AWL=0.074, BAYES_00=-2.599]",False,1.2,False,0.15960297761042466
22,<4B7310B0.7000807@dcrocker.net>,NO,-6.556,,"No, score=-6.556 tagged_above=-999 required=5 tests=[AWL=0.043, BAYES_00=-2.599, RCVD_IN_DNSWL_MED=-4]",False,-2.0,False,0.49999999999999784
23,<EDC652A26FB23C4EB6384A4584434A0401F0E2B4@307622ANEX5.global.avaya.com>,NO,-2.535,,"No, score=-2.535 tagged_above=-999 required=5 tests=[AWL=0.064, BAYES_00=-2.599]",False,1.2,False,0.15960297761042466
24,<4B743180.6030000@dcrocker.net>,NO,-6.558,,"No, score=-6.558 tagged_above=-999 required=5 tests=[AWL=0.041, BAYES_00=-2.599, RCVD_IN_DNSWL_MED=-4]",False,-2.0,False,0.49999999999999784
25,<4B743EED.9030003@dcrocker.net>,NO,-6.559,,"No, score=-6.559 tagged_above=-999 required=5 tests=[AWL=0.040, BAYES_00=-2.599, RCVD_IN_DNSWL_MED=-4]",False,-2.0,False,0.49999999999999784
26,<4B7441E1.2030800@dcrocker.net>,NO,-6.56,,"No, score=-6.56 tagged_above=-999 required=5 tests=[AWL=0.039, BAYES_00=-2.599, RCVD_IN_DNSWL_MED=-4]",False,-2.0,False,0.49999999999999784
27,<4B74702B.90501@dcrocker.net>,NO,-6.562,,"No, score=-6.562 tagged_above=-999 required=5 tests=[AWL=0.037, BAYES_00=-2.599, RCVD_IN_DNSWL_MED=-4]",False,-2.0,False,0.49999999999999784
28,<4B7470D0.4080702@stpeter.im>,NO,-2.71,,"No, score=-2.71 tagged_above=-999 required=5 tests=[AWL=-0.111, BAYES_00=-2.599]",False,-2.0,False,0.49999999999999784
29,<4B757E23.4060006@dcrocker.net>,NO,-6.563,,"No, score=-6.563 tagged_above=-999 required=5 tests=[AWL=0.036, BAYES_00=-2.599, RCVD_IN_DNSWL_MED=-4]",False,-2.0,False,0.49999999999999784
