imap_uid,mid,header_flag,header_score,header_level,header_status,SA_flag,SA_score,AS_flag,AS_score
1,<A25C8FCB-DEAA-4CA5-8105-377EFCDC8BCF@nokia.com>,,0.0 (/),,,False,-1.8,False,0.016182055177790217
2,<466E666E.3040904@ericsson.com>,,0.0 (/),,,False,1.7,False,0.49999999999999784
3,<0177E186-4663-4395-8622-EC4A281A1B02@nokia.com>,,0.0 (/),,,False,-1.8,False,0.003114016519124001
4,<E1HytGf-0006um-FQ@megatron.ietf.org>,,0.0 (/),,,False,-2.0,False,0.04069439507388138
5,<4671A1E2.8090701@piuha.net>,,0.0 (/),,,False,0.4,False,0.49999999999999784
6,<E1Hyw34-0008EN-6F@megatron.ietf.org>,,1.6 (+),,,False,-2.0,False,0.006803068167124697
7,<E1Hyy5P-0000BM-DV@megatron.ietf.org>,,0.0 (/),,,False,-2.0,False,0.03481168340193519
8,<6E1382DB-BDC3-45B3-AE94-1E6E0E5B0E30@nokia.com>,,0.0 (/),,,False,-1.8,False,0.003114016519124001
9,<8446C4BE-FC0C-45F9-9AE5-6BC0E83BEB9B@nokia.com>,,0.0 (/),,,False,-1.8,False,0.016182055177790217
10,<46768168.1040501@piuha.net>,,0.0 (/),,,False,0.4,False,0.15960297761042466
11,<18857E63-FA6D-4F17-A823-94D126411A72@nokia.com>,,0.0 (/),,,False,-1.8,False,0.003114016519124001
12,<6594CE61-5ACF-4125-8426-4B8FE3CAB06D@cisco.com>,,0.0 (/),,,False,-1.6,False,0.22737794128918348
13,<E1I3FWw-0005M7-5g@megatron.ietf.org>,,0.1 (/),,,True,5.0,False,0.0013544535559484522
14,<D857A8DE-2B41-4A82-9EA4-71B5F7F603C1@nokia.com>,,0.0 (/),,,False,-1.8,False,0.003114016519124001
15,<0B5A13A9-253B-4FCF-A17A-4BA23AE68AB1@nokia.com>,,0.0 (/),,,False,-1.8,False,0.22737794128918348
16,<46F87B40-92FC-4C5C-AFDD-FF7042322DE5@nokia.com>,,0.0 (/),,,False,-1.8,False,0.07970566712219727
17,<469628E7.2050404@ericsson.com>,,0.0 (/),,,False,1.7,False,0.6362242732713367
18,<E33E6817-85FD-4A66-BE21-594E049E7B51@nokia.com>,,0.0 (/),,,False,-1.8,False,0.003114016519124001
19,<CA097251-8DC2-41A9-82DE-8B88E5270239@nokia.com>,,1.8 (+),,,False,-1.8,False,0.07970566712219727
20,<1F35825C-8C51-4A1E-840A-59DA652E9A05@nokia.com>,,0.0 (/),,,False,-1.8,False,0.23728787910887114
21,<E1IE3RL-0002TB-8N@megatron.ietf.org>,,0.0 (/),,,False,1.4,False,0.03624164767921282
