imap_uid,mid,header_flag,header_score,header_level,header_status,SA_flag,SA_score,AS_flag,AS_score
1,<9207250202.AA28674@sunroof.Eng.Sun.COM>,,,,,False,0.8,True,0.9938345634898573
2,<9207290357.AA22841@dscs.arc.nasa.gov>,,,,,False,0.8,False,7.043753507268192e-07
3,<9207290110.AA05275@b5mail.Eng.Sun.COM>,,,,,False,0.8,False,0.0010197683060402258
4,<9207292319.AA20855@b5mail.Eng.Sun.COM>,,,,,False,0.8,False,0.7895758578671461
5,<9207301454.AA24370@Mordor.Stanford.EDU>,,,,,False,1.2,False,0.49999999999999784
6,<9207301453.AA24357@Mordor.Stanford.EDU>,,,,,False,1.2,False,1.2685245397616657e-13
7,<55920731170155/0004387451PK2EM@mcimail.com>,,,,,False,0.0,True,0.9986452820301857
8,<9208040037.AA17767@b5mail.Eng.Sun.COM>,,,,,False,0.8,False,0.00023386857397500612
9,<92Aug4.145517pdt.10779@skylark.parc.xerox.com>,,,,,False,-1.0,True,0.9999979386403157
10,<92Aug4.145331pdt.10779@skylark.parc.xerox.com>,,,,,False,-1.0,True,0.9999897123128022
11,<9208052307.AA17697@sunroof.Eng.Sun.COM>,,,,,False,0.8,False,0.16352823330966795
12,<9208052357.AA24250@b5mail.Eng.Sun.COM>,,,,,False,0.8,False,0.003490961592285875
13,<92Aug6.170539pdt.10779@skylark.parc.xerox.com>,,,,,False,-1.0,False,0.38436488678266023
14,<9208071702.AA04281@xtp.wpd.sgi.com>,,,,,False,0.8,False,9.365597051387349e-07
15,<33920807213033/0004387451PK1EM@mcimail.com>,,,,,False,0.0,False,8.634328338306004e-05
16,<9208080048.AA20723@Mordor.Stanford.EDU>,,,,,False,1.2,False,5.8231353996807465e-05
17,<92Aug10.104059pdt.10779@skylark.parc.xerox.com>,,,,,False,-1.0,True,0.9989697411990458
18,<92Aug12.150414pdt.10779@skylark.parc.xerox.com>,,,,,False,-1.0,True,0.961124534565436
19,<9208141713.AA28448@Mordor.Stanford.EDU>,,,,,False,1.2,False,6.499040367796995e-07
20,<9208141716.AA28506@Mordor.Stanford.EDU>,,,,,False,1.2,False,3.3144681366018353e-14
21,<9208142224.AA09936@xtp.wpd.sgi.com>,,,,,False,0.8,False,3.364644229994119e-08
22,<9208190424.AA05007@b5mail.Eng.Sun.COM>,,,,,False,0.8,False,0.00015755722722036582
23,<01920819143210/0004387451PK1EM@mcimail.com>,,,,,False,0.0,True,0.9712557633635743
24,<9208192110.AA16059@b5mail.Eng.Sun.COM>,,,,,False,0.8,True,0.9976192611328445
25,<9208202357.AA06138@b5mail.Eng.Sun.COM>,,,,,False,0.8,False,2.656436674212308e-05
26,<9208212254.AA19581@b5mail.Eng.Sun.COM>,,,,,False,0.8,False,0.06883749324409065
27,<9208212309.AA20102@b5mail.Eng.Sun.COM>,,,,,False,0.8,False,0.019465695276217755
28,<72920823183227/0004387451PK1EM@mcimail.com>,,,,,False,0.0,True,0.9987579566129425
29,<9208241824.AA03355@us1rmc.bb.dec.com>,,,,,False,0.8,True,0.930843316872414
30,<92Aug24.130305pdt.10779@skylark.parc.xerox.com>,,,,,False,-1.0,True,0.998306585688126
31,<9208242031.AA20960@Mordor.Stanford.EDU>,,,,,False,-0.0,False,1.562474746799888e-14
32,<9208270010.AA08745@Mordor.Stanford.EDU>,,,,,False,-0.0,False,1.2892509388033847e-08
33,<9208270048.AA24010@b5mail.Eng.Sun.COM>,,,,,False,0.8,False,0.003279303324784343
34,<92Aug29.131542pdt.10779@skylark.parc.xerox.com>,,,,,False,-1.0,True,0.9976335886692383
35,<74920902173947/0004387451PK2EM@mcimail.com>,,,,,False,0.0,True,0.9999999498987009
36,<05920903160150/0004387451PK2EM@mcimail.com>,,,,,False,0.0,False,0.20584643896608348
37,<23920904141032/0004387451PK1EM@mcimail.com>,,,,,False,0.0,False,0.456860979568009
38,<92Sep4.124224pdt.10779@skylark.parc.xerox.com>,,,,,False,-1.0,True,0.9658891095915121
39,<9209081518.AA04350@Mordor.Stanford.EDU>,,,,,False,-0.0,False,0.22737794128918348
40,<9209081559.AA11348@fats.proteon.com>,,,,,False,-0.0,False,0.0005928902949966204
41,<9209081815.AA05367@us1rmc.bb.dec.com>,,,,,False,0.8,False,0.39825270275911545
42,<9209081759.AA24576@bigriver.Eng.Sun.COM>,,,,,False,0.8,False,1.5073029458302635e-06
43,<9209081938.AA14463@fats.proteon.com>,,,,,False,-0.0,True,0.999613927490973
44,<9209082058.AA26364@bigriver.Eng.Sun.COM>,,,,,False,0.8,False,0.675470915618803
45,<9209091517.AA00151@fats.proteon.com>,,,,,False,-0.0,False,0.442986248658706
46,<9209091638.AA29600@bigriver.Eng.Sun.COM>,,,,,False,0.8,True,0.997455632458958
47,<9209102211.AA24756@b5mail.Eng.Sun.COM>,,,,,False,0.8,False,1.3493679720058102e-07
48,<92Sep15.225646pdt.10779@skylark.parc.xerox.com>,,,,,False,-1.0,False,0.49999999999999784
49,<9209160438.AA06748@Mordor.Stanford.EDU>,,,,,False,-0.0,False,0.00040655884963495604
50,<9209152320.AA04307@Mordor.Stanford.EDU>,,,,,False,-0.0,False,1.0539041321216065e-11
51,<9209160006.AA04582@Mordor.Stanford.EDU>,,,,,False,-0.0,False,6.862777701959599e-06
52,<9209160031.AA04883@Mordor.Stanford.EDU>,,,,,False,-0.0,False,0.007052850120390203
53,<9209160049.AA01063@saffron.acc.com>,,,,,False,-0.0,False,0.0003223185349456982
54,<9209160120.AA05438@Mordor.Stanford.EDU>,,,,,False,-0.0,False,1.106090075348467e-06
55,<9209160158.AA21200@bigriver.Eng.Sun.COM>,,,,,False,0.8,False,0.1425237243394402
56,<9209161403.AA08674@Mordor.Stanford.EDU>,,,,,False,0.0,False,1.1689170574099545e-09
57,<9209161436.AA08859@Mordor.Stanford.EDU>,,,,,False,-0.0,False,3.146207534160864e-05
58,<9209161521.AA01681@saffron.acc.com>,,,,,False,-0.0,True,0.9396898133060234
59,<9209161547.AA10109@Mordor.Stanford.EDU>,,,,,False,-0.0,False,0.006803068167124697
60,<9209161607.AA01719@saffron.acc.com>,,,,,False,-0.0,False,0.06115234952217338
61,<9209161638.AA11145@Mordor.Stanford.EDU>,,,,,False,-0.0,False,8.7024628105372e-07
62,<60920916235606/0004387451PK2EM@mcimail.com>,,,,,False,0.0,True,0.9705863566386574
63,<9209170013.AA15226@Mordor.Stanford.EDU>,,,,,False,-0.0,False,1.2373760744062408e-09
64,<9209170631.AA00982@us1rmc.bb.dec.com>,,,,,False,0.8,False,0.028490721244409472
65,<9209171903.AA04155@bigriver.Eng.Sun.COM>,,,,,False,0.8,False,0.004685643452819821
66,<9209171922.AA22552@Mordor.Stanford.EDU>,,,,,False,-0.0,False,8.41810018483768e-12
67,<9209172023.AA23074@Mordor.Stanford.EDU>,,,,,False,-0.0,False,2.2786107589994721e-07
68,<9209172105.AA04499@bigriver.Eng.Sun.COM>,,,,,False,0.8,False,1.3315515330798435e-05
69,<9209172107.AA02148@virgil.pa.dec.com>,,,,,False,0.8,False,0.01785121259621934
