imap_uid,mid,header_flag,header_score,header_level,header_status,SA_flag,SA_score,AS_flag,AS_score
1,<245.847232228@dale.uninett.no>,,,,,False,-1.0,False,2.5408993318427676e-06
2,<9611141115.aa10845@ietf.org>,,,,,False,0.0,False,3.528849578389612e-12
3,<3.0.32.19961114114329.009f9140@mail.netmagic.com>,,,,,False,0.0,False,1.7643222851870056e-06
4,,,,,,False,0.8,False,0.00025751194682167676
5,<9611151055.aa26704@ietf.org>,,,,,False,0.0,False,9.278699142137993e-08
6,,,,,,False,0.8,False,0.0019777146241463472
7,<RM,,,,,False,1.5,False,1.4787426812171392e-10
8,,,,,,False,0.8,False,0.03624164767921282
9,<v03100908aeb3ebf5352f@[205.214.160.90]>,,,,,False,0.3,False,4.691573569925807e-05
10,<RM,,,,,False,1.5,False,0.001299156153328721
11,<RM,,,,,False,1.5,False,5.5148547445562906e-08
12,,,,,,False,0.8,False,0.007090971233707393
13,<9611171517.aa20907@ietf.org>,,,,,False,2.4,False,1.9353263917608936e-10
14,<RM,,,,,False,1.5,False,6.740418313995184e-08
15,<1475.848354310@dale.uninett.no>,,,,,False,-1.0,False,1.3801766765239984e-05
16,<329076D3.237C228A@cisco.com>,,,,,False,-1.0,False,1.7341464678166143e-05
17,<RM,,,,,False,1.5,False,1.5720182121473364e-07
18,<v02140b42aeb79deedf45@[171.69.128.114]>,,,,,False,0.3,False,4.691573569925807e-05
19,<961119124553_1849590634@emout02.mail.aol.com>,,,,,False,0.0,False,0.00031163671445912577
20,<9611270235.AA11031@sol.hq.tis.com>,,,,,False,4.1,False,8.837660357346598e-05
21,,,,,,False,0.0,False,0.15960297761042466
22,<199612021319.IAA21249@portal.ex.tis.com>,,,,,False,1.1,True,0.9923849982446548
23,<199612021340.IAA21431@portal.ex.tis.com>,,,,,False,1.1,True,0.9923849982446548
24,<c=US%a=_%p=RSA_Data_Securit%l=LOBESTER-961202023808Z-1618@LOBESTER.rsa.com>,,,,,False,0.0,True,0.9996189955260465
25,<9612021035.AA16870@tnxdm.tn.etx.ericsson.se>,,,,,False,0.8,False,0.14845618534844746
26,<9701092000.AA21132@samson.zko.dec.com>,,,,,False,0.8,False,0.49999999999999784
27,<9701110001.AA23417@sol.hq.tis.com>,,,,,True,5.3,False,1.2229493532327267e-05
28,<Pine.SUN.3.95.970116120324.25216K-100000@unix1.netaxs.com>,,,,,False,0.0,False,0.002625507843127429
29,<32DE6B69.6C06@netcom.com>,,,,,False,0.0,False,0.0012347109683842645
30,<9700168534.AA853438841@smtplink.Gupta.COM>,,,,,False,-0.0,False,3.847001146414185e-09
31,<199701171155.GAA00602@also.media.org>,,,,,False,0.8,False,5.271032614435186e-05
32,<v02140b02af04ba7cf625@[128.33.229.241]>,,,,,False,1.5,False,1.8017947562841736e-05
33,<11924.853513053@munken.uninett.no>,,,,,False,-1.0,False,0.185928719160601
34,<9701171504.AA06632@dxcoms.cern.ch>,,,,,False,0.8,False,0.8989094436390833
35,<32E0C9D8.6E67@netcom.com>,,,,,False,0.0,False,7.954491123895102e-07
