imap_uid,mid,header_flag,header_score,header_level,header_status,SA_flag,SA_score,AS_flag,AS_score
1,<F876A9F55F0E88DA3359EE0B@nak.isi.edu>,,0.0 (/),,,False,-1.0,False,0.669270692071739
2,<20050627072519.GA1739@boskop.local>,,0.0 (/),,,False,-1.0,False,0.49999999999999784
3,<1851254DB13B6721D6EA9EB3@nak.isi.edu>,,0.0 (/),,,False,-0.6,False,0.49999999999999784
4,<F011C2D3EC25DB0887B6E0B4@nak.isi.edu>,,0.0 (/),,,False,-0.6,False,0.6152907348201759
5,<68CD20EB95AFECF29B424938@nak.isi.edu>,,0.0 (/),,,False,-0.6,False,0.49999999999999784
6,<478655D3424F03125268E65D@nak.isi.edu>,,0.0 (/),,,False,-0.6,False,0.49999999999999784
7,<2A7A2E9FE753FB7A282C01AE@nak.isi.edu>,,0.0 (/),,,False,-0.6,False,0.49999999999999784
8,<4469FAF222F62A96FE131F34@nak.isi.edu>,,0.0 (/),,,False,-1.0,False,0.49999999999999784
9,<3F28F48E29D8FF0841421D14@nak.isi.edu>,,0.0 (/),,,False,-1.0,False,0.49999999999999784
10,<BFA9FE1518F8AE8A562AFDD8@nak.isi.edu>,,0.0 (/),,,False,-1.0,False,0.49999999999999784
11,<1D7CA0E2F4CBE684EF6A843D@nak.isi.edu>,,0.0 (/),,,False,-0.6,False,0.49999999999999784
12,<4910CA94BDB5933C9A0F5000@nak.isi.edu>,,0.0 (/),,,False,-1.0,False,0.49999999999999784
13,<8FD58EA7E74CC5B7507F3CE7@nak.isi.edu>,,0.1 (/),,,True,7.0,False,0.49999999999999784
14,<A3F68C9BE2E7C7101D228AE9@new.isi.edu>,,0.0 (/),,,False,-1.0,False,0.42069953925179354
15,<A71047EB9F1BC2475C4F5490@nak.isi.edu>,,0.0 (/),,,False,-0.8,False,0.49999999999999784
16,<A0F7A20473EC9A5E45B40AED@nak.isi.edu>,,0.0 (/),,,False,-0.8,False,0.49999999999999784
17,<9254F73607F5D56AD42766C7@nak.isi.edu>,,0.0 (/),,,False,-0.8,False,0.49999999999999784
18,<910B33321C77E8BAABEA4E0B@nak.isi.edu>,,0.0 (/),,,False,-0.8,False,0.49999999999999784
19,<C5DC87513EB23F2838F706A5@nak.isi.edu>,,0.1 (/),,,False,2.6,False,0.49999999999999784
20,<836165214685ABB8DB566AE8@neo.isi.edu>,,0.0 (/),,,False,-1.0,False,0.49999999999999784
21,<9905D035CB0F2157270EAC02@neo.isi.edu>,,0.0 (/),,,False,-1.0,False,0.49999999999999784
22,<01FA48E2091B43BB156A8D1E@neo.isi.edu>,,0.0 (/),,,False,-1.0,False,0.49999999999999784
23,<730ADFF9E30AAFA5A82A2E8A@neo.isi.edu>,,0.0 (/),,,False,-1.0,False,0.49999999999999784
24,<997F78A9686CD55E450F4B9F@neo.isi.edu>,,0.0 (/),,,False,-1.0,False,0.49999999999999784
25,<FA7CF42940045618E97ABB29@neo.isi.edu>,,0.0 (/),,,False,0.0,False,0.49999999999999784
26,<D93199A9-1D8C-41E6-A86E-70CEA29A2FBB@ISI.EDU>,,0.0 (/),,,False,3.2,False,0.49999999999999784
27,<3B0F4E0E-D476-4BA9-B256-C0EA74EC7356@ISI.EDU>,,0.0 (/),,,False,-0.7,False,0.49999999999999784
28,<77516FA1-3010-439A-BC62-D9B7149962CE@ISI.EDU>,,2.3 (++),,,False,-0.7,False,0.49999999999999784
29,<731D40E1-11F3-4C77-B8BF-6EDFEBEC6CA8@ISI.EDU>,,0.0 (/),,,False,-0.7,False,0.49999999999999784
30,<36BCD140-DC76-474E-BAEA-D2F3D6120E9D@ISI.EDU>,,0.0 (/),,,False,-0.7,False,0.07970566712219727
31,<2D81F754-283D-4FC8-8506-2B586C494D55@ISI.EDU>,,0.0 (/),,,False,-0.7,False,0.007338253566629975
32,<3F9B1579-46BE-4C09-9081-2940A4DCBA71@ISI.EDU>,,0.0 (/),,,False,-0.7,False,0.49999999999999784
33,<2CED3B32-839E-4323-A87D-E1A1C07D1A74@ISI.EDU>,,-2.6 (--),,,False,-0.8,False,0.059175153630162444
34,<E108625D-7843-4B3B-83D5-DF743F18CAB7@isi.edu>,,0.0 (/),,,False,-0.7,False,0.49999999999999784
35,<90433564-D03D-41C1-9A12-3BBDBFA4F452@isi.edu>,,0.0 (/),,,False,-0.7,False,0.22737794128918348
36,<2CBBB01F-D1D4-4F2D-AA8B-1D3A491A1A64@isi.edu>,,0.0 (/),,,False,-0.8,False,0.0005043310327459572
37,<E6F52F92-3643-4D5F-888E-780325FF2260@ISI.EDU>,,0.0 (/),,,False,-0.7,False,0.22737794128918348
38,<3B7DCFC0-507C-415B-B391-305C960DB647@ISI.EDU>,,0.0 (/),,,False,-0.8,False,0.49999999999999784
39,<7939B3D1-7D7D-4FD4-B451-8B31609B35BE@ISI.EDU>,,0.0 (/),,,False,-0.8,False,0.07970566712219727
40,<DBCCE668-B781-48EB-B1DE-61A438E07175@ISI.EDU>,,0.0 (/),,,False,-0.7,False,0.8037307242061429
41,<B7452600-D6B5-4C1E-AE34-5DF58015BBA5@ISI.EDU>,,0.0 (/),,,False,-0.7,False,0.49999999999999784
42,<49842762-B248-4570-AFA9-3C96C4B1C615@ISI.EDU>,,0.0 (/),,,False,-0.7,False,0.49999999999999784
43,<3C265ED6-8194-465D-B470-D321601BF670@ISI.EDU>,,0.0 (/),,,False,-0.8,False,0.49999999999999784
44,<BF7223A8-AA8A-4F08-AD54-75DACD5988AF@ISI.EDU>,,0.0 (/),,,False,-0.7,False,0.49999999999999784
45,<31CD62B1-5A55-42D7-9F6D-39346F7504F7@ISI.EDU>,,0.0 (/),,,False,-0.7,False,0.49999999999999784
46,<E65A9411-DF9A-45F2-9B87-8D19FD73F490@ISI.EDU>,,0.0 (/),,,False,-2.0,False,0.49999999999999784
47,<A4AA4102-182E-4E2B-96DA-2CD2F8A812DE@ISI.EDU>,,0.0 (/),,,False,-2.0,False,0.49999999999999784
48,<C01FB950-F9BA-4CEE-A10F-7C7C532456A5@ISI.EDU>,,0.0 (/),,,False,-2.0,False,0.49999999999999784
49,<6CCAD325-2BB5-49CA-8BF4-4DDF8156826B@bbn.com>,,0.0 (/),,,False,0.2,False,0.016182055177790217
50,<FA7DD7E9-4047-42A0-BA33-0781AE8E46C5@bbn.com>,,0.0 (/),,,False,-0.8,False,0.49999999999999784
51,<6E4F1268-C589-4F2E-827A-124DE4A27E2A@bbn.com>,,0.0 (/),,,False,-0.8,False,0.016182055177790217
52,<20071117031002.B0780EE993@bosco.isi.edu>,,-15.0 (---------------),,,False,-0.8,False,0.49999999999999784
