imap_uid,mid,header_flag,header_score,header_level,header_status,SA_flag,SA_score,AS_flag,AS_score
1,<4C50AECE.8000506@bbn.com>,NO,-102.261,,"No, score=-102.261 tagged_above=-999 required=5 tests=[AWL=0.338, BAYES_00=-2.599, USER_IN_WHITELIST=-100]",False,0.3,False,0.49999999999999784
2,<EFDB2B5417263843B5077E12666D8C10103FF026@FRMRSSXCHMBSB1.dc-m.alcatel-lucent.com>,NO,-4.864,,"No, score=-4.864 tagged_above=-999 required=5 tests=[AWL=1.385, BAYES_00=-2.599, HELO_EQ_FR=0.35, RCVD_IN_DNSWL_MED=-4]",False,1.2,False,0.49999999999999784
3,<CFE328D29C2444A7B45260AF6411B0F2@NAPTRTHINK>,NO,1.859,*,"No, score=1.859 tagged_above=-999 required=5 tests=[AWL=0.170, BAYES_50=0.001, HTML_FONT_FACE_BAD=0.884, HTML_MESSAGE=0.001, MSGID_FROM_MTA_HEADER=0.803]",False,-2.0,False,0.49999999999999784
4,<4CD725AF.7010606@bbn.com>,NO,-102,,"No, score=-102 tagged_above=-999 required=5 tests=[AWL=-0.200, BAYES_00=-2.599, SARE_SUB_RAND_LETTRS4=0.799, USER_IN_WHITELIST=-100]",False,0.3,False,0.49999999999999784
5,<3B1BDCEC-9192-461B-B97A-2FB2111658FB@lacnic.net>,NO,2.321,**,"No, score=2.321 tagged_above=-999 required=5 tests=[BAYES_05=-1.11, FH_HOST_EQ_D_D_D_D=0.765, HOST_EQ_DIALUP=0.862, RCVD_IN_PBL=0.905, RDNS_DYNAMIC=0.1, SARE_SUB_RAND_LETTRS4=0.799]",False,3.8,False,0.49999999999999784
6,<4CD7E267.2000600@250bpm.com>,NO,0.105,,"No, score=0.105 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, HELO_EQ_SK=1.35, HOST_EQ_SK=0.555, SARE_SUB_RAND_LETTRS4=0.799]",False,-2.0,False,0.49999999999999784
7,<4CD7E904.1040205@gmail.com>,NO,-102.139,,"No, score=-102.139 tagged_above=-999 required=5 tests=[AWL=-0.340, BAYES_00=-2.599, SARE_SUB_RAND_LETTRS4=0.799, USER_IN_WHITELIST=-100]",False,-0.9,False,0.49999999999999784
8,<EFDB2B5417263843B5077E12666D8C10106676DF@FRMRSSXCHMBSB1.dc-m.alcatel-lucent.com>,NO,-1.45,,"No, score=-1.45 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, HELO_EQ_FR=0.35, SARE_SUB_RAND_LETTRS4=0.799]",False,1.2,False,0.49999999999999784
9,<2CF484B7-2CC8-46D2-947F-FE4CFCF2BC32@isi.edu>,NO,-101.8,,"No, score=-101.8 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, SARE_SUB_RAND_LETTRS4=0.799, USER_IN_WHITELIST=-100]",False,-2.0,False,0.49999999999999784
10,<303EDD0C5A3F468CAA1255F90EB81130@NAPTRTHINK>,NO,1.761,*,"No, score=1.761 tagged_above=-999 required=5 tests=[AWL=0.072, BAYES_50=0.001, HTML_FONT_FACE_BAD=0.884, HTML_MESSAGE=0.001, MSGID_FROM_MTA_HEADER=0.803]",False,-2.0,False,0.49999999999999784
11,<4CD900DF.9040306@bbn.com>,NO,-102.015,,"No, score=-102.015 tagged_above=-999 required=5 tests=[AWL=-0.215, BAYES_00=-2.599, SARE_SUB_RAND_LETTRS4=0.799, USER_IN_WHITELIST=-100]",False,0.3,False,0.49999999999999784
12,<EFDB2B5417263843B5077E12666D8C10168EDB89@FRMRSSXCHMBSB1.dc-m.alcatel-lucent.com>,NO,-3.15,,"No, score=-3.15 tagged_above=-999 required=5 tests=[AWL=1.700, BAYES_00=-2.599, HELO_EQ_FR=0.35, J_CHICKENPOX_43=0.6, RCVD_IN_DNSWL_MED=-4, SARE_SUB_RAND_LETTRS4=0.799]",False,1.2,False,0.49999999999999784
13,<EFDB2B5417263843B5077E12666D8C1016948658@FRMRSSXCHMBSB1.dc-m.alcatel-lucent.com>,NO,-4.249,,"No, score=-4.249 tagged_above=-999 required=5 tests=[AWL=1.400, BAYES_00=-2.599, HELO_EQ_FR=0.35, J_CHICKENPOX_41=0.6, RCVD_IN_DNSWL_MED=-4]",False,1.2,False,0.49999999999999784
14,<5CC532F2-F1C8-432E-B602-A71C3A6FC87B@lacnic.net>,NO,-0.708,,"No, score=-0.708 tagged_above=-999 required=5 tests=[AWL=-0.459, BAYES_00=-2.599, FH_RELAY_NODNS=1.451, RDNS_NONE=0.1, SARE_SUB_RAND_LETTRS4=0.799]",False,0.9,False,0.49999999999999784
15,<4CF3CDB9.4010204@bbn.com>,NO,-102.032,,"No, score=-102.032 tagged_above=-999 required=5 tests=[AWL=-0.233, BAYES_00=-2.599, HTML_MESSAGE=0.001, SARE_SUB_RAND_LETTRS4=0.799, USER_IN_WHITELIST=-100]",False,0.2,False,0.15960297761042466
16,<4CF7D226.4030506@isi.edu>,NO,-102.153,,"No, score=-102.153 tagged_above=-999 required=5 tests=[AWL=-0.353, BAYES_00=-2.599, SARE_SUB_RAND_LETTRS4=0.799, USER_IN_WHITELIST=-100]",False,-2.0,False,0.49999999999999784
17,<76632BAD-6789-48FC-8736-D5834B028671@lacnic.net>,NO,-0.657,,"No, score=-0.657 tagged_above=-999 required=5 tests=[AWL=-0.408, BAYES_00=-2.599, FH_RELAY_NODNS=1.451, RDNS_NONE=0.1, SARE_SUB_RAND_LETTRS4=0.799]",False,0.9,False,0.49999999999999784
18,<4CF7EF10.5070002@isi.edu>,NO,-102.151,,"No, score=-102.151 tagged_above=-999 required=5 tests=[AWL=-0.351, BAYES_00=-2.599, SARE_SUB_RAND_LETTRS4=0.799, USER_IN_WHITELIST=-100]",False,-2.0,False,0.49999999999999784
19,<002901cb9b64$bbb9ec30$332dc490$@lee>,NO,-0.082,,"No, score=-0.082 tagged_above=-999 required=5 tests=[AWL=0.718, BAYES_00=-2.599, HELO_EQ_FR=0.35, HTML_MESSAGE=0.001, MSGID_MULTIPLE_AT=1.449]",True,6.1,False,0.49999999999999784
