imap_uid,mid,header_flag,header_score,header_level,header_status,SA_flag,SA_score,AS_flag,AS_score
1,<512E5CCC.2060407@qti.qualcomm.com>,NO,-102.567,,"No, score=-102.567 tagged_above=-999 required=5 tests=[AWL=0.032, BAYES_00=-2.599, USER_IN_WHITELIST=-100]",False,-1.9,False,0.49999999999999784
2,<20130301183056.31662.99451.idtracker@ietfa.amsl.com>,NO,-103.599,,"No, score=-103.599 tagged_above=-999 required=5 tests=[AWL=-1.000, BAYES_00=-2.599, USER_IN_WHITELIST=-100]",False,-2.0,False,0.49999999999999784
3,<5134AD1B.9010802@qti.qualcomm.com>,NO,-101.403,,"No, score=-101.403 tagged_above=-999 required=5 tests=[AWL=1.197, BAYES_00=-2.599, USER_IN_WHITELIST=-100]",False,-1.9,False,0.49999999999999784
4,<5134CA37.7070006@gmail.com>,NO,-3.598,,"No, score=-3.598 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, HTML_MESSAGE=0.001, RCVD_IN_DNSWL_LOW=-1]",False,-1.9,False,0.49999999999999784
5,<20130305184953.13107.75955.idtracker@ietfa.amsl.com>,NO,-102.491,,"No, score=-102.491 tagged_above=-999 required=5 tests=[AWL=0.109, BAYES_00=-2.599, NO_RELAYS=-0.001, USER_IN_WHITELIST=-100]",False,-2.0,False,0.15960297761042466
6,<CAKma62aRjinFpO4DraEDJzd1HD7Kqh_OV6v9tZdXRZhjk-EsYA@mail.gmail.com>,NO,-2.6,,"No, score=-2.6 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, NO_RELAYS=-0.001]",False,-0.9,False,0.49999999999999784
7,<513DF34E.1090505@stpeter.im>,NO,-102.599,,"No, score=-102.599 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, USER_IN_WHITELIST=-100]",False,-2.0,False,0.49999999999999784
8,<513DF404.5000606@viagenie.ca>,NO,-2.599,,"No, score=-2.599 tagged_above=-999 required=5 tests=[AWL=0.000, BAYES_00=-2.599]",False,-2.0,False,0.49999999999999784
9,<513E1D47.3060304@stpeter.im>,NO,-102.599,,"No, score=-102.599 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, USER_IN_WHITELIST=-100]",False,-1.3,False,0.49999999999999784
10,<A03A059F562D8D46B1F67F758AA909B4314A1C@xmb-rcd-x13.cisco.com>,NO,-10.599,,"No, score=-10.599 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, RCVD_IN_DNSWL_HI=-8]",False,0.4,False,0.15960297761042466
11,<CAAQiQRdUDjHizLcHMhZgW=pfr3X9SFC9qztqbhVi_U1DQGeskg@mail.gmail.com>,NO,-0.425,,"No, score=-0.425 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, FH_RELAY_NODNS=1.451, FM_FORGED_GMAIL=0.622, HTML_MESSAGE=0.001, RDNS_NONE=0.1]",False,2.6,False,0.15960297761042466
12,<513E22DA.6050903@gmail.com>,NO,-3.598,,"No, score=-3.598 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, HTML_MESSAGE=0.001, RCVD_IN_DNSWL_LOW=-1]",False,0.5,False,0.49999999999999784
13,<923EF276-0A09-40F1-BE82-8DF29227745C@calconnect.org>,NO,-2.264,,"No, score=-2.264 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, HTML_MESSAGE=0.001, IP_NOT_FRIENDLY=0.334]",False,-1.3,False,0.49999999999999784
14,<A723FC6ECC552A4D8C8249D9E07425A70F8CC9A9@xmb-rcd-x10.cisco.com>,NO,-10.599,,"No, score=-10.599 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, RCVD_IN_DNSWL_HI=-8]",False,-1.9,False,0.15960297761042466
15,<34966E97BE8AD64EAE9D3D6E4DEE36F21EDDDCF9@szxeml525-mbx.china.huawei.com>,NO,-2.395,,"No, score=-2.395 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, HTML_MESSAGE=0.001, MIME_BASE64_TEXT=1.753, MIME_CHARSET_FARAWAY=2.45, RCVD_IN_DNSWL_MED=-4]",False,-2.0,False,0.006803068167124697
16,<CEA3A74C-11A8-4EE6-8896-8C34DB9021C2@earthlink.net>,NO,-2.599,,"No, score=-2.599 tagged_above=-999 required=5 tests=[BAYES_00=-2.599]",False,3.9,False,0.07970566712219727
17,<CAJNb_g1ZcMsCVsbZsWL=vYhFVOmBaNA=OB_pUH2_vJ5vrtUvRQ@mail.gmail.com>,NO,-2.599,,"No, score=-2.599 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, HTML_MESSAGE=0.001, NO_RELAYS=-0.001]",False,-0.1,False,0.49999999999999784
18,<5146DE42.5060601@kewis.ch>,NO,-2.598,,"No, score=-2.598 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, HTML_MESSAGE=0.001]",False,-2.0,False,0.49999999999999784
19,<514784C6.5000005@gmail.com>,NO,-0.816,,"No, score=-0.816 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, HTML_MESSAGE=0.001, RCVD_IN_PBL=0.905, RCVD_IN_SORBS_DUL=0.877]",False,-1.9,False,0.49999999999999784
