imap_uid,mid,header_flag,header_score,header_level,header_status,SA_flag,SA_score,AS_flag,AS_score
1,<5.1.1.9.2.20040714132530.05941d48@imf.m.ecl.ntt.co.jp>,,,,"No, hits=0.0 required=5.0 tests=none autolearn=no version=2.60",False,-1.0,False,0.7189408625521978
2,<5.1.1.9.2.20040714133231.0594e990@imf.m.ecl.ntt.co.jp>,,,,"No, hits=0.0 required=5.0 tests=none autolearn=no version=2.60",False,-1.0,False,0.7189408625521978
3,<014601c469bd$78646f80$7a5108c3@Puppy>,,,,"No, hits=0.1 required=5.0 tests=AWL autolearn=no version=2.60",False,3.6,False,0.7189408625521978
4,<5.1.1.11.2.20040723102242.00cf3bb8@cronos.ocn.ne.jp>,,0.0 (/),,,False,-1.0,False,0.8035799187328447
5,<41010B4F.5090805@psg.com>,,0.0 (/),,,False,-6.0,False,0.7189408625521978
6,<5.1.1.11.2.20040726013912.00cf56c8@cronos.ocn.ne.jp>,,0.1 (/),,,False,2.6,False,0.8035799187328447
7,<023b01c4ad86$65f22f10$21849ed9@Puppy>,,0.1 (/),,,False,2.6,False,0.7189408625521978
8,<5.1.1.9.2.20041017010621.00ce4fe8@cronos.ocn.ne.jp>,,0.0 (/),,,False,0.3,False,0.7189408625521978
9,<5.1.1.11.2.20041029011538.05581af0@cronos.ocn.ne.jp>,,0.1 (/),,,False,2.6,False,0.8035799187328447
10,<00cf01c4c2a3$734c8930$20849ed9@Puppy>,,0.1 (/),,,False,2.6,False,0.7189408625521978
11,<5.1.1.9.2.20041119211327.053fbde8@imf.m.ecl.ntt.co.jp>,,1.1 (+),,,False,-0.3,False,0.7189408625521978
12,<5.1.1.11.2.20050226174811.0657c008@cronos.ocn.ne.jp>,,0.1 (/),,,False,2.6,False,0.49999999999999784
13,<35418.143.106.73.68.1112375712.squirrel@webmail.ic.unicamp.br>,,0.0 (/),,,False,-0.9,False,0.49999999999999784
14,<15f401c537af$ebbf6280$dccb2bd4@Puppy>,,0.1 (/),,,False,3.8,False,0.42069953925179354
15,<1414061909.20050505100317@psg.com>,,0.8 (/),,,False,-5.7,False,0.09104101603020599
16,<0b6201c551a7$38a4cd40$1c849ed9@Puppy>,,0.1 (/),,,False,2.6,False,0.49999999999999784
17,<OFA1EFD732.3DDB3ACE-ONC1256FF8.006EC48F-C1256FF8.006EC4CB@netfr.alcatel.fr>,,0.3 (/),,,False,-1.0,False,0.37986997936407496
18,<085091CB2CA14E4B8B163FFC37C84E9D046228E9@zcarhxm0.corp.nortel.com>,,,,,False,-1.0,False,0.09104101603020599
19,<085091CB2CA14E4B8B163FFC37C84E9D04622905@zcarhxm0.corp.nortel.com>,,0.0 (/),,,False,-1.0,False,0.09104101603020599
20,<1463303216.20050505153337@psg.com>,,0.8 (/),,,False,-5.7,False,0.42069953925179354
21,<796504184.20050505154107@psg.com>,,0.8 (/),,,False,-5.7,False,0.09104101603020599
22,<249605074.20050505153944@psg.com>,,0.8 (/),,,False,-5.7,False,0.34529067587569834
23,<085091CB2CA14E4B8B163FFC37C84E9D04622980@zcarhxm0.corp.nortel.com>,,0.0 (/),,,False,-1.0,False,0.09104101603020599
24,<085091CB2CA14E4B8B163FFC37C84E9D0462282F@zcarhxm0.corp.nortel.com>,,0.0 (/),,,False,-1.0,False,0.27693683532699287
25,<0bc801c551d8$cc841080$1c849ed9@Puppy>,,2.9 (++),,,False,2.6,False,0.49999999999999784
26,<427B2A38.7090300@pi.se>,,0.0 (/),,,False,-2.0,False,0.49999999999999784
27,<OFD3699C12.95A9E955-ONC1256FF9.003572ED-C1256FF9.0035738D@netfr.alcatel.fr>,,0.3 (/),,,False,-1.0,False,0.5373564143408486
28,<427B45EF.2010405@pi.se>,,0.0 (/),,,False,-2.0,False,0.49999999999999784
29,<427B47FA.7000605@pi.se>,,0.0 (/),,,False,-2.0,False,0.42069953925179354
30,<5.1.1.11.2.20050506205131.061207e0@cronos.ocn.ne.jp>,,0.0 (/),,,False,-1.0,False,0.49999999999999784
31,<427B6B49.3050101@pi.se>,,0.0 (/),,,False,-2.0,False,0.49999999999999784
32,<085091CB2CA14E4B8B163FFC37C84E9D0469A24B@zcarhxm0.corp.nortel.com>,,0.0 (/),,,False,-1.0,False,0.09104101603020599
33,<085091CB2CA14E4B8B163FFC37C84E9D0469A366@zcarhxm0.corp.nortel.com>,,0.0 (/),,,False,-1.0,False,0.42069953925179354
34,<OF61D28A5A.BE8E7B18-ONC1256FF9.0052F57C-C1256FF9.0052F609@netfr.alcatel.fr>,,4.8 (++++),,,False,-1.0,False,0.6152907348201759
35,<085091CB2CA14E4B8B163FFC37C84E9D0469A4F0@zcarhxm0.corp.nortel.com>,,0.0 (/),,,False,-1.0,False,0.27693683532699287
36,<0c0701c55254$59e186d0$1c849ed9@Puppy>,,0.1 (/),,,False,2.6,False,0.42069953925179354
37,<449B2580D802A443A923DABF3EAB82AF099CFA93@OCCLUST04EVS1.ugd.att.com>,,0.0 (/),,,False,-1.0,False,0.49999999999999784
38,<134740927.20050511112244@psg.com>,,0.8 (/),,,False,-5.7,False,0.49999999999999784
39,<534433625.20050511142654@psg.com>,,0.8 (/),,,False,-5.7,False,0.34529067587569834
40,<417849708.20050511142938@psg.com>,,0.8 (/),,,False,-5.7,False,0.09104101603020599
41,<001501c55682$53dd0ca0$c1849ed9@Puppy>,,2.9 (++),,,False,2.6,False,0.09104101603020599
42,<5.1.1.11.2.20050512090355.05810140@cronos.ocn.ne.jp>,,0.0 (/),,,False,-1.0,False,0.49999999999999784
43,<656216263.20050511211208@psg.com>,,0.8 (/),,,False,-5.7,False,0.09104101603020599
44,<455940908.20050511211219@psg.com>,,0.8 (/),,,False,-5.7,False,0.49999999999999784
45,<1752873710.20050511211934@psg.com>,,0.8 (/),,,False,-5.7,False,0.09104101603020599
46,<OF4D644AF9.421425B4-ONC1256FFF.00260388-C1256FFF.002603FE@netfr.alcatel.fr>,,0.3 (/),,,False,-1.0,False,0.37986997936407496
47,<4283026B.6020700@pi.se>,,0.0 (/),,,False,-2.0,False,0.49999999999999784
48,<085091CB2CA14E4B8B163FFC37C84E9D047D7783@zcarhxm0.corp.nortel.com>,,0.0 (/),,,False,-1.0,False,0.01866662754535925
49,<449B2580D802A443A923DABF3EAB82AF09A42647@OCCLUST04EVS1.ugd.att.com>,,0.0 (/),,,False,-1.0,False,0.49999999999999784
50,<003f01c557b2$25417850$04919ed9@Puppy>,,2.9 (++),,,False,2.6,False,0.42069953925179354
51,<BE36D687C8CBFA4AB76F5CD3E3C0FB4E03918C77@aa-exchange1.corp.nexthop.com>,,0.0 (/),,,False,-1.0,False,0.42069953925179354
52,<48587912.20050513114245@psg.com>,,0.8 (/),,,False,-5.7,False,0.09104101603020599
53,<1873065306.20050513114308@psg.com>,,0.8 (/),,,False,-5.7,False,0.34529067587569834
54,<1248288282.20050516121223@psg.com>,,0.8 (/),,,False,-5.7,False,0.09104101603020599
55,<1744786840.20050610104526@psg.com>,,0.8 (/),,,False,-4.7,False,0.09104101603020599
