imap_uid,mid,header_flag,header_score,header_level,header_status,SA_flag,SA_score,AS_flag,AS_score
1,<D9872168DBD43A41BD71FFC4713274D401A54740@xmb-ams-33b.emea.cisco.com>,,1.3 (+),,,False,0.3,False,0.03481168340193519
2,<813F12598722004A9F0A3593D83F7A0401082D08@xmb-sjc-21c.amer.cisco.com>,,0.0 (/),,,False,0.3,False,0.49999999999999784
3,<9BD5D7887235424FA97DFC223CAE3C28020EEA03@proton.jnpr.net>,,0.0 (/),,,False,-2.0,False,0.49999999999999784
4,<D9872168DBD43A41BD71FFC4713274D401A54B5B@xmb-ams-33b.emea.cisco.com>,,0.0 (/),,,False,0.3,False,0.49999999999999784
5,<D9872168DBD43A41BD71FFC4713274D401A54B5C@xmb-ams-33b.emea.cisco.com>,,0.0 (/),,,False,0.3,False,0.49999999999999784
6,<9BD5D7887235424FA97DFC223CAE3C28020EEA3E@proton.jnpr.net>,,0.0 (/),,,False,-2.0,False,0.15960297761042466
7,<9BD5D7887235424FA97DFC223CAE3C28020EEA3F@proton.jnpr.net>,,0.0 (/),,,False,-2.0,False,0.49999999999999784
8,<43CFBBF4.7010206@alcatel.be>,,0.3 (/),,,False,-0.7,False,0.7189408625521978
9,<D5D247EC1EFAE74386F64C1BC50288B002BBD0EB@esealmw104.eemea.ericsson.se>,,0.0 (/),,,False,0.3,False,0.49999999999999784
10,<43D11C82.5040906@alcatel.be>,,0.3 (/),,,False,-2.0,False,0.34529067587569834
11,<43D18343.9030304@cisco.com>,,2.2 (++),,,False,-2.0,False,0.03481168340193519
12,<D5D247EC1EFAE74386F64C1BC50288B002C3D9CC@esealmw104.eemea.ericsson.se>,,0.0 (/),,,False,0.3,False,0.02495556389639259
13,<20060122222605.1D6C264EA9E@prattle.redback.com>,,0.0 (/),,,False,-1.0,False,0.03481168340193519
14,<9BD5D7887235424FA97DFC223CAE3C28020EEA76@proton.jnpr.net>,,0.0 (/),,,False,-2.0,False,0.49999999999999784
15,<D78E5D40FCF6BB4F97B9CC7E11006A8562510B@emailemea5.jnpr.net>,,0.0 (/),,,False,-2.0,False,0.49999999999999784
16,<OF00BC7ED1.AAFBE954-ONC22570FF.005725FE-C22570FF.00598AC6@ecitele.com>,,0.3 (/),,,False,-1.0,False,0.7189408625521978
17,<43D52AFF.6040905@alcatel.be>,,0.3 (/),,,False,-2.0,False,0.42069953925179354
18,<43D52B0B.5010507@alcatel.be>,,0.3 (/),,,False,-2.0,False,0.42069953925179354
19,<9BD5D7887235424FA97DFC223CAE3C28020EEA8C@proton.jnpr.net>,,0.0 (/),,,False,-2.0,False,0.49999999999999784
20,<43D6555B.7070004@alcatel.be>,,2.5 (++),,,False,-0.8,False,0.6152907348201759
21,<9BD5D7887235424FA97DFC223CAE3C28020EEA9D@proton.jnpr.net>,,0.0 (/),,,False,-2.0,False,0.5406893032241556
22,<5F9130612D07074EB0A0CE7E69FD7A0303A30590@S4DE8PSAAGS.blf.telekom.de>,,0.0 (/),,,False,-1.0,False,0.49999999999999784
23,<43D7B832.60403@alcatel.be>,,2.5 (++),,,False,-2.0,False,0.0945544471536348
24,<43D7B9C4.4040302@alcatel.be>,,2.5 (++),,,False,-2.0,False,0.49999999999999784
25,<XMB-SJC-21CaZbLAX3c0000001b@xmb-sjc-21c.amer.cisco.com>,,0.0 (/),,,False,0.3,False,0.15960297761042466
26,<8711D029-1E7D-494C-8E02-D69CAD5C6794@acm.org>,,0.0 (/),,,False,-0.8,False,0.49999999999999784
27,<D9872168DBD43A41BD71FFC4713274D401B606CC@xmb-ams-33b.emea.cisco.com>,,1.3 (+),,,False,0.3,False,0.03481168340193519
28,<5F9130612D07074EB0A0CE7E69FD7A0303A305DA@S4DE8PSAAGS.blf.telekom.de>,,0.0 (/),,,False,-1.0,False,0.49999999999999784
29,<C9A71B27-1739-47E5-AD14-EA2241C24A5C@acm.org>,,0.5 (/),,,False,-0.7,False,0.49999999999999784
30,<43E37D4C.5060607@cisco.com>,,0.0 (/),,,False,-2.0,False,0.03481168340193519
31,<D9872168DBD43A41BD71FFC4713274D401B607D7@xmb-ams-33b.emea.cisco.com>,,0.0 (/),,,False,0.3,False,0.6152907348201759
32,<D9872168DBD43A41BD71FFC4713274D401B607D8@xmb-ams-33b.emea.cisco.com>,,0.0 (/),,,False,0.3,False,0.15960297761042466
33,<D9872168DBD43A41BD71FFC4713274D401B607DB@xmb-ams-33b.emea.cisco.com>,,0.0 (/),,,False,0.3,False,0.49999999999999784
34,<9BD5D7887235424FA97DFC223CAE3C28020EEB48@proton.jnpr.net>,,0.0 (/),,,False,-2.0,False,0.49999999999999784
35,<20060204002652.C3163145F86C@prattle.redback.com>,,0.0 (/),,,False,-1.0,False,0.49999999999999784
36,<D9872168DBD43A41BD71FFC4713274D401C32DB4@xmb-ams-33b.emea.cisco.com>,,0.0 (/),,,False,0.3,False,0.03481168340193519
37,<D9872168DBD43A41BD71FFC4713274D401C32DB5@xmb-ams-33b.emea.cisco.com>,,0.0 (/),,,False,0.3,False,0.15960297761042466
38,<43F9B2F7.2060306@cisco.com>,,0.0 (/),,,False,-2.0,False,0.03481168340193519
39,<D9872168DBD43A41BD71FFC4713274D401C7824B@xmb-ams-33b.emea.cisco.com>,,0.0 (/),,,False,0.3,False,0.17369706706887092
40,<5F9130612D07074EB0A0CE7E69FD7A0303A30665@S4DE8PSAAGS.blf.telekom.de>,,1.1 (+),,,False,-0.0,False,0.49999999999999784
41,<43FF522F.9010206@redback.com>,,0.0 (/),,,False,-0.8,False,0.49999999999999784
42,<FBFF437D5B9ECA4081B0E17CA246317C2F09A7@nj-mail1.bbnet.ad>,,0.1 (/),,,False,-1.0,False,0.49999999999999784
43,<5F9130612D07074EB0A0CE7E69FD7A0303A3066B@S4DE8PSAAGS.blf.telekom.de>,,0.0 (/),,,False,0.0,False,0.49999999999999784
44,<OF66F9A7D8.68743DC6-ONC1257122.00389FFA-C1257122.003E78B1@netfr.alcatel.fr>,,0.2 (/),,,False,-1.0,False,0.49999999999999784
45,<6B8F46B46D292A438250E42591ABB59D02246AB7@antipi.jnpr.net>,,0.4 (/),,,False,-2.0,False,0.49999999999999784
46,<44035711.2080707@redback.com>,,0.0 (/),,,False,-0.7,False,0.49999999999999784
47,<D9872168DBD43A41BD71FFC4713274D401CBA190@xmb-ams-33b.emea.cisco.com>,,1.1 (+),,,False,0.3,False,0.49999999999999784
48,<44043A21.5090303@alcatel.be>,,0.2 (/),,,False,-2.0,False,0.42069953925179354
49,<9BD5D7887235424FA97DFC223CAE3C28020EEC73@proton.jnpr.net>,,0.0 (/),,,False,-2.0,False,0.49999999999999784
50,<813F12598722004A9F0A3593D83F7A040149FD60@xmb-sjc-21c.amer.cisco.com>,,0.0 (/),,,False,0.3,False,0.49999999999999784
51,<OF62674B20.6433728E-ON80257124.00367001-80257124.0036F42B@netfr.alcatel.fr>,,0.2 (/),,,False,-1.0,False,0.001423100062188792
52,<44057817.4060407@alcatel.be>,,0.2 (/),,,False,-2.0,False,0.49999999999999784
53,<OFFF81EDF4.1FEEDE78-ONC1257124.003A1C60-C1257124.003AD337@netfr.alcatel.fr>,,0.2 (/),,,False,-1.0,False,0.49999999999999784
54,<4405AA5F.2020804@cisco.com>,,0.0 (/),,,False,-2.0,False,0.03481168340193519
55,<D9872168DBD43A41BD71FFC4713274D401CBA738@xmb-ams-33b.emea.cisco.com>,,0.1 (/),,,False,0.3,False,0.49999999999999784
56,<9BD5D7887235424FA97DFC223CAE3C28020EEC79@proton.jnpr.net>,,0.0 (/),,,False,-2.0,False,0.15960297761042466
57,<4405DDBA.4060304@cisco.com>,,0.0 (/),,,False,-2.0,False,0.15960297761042466
58,<XMB-SJC-21CrcR4ZDgC00000029@xmb-sjc-21c.amer.cisco.com>,,0.0 (/),,,False,0.3,False,0.49999999999999784
59,<OFA5596A58.7C2A6497-ON80257125.0051F906-80257125.00522B55@netfr.alcatel.fr>,,0.2 (/),,,False,-1.0,False,0.01642228660008969
60,<44084ADA.9010907@alcatel.be>,,0.2 (/),,,False,-0.8,False,0.49999999999999784
61,<OF51A31D20.731EF8C0-ONC1257126.00511173-C1257126.005333E6@netfr.alcatel.fr>,,0.3 (/),,,False,-1.0,False,0.12633715519140457
62,<44086208.20102@alcatel.be>,,0.2 (/),,,False,-0.7,False,0.42069953925179354
63,<440864A5.6020600@alcatel.be>,,0.2 (/),,,False,-0.7,False,0.34529067587569834
64,<OFFBCAF32C.3546F404-ON80257126.0059FF15-80257126.005A3A9F@netfr.alcatel.fr>,,0.2 (/),,,False,-1.0,False,0.42069953925179354
65,<1E4CCB2441C5C0409AD8A929482A09F3130CBC@S4DE9JSAAIG.ost.t-com.de>,,0.0 (/),,,False,-1.0,False,0.49999999999999784
66,<D9872168DBD43A41BD71FFC4713274D401CF9FA9@xmb-ams-33b.emea.cisco.com>,,0.0 (/),,,False,0.3,False,0.03481168340193519
67,<OF15596D95.702A9117-ON80257130.005779DD-80257130.0058393D@netfr.alcatel.fr>,,0.2 (/),,,False,0.0,False,0.01642228660008969
68,<4415B836.7070009@alcatel.be>,,0.2 (/),,,False,-0.8,False,0.49999999999999784
69,<20060314110054.8D9ED10649F4@prattle.redback.com>,,0.0 (/),,,False,-1.0,False,0.19964726594051874
70,<OF39779D83.AD919D32-ON80257134.004351CB-80257134.00444B76@netfr.alcatel.fr>,,0.2 (/),,,False,-1.0,False,0.001423100062188792
71,<9BD5D7887235424FA97DFC223CAE3C2803B7541B@proton.jnpr.net>,,0.0 (/),,,False,-2.0,False,0.49999999999999784
72,<A1A52203CA93634BA1748887B9993AEA25DF59@USNVEX1.tellabs-west.tellabsinc.net>,,0.6 (/),,,False,-2.0,False,0.49999999999999784
73,<813F12598722004A9F0A3593D83F7A04016A2F1C@xmb-sjc-21c.amer.cisco.com>,,0.0 (/),,,False,0.3,False,0.49999999999999784
74,<8A6FEF8F-539D-475A-ACB1-0544CAE7F5C8@acm.org>,,0.1 (/),,,False,-0.8,False,0.49999999999999784
