imap_uid,mid,header_flag,header_score,header_level,header_status,SA_flag,SA_score,AS_flag,AS_score
1,<20081111183001.3D9CF28C18D@core3.amsl.com>,,,,,False,-1.0,False,0.03481168340193519
2,<FCA794787FDE0D4DBE9FFA11053ECEB61AFBC84B7C@NA-EXMSG-C110.redmond.corp.microsoft.com>,NO,-10.598,,"No, score=-10.598 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, HTML_MESSAGE=0.001, RCVD_IN_DNSWL_HI=-8]",False,2.4,False,0.001299156153328721
3,<FCA794787FDE0D4DBE9FFA11053ECEB61AFC8406DF@NA-EXMSG-C110.redmond.corp.microsoft.com>,NO,-10.598,,"No, score=-10.598 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, HTML_MESSAGE=0.001, RCVD_IN_DNSWL_HI=-8]",False,2.4,False,0.006803068167124697
4,<C541C7E6.7CB53%sprevidi@cisco.com>,NO,-1.8,,"No, score=-1.8 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, SARE_SUB_RAND_LETTRS4=0.799]",False,-1.8,False,0.49999999999999784
5,<491D562A.3010500@gmail.com>,NO,-0.542,,"No, score=-0.542 tagged_above=-999 required=5 tests=[AWL=1.707,  BAYES_00=-2.599, HELO_EQ_DE=0.35]",False,-0.7,False,0.49999999999999784
6,<4925BDEE.6090101@isi.edu>,NO,-2.556,,"No, score=-2.556 tagged_above=-999 required=5 tests=[AWL=0.043,  BAYES_00=-2.599]",False,1.7,False,0.49999999999999784
7,<8c99930d0811201206yb0ef259v28c361438cb14773@mail.gmail.com>,NO,-2.599,,"No, score=-2.599 tagged_above=-999 required=5 tests=[BAYES_00=-2.599]",False,0.4,False,0.49999999999999784
8,<4925C38D.7010800@isi.edu>,NO,-2.562,,"No, score=-2.562 tagged_above=-999 required=5 tests=[AWL=0.038,  BAYES_00=-2.599]",False,1.7,False,0.49999999999999784
9,<4925C6E1.8070109@isi.edu>,NO,-2.566,,"No, score=-2.566 tagged_above=-999 required=5 tests=[AWL=0.033,  BAYES_00=-2.599]",False,1.7,False,0.49999999999999784
10,<27294E60-8183-47F5-9672-D712E4D85493@icsi.berkeley.edu>,NO,-6.599,,"No, score=-6.599 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, RCVD_IN_DNSWL_MED=-4]",False,-2.1,False,0.49999999999999784
11,<3efc39a60811201232o6bd6da62p60e38f18d6b17446@mail.gmail.com>,NO,0.205,,"No, score=0.205 tagged_above=-999 required=5 tests=[AWL=2.181,  BAYES_00=-2.599, FM_FORGED_GMAIL=0.622, HTML_MESSAGE=0.001]",False,0.2,False,0.15960297761042466
12,<3efc39a60811201233n62b4265ar566228d4e4f60d12@mail.gmail.com>,NO,-0.886,,"No, score=-0.886 tagged_above=-999 required=5 tests=[AWL=1.091,  BAYES_00=-2.599, FM_FORGED_GMAIL=0.622, HTML_MESSAGE=0.001]",False,-0.8,False,0.49999999999999784
13,<A0988C2F192F124FAFE3D70264C04587077A12EC@xmb-sjc-231.amer.cisco.com>,NO,-6.599,,"No, score=-6.599 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, RCVD_IN_DNSWL_MED=-4]",False,1.6,False,0.49999999999999784
14,<4925CC2A.9080606@isi.edu>,NO,-2.569,,"No, score=-2.569 tagged_above=-999 required=5 tests=[AWL=0.030,  BAYES_00=-2.599]",False,1.7,False,0.49999999999999784
15,<7C1BD40A-C0F3-465E-A438-8C25DD66E1F8@icsi.berkeley.edu>,NO,-6.599,,"No, score=-6.599 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, RCVD_IN_DNSWL_MED=-4]",False,-2.1,False,0.49999999999999784
16,<F9AD404B-CCDF-4915-93E3-59F5B5A39AED@tzi.org>,NO,-1.512,,"No, score=-1.512 tagged_above=-999 required=5 tests=[AWL=0.737,  BAYES_00=-2.599, HELO_EQ_DE=0.35]",False,1.7,False,0.49999999999999784
17,<93F81B4F-BC4A-4BF4-9805-09613A5BC5BE@icsi.berkeley.edu>,NO,-6.599,,"No, score=-6.599 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, RCVD_IN_DNSWL_MED=-4]",False,-2.1,False,0.49999999999999784
18,<4925CE38.2030707@isi.edu>,NO,-2.572,,"No, score=-2.572 tagged_above=-999 required=5 tests=[AWL=0.027,  BAYES_00=-2.599]",False,1.7,False,0.49999999999999784
19,<A0988C2F192F124FAFE3D70264C04587077A130C@xmb-sjc-231.amer.cisco.com>,NO,-6.599,,"No, score=-6.599 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, RCVD_IN_DNSWL_MED=-4]",False,1.6,False,0.49999999999999784
