imap_uid,mid,header_flag,header_score,header_level,header_status,SA_flag,SA_score,AS_flag,AS_score
1,<09A567FE-2A32-4F63-A658-F2DE22199D78@tzi.org>,NO,-4.2,,"No, score=-4.2 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, RCVD_IN_DNSWL_MED=-2.3] autolearn=ham autolearn_force=no",False,-2.0,False,0.49999999999999784
2,<C5C3BB522B1DDF478AA09545169155B48FF7CA02@nkgeml514-mbx.china.huawei.com>,NO,-4.2,,"No, score=-4.2 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, RCVD_IN_DNSWL_MED=-2.3, SPF_PASS=-0.001, URIBL_BLOCKED=0.001] autolearn=ham autolearn_force=no",False,0.0,False,0.49999999999999784
3,<27dbdbef64ad4681a80631add54109e2@huawei.com>,NO,-4.2,,"No, score=-4.2 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, RCVD_IN_DNSWL_MED=-2.3, SPF_PASS=-0.001, URIBL_BLOCKED=0.001] autolearn=ham autolearn_force=no",False,0.0,False,0.49999999999999784
4,<d460fcb8fa034c079003f7686938bc16@huawei.com>,NO,-4.201,,"No, score=-4.201 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, RCVD_IN_DNSWL_MED=-2.3, SPF_PASS=-0.001] autolearn=ham autolearn_force=no",False,0.0,False,0.49999999999999784
5,<HE1PR0701MB2522E9C43C12C3808B97E18595EC0@HE1PR0701MB2522.eurprd07.prod.outlook.com>,NO,-2.011,,"No, score=-2.011 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, DKIM_SIGNED=0.1, DKIM_VALID=-0.1, DKIM_VALID_AU=-0.1, RCVD_IN_DNSWL_NONE=-0.0001, SPF_PASS=-0.001, T_DKIMWL_WL_HIGH=-0.01] autolearn=ham autolearn_force=no",False,0.4,False,0.49999999999999784
6,<577583BB-0044-4400-94EE-144913CF6A90@tzi.org>,NO,-4.198,,"No, score=-4.198 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, RCVD_IN_DNSWL_MED=-2.3, SPF_HELO_NONE=0.001, SPF_NONE=0.001] autolearn=ham autolearn_force=no",False,-2.0,False,0.49999999999999784
7,<A6821A11-8D6F-4513-9C34-BF007F9947E6@tzi.org>,NO,-4.198,,"No, score=-4.198 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, RCVD_IN_DNSWL_MED=-2.3, SPF_HELO_NONE=0.001, SPF_NONE=0.001] autolearn=ham autolearn_force=no",False,-2.0,False,0.49999999999999784
8,<156044076406.12459.6827648732879670209.idtracker@ietfa.amsl.com>,,,,,False,-2.0,False,0.49999999999999784
9,<F200719A-FCC3-498C-9F35-CA2450B1C765@ifi.uio.no>,NO,-4.199,,"No, score=-4.199 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, RCVD_IN_DNSWL_MED=-2.3, SPF_HELO_NONE=0.001, SPF_PASS=-0.001, URIBL_BLOCKED=0.001] autolearn=ham autolearn_force=no",False,-2.0,False,0.669270692071739
10,<fb8a0c07445044b9a1a0f688ead477fa@huawei.com>,NO,-4.201,,"No, score=-4.201 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, RCVD_IN_DNSWL_MED=-2.3, SPF_PASS=-0.001] autolearn=ham autolearn_force=no",False,0.0,False,0.49999999999999784
