imap_uid,mid,header_flag,header_score,header_level,header_status,SA_flag,SA_score,AS_flag,AS_score
1,<20151110200512.31690.50934.idtracker@ietfa.amsl.com>,,,,,False,-2.0,False,0.49999999999999784
2,<5644D3D0.9040605@ackl.io>,NO,-2.25,,"No, score=-2.25 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, HELO_EQ_FR=0.35, RCVD_IN_DNSWL_LOW=-0.7] autolearn=ham",False,-2.0,False,0.49999999999999784
3,<649da7c24ddd5bfb382645c50250d76c.squirrel@webmail.entel.upc.edu>,NO,-4.2,,"No, score=-4.2 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, RCVD_IN_DNSWL_MED=-2.3] autolearn=ham",False,-2.0,False,0.49999999999999784
4,<5645AEE6.302@kcl.ac.uk>,NO,-1.901,,"No, score=-1.901 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, SPF_HELO_PASS=-0.001] autolearn=ham",False,2.3,False,0.49999999999999784
5,<CAMsDxWSFEOnagSRvr2Fyc8CxsvvQf_LBdXKzKOnTK0YjotHcAg@mail.gmail.com>,NO,-1.277,,"No, score=-1.277 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, DKIM_SIGNED=0.1, DKIM_VALID=-0.1, FM_FORGED_GMAIL=0.622, FREEMAIL_FROM=0.001, HTML_MESSAGE=0.001, SPF_PASS=-0.001] autolearn=no",False,-0.6,False,0.49999999999999784
6,<5645B389.10808@kcl.ac.uk>,NO,-1.9,,"No, score=-1.9 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, HTML_MESSAGE=0.001, SPF_HELO_PASS=-0.001] autolearn=ham",False,2.3,False,0.49999999999999784
7,<CAMsDxWTMhWRjcX2ON4eBs63vsxv6RPns+C6EXp+xfbfaw+3fAg@mail.gmail.com>,NO,-1.277,,"No, score=-1.277 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, DKIM_SIGNED=0.1, DKIM_VALID=-0.1, FM_FORGED_GMAIL=0.622, FREEMAIL_FROM=0.001, HTML_MESSAGE=0.001, SPF_PASS=-0.001] autolearn=no",False,-0.6,False,0.49999999999999784
8,<5645BE1D.9000901@ackl.io>,NO,-1.9,,"No, score=-1.9 tagged_above=-999 required=5 tests=[BAYES_00=-1.9] autolearn=ham",False,3.8,False,0.49999999999999784
9,<CAPkwd-mzYJVn1hvDEozxAYhmeD825FY=pM9t+E7eV3BvPtUx4Q@mail.gmail.com>,NO,-1.277,,"No, score=-1.277 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, DKIM_SIGNED=0.1, DKIM_VALID=-0.1, FM_FORGED_GMAIL=0.622, HTML_MESSAGE=0.001] autolearn=no",False,-0.9,False,0.49999999999999784
10,<5645C4B9.9080202@ackl.io>,NO,-1.899,,"No, score=-1.899 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, HTML_MESSAGE=0.001] autolearn=ham",False,3.8,False,0.49999999999999784
11,<5645C78D.8060805@ackl.io>,NO,-1.899,,"No, score=-1.899 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, HTML_MESSAGE=0.001] autolearn=ham",False,3.8,False,0.49999999999999784
12,<6EA90BA2-DD45-4172-95B0-1FCA097AD490@uantwerpen.be>,NO,-2.6,,"No, score=-2.6 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, HTML_MESSAGE=0.001, RCVD_IN_DNSWL_LOW=-0.7, SPF_PASS=-0.001] autolearn=ham",False,-2.0,False,0.49999999999999784
13,<CAPkwd-=6h5ODiOOUgu-ss8zi+y8YSJpje2-+8bNEtZ-XvDikkw@mail.gmail.com>,NO,-1.277,,"No, score=-1.277 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, DKIM_SIGNED=0.1, DKIM_VALID=-0.1, FM_FORGED_GMAIL=0.622, HTML_MESSAGE=0.001] autolearn=no",False,-0.9,False,0.49999999999999784
14,<5994.1447423032@sandelman.ca>,NO,-1.911,,"No, score=-1.911 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, SPF_PASS=-0.001, T_RP_MATCHES_RCVD=-0.01] autolearn=ham",False,-2.0,False,0.006803068167124697
15,<5645F159.4020602@tzi.org>,NO,-1.55,,"No, score=-1.55 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, HELO_EQ_DE=0.35] autolearn=no",False,-2.0,False,0.49999999999999784
16,<26426B4FF145B449A3D1FAC13C6B29782E586A2A@szxemi511-mbs.china.huawei.com>,NO,-4.211,,"No, score=-4.211 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, RCVD_IN_DNSWL_MED=-2.3, SPF_PASS=-0.001, T_RP_MATCHES_RCVD=-0.01] autolearn=ham",False,0.0,False,0.49999999999999784
17,<ECA43DA70480A3498E43C3471FB2E1F0222A2FBD@eusaamb103.ericsson.se>,NO,-4.201,,"No, score=-4.201 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, RCVD_IN_DNSWL_MED=-2.3, SPF_PASS=-0.001] autolearn=ham",False,1.2,False,0.006803068167124697
18,<5646FD6C.3040807@kcl.ac.uk>,NO,-1.9,,"No, score=-1.9 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, LOTS_OF_MONEY=0.001, SPF_HELO_PASS=-0.001] autolearn=ham",True,5.8,False,0.49999999999999784
19,<56471390.4040105@ackl.io>,NO,-1.9,,"No, score=-1.9 tagged_above=-999 required=5 tests=[BAYES_00=-1.9] autolearn=ham",False,3.8,False,0.49999999999999784
20,<56471673.2050303@kcl.ac.uk>,NO,-1.901,,"No, score=-1.901 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, SPF_HELO_PASS=-0.001] autolearn=ham",True,5.8,False,0.49999999999999784
21,<564719EE.4090703@ackl.io>,NO,-1.899,,"No, score=-1.899 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, HTML_MESSAGE=0.001] autolearn=ham",False,3.8,False,0.15960297761042466
22,<564720CE.1090901@ackl.io>,NO,-2.59,,"No, score=-2.59 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, RCVD_IN_DNSWL_LOW=-0.7, T_TVD_FUZZY_SECURITIES=0.01] autolearn=ham",False,0.3,False,0.49999999999999784
23,<564723A7.5040003@kcl.ac.uk>,NO,-1.891,,"No, score=-1.891 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, SPF_HELO_PASS=-0.001, T_TVD_FUZZY_SECURITIES=0.01] autolearn=ham",True,5.8,False,0.49999999999999784
24,<CADJ9OA-WzEiTnPu42w5nyE3ix8-620mQbLH0uCoMTBSj6_w6pQ@mail.gmail.com>,NO,1.433,*,"No, score=1.433 tagged_above=-999 required=5 tests=[BAYES_50=0.8, DKIM_SIGNED=0.1, DKIM_VALID=-0.1, FM_FORGED_GMAIL=0.622, FREEMAIL_FROM=0.001, HTML_MESSAGE=0.001, SPF_PASS=-0.001, T_TVD_FUZZY_SECURITIES=0.01] autolearn=no",False,-0.6,False,0.49999999999999784
25,<CAOPRf-d3e3L7Q_5Wqvrn_o+AF13eg_HutT=DfS7hc=qumoDMTw@mail.gmail.com>,NO,1.433,*,"No, score=1.433 tagged_above=-999 required=5 tests=[BAYES_50=0.8, DKIM_SIGNED=0.1, DKIM_VALID=-0.1, FM_FORGED_GMAIL=0.622, FREEMAIL_FROM=0.001, HTML_MESSAGE=0.001, SPF_PASS=-0.001, T_TVD_FUZZY_SECURITIES=0.01] autolearn=no",False,-0.6,False,0.49999999999999784
26,<26426B4FF145B449A3D1FAC13C6B29782E58DDC1@szxemi511-mbs.china.huawei.com>,NO,-2.085,,"No, score=-2.085 tagged_above=-999 required=5 tests=[BAYES_50=0.8, LOTS_OF_MONEY=0.001, RCVD_IN_DNSWL_MED=-2.3, RP_MATCHES_RCVD=-0.585, SPF_PASS=-0.001] autolearn=ham",False,-2.0,False,0.49999999999999784
27,<564A0622.6090405@kcl.ac.uk>,NO,-1.9,,"No, score=-1.9 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, LOTS_OF_MONEY=0.001, SPF_HELO_PASS=-0.001] autolearn=ham",False,2.3,False,0.49999999999999784
