imap_uid,mid,header_flag,header_score,header_level,header_status,SA_flag,SA_score,AS_flag,AS_score
1,<3C88E3A5.AE75260B@lorien.sc.innovationslab.net>,,,,,False,4.6,False,9.332934066460519e-08
2,<499DC368E25AD411B3F100902740AD65077796DA@xrose03.rose.hp.com>,,,,,False,-1.0,False,1.699996021489159e-08
3,<032101c1ca11$62324140$6701000a@karlnet.com>,,,,,False,0.0,False,1.9038549535610205e-09
4,<3C9742DB.BCD58E36@lorien.sc.innovationslab.net>,,,,,False,4.6,False,9.332934066460519e-08
5,<20020408120601.F23226@cypher.cisco.com>,,,,,False,-1.0,False,7.147120408316619e-10
6,<20020408120302.D23226@cypher.cisco.com>,,,,,False,-1.0,False,0.01046577007656287
7,<3CBFFE43.DE55E816@erg.abdn.ac.uk>,,,,,False,-0.1,False,0.007499094625779043
8,<20020419131428.P20830@cypher.cisco.com>,,,,,False,-1.0,False,1.1637750731914541e-05
9,<3CC3DDB8.568FF33F@erg.abdn.ac.uk>,,,,,False,-0.1,False,0.00028430793255832524
10,<Pine.GSO.4.44.0204221325190.29069-100000@irp-view6.cisco.com>,,,,,False,-1.0,False,8.910283483791313e-06
11,<421CB3B9B2D2F645B548D213C0A90E5518D81A@edgmsmsg01.eu.thmulti.com>,,,,,False,-1.0,False,3.3702194133125907e-06
12,<200204250300.UAA25473@windsor.research.att.com>,,,,,False,-1.0,False,1.6172536970105198e-05
13,<200204270059.g3R0xX323412@possum.icir.org>,,,,,False,-1.6,False,0.001299156153328721
14,<F58512ECC1A14B4C92984DC38FFF4B80374874@LANMHS20.rd.francetelecom.fr>,,,,,False,0.0,False,0.03481168340193519
15,<3CD5230C.91C01F22@nc.rr.com>,,,,,False,4.7,False,1.4750949479055812e-06
16,<3CD99648.EF738FB@nc.rr.com>,,,,,False,4.7,False,1.4750949479055812e-06
17,<scda82c1.060@dcpud.org>,,,,,False,0.0,False,0.49999999999999784
18,<F58512ECC1A14B4C92984DC38FFF4B80374AEA@LANMHS20.rd.francetelecom.fr>,,,,,False,-1.0,False,1.1828651112405922e-06
19,<3CDF95A7.D580945A@nc.rr.com>,,,,,False,4.7,False,0.00025751194682167676
20,<F58512ECC1A14B4C92984DC38FFF4B80374B4A@LANMHS20.rd.francetelecom.fr>,,,,,False,-1.0,False,1.5630513865219373e-05
21,<200205140011.RAA24200@windsor.research.att.com>,,,,,False,-1.0,False,2.2464260312414178e-07
22,<F125dv5ZSzVnU0D34bJ00014f4a@hotmail.com>,,,,,False,0.3,False,1.39517160698593e-10
23,<20020517041302.18841.qmail@webmail19.rediffmail.com>,,,,,False,0.3,False,2.4536803676365824e-09
24,<421CB3B9B2D2F645B548D213C0A90E55187D47@edgmsmsg01.eu.thmulti.com>,,,,,False,-1.0,False,9.96099816685162e-10
25,<web-1366160@multicasttech.com>,,,,,False,-2.0,False,3.4320723635764e-05
26,<20020531.140313.56567492.Hitoshi.Asaeda@sophia.inria.fr>,,,,,False,2.6,False,0.03481168340193519
27,<scf73eb2.075@dcpud.org>,,,,,False,-1.0,False,0.15960297761042466
28,<20020603.191829.37988045.Hitoshi.Asaeda@sophia.inria.fr>,,,,,False,2.6,False,0.0004559184625796599
29,<F58512ECC1A14B4C92984DC38FFF4B80526D8A@LANMHS20.rd.francetelecom.fr>,,,,,False,-2.0,False,9.843258233894654e-05
30,<200206171132.HAA26742@ietf.org>,,,,,False,-2.0,False,0.01210438375065199
31,<A7E5E0571B0528489799AEEB3F11BA55403711@MARKO.eur.soneragroup.net>,,,,,False,0.3,False,0.00022906266223191257
32,<v04010502b93c4fc7a471@ansl.ntt.co.jp>,,,,,False,0.3,False,1.3255826167321792e-06
33,<3D1A1854.5AB11C8B@nc.rr.com>,,,,,False,4.7,False,3.7018583885236344e-06
34,<3D1A2E71.19D14E7B@nc.rr.com>,,,,,False,4.7,False,1.11628800872825e-07
35,<20020627103600.51675.qmail@mail.com>,,,,,False,0.3,False,2.7003945892514555e-05
36,<1025190506.17322.4966.camel@mccoy>,,,,,False,1.1,False,0.006803068167124697
37,<3D1B2CC8.BA6A688E@nc.rr.com>,,,,,False,4.7,False,0.00025751194682167676
38,<Pine.GSO.4.44.0206271258300.21065-100000@darkwing.uoregon.edu>,,,,,False,-1.0,False,2.8873377630642697e-12
39,<20020627213102.I27823@cypher.cisco.com>,,,,,False,-1.0,False,0.0001321873451227139
40,<200206280331.g5S3Vpn01674@mailhost.foundrynet.com>,,,,,False,-1.0,False,5.9276041365925965e-06
41,<Pine.LNX.4.44.0206272233360.13513-100000@twin.uoregon.edu>,,,,,False,-1.0,False,8.75502672454501e-11
42,<Pine.LNX.4.44.0206272113420.27340-100000@neo.uoregon.edu>,,,,,False,-1.0,False,2.7476097827344033e-06
43,<20020628094722.34878.qmail@mail.com>,,,,,False,0.3,False,0.00024698759636400435
44,<3D1C48CA.68D43ABE@nc.rr.com>,,,,,False,4.7,False,0.0013544535559484522
45,<200206281722.g5SHMSn16147@mailhost.foundrynet.com>,,,,,False,-1.0,False,9.290052469893736e-06
46,<200206302143.OAA10553@windsor.research.att.com>,,,,,False,-1.0,False,2.1586135411809502e-06
47,<20020630153247.N4248@cypher.cisco.com>,,,,,False,-1.0,False,0.00024698759636400435
48,<1025501366.2148.21.camel@localhost.localdomain>,,,,,False,3.8,False,1.5630513865219373e-05
49,<200207010919.CAA17242@windsor.research.att.com>,,,,,False,-1.0,False,2.2464260312414178e-07
50,<Pine.LNX.4.44.0206301920080.11032-100000@neo.uoregon.edu>,,,,,False,-1.0,False,2.159218932658368e-07
51,<200207011038.GAA22191@ietf.org>,,,,,False,-2.0,False,0.051206644011991105
52,<web-1388282@multicasttech.com>,,,,,False,-2.0,False,0.001299156153328721
53,<LAEHIEOPJJAINNOMKENOGEMMCMAA.rampe@cs.tut.fi>,,,,,False,-1.0,False,3.279506713301105e-05
54,<02070417362601.11242@dargneuilles.loria.fr>,,,,,False,-1.0,False,4.856887262356525e-08
