imap_uid,mid,header_flag,header_score,header_level,header_status,SA_flag,SA_score,AS_flag,AS_score
1,<20130806173917.2656.82707.idtracker@ietfa.amsl.com>,NO,-102.333,,"No, score=-102.333 tagged_above=-999 required=5 tests=[AWL=0.267, BAYES_00=-2.599, NO_RELAYS=-0.001, USER_IN_WHITELIST=-100]",False,-2.0,False,0.49999999999999784
2,<520A252F.7050501@fkie.fraunhofer.de>,NO,-2.249,,"No, score=-2.249 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, HELO_EQ_DE=0.35]",True,5.8,False,0.49999999999999784
3,<6852B8D9-BA2A-438D-BC3F-696DA599F269@inf-net.nl>,NO,-2.699,,"No, score=-2.699 tagged_above=-999 required=5 tests=[AWL=-0.900, BAYES_00=-2.599, J_CHICKENPOX_23=0.6, J_CHICKENPOX_24=0.6, J_CHICKENPOX_25=0.6, RCVD_IN_DNSWL_LOW=-1]",False,-2.0,False,0.49999999999999784
4,<520C70B3.6020706@fkie.fraunhofer.de>,NO,-1.949,,"No, score=-1.949 tagged_above=-999 required=5 tests=[AWL=-0.300, BAYES_00=-2.599, HELO_EQ_DE=0.35, J_CHICKENPOX_23=0.6]",True,5.8,False,0.49999999999999784
5,<C12A0D12-0BB9-458C-9003-C892478A7BDD@inf-net.nl>,NO,-2.999,,"No, score=-2.999 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, J_CHICKENPOX_23=0.6, RCVD_IN_DNSWL_LOW=-1]",False,-2.0,False,0.49999999999999784
6,<BC1FB1A5-D9D0-47FE-8299-FCE4BA25E3DF@inf-net.nl>,NO,-2.999,,"No, score=-2.999 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, J_CHICKENPOX_23=0.6, RCVD_IN_DNSWL_LOW=-1]",False,-2.0,False,0.49999999999999784
7,<2ED1D3801ACAAB459FDB4EAC9EAD090C1149268B@xmb-aln-x03.cisco.com>,NO,-10.223,,"No, score=-10.223 tagged_above=-999 required=5 tests=[AWL=-0.376, BAYES_00=-2.599, HTML_MESSAGE=0.001, RCVD_IN_DNSWL_HI=-8, SARE_OBFU_ALL=0.751]",False,0.4,False,0.49999999999999784
8,<ED45CDE6-BD5C-4B09-BD4B-BFA989A5D6DB@gmail.com>,NO,-1.847,,"No, score=-1.847 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, HTML_MESSAGE=0.001, SARE_OBFU_ALL=0.751]",False,-1.9,False,0.49999999999999784
9,<F4EB8B2D-6D01-4E5F-A241-53CD1F819E5C@inf-net.nl>,NO,-3.087,,"No, score=-3.087 tagged_above=-999 required=5 tests=[AWL=-0.239, BAYES_00=-2.599, RCVD_IN_DNSWL_LOW=-1, SARE_OBFU_ALL=0.751]",False,-2.0,False,0.49999999999999784
10,<5215A705.5030401@fkie.fraunhofer.de>,NO,-1.799,,"No, score=-1.799 tagged_above=-999 required=5 tests=[AWL=-0.301, BAYES_00=-2.599, HELO_EQ_DE=0.35, SARE_OBFU_ALL=0.751]",True,5.8,False,0.49999999999999784
11,<B177F831FB91F242972D0C35F6A0733105BA241A@SUCNPTEXM01.com.ad.uk.ds.corp>,NO,-1.58,,"No, score=-1.58 tagged_above=-999 required=5 tests=[AWL=0.268, BAYES_00=-2.599, SARE_OBFU_ALL=0.751]",False,-2.0,False,0.49999999999999784
12,<fc2bbaea-3a74-4d88-8192-bc7868b6b87f@SUCNPTEXC01.COM.AD.UK.DS.CORP>,NO,-1.847,,"No, score=-1.847 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, HTML_MESSAGE=0.001, SARE_OBFU_ALL=0.751]",False,-2.0,False,0.006803068167124697
13,<7f8563e0-213f-4cff-b06a-ef457892baef@SUCNPTEXC01.COM.AD.UK.DS.CORP>,NO,-2.023,,"No, score=-2.023 tagged_above=-999 required=5 tests=[AWL=0.576, BAYES_00=-2.599]",False,-2.0,False,0.49999999999999784
