imap_uid,mid,header_flag,header_score,header_level,header_status,SA_flag,SA_score,AS_flag,AS_score
1,<21255707C24105438C5BEA7061D33228B72F1C@essex.ad.nps.navy.mil>,,,,,False,-1.0,False,3.6424055108621956e-10
2,<5.0.1.4.2.20020225133919.019f2d98@pop.itd.nrl.navy.mil>,,,,,False,-1.0,False,2.551318301095483e-13
3,<001201c1bfc7$6697b520$cf656686@vorstrasse.unibremen.de>,,,,,False,3.6,False,5.262922052806709e-16
4,<sc7d1efa.028@mail.scires.com>,,,,,False,-1.0,False,0.001299156153328721
5,<20020301131020.10433.qmail@mailFA9.rediffmail.com>,,,,,False,0.5,False,2.562095314577209e-11
6,<20020301131348.19138.qmail@mailFA9.rediffmail.com>,,,,,False,0.5,False,1.9977627349599005e-10
7,<20020301132304.11363.qmail@mailFA9.rediffmail.com>,,,,,False,0.5,False,1.9977627349599005e-10
8,<Pine.LNX.4.33.0203011252430.6069-100000@pareto.comet.columbia.edu>,,,,,False,-1.0,False,3.785720198597522e-10
9,<Pine.LNX.4.33.0203011341420.6069-100000@pareto.comet.columbia.edu>,,,,,False,-1.0,False,1.5626537891390285e-10
10,<007301c1c177$3e5b89e0$ca413b80@SWEETPEA>,,,,,False,1.5,False,2.632043489355078e-07
11,<200203041811.KAA28830@pit.erg.sri.com>,,,,,False,-1.2,False,0.00024698759636400435
12,<200203050011.QAA29535@pit.erg.sri.com>,,,,,False,-1.2,False,1.28708058232313e-09
13,<NEBBICAGBCIDDLGKBHAIOENECFAA.krunz@ece.arizona.edu>,,,,,False,-0.6,False,8.171172751848046e-09
14,<H0000297084c6a31.1015306901.seckm1@MHS>,,,,,False,-1.0,False,2.1901256914304003e-10
15,<Pine.LNX.4.21.0203050941310.401-100000@armada>,,,,,False,2.6,False,3.3612704144907066e-07
16,<15492.37577.638149.893527@impression.inria.fr>,,,,,False,-1.0,False,5.466014988590279e-07
17,<003801c1c436$121c30c0$3ac033c1@inria.fr>,,,,,False,-1.0,False,1.6913322498778193e-10
18,<007c01c1c457$c87193d0$4f1616a3@yuwei>,,,,,False,-1.0,False,1.8797781387510978e-09
19,<Pine.SOL.4.33.0203050942310.23427-100000@cheetah.cs.ucla.edu>,,,,,False,-1.0,False,5.946821187117964e-11
20,<004b01c1c497$1522ea00$7637ad80@workgroup>,,,,,False,0.6,False,1.4067432056552576e-08
21,<200203060325.TAA03447@pit.erg.sri.com>,,,,,False,-1.2,False,1.1046133658233892e-09
22,<200203060511.VAA03666@pit.erg.sri.com>,,,,,False,-1.2,False,2.989068045496489e-08
23,<002101c1c4f9$817df160$3ac033c1@inria.fr>,,,,,False,-1.0,False,1.163336744285641e-07
24,<200203061911.LAA12401@koa.erg.sri.com>,,,,,False,-1.2,False,4.905720186766847e-09
25,<Pine.LNX.4.21.0203071124100.608-100000@armada>,,,,,False,2.6,False,3.2827129414558792e-06
