imap_uid,mid,header_flag,header_score,header_level,header_status,SA_flag,SA_score,AS_flag,AS_score
1,<72C1B7FD-19F1-4FFD-9446-A0123929B5DC@gsma.com>,NO,-1.902,,"No, score=-1.902 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, SPF_HELO_PASS=-0.001, SPF_PASS=-0.001] autolearn=ham",False,3.8,False,0.49999999999999784
2,<A4BAAB326B17CE40B45830B745F70F108E0868A8@VOEXM18W.internal.vodafone.com>,NO,-2.6,,"No, score=-2.6 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, FREEMAIL_FROM=0.001, RCVD_IN_DNSWL_LOW=-0.7, SPF_HELO_PASS=-0.001] autolearn=ham",False,0.3,False,0.006803068167124697
3,<A4BAAB326B17CE40B45830B745F70F108E0A8616@VOEXM17W.internal.vodafone.com>,NO,-1.9,,"No, score=-1.9 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, FREEMAIL_FROM=0.001, RCVD_IN_DNSWL_NONE=-0.0001, SPF_HELO_PASS=-0.001] autolearn=ham",False,0.3,False,0.006803068167124697
4,<0EBF32AF-2256-4778-B446-C4585C0DE91E@gsma.com>,NO,-1.902,,"No, score=-1.902 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, SPF_HELO_PASS=-0.001, SPF_PASS=-0.001] autolearn=ham",False,4.9,False,0.49999999999999784
5,<B9967185-BEE4-472C-88BD-E2FD3749B4A0@gsma.com>,NO,-1.901,,"No, score=-1.901 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, HTML_MESSAGE=0.001, SPF_HELO_PASS=-0.001, SPF_PASS=-0.001] autolearn=ham",False,0.3,False,0.49999999999999784
6,<7E0321AD-62B7-4228-B7B4-4E31223E27A5@gsma.com>,NO,0.799,,"No, score=0.799 tagged_above=-999 required=5 tests=[BAYES_50=0.8, HTML_MESSAGE=0.001, SPF_HELO_PASS=-0.001, SPF_PASS=-0.001] autolearn=ham",False,0.3,False,0.49999999999999784
7,<349C6756-8B5E-4790-8F1E-4C63983A38E8@gsma.com>,NO,-1.901,,"No, score=-1.901 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, HTML_MESSAGE=0.001, SPF_HELO_PASS=-0.001, SPF_PASS=-0.001] autolearn=ham",False,0.3,False,0.739721471713388
8,<A4BAAB326B17CE40B45830B745F70F10979F31F0@VOEXM18W.internal.vodafone.com>,NO,-2.3,,"No, score=-2.3 tagged_above=-999 required=5 tests=[BAYES_20=-0.001, FREEMAIL_FROM=0.001, HTML_MESSAGE=0.001, RCVD_IN_DNSWL_MED=-2.3, SPF_HELO_PASS=-0.001] autolearn=ham",False,2.6,False,0.006803068167124697
9,<A4BAAB326B17CE40B45830B745F70F10979FC842@VOEXM17W.internal.vodafone.com>,NO,-0.69,,"No, score=-0.69 tagged_above=-999 required=5 tests=[BAYES_40=-0.001, FREEMAIL_FROM=0.001, HTML_MESSAGE=0.001, RCVD_IN_DNSWL_LOW=-0.7, SPF_HELO_PASS=-0.001, T_FREEMAIL_DOC_PDF=0.01] autolearn=ham",False,2.6,False,0.006803068167124697
10,<63C0998E-8C6E-4052-834C-BAAEB62A8CD9@gsma.com>,NO,-1.291,,"No, score=-1.291 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, HTML_MESSAGE=0.001, J_CHICKENPOX_54=0.6, SPF_HELO_PASS=-0.001, SPF_PASS=-0.001, T_HTML_ATTACH=0.01] autolearn=no",False,0.3,False,0.49999999999999784
