imap_uid,mid,header_flag,header_score,header_level,header_status,SA_flag,SA_score,AS_flag,AS_score
1,<20030218113411.4cd68628.moore@cs.utk.edu>,,,,,False,-1.0,False,0.03813740723243072
2,<200302241714.MAA19427@ietf.org>,,,,,False,-1.0,False,0.00041473449032715506
3,<200302241721.h1OHLLA18485@astro.cs.utk.edu>,,,,,False,-2.0,False,0.00041473449032715506
4,<9547F8D6CC905145998556EF241A129C05967366@ESEALNT876.al.sw.ericsson.se>,,,,,False,-0.2,False,0.49999999999999784
5,<20030701130014.18162.1998.Mailman@www1.ietf.org>,,,,,False,-2.0,False,5.275750879434816e-07
6,<20030703223054.4508.50819.Mailman@www1.ietf.org>,,,,,False,-2.0,False,6.343837094686289e-05
7,<20030801130011.29120.49914.Mailman@www1.ietf.org>,,,,,False,-2.0,False,6.343837094686289e-05
8,<20030901130017.21711.4729.Mailman@www1.ietf.org>,,,,,False,-2.0,False,6.343837094686289e-05
9,<02y8gq-hbkt$86--0$98d$-q33@f2vsiv>,,,,,True,20.9,False,3.384337918678105e-05
10,<y2lor-c$tan-$u1ul98x@athcp.96.9t7u>,,,,,True,16.5,False,0.0003793376361498084
11,<6jm44cfk847$726o8jo3$2dr3-p1@qdkve4vys.fhr>,,,,,True,10.2,False,0.49999999999999784
12,<5g1$66-901sqj27teq4@7hl.g.ek6k>,,,,,True,9.6,False,4.8501020893750795e-06
13,<y-r4-$$gt10$p@w7r.e364>,,,,,True,18.2,False,0.0017688213824168192
14,<ml2mc0u12-jd$q-z4q$7vuv$216n3@tr0h4ucm94>,,,,,True,18.4,False,1.759851032703293e-06
15,<8$-38zdka-5-sx1-y7-0o$1b@y5bauol91fm>,YES,,,"Yes, hits=29.9 required=5.0 tests=BAD_CREDIT, CONSOLIDATE_DEBT,  DATE_SPAMWARE_Y2K, FORGED_IMS_HTML, FORGED_IMS_TAGS, FORGED_MUA_IMS,  FORGED_YAHOO_RCVD,FREE_CONSULTATION,HTML_FONTCOLOR_UNKNOWN, HTML_FONT_BIG,HTML_MESSAGE,HTML_SHOUTING5,LINES_OF_YELLING, MIME_HTML_NO_CHARSET,MIME_HTML_ONLY,MIME_HTML_ONLY_MULTI, MISSING_MIMEOLE,MISSING_OUTLOOK_NAME,OBFUSCATING_COMMENT, UPPERCASE_25_50 autolearn=no version=2.60",True,15.5,False,0.06617075781802186
16,<20040109174542.9164.14251.Mailman@www1.ietf.org>,,,,"No, hits=0.4 required=5.0 tests=AWL, NO_REAL_NAME autolearn=no  version=2.60",False,-2.0,False,0.09267498948492012
17,<AXVCVWJTFGQHKVESDTOFRGVK@yahoo.com>,YES,,,"Yes, hits=7.3 required=5.0 tests=HTML_70_80, HTML_IMAGE_ONLY_02, HTML_MESSAGE,MIME_HTML_NO_CHARSET,MIME_HTML_ONLY,MIME_HTML_ONLY_MULTI, USERPASS autolearn=no version=2.60",True,11.2,True,0.9998794103717001
18,<20040201140028.1364.98003.Mailman@www1.ietf.org>,,,,"No, hits=0.4 required=5.0 tests=AWL, NO_REAL_NAME autolearn=no  version=2.60",False,-2.0,False,0.09267498948492012
19,<JJMSQWWYVPQEKHBYYNKJXU@lorettosystem.org>,,,,"No, hits=2.9 required=5.0 tests=HTML_MESSAGE, MIME_HTML_NO_CHARSET,MIME_HTML_ONLY,MIME_HTML_ONLY_MULTI, SUBJ_HAS_SPACES autolearn=no version=2.60",True,7.7,True,0.9997063219685978
20,<NZKLUKVWHWAWNHQPERZAPUUSR@yahoo.com>,YES,,,"Yes, hits=8.0 required=5.0 tests=FORGED_YAHOO_RCVD, HTML_30_40,  HTML_IMAGE_ONLY_06, HTML_MESSAGE, MIME_HTML_NO_CHARSET, MIME_HTML_ONLY,  MIME_HTML_ONLY_MULTI,USERPASS autolearn=no version=2.60",True,10.3,True,0.9616962770143168
21,<w----98-bto6m8u-6a-$2@zu3.7e2s>,YES,,,"Yes, hits=20.9 required=5.0 tests=BAD_CREDIT, CONSOLIDATE_DEBT,  DATE_SPAMWARE_Y2K,FORGED_MUA_OUTLOOK,FORGED_OUTLOOK_HTML, FREE_CONSULTATION,FROM_NUM_AT_WEBMAIL,HTML_50_60, HTML_FONTCOLOR_UNKNOWN,HTML_FONT_BIG,HTML_MESSAGE,MIME_HTML_ONLY, MIME_HTML_ONLY_MULTI,MISSING_MIMEOLE,OBFUSCATING_COMMENT autolearn=no  version=2.60",True,16.4,True,0.9955731225053871
