imap_uid,mid,header_flag,header_score,header_level,header_status,SA_flag,SA_score,AS_flag,AS_score
1,<4C926A19.1040108@gmail.com>,NO,-102.299,,"No, score=-102.299 tagged_above=-999 required=5 tests=[AWL=-0.300, BAYES_00=-2.599, J_CHICKENPOX_43=0.6, USER_IN_WHITELIST=-100]",False,-0.9,False,0.49999999999999784
2,,NO,-0.815,,"No, score=-0.815 tagged_above=-999 required=5 tests=[AWL=-0.675, BAYES_20=-0.74, J_CHICKENPOX_43=0.6]",False,-0.9,False,0.49999999999999784
3,<rmea96p7qukqufpm94dk5cfhb9fr9a0t09@hive.bjoern.hoehrmann.de>,NO,-2.421,,"No, score=-2.421 tagged_above=-999 required=5 tests=[AWL=-0.422, BAYES_00=-2.599, J_CHICKENPOX_43=0.6]",False,-2.0,False,0.49999999999999784
4,<s0fa9610hn7fgo3kalcgrrcecg4un0uvrj@hive.bjoern.hoehrmann.de>,NO,-2.7,,"No, score=-2.7 tagged_above=-999 required=5 tests=[AWL=-0.101, BAYES_00=-2.599]",False,-2.0,False,0.49999999999999784
5,,NO,-1.819,,"No, score=-1.819 tagged_above=-999 required=5 tests=[AWL=0.780, BAYES_00=-2.599]",False,-0.9,False,0.49999999999999784
6,<b7qa961b6n3is3djr5nefpp2uff9s75ll4@hive.bjoern.hoehrmann.de>,NO,-2.695,,"No, score=-2.695 tagged_above=-999 required=5 tests=[AWL=-0.096, BAYES_00=-2.599]",False,-2.0,False,0.49999999999999784
7,,NO,-2.014,,"No, score=-2.014 tagged_above=-999 required=5 tests=[AWL=0.585, BAYES_00=-2.599]",False,-0.9,False,0.49999999999999784
8,<9FA16888AD1BF64ABCE6C2532CCEB98A0BB2ACB2@xmb-sjc-219.amer.cisco.com>,NO,-10.598,,"No, score=-10.598 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, HTML_MESSAGE=0.001, RCVD_IN_DNSWL_HI=-8]",False,1.2,False,0.006803068167124697
9,<FFD51C60-9887-47E4-B207-B5BC1AFBD67E@cisco.com>,NO,-110.2,,"No, score=-110.2 tagged_above=-999 required=5 tests=[AWL=-0.201, BAYES_00=-2.599, J_CHICKENPOX_54=0.6, RCVD_IN_DNSWL_HI=-8, USER_IN_WHITELIST=-100]",False,-2.0,False,0.49999999999999784
10,<1q9i969n6lp2esvkjfep4djsilat59bpkj@hive.bjoern.hoehrmann.de>,NO,-2.324,,"No, score=-2.324 tagged_above=-999 required=5 tests=[AWL=-0.325, BAYES_00=-2.599, J_CHICKENPOX_54=0.6]",False,-2.0,False,0.49999999999999784
11,<jfai96d4ebud62rjns4cn4758bnf7miji4@hive.bjoern.hoehrmann.de>,NO,-2.612,,"No, score=-2.612 tagged_above=-999 required=5 tests=[AWL=-0.013, BAYES_00=-2.599]",False,-2.0,False,0.49999999999999784
12,<4C992B0C.7000407@stpeter.im>,NO,-102.244,,"No, score=-102.244 tagged_above=-999 required=5 tests=[AWL=-0.245, BAYES_00=-2.599, J_CHICKENPOX_54=0.6, USER_IN_WHITELIST=-100]",False,-2.0,False,0.49999999999999784
13,<4C992B39.3060605@stpeter.im>,NO,-102.541,,"No, score=-102.541 tagged_above=-999 required=5 tests=[AWL=0.058, BAYES_00=-2.599, USER_IN_WHITELIST=-100]",False,-2.0,False,0.49999999999999784
14,<0pai969srcsmcdvvuds5hcvaga90udv8ei@hive.bjoern.hoehrmann.de>,NO,-2.311,,"No, score=-2.311 tagged_above=-999 required=5 tests=[AWL=-0.312, BAYES_00=-2.599, J_CHICKENPOX_54=0.6]",False,-2.0,False,0.49999999999999784
15,<9FA16888AD1BF64ABCE6C2532CCEB98A0BB2AE53@xmb-sjc-219.amer.cisco.com>,NO,-10.599,,"No, score=-10.599 tagged_above=-999 required=5 tests=[AWL=0.000, BAYES_00=-2.599, RCVD_IN_DNSWL_HI=-8]",False,1.2,False,0.49999999999999784
